date,open,high,low,close,volume,ticker,price,eps,pe_ratio,net_income,total_assets,shareholders_equity,total_debt,roe,roa,debt_to_equity,market_cap,shares_outstanding,is_eps_missing,is_eps_stale,is_pe_ratio_missing,is_pe_ratio_stale,is_net_income_missing,is_net_income_stale,is_total_assets_missing,is_total_assets_stale,is_shareholders_equity_missing,is_shareholders_equity_stale,is_total_debt_missing,is_total_debt_stale,is_roe_missing,is_roe_stale,is_roa_missing,is_roa_stale,is_debt_to_equity_missing,is_debt_to_equity_stale,is_market_cap_missing,is_market_cap_stale,is_shares_outstanding_missing,is_shares_outstanding_stale
2024-01-02,,188.44,183.885,185.64,81964874.0,AAPL,185.64,6.16,30.13636363636364,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-03,,185.88,183.43,184.25,58414460.0,AAPL,184.25,6.16,29.910714285714285,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-04,,183.0872,180.88,181.91,71878670.0,AAPL,181.91,6.16,29.53084415584416,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-05,,182.76,180.17,181.18,62371161.0,AAPL,181.18,6.16,29.412337662337663,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,,185.6,181.5,185.56,59144470.0,AAPL,185.56,6.16,30.123376623376625,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-09,,185.15,182.73,185.14,42841809.0,AAPL,185.14,6.16,30.0551948051948,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-10,,186.4,183.92,186.19,46192908.0,AAPL,186.19,6.16,30.22564935064935,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-11,,187.05,183.62,185.59,49128408.0,AAPL,185.59,6.16,30.12824675324676,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-12,,186.74,185.19,185.92,40477782.0,AAPL,185.92,6.16,30.18181818181818,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-16,,184.26,180.934,183.63,65076641.0,AAPL,183.63,6.16,29.810064935064933,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-17,,182.93,180.3,182.68,47317433.0,AAPL,182.68,6.16,29.65584415584416,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-18,,189.14,185.83,188.63,77722754.0,AAPL,188.63,6.16,30.621753246753244,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
