date,open,high,low,close,volume
2020-07-10,,95.98,94.7052,95.92,90257320.0
2020-07-13,,99.955,95.2575,95.4775,191649140.0
2020-07-14,,97.255,93.8775,97.0575,170984564.0
2020-07-15,,99.2475,96.49,97.725,153175132.0
2020-07-16,,97.405,95.905,96.5225,110572372.0
2020-07-17,,97.1475,95.84,96.3275,92164500.0
2020-07-20,,98.5,96.0625,98.3575,90317908.0
2020-07-21,,99.25,96.7425,97.0,103644436.0
2020-07-22,,97.975,96.6025,97.2725,88994732.0
2020-07-23,,97.0775,92.0098,92.845,197003632.0
2020-07-24,,92.97,89.145,92.615,185433708.0
2020-07-27,,94.905,93.48,94.81,121199392.0
2020-07-28,,94.5497,93.2475,93.2525,103581500.0
2020-07-29,,95.23,93.7125,95.04,90329256.0
2020-07-30,,96.2975,93.7675,96.19,158116020.0
2020-07-31,,106.415,100.825,106.26,374295468.0
2020-08-03,,111.6364,107.8925,108.9375,308150416.0
2020-08-04,,110.79,108.3875,109.665,172688068.0
2020-08-05,,110.3925,108.8975,110.0625,121991952.0
2020-08-06,,114.4125,109.7975,113.9025,202411900.0
2020-08-07,,113.675,110.2925,111.1125,198019812.0
2020-08-10,,113.775,110.0,112.7275,212402024.0
2020-08-11,,112.4825,109.1067,109.375,187902376.0
2020-08-12,,113.275,110.2975,113.01,165942820.0
2020-08-13,,116.0425,113.9275,115.01,210082064.0
2020-08-14,,115.0,113.045,114.9075,165423808.0
2020-08-17,,116.0875,113.9625,114.6075,119561044.0
2020-08-18,,116.0,114.0075,115.5625,105633540.0
2020-08-19,,117.1625,115.61,115.7075,145538008.0
2020-08-20,,118.392,115.7334,118.275,126871188.0
2020-08-21,,124.868,119.25,124.37,337454640.0
2020-08-24,,128.785,123.9363,125.8575,345905768.0
2020-08-25,,125.1793,123.0525,124.825,211234408.0
2020-08-26,,126.9925,125.0825,126.5225,162473268.0
2020-08-27,,127.485,123.8325,125.01,155516384.0
2020-08-28,,126.4425,124.5775,124.8075,187529916.0
2020-08-31,,131.0,126.0,129.04,225631664.0
2020-09-01,,134.8,130.53,134.18,152050116.0
2020-09-02,,137.98,127.0,131.4,200117202.0
2020-09-03,,128.84,120.5,120.88,257589206.0
2020-09-04,,123.7,110.89,120.96,332549990.0
2020-09-08,,118.99,112.68,112.82,231349531.0
2020-09-09,,119.14,115.26,117.32,176833475.0
2020-09-10,,120.5,112.5,113.49,182274291.0
2020-09-11,,115.23,110.0,112.0,180846525.0
2020-09-14,,115.93,112.8,115.355,140112337.0
2020-09-15,,118.829,113.61,115.54,183786539.0
2020-09-16,,116.0,112.04,112.13,154719375.0
2020-09-17,,112.2,108.71,110.34,177056468.0
2020-09-18,,110.88,106.09,106.84,287076882.0
2020-09-21,,110.19,103.1,110.08,195547704.0
2020-09-22,,112.86,109.16,111.81,183053939.0
2020-09-23,,112.11,106.77,107.12,150718671.0
2020-09-24,,110.25,105.0,108.22,167743149.0
2020-09-25,,112.44,107.67,112.28,149981441.0
2020-09-28,,115.32,112.78,114.96,137668917.0
2020-09-29,,115.31,113.57,114.09,100060326.0
2020-09-30,,117.26,113.62,115.81,142675133.0
2020-10-01,,117.72,115.83,116.79,115886840.0
2020-10-02,,115.37,112.22,113.02,144707196.0
2020-10-05,,116.65,113.55,116.5,105793839.0
2020-10-06,,116.12,112.25,113.16,161498212.0
2020-10-07,,115.55,114.13,115.08,96848985.0
2020-10-08,,116.4,114.5901,114.97,83477028.0
2020-10-09,,117.0,114.92,116.97,100506865.0
2020-10-12,,125.18,119.2845,124.4,239983770.0
