date,open,high,low,close,volume
2020-07-10,,250.33,246.635,250.11,2779484.0
2020-07-13,,257.86,249.09,249.62,4495358.0
2020-07-14,,258.18,248.46,257.79,4660488.0
2020-07-15,,261.2878,255.15,257.8,4423523.0
2020-07-16,,260.5,256.0,258.08,2542564.0
2020-07-17,,260.65,257.72,260.38,3325138.0
2020-07-20,,261.2,258.02,260.17,2502250.0
2020-07-21,,263.87,260.72,262.42,2482858.0
2020-07-22,,265.59,262.0,265.17,2787847.0
2020-07-23,,267.8,261.8,263.81,2728147.0
2020-07-24,,266.89,262.99,265.31,3040309.0
2020-07-27,,268.68,265.09,267.42,2469336.0
2020-07-28,,269.07,264.6694,265.28,2265281.0
2020-07-29,,267.105,264.17,264.66,2919074.0
2020-07-30,,267.345,261.55,266.31,2399330.0
2020-07-31,,267.17,260.61,265.49,3709072.0
2020-08-03,,268.58,265.67,266.18,2417241.0
2020-08-04,,267.89,263.84,267.87,2265518.0
2020-08-05,,268.39,265.89,267.48,1993900.0
2020-08-06,,270.44,266.53,269.37,2241016.0
2020-08-07,,274.9199,269.81,271.64,2901483.0
2020-08-10,,275.0,271.795,274.73,2427938.0
2020-08-11,,279.37,274.41,274.92,3414800.0
2020-08-12,,282.9673,276.96,281.58,3918738.0
2020-08-13,,282.655,279.74,281.66,2262324.0
2020-08-14,,282.0,279.19,280.55,2532928.0
2020-08-17,,289.2172,283.57,288.24,5670188.0
2020-08-18,,290.58,283.04,285.0,7032422.0
2020-08-19,,287.97,281.93,282.86,5069549.0
2020-08-20,,281.91,279.4351,280.68,3600154.0
2020-08-21,,283.55,278.42,283.23,5711057.0
2020-08-24,,286.85,281.9223,286.75,4509846.0
2020-08-25,,287.48,283.885,286.13,2923145.0
2020-08-26,,292.12,286.275,291.93,4058312.0
2020-08-27,,292.95,286.56,288.63,3491689.0
2020-08-28,,288.83,284.77,286.29,3147398.0
2020-08-31,,286.69,282.87,285.04,4157694.0
2020-09-01,,286.68,283.5,285.94,3294368.0
2020-09-02,,288.04,283.6,287.2,3520660.0
2020-09-03,,287.7,272.17,274.63,5435560.0
2020-09-04,,276.77,264.6727,269.66,5321206.0
2020-09-08,,271.04,262.81,269.26,5316395.0
2020-09-09,,279.74,271.75,277.04,4796993.0
2020-09-10,,280.98,271.17,272.7,3204656.0
2020-09-11,,277.98,273.46,276.33,3766664.0
2020-09-14,,282.46,278.015,280.65,3096198.0
2020-09-15,,286.7,282.38,285.58,4233151.0
2020-09-16,,286.58,280.6801,281.63,3423923.0
2020-09-17,,282.72,276.96,279.96,3266395.0
2020-09-18,,279.835,270.81,275.19,7090840.0
2020-09-21,,272.8999,266.53,272.35,3616730.0
2020-09-22,,273.52,270.63,273.31,3030305.0
2020-09-23,,276.62,264.685,266.55,4517698.0
2020-09-24,,269.7,263.8801,265.7,3154374.0
2020-09-25,,270.15,263.9194,268.55,2514649.0
2020-09-28,,274.22,270.3,272.33,3111237.0
2020-09-29,,273.8415,271.1138,272.11,2090339.0
2020-09-30,,279.915,272.52,277.71,4813031.0
2020-10-01,,280.0,275.85,277.62,2754540.0
2020-10-02,,281.08,274.1032,279.31,3025479.0
2020-10-05,,282.42,279.7,282.1,2368882.0
2020-10-06,,283.0,275.77,276.47,3050273.0
2020-10-07,,284.0,280.0,282.79,3478832.0
2020-10-08,,284.95,281.1707,284.52,2292598.0
2020-10-09,,287.28,284.09,285.92,2277572.0
2020-10-12,,288.33,286.06,286.91,2461127.0
2020-10-13,,290.77,285.7,290.36,2772082.0
2020-10-14,,290.3,285.15,287.09,2280887.0
2020-10-15,,290.25,283.12,287.54,2746385.0
2020-10-16,,292.655,287.25,287.66,3393448.0
2020-10-19,,290.11,283.38,283.73,2470399.0
2020-10-20,,289.79,284.13,286.04,2329822.0
2020-10-21,,288.0187,283.28,284.51,2361386.0
2020-10-22,,285.68,280.65,281.16,2834896.0
2020-10-23,,283.19,279.55,283.0,1785139.0
2020-10-26,,281.5299,272.0,276.04,2943420.0
2020-10-27,,279.73,276.1157,276.84,3053805.0
2020-10-28,,273.6696,268.6901,269.72,3309357.0
2020-10-29,,273.7,267.3119,269.63,2919668.0
