date,open,high,low,close,volume
2020-07-10,,142.87,141.425,142.37,4356185.0
2020-07-13,,146.639,143.28,145.21,7084240.0
2020-07-14,,148.39,145.26,147.92,7575892.0
2020-07-15,,150.205,148.23,148.26,8677317.0
2020-07-16,,149.34,146.68,149.25,9415441.0
2020-07-17,,150.5776,148.69,149.35,8132846.0
2020-07-20,,150.32,148.43,149.6,6332357.0
2020-07-21,,151.6695,149.5,149.74,5706929.0
2020-07-22,,150.405,147.85,150.01,6036043.0
2020-07-23,,150.85,149.28,149.61,6691766.0
2020-07-24,,150.6,147.03,148.12,5526991.0
2020-07-27,,148.92,146.86,147.18,5834706.0
2020-07-28,,147.99,146.75,146.83,4910681.0
2020-07-29,,147.47,146.07,146.54,4624296.0
2020-07-30,,147.5,146.14,146.84,6059590.0
2020-07-31,,147.45,143.96,145.76,8380743.0
2020-08-03,,147.79,146.15,147.35,4186834.0
2020-08-04,,147.22,145.8247,147.22,4256290.0
2020-08-05,,149.31,147.8,148.4,5653935.0
2020-08-06,,149.25,146.5,147.55,5000423.0
2020-08-07,,148.65,147.15,148.6,3722484.0
2020-08-10,,149.01,147.72,148.03,4169694.0
2020-08-11,,149.23,146.37,146.97,6490972.0
2020-08-12,,150.24,147.49,149.66,5352444.0
2020-08-13,,149.19,147.53,148.0,5268147.0
2020-08-14,,149.34,147.58,148.24,4384051.0
2020-08-17,,150.23,148.23,148.99,4401339.0
2020-08-18,,150.1,148.57,150.09,4396646.0
2020-08-19,,151.58,149.32,150.39,7948120.0
2020-08-20,,151.58,149.5457,151.42,4976537.0
2020-08-21,,153.65,150.5901,152.76,7200855.0
2020-08-24,,152.9,150.35,152.15,5551277.0
2020-08-25,,153.07,151.535,152.06,3982223.0
2020-08-26,,152.65,150.64,152.3,8144046.0
2020-08-27,,153.26,151.89,152.98,5678226.0
2020-08-28,,153.7,151.9,153.64,5498957.0
2020-08-31,,154.4,152.2605,153.41,6491433.0
2020-09-01,,154.08,150.07,151.52,6460928.0
2020-09-02,,154.33,149.245,153.83,7029725.0
2020-09-03,,155.47,148.3,149.55,8828300.0
2020-09-04,,150.95,147.13,148.59,7317930.0
2020-09-08,,150.89,146.9,147.26,9109158.0
2020-09-09,,151.1,148.12,149.7,7064785.0
2020-09-10,,149.78,146.52,146.91,6316618.0
2020-09-11,,148.53,146.63,147.78,4020284.0
2020-09-14,,149.47,148.01,148.35,4480733.0
2020-09-15,,150.59,148.52,148.89,3748939.0
2020-09-16,,150.06,148.3501,148.4,4404739.0
2020-09-17,,148.63,146.05,147.17,5586074.0
2020-09-18,,149.65,146.2,149.18,14039131.0
2020-09-21,,147.93,142.96,145.1,7677560.0
2020-09-22,,145.35,143.72,144.21,5398831.0
2020-09-23,,147.55,144.38,144.44,8986380.0
2020-09-24,,145.25,143.34,144.67,5817406.0
2020-09-25,,146.25,143.89,145.66,5659573.0
2020-09-28,,148.29,146.42,147.11,5976848.0
2020-09-29,,147.92,146.06,147.06,6852699.0
2020-09-30,,149.73,146.84,148.88,8610862.0
2020-10-01,,149.65,146.46,147.32,6592966.0
2020-10-02,,148.41,145.83,146.24,5624141.0
2020-10-05,,148.38,146.42,148.23,5074802.0
2020-10-06,,148.61,145.87,146.26,5249011.0
2020-10-07,,148.23,145.81,147.88,5697891.0
2020-10-08,,149.85,148.04,148.89,4499229.0
2020-10-09,,151.48,149.445,150.97,5129891.0
2020-10-12,,153.142,151.02,151.84,7472356.0
2020-10-13,,150.12,147.77,148.36,11321453.0
2020-10-14,,149.03,147.39,148.1,7908238.0
2020-10-15,,147.9,146.33,147.19,6084500.0
2020-10-16,,148.76,147.01,148.1,6755030.0
2020-10-19,,148.9,144.13,144.32,7358131.0
2020-10-20,,145.75,144.12,144.55,5441456.0
2020-10-21,,145.34,143.91,143.93,5368454.0
2020-10-22,,145.69,143.84,145.08,5382483.0
2020-10-23,,147.47,144.35,145.24,4237047.0
2020-10-26,,144.77,142.75,143.97,7037303.0
2020-10-27,,144.29,142.92,143.15,4990525.0
2020-10-28,,141.98,138.18,138.36,8625239.0
2020-10-29,,138.7,136.05,137.19,7329100.0
2020-10-30,,137.54,133.65,137.11,7481900.0
2020-11-02,,139.01,137.49,138.69,7242327.0
2020-11-03,,140.96,137.78,138.5,6485555.0
2020-11-04,,142.54,138.7,139.4,10406955.0
2020-11-05,,141.83,139.26,139.76,8166328.0
2020-11-06,,143.19,139.65,142.25,6065334.0
2020-11-09,,148.99,144.92,146.08,12663129.0
2020-11-10,,148.75,146.26,148.28,7553278.0
2020-11-11,,149.2,146.86,147.8,6497752.0
2020-11-12,,148.65,146.7536,148.3,4836431.0
2020-11-13,,150.41,148.41,149.9,6012312.0
2020-11-16,,151.3,149.801,150.85,6453534.0
2020-11-17,,150.63,149.12,149.35,7449487.0
2020-11-18,,149.76,147.37,147.37,6853775.0
2020-11-19,,147.46,145.5869,147.14,8143862.0
2020-11-20,,147.94,146.13,146.36,6714802.0
2020-11-23,,146.01,143.04,143.87,7474835.0
2020-11-24,,144.765,143.61,143.87,11223707.0
2020-11-25,,144.17,142.86,143.68,7701197.0
2020-11-27,,144.6583,143.22,144.0,3059001.0
2020-11-30,,144.86,143.06,144.68,15806356.0
2020-12-01,,149.13,145.86,147.45,9925050.0
2020-12-02,,149.71,147.7,148.14,7795987.0
2020-12-03,,149.58,147.69,149.0,7408871.0
2020-12-04,,150.31,149.27,150.27,6872472.0
2020-12-07,,149.91,148.51,148.97,6788801.0
2020-12-08,,152.14,149.55,151.55,8650569.0
2020-12-09,,153.5,151.755,153.1,8658864.0
2020-12-10,,152.98,151.68,152.25,7533458.0
2020-12-11,,153.41,151.23,152.95,6103577.0
2020-12-14,,153.48,148.99,149.07,8699417.0
2020-12-15,,150.75,149.53,150.57,7772792.0
2020-12-16,,150.92,149.55,149.67,8631837.0
2020-12-17,,153.885,149.955,153.62,10106214.0
2020-12-18,,155.1,151.67,154.51,19128661.0
2020-12-21,,153.41,150.05,153.02,8090498.0
2020-12-22,,153.9,151.86,152.72,4796416.0
2020-12-23,,153.603,151.9,151.94,4709201.0
2020-12-24,,153.04,151.82,152.47,2114901.0
2020-12-28,,153.87,152.3,153.19,3969651.0
2020-12-29,,154.93,153.8,154.14,5292741.0
2020-12-30,,156.38,154.6,156.05,5492006.0
2020-12-31,,157.66,155.1098,157.38,5169400.0
2021-01-04,,157.38,154.13,156.5,12008342.0
2021-01-05,,158.76,155.07,158.34,9731810.0
2021-01-06,,160.23,156.72,159.83,8394658.0
2021-01-07,,161.03,158.35,160.37,7928392.0
2021-01-08,,161.1,159.88,160.04,8361492.0
2021-01-11,,161.32,158.77,159.37,7217401.0
2021-01-12,,159.66,157.33,158.13,7079034.0
2021-01-13,,158.455,156.75,157.89,6786846.0
2021-01-14,,161.95,159.61,160.65,10346635.0
2021-01-15,,161.4058,159.1058,160.3,8664505.0
2021-01-19,,163.04,161.1,162.78,9376366.0
2021-01-20,,164.14,161.8,162.38,7027927.0
2021-01-21,,162.48,160.06,161.73,7014750.0
2021-01-22,,165.155,161.87,163.55,8307736.0
2021-01-25,,166.09,163.66,165.98,10251501.0
2021-01-26,,173.65,169.39,170.48,14645274.0
2021-01-27,,170.92,167.45,167.88,14632694.0
2021-01-28,,170.86,167.8,169.16,9145264.0
2021-01-29,,166.0,160.5941,163.13,23009373.0
2021-02-01,,165.31,162.6,162.71,10315455.0
2021-02-02,,163.66,161.18,161.25,11645869.0
2021-02-03,,161.52,159.57,160.5,8801770.0
2021-02-04,,162.09,159.76,161.99,7921278.0
2021-02-05,,165.44,163.8601,164.45,9953079.0
2021-02-08,,165.9206,163.88,164.92,6281859.0
2021-02-09,,166.59,164.97,166.27,5671719.0
2021-02-10,,167.94,165.7,166.81,6068334.0
2021-02-11,,167.38,165.6,166.06,4989017.0
2021-02-12,,166.85,164.0,166.58,4602727.0
2021-02-16,,167.05,164.64,165.07,5863454.0
2021-02-17,,166.09,164.36,165.66,6882023.0
2021-02-18,,166.16,164.3,165.74,5340125.0
2021-02-19,,165.96,162.91,162.98,8619613.0
2021-02-22,,162.54,160.29,161.87,6633512.0
2021-02-23,,163.19,160.4,160.44,7249668.0
2021-02-24,,164.39,160.92,162.59,10500429.0
2021-02-25,,163.7,161.99,162.76,9965989.0
2021-02-26,,162.41,157.97,158.46,14669521.0
2021-03-01,,161.53,159.09,159.32,10977183.0
2021-03-02,,160.78,158.6,159.02,7788696.0
2021-03-03,,158.9,156.0604,156.22,8693695.0
2021-03-04,,156.1,151.47,153.07,11212782.0
2021-03-05,,156.69,153.13,156.1,8520760.0
2021-03-08,,159.33,155.98,157.4,6707821.0
2021-03-09,,160.75,156.89,157.7,7769992.0
2021-03-10,,159.895,157.36,159.15,6834260.0
2021-03-11,,160.63,158.92,159.14,6459656.0
2021-03-12,,160.31,159.19,159.6,5616006.0
2021-03-15,,160.66,158.5,160.42,5676379.0
2021-03-16,,161.68,160.24,161.37,6503017.0
