date,open,high,low,close,volume
2020-07-10,,45.25,43.86,45.15,16019839.0
2020-07-13,,45.675,44.96,45.25,17148667.0
2020-07-14,,45.94,44.6711,45.87,17471532.0
2020-07-15,,47.19,46.2,46.4,24136637.0
2020-07-16,,46.69,45.94,46.15,13588573.0
2020-07-17,,46.91,46.125,46.82,14928568.0
2020-07-20,,46.83,45.85,46.12,16928057.0
2020-07-21,,47.99,46.931,47.2,26326530.0
2020-07-22,,48.515,47.03,48.48,30367412.0
2020-07-23,,48.5682,48.03,48.28,16239237.0
2020-07-24,,48.8,48.07,48.49,16510410.0
2020-07-27,,48.51,48.18,48.48,17625029.0
2020-07-28,,49.28,48.1,48.18,14089507.0
2020-07-29,,48.5,47.82,48.02,13983197.0
2020-07-30,,48.23,47.2,47.69,17503943.0
2020-07-31,,47.77,46.73,47.24,15077253.0
2020-08-03,,47.36,46.23,46.3,14398157.0
2020-08-04,,46.86,46.22,46.69,11974940.0
2020-08-05,,47.265,46.81,47.22,10819145.0
2020-08-06,,47.53,46.6,47.48,11142033.0
2020-08-07,,48.08,47.21,47.8,11859399.0
2020-08-10,,48.275,47.66,47.72,12170297.0
2020-08-11,,48.6527,47.7,47.93,16875834.0
2020-08-12,,48.69,48.12,48.43,9768785.0
2020-08-13,,48.73,48.06,48.38,10169239.0
2020-08-14,,48.69,48.03,48.45,10352009.0
2020-08-17,,48.75,48.2,48.21,9315324.0
2020-08-18,,48.5,47.96,48.42,10057943.0
2020-08-19,,48.38,47.22,47.37,17694162.0
2020-08-20,,47.6,47.0923,47.35,11505474.0
2020-08-21,,47.495,46.97,47.28,15526337.0
2020-08-24,,47.98,47.175,47.97,9576578.0
2020-08-25,,48.05,47.65,47.91,8169791.0
2020-08-26,,48.18,47.47,48.16,10351643.0
2020-08-27,,48.82,48.2,48.23,11179529.0
2020-08-28,,49.85,48.53,49.83,16828694.0
2020-08-31,,50.07,49.35,49.53,18885695.0
2020-09-01,,49.35,48.83,49.12,12998929.0
2020-09-02,,51.36,49.36,51.19,26650382.0
2020-09-03,,52.1378,50.1,50.48,22689634.0
