date,open,high,low,close,volume
2020-07-10,,34.04,33.485,33.83,23711666.0
2020-07-13,,35.72,34.52,35.21,54987550.0
2020-07-14,,35.42,34.88,35.23,31984552.0
2020-07-15,,36.0,35.47,35.72,25896442.0
2020-07-16,,35.64,35.255,35.6,17916161.0
2020-07-17,,36.33,35.725,36.25,23657961.0
2020-07-20,,37.62,36.32,36.5,35908045.0
2020-07-21,,37.0792,36.52,36.69,23286204.0
2020-07-22,,38.73,37.52,38.56,88469518.0
2020-07-23,,39.42,38.18,38.41,58602042.0
2020-07-24,,38.15,37.325,37.66,32991450.0
2020-07-27,,37.75,37.23,37.54,27022349.0
2020-07-28,,39.335,38.06,39.02,54321668.0
2020-07-29,,39.45,38.45,39.26,36159995.0
2020-07-30,,38.94,38.2009,38.74,31407575.0
2020-07-31,,38.75,37.86,38.48,27566729.0
2020-08-03,,38.66,38.215,38.35,29955775.0
2020-08-04,,38.68,38.09,38.39,28284711.0
2020-08-05,,38.53,38.13,38.45,23669810.0
2020-08-06,,39.1,38.151,38.27,20317858.0
2020-08-07,,38.615,38.16,38.45,22307843.0
2020-08-10,,38.66,38.26,38.39,19274373.0
2020-08-11,,38.58,37.675,37.79,20666183.0
2020-08-12,,38.55,37.81,38.33,19300705.0
2020-08-13,,38.18,37.88,38.17,14968436.0
2020-08-14,,38.39,37.93,38.06,12602375.0
2020-08-17,,38.41,37.945,38.35,16996901.0
2020-08-18,,38.46,38.17,38.36,10605350.0
2020-08-19,,38.6062,38.12,38.26,15223160.0
2020-08-20,,38.79,38.1301,38.72,21097721.0
2020-08-21,,39.0,38.57,38.88,25431916.0
2020-08-24,,39.04,38.54,38.84,24291474.0
2020-08-25,,38.56,37.95,38.41,25492954.0
2020-08-26,,38.27,37.66,38.05,23244299.0
2020-08-27,,38.0,37.68,37.86,21448524.0
2020-08-28,,38.06,37.4,37.91,31651406.0
2020-08-31,,38.02,37.5,37.79,28854832.0
2020-09-01,,37.82,36.51,36.88,35108219.0
2020-09-02,,37.3,36.4,37.2,28009244.0
2020-09-03,,37.49,36.1,36.4,34569196.0
2020-09-04,,36.63,35.87,36.36,25884645.0
2020-09-08,,36.61,35.68,35.93,25838663.0
2020-09-09,,36.65,36.14,36.18,26731966.0
