date,open,high,low,close,volume
2020-07-10,,294.24,287.1006,291.23,2425881.0
2020-07-13,,304.52,291.77,299.71,4238698.0
2020-07-14,,309.74,296.71,308.52,4273588.0
2020-07-15,,310.69,298.66,304.07,5227837.0
2020-07-16,,310.85,303.16,307.15,3884192.0
2020-07-17,,310.97,306.25,306.53,3213634.0
2020-07-20,,308.6,302.3801,303.46,2410747.0
2020-07-21,,307.0,303.11,305.11,2387777.0
2020-07-22,,306.909,301.805,306.71,1987691.0
2020-07-23,,308.5,301.27,302.97,2401623.0
2020-07-24,,304.28,299.23,300.79,2458088.0
2020-07-27,,302.13,297.37,298.6,2113698.0
2020-07-28,,301.4,297.205,299.93,2287708.0
2020-07-29,,309.75,300.0,306.68,2709472.0
2020-07-30,,306.46,298.89,305.23,2240391.0
2020-07-31,,303.74,298.05,302.78,3950677.0
2020-08-03,,304.91,299.2,303.61,2665527.0
2020-08-04,,308.86,300.07,304.5,3633447.0
2020-08-05,,312.96,305.02,312.47,3046154.0
2020-08-06,,316.24,310.4,314.06,3345051.0
2020-08-07,,319.0,313.34,317.03,2631069.0
2020-08-10,,320.47,315.582,319.1,2599696.0
2020-08-11,,324.57,314.66,315.55,3079438.0
2020-08-12,,323.29,317.64,322.27,2941314.0
2020-08-13,,321.87,317.84,321.52,2193819.0
2020-08-14,,323.93,318.725,323.7,1821817.0
2020-08-17,,323.8,319.35,320.51,2814121.0
2020-08-18,,322.67,315.71,316.81,2549307.0
2020-08-19,,319.49,315.18,315.4,2103191.0
2020-08-20,,315.28,312.01,313.33,2270869.0
2020-08-21,,315.2809,310.09,314.14,2664594.0
2020-08-24,,316.9,306.49,308.84,2961676.0
2020-08-25,,312.36,307.8,312.22,1921948.0
2020-08-26,,311.36,303.61,308.82,3218862.0
2020-08-27,,314.775,305.49,311.67,2356237.0
2020-08-28,,315.82,308.97,314.37,2917772.0
2020-08-31,,319.56,312.54,312.55,4374629.0
2020-09-01,,314.72,310.0,312.83,2541610.0
2020-09-02,,321.28,312.56,320.24,2879307.0
2020-09-03,,323.82,313.73,316.23,3911700.0
2020-09-04,,317.8272,306.63,312.0,2927490.0
2020-09-08,,311.46,303.83,307.25,2647486.0
2020-09-09,,315.315,308.4167,312.02,2224878.0
2020-09-10,,314.44,303.72,304.6,2329964.0
2020-09-11,,306.46,297.29,301.48,3120484.0
2020-09-14,,311.12,303.01,308.57,1820238.0
2020-09-15,,311.46,306.05,307.23,1497190.0
2020-09-16,,312.2499,306.2,306.52,3473898.0
2020-09-17,,307.38,302.11,304.98,2424348.0
2020-09-18,,310.39,303.77,308.02,4678168.0
2020-09-21,,300.53,291.66,299.19,4167891.0
2020-09-22,,300.62,292.92,294.26,3211301.0
2020-09-23,,296.1,291.825,292.14,3746843.0
2020-09-24,,294.93,289.64,292.66,2921857.0
