date,AAPL,AMZN,BAC,CVX,GOOGL,HD,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,TSLA,UNH,VZ,WMT,XOM
2020-07-10,95.92,160.0,24.02,85.23,76.9505,250.11,142.37,96.27,45.15,213.67,10.4793,33.83,123.89,102.9767,291.23,54.49,43.56,42.65
2020-07-13,95.4775,155.2,24.19,85.4,75.6115,249.62,145.21,97.65,45.25,207.07,10.0523,35.21,124.05,99.804,299.71,54.45,43.1733,42.66
2020-07-14,97.0575,154.2,24.14,88.35,76.043,257.79,147.92,98.21,45.87,208.35,10.377,35.23,125.09,101.12,308.52,55.44,44.0033,44.07
2020-07-15,97.725,150.4435,24.6,88.89,75.844,257.8,148.26,99.73,46.4,208.04,10.2273,35.72,124.5,103.0673,304.07,55.06,44.0,44.63
2020-07-16,96.5225,149.995,23.93,88.36,75.746,258.08,149.25,100.01,46.15,203.92,10.1348,35.6,124.76,100.0427,307.15,55.78,44.0667,44.28
2020-07-17,96.3275,148.0985,23.22,87.19,75.8425,260.38,149.35,98.16,46.82,202.88,10.2015,36.25,125.63,100.056,306.53,56.3,43.9133,43.52
2020-07-20,98.3575,159.842,23.58,85.27,78.192,260.17,149.6,97.3,46.12,211.6,10.5108,36.5,125.24,109.5333,303.46,55.87,43.8233,42.5
2020-07-21,97.0,156.9145,24.42,91.39,77.796,262.42,149.74,99.41,47.2,208.75,10.3285,36.69,125.07,104.5573,305.11,55.84,44.11,44.65
2020-07-22,97.2725,154.9955,24.31,91.04,78.2425,265.17,150.01,98.69,48.48,211.75,10.4388,38.56,126.14,106.1553,306.71,55.75,44.22,43.61
2020-07-23,92.845,149.3275,24.54,91.01,75.8375,263.81,149.61,98.98,48.28,202.54,10.1298,38.41,126.16,100.8713,302.97,55.85,43.88,43.7
2020-07-24,92.615,150.4455,24.35,90.13,75.4105,265.31,148.12,98.28,48.49,201.3,10.1945,37.66,125.96,94.4667,300.79,56.85,43.7467,43.43
2020-07-27,94.81,152.7605,24.14,91.04,76.4715,267.42,147.18,96.9,48.48,203.85,10.4215,37.54,126.32,102.64,298.6,56.87,43.7367,44.07
2020-07-28,93.2525,150.0165,24.36,89.11,75.1825,265.28,146.83,97.32,48.18,202.02,10.2155,39.02,127.88,98.4327,299.93,57.48,43.92,43.55
2020-07-29,95.04,151.6765,25.27,90.07,76.1755,264.66,146.54,99.68,48.02,204.06,10.4655,39.26,128.31,99.9407,306.68,57.45,43.5633,44.03
2020-07-30,96.19,152.594,24.84,86.27,76.9185,266.31,146.84,97.02,47.69,203.9,10.614,38.74,131.42,99.166,305.23,57.3,43.3733,41.87
2020-07-31,106.26,158.234,24.88,83.94,74.3975,265.49,145.76,96.64,47.24,205.01,10.6148,38.48,131.12,95.384,302.78,57.48,43.1333,42.08
2020-08-03,108.9375,155.5945,24.99,84.81,74.138,266.18,147.35,96.1,46.3,216.54,11.0102,38.35,131.29,99.0,303.61,57.24,43.1,42.25
2020-08-04,109.665,156.9415,25.01,86.49,73.665,267.87,147.22,95.55,46.69,213.29,11.2278,38.39,133.79,99.1333,304.5,57.91,43.88,43.47
2020-08-05,110.0625,160.2515,25.39,87.2,73.9545,267.48,148.4,97.21,47.22,212.94,11.2868,38.45,133.44,99.0013,312.47,57.54,43.27,43.85
2020-08-06,113.9025,161.25,25.47,87.47,75.2475,269.37,147.55,97.24,47.48,216.35,11.3355,38.27,132.71,99.3053,314.06,57.83,43.1167,43.64
2020-08-07,111.1125,158.373,26.11,86.8,74.9185,271.64,148.6,99.38,47.8,212.48,11.1995,38.45,133.55,96.8473,317.03,58.53,43.3233,43.44
2020-08-10,112.7275,157.408,26.56,89.73,74.841,274.73,148.03,100.64,47.72,208.25,11.165,38.39,134.1,94.5713,319.1,58.99,43.96,44.51
2020-08-11,109.375,154.0335,26.92,89.62,74.027,274.92,146.97,103.82,47.93,203.38,10.85,37.79,133.23,91.626,315.55,58.51,43.4,44.97
2020-08-12,113.01,158.112,26.73,90.72,75.362,281.58,149.66,102.94,48.43,209.19,11.4403,38.33,135.46,103.6507,322.27,58.6,43.9633,44.09
2020-08-13,115.01,158.051,26.35,89.82,75.8325,281.66,148.0,102.37,48.38,208.7,11.443,38.17,135.78,108.0667,321.52,58.52,43.95,43.01
2020-08-14,114.9075,157.401,26.47,90.35,75.2315,280.55,148.24,102.41,48.45,208.9,11.564,38.06,135.1,110.0473,323.7,58.79,44.2,43.2
2020-08-17,114.6075,159.1205,25.9,90.77,75.812,288.24,148.99,99.71,48.21,210.28,12.337,38.35,135.5,122.376,320.51,58.78,45.2,42.64
2020-08-18,115.5625,165.6245,25.53,87.63,77.789,285.0,150.09,98.32,48.42,211.49,12.2608,38.36,136.51,125.806,316.81,59.18,44.9033,42.43
2020-08-19,115.7075,163.024,25.5,86.39,77.2305,282.86,150.39,98.55,47.37,209.7,12.1385,38.26,135.77,125.2353,315.4,59.05,44.1367,41.96
2020-08-20,118.275,164.8685,25.1,84.81,78.8125,280.68,151.42,97.37,47.35,214.58,12.141,38.72,136.85,133.4553,313.33,58.96,43.5233,41.32
2020-08-21,124.37,164.236,24.98,85.08,78.7785,283.23,152.76,97.32,47.28,213.02,12.6835,38.88,137.44,136.6653,314.14,58.99,43.8767,41.01
2020-08-24,125.8575,165.373,25.69,87.2,79.2575,286.75,152.15,100.06,47.97,213.69,12.7203,38.84,138.51,134.28,308.84,59.57,43.7767,42.22
2020-08-25,124.825,167.3245,26.0,86.13,80.2925,286.13,152.06,100.5,47.91,216.47,12.75,38.41,139.06,134.8893,312.22,59.42,43.5433,40.88
2020-08-26,126.5225,172.0925,25.56,84.78,82.2065,291.93,152.3,99.09,48.16,221.15,12.773,38.05,138.39,143.5447,308.82,59.46,43.5667,40.01
2020-08-27,125.01,170.0,26.05,84.91,81.426,288.63,152.98,102.35,48.23,226.58,12.6283,37.86,138.21,149.25,311.67,59.43,45.5433,39.74
2020-08-28,124.8075,170.09,26.3,85.63,81.9715,286.29,153.64,102.77,49.83,228.91,13.1478,37.91,138.77,147.56,314.37,59.26,46.7667,40.69
