date,open,high,low,close,volume
2020-08-06,,101.8,99.92,101.75,4016906.0
2020-08-07,,102.3,100.56,101.23,3195682.0
2020-08-10,,101.26,100.03,100.04,2826910.0
2020-08-11,,100.43,98.67,99.06,4881729.0
2020-08-12,,101.1,99.315,100.65,2710240.0
2020-08-13,,101.2693,100.0,101.1,3037274.0
2020-08-14,,101.22,99.575,99.99,2791426.0
2020-08-17,,101.42,100.21,100.71,4730029.0
2020-08-18,,101.72,100.43,100.96,3823667.0
2020-08-19,,101.62,100.33,100.48,2774538.0
2020-08-20,,102.02,99.75,101.63,3602285.0
2020-08-21,,102.54,100.84,102.4,3878015.0
2020-08-24,,103.23,100.7,101.39,3281604.0
2020-08-25,,102.9026,101.52,102.47,2695325.0
2020-08-26,,103.29,101.26,103.19,3024815.0
2020-08-27,,114.0,109.52,111.29,37044667.0
2020-08-28,,114.195,109.405,110.79,17725517.0
2020-08-31,,111.74,109.26,109.47,7134131.0
2020-09-01,,109.065,105.58,106.55,8115160.0
2020-09-02,,109.91,105.88,109.44,5939571.0
2020-09-03,,108.94,104.3,105.53,6194671.0
2020-09-04,,106.04,102.42,104.16,5118528.0
2020-09-08,,103.8164,102.43,102.84,5341686.0
2020-09-09,,106.9299,104.13,105.81,4511283.0
2020-09-10,,105.6,103.73,104.0,4353096.0
2020-09-11,,105.7,104.3248,104.7,4173380.0
2020-09-14,,106.66,105.12,105.69,3885704.0
2020-09-15,,107.53,106.17,106.58,3743592.0
2020-09-16,,107.37,105.66,105.7,4299462.0
2020-09-17,,106.75,104.3922,106.66,4343799.0
2020-09-18,,107.99,106.14,106.86,8778093.0
2020-09-21,,106.46,104.46,105.95,4626626.0
2020-09-22,,105.52,103.565,104.8,4262099.0
2020-09-23,,104.99,102.23,102.73,4084710.0
2020-09-24,,103.53,100.47,100.92,7684037.0
2020-09-25,,103.61,100.34,103.45,5136230.0
2020-09-28,,105.25,103.82,104.44,5595482.0
2020-09-29,,106.41,104.92,105.19,4581332.0
2020-09-30,,109.48,105.74,108.83,9577710.0
2020-10-01,,110.33,108.38,108.64,7346981.0
2020-10-02,,108.66,106.33,106.5,5690545.0
2020-10-05,,108.65,107.18,108.56,3656458.0
2020-10-06,,108.77,106.05,106.25,4063134.0
2020-10-07,,108.18,106.93,107.74,4245094.0
2020-10-08,,109.13,107.42,108.54,4224384.0
2020-10-09,,109.97,108.8,109.65,3103377.0
2020-10-12,,111.57,109.76,111.05,4298360.0
2020-10-13,,110.99,108.25,108.37,4890227.0
2020-10-14,,109.83,107.34,107.75,4279352.0
2020-10-15,,107.74,106.31,107.32,3616449.0
2020-10-16,,110.38,107.7,109.67,4788552.0
2020-10-19,,111.035,107.82,108.04,4299822.0
2020-10-20,,109.89,108.11,108.36,3959612.0
2020-10-21,,109.0,104.7548,105.93,5816466.0
2020-10-22,,110.05,106.24,109.48,5018562.0
2020-10-23,,110.0,107.57,107.79,3629140.0
2020-10-26,,109.161,107.0474,109.0,7407338.0
2020-10-27,,109.7495,108.33,108.58,4569721.0
2020-10-28,,107.41,105.38,106.42,7188068.0
2020-10-29,,106.58,104.57,105.0,4311737.0
2020-10-30,,105.55,103.13,105.11,4487223.0
2020-11-02,,108.7,106.11,107.48,6050990.0
2020-11-03,,110.8,108.36,109.56,3933924.0
2020-11-04,,114.23,110.105,111.53,7512855.0
2020-11-05,,114.84,112.72,113.53,5245310.0
2020-11-06,,115.14,112.84,114.42,5737301.0
2020-11-09,,113.21,106.19,109.39,14258004.0
2020-11-10,,111.59,108.4023,110.81,5378351.0
2020-11-11,,112.95,111.465,112.65,4049373.0
2020-11-12,,112.86,111.3,111.95,2895440.0
2020-11-13,,113.09,111.42,112.6,3975067.0
2020-11-16,,113.75,111.59,113.67,4299283.0
2020-11-17,,114.62,112.34,113.06,3871540.0
2020-11-18,,113.71,109.75,109.77,4624655.0
2020-11-19,,111.2,109.26,111.0,3647109.0
2020-11-20,,111.76,110.07,110.89,4296794.0
2020-11-23,,111.52,108.86,109.27,4170952.0
