date,open,high,low,close,volume
2020-08-06,,86.98,84.7801,86.71,53961739.0
2020-08-07,,87.29,82.6702,84.85,66543157.0
2020-08-10,,85.16,79.3221,82.24,70536143.0
2020-08-11,,80.71,76.1,76.88,77877661.0
2020-08-12,,82.88,77.55,82.61,88607829.0
2020-08-13,,84.02,81.54,81.84,57407355.0
2020-08-14,,83.24,80.88,81.3,42389477.0
2020-08-17,,83.06,81.552,82.42,31300155.0
2020-08-18,,82.88,81.03,81.66,30970483.0
2020-08-19,,81.85,80.45,81.09,37507391.0
2020-08-20,,82.84,79.12,82.77,42948860.0
2020-08-21,,84.41,82.23,83.81,48280318.0
2020-08-24,,85.33,82.55,83.08,38035068.0
2020-08-25,,86.62,82.35,86.35,49234399.0
2020-08-26,,87.72,85.2,86.02,47157273.0
2020-08-27,,86.58,82.94,83.8,42194222.0
2020-08-28,,86.04,84.19,85.55,40723268.0
2020-08-31,,92.64,85.05,90.82,90655945.0
2020-09-01,,92.51,90.1899,92.18,56102560.0
2020-09-02,,94.28,88.74,90.22,50365918.0
2020-09-03,,88.47,81.59,82.54,87462287.0
2020-09-04,,84.39,76.33,82.01,82267760.0
2020-09-08,,81.88,78.0,78.69,54954472.0
2020-09-09,,82.44,79.28,81.91,53987878.0
2020-09-10,,83.31,78.38,78.98,51448396.0
2020-09-11,,79.99,75.04,76.34,54737990.0
2020-09-14,,78.82,76.26,77.9,47448681.0
2020-09-15,,80.33,75.97,78.93,57874428.0
2020-09-16,,79.72,76.54,76.66,38445668.0
2020-09-17,,76.625,74.2,76.55,55618800.0
2020-09-18,,77.4,73.85,74.93,51082857.0
2020-09-21,,77.98,73.88,77.94,61280970.0
2020-09-22,,78.79,75.27,77.7,56044742.0
2020-09-23,,77.91,74.34,74.73,42155514.0
2020-09-24,,77.25,73.9,75.82,57540926.0
2020-09-25,,78.2,74.67,78.055,48206242.0
2020-09-28,,79.57,77.52,79.48,48005488.0
2020-09-29,,82.55,79.3,81.77,61632172.0
2020-09-30,,82.94,80.66,81.99,51532664.0
2020-10-01,,85.25,82.86,84.86,52177123.0
2020-10-02,,84.65,81.66,81.8,52853453.0
2020-10-05,,86.2819,82.55,86.15,47056522.0
2020-10-06,,87.25,83.54,84.48,52725432.0
2020-10-07,,87.79,85.65,86.69,43045723.0
2020-10-08,,88.72,85.95,86.51,54240704.0
2020-10-09,,85.75,82.3465,83.1,80354389.0
2020-10-12,,85.13,83.12,84.29,47669699.0
2020-10-13,,86.09,83.9733,85.28,42764096.0
2020-10-14,,85.96,83.46,84.21,40445635.0
2020-10-15,,84.7201,82.42,83.13,33696414.0
2020-10-16,,83.99,82.41,83.17,31474294.0
2020-10-19,,84.65,81.53,82.0,36667614.0
2020-10-20,,82.69,80.58,81.56,38190665.0
2020-10-21,,81.9299,79.19,79.2,36425409.0
2020-10-22,,80.82,78.42,79.42,38006798.0
2020-10-23,,81.99,79.33,81.96,46557675.0
2020-10-26,,84.97,80.86,82.23,69422075.0
2020-10-27,,82.37,77.57,78.88,156669494.0
2020-10-28,,78.96,75.76,76.4,76529910.0
2020-10-29,,79.18,76.29,78.02,52784087.0
2020-10-30,,77.7,74.23,75.29,51426174.0
2020-11-02,,76.3398,73.7573,74.7,45760659.0
2020-11-03,,77.08,74.6,76.58,41224110.0
2020-11-04,,81.85,78.975,81.35,66579711.0
2020-11-05,,83.5,81.85,83.0,46542267.0
2020-11-06,,86.09,82.67,85.88,53755836.0
2020-11-09,,87.05,82.77,83.12,58535684.0
2020-11-10,,82.13,77.63,77.99,67137196.0
2020-11-11,,81.47,78.97,81.28,44611250.0
2020-11-12,,83.0,80.3,81.84,37303106.0
2020-11-13,,83.11,80.7,81.43,30448461.0
2020-11-16,,83.78,80.48,83.73,38640842.0
2020-11-17,,84.81,82.91,83.36,29473512.0
2020-11-18,,83.955,82.22,82.54,29967958.0
2020-11-19,,85.64,81.72,85.54,50116759.0
2020-11-20,,86.1,84.47,84.64,35008427.0
2020-11-23,,87.54,84.615,85.31,46504964.0
2020-11-24,,86.11,83.32,85.07,36839174.0
2020-11-25,,87.84,85.52,86.71,41349727.0
2020-11-27,,88.0,86.3598,87.19,22717638.0
2020-11-30,,92.74,86.53,92.66,84482979.0
2020-12-01,,93.9,90.78,92.63,58595527.0
2020-12-02,,96.37,92.5253,93.74,57988822.0
2020-12-03,,94.7,92.01,92.31,35859716.0
2020-12-04,,94.58,90.63,94.04,44570273.0
2020-12-07,,95.0,92.97,94.07,39215654.0
2020-12-08,,94.74,91.9,92.92,33907510.0
2020-12-09,,94.7,89.16,89.83,52170379.0
2020-12-10,,92.09,89.0297,91.66,33804212.0
2020-12-11,,92.33,90.16,91.65,28368145.0
2020-12-14,,95.41,91.85,94.78,48026426.0
2020-12-15,,97.98,95.45,97.12,57305100.0
2020-12-16,,97.27,95.46,96.85,34909037.0
2020-12-17,,97.92,96.25,96.84,31823734.0
2020-12-18,,97.68,93.56,95.92,51823103.0
2020-12-21,,95.28,91.08,93.23,47093891.0
2020-12-22,,93.55,90.53,93.16,35665336.0
2020-12-23,,93.13,91.46,91.55,25993348.0
2020-12-24,,92.51,91.31,91.81,16705909.0
2020-12-28,,93.14,90.82,91.6,30627297.0
2020-12-29,,92.46,89.4301,90.62,31748211.0
2020-12-30,,92.85,90.19,92.29,25844973.0
2020-12-31,,92.3,90.87,91.71,24930684.0
2021-01-04,,96.06,90.915,92.3,51802552.0
2021-01-05,,93.2077,91.41,92.77,34207989.0
2021-01-06,,92.28,89.46,90.33,51911657.0
2021-01-07,,95.51,91.2,95.16,42849157.0
2021-01-08,,96.4,93.27,94.58,39816400.0
2021-01-11,,99.23,93.76,97.25,48669103.0
2021-01-12,,98.97,94.07,95.355,67672311.0
2021-01-13,,93.89,90.84,91.78,60712896.0
2021-01-14,,92.36,90.45,90.79,53408241.0
2021-01-15,,91.59,87.86,88.21,49340338.0
2021-01-19,,89.58,87.24,89.45,44214605.0
2021-01-20,,90.78,88.6,88.75,35185810.0
2021-01-21,,92.07,88.43,91.53,54596079.0
2021-01-22,,95.95,91.88,92.79,71294607.0
2021-01-25,,95.74,91.4,94.13,55086943.0
2021-01-26,,95.7171,93.63,94.71,59424653.0
2021-01-27,,91.88,86.22,88.84,73337493.0
2021-01-28,,89.88,87.3,87.52,47048362.0
2021-01-29,,88.33,85.02,85.64,56735828.0
2021-02-01,,87.95,84.66,87.66,42359344.0
2021-02-02,,89.28,86.95,88.86,33849979.0
2021-02-03,,89.48,87.34,87.89,31812885.0
2021-02-04,,88.6,87.06,87.84,30773241.0
2021-02-05,,88.36,86.875,87.9,30246177.0
2021-02-08,,91.99,87.98,91.47,47639887.0
2021-02-09,,93.3,90.55,90.91,37396446.0
2021-02-10,,93.27,90.46,92.35,42441300.0
2021-02-11,,93.65,91.33,92.66,35571025.0
2021-02-12,,94.22,91.9,93.77,38538353.0
2021-02-16,,94.0,90.7499,91.46,35105917.0
2021-02-17,,90.96,88.5701,89.94,32284075.0
2021-02-18,,89.6,87.31,88.64,35624948.0
2021-02-19,,90.4163,88.69,89.58,29548273.0
2021-02-22,,88.3,85.21,85.37,36930182.0
2021-02-23,,85.11,79.36,84.74,49687314.0
2021-02-24,,87.09,82.81,86.94,40821150.0
2021-02-25,,87.09,81.92,82.42,54625140.0
2021-02-26,,85.59,82.91,84.51,48958972.0
2021-03-01,,86.5,83.97,86.39,32453631.0
2021-03-02,,86.95,84.04,84.13,34828157.0
2021-03-03,,84.38,80.85,80.86,43541041.0
2021-03-04,,81.8067,76.78,77.75,60549371.0
2021-03-05,,79.48,74.2,78.52,58188912.0
2021-03-08,,79.0,73.86,73.96,54563874.0
2021-03-09,,79.215,75.77,78.53,45088336.0
2021-03-10,,80.04,77.41,77.52,45416616.0
2021-03-11,,81.89,79.37,81.23,43568419.0
2021-03-12,,81.19,79.23,81.05,32937950.0
2021-03-15,,83.39,81.2,82.5,39355424.0
2021-03-16,,84.75,82.255,82.75,42971552.0
2021-03-17,,83.25,80.411,82.63,43320573.0
2021-03-18,,81.62,78.01,78.12,51036502.0
2021-03-19,,79.34,77.59,79.06,42283391.0
2021-03-22,,81.265,79.22,80.3,39648614.0
2021-03-23,,80.34,77.95,78.38,40351635.0
2021-03-24,,78.8,76.4,76.48,43753642.0
2021-03-25,,76.95,74.96,76.22,44705103.0
2021-03-26,,77.4995,75.03,77.41,47648659.0
2021-03-29,,78.02,76.26,77.14,37144298.0
2021-03-30,,76.56,74.85,76.0,38143000.0
2021-03-31,,79.13,76.52,78.5,42659455.0
2021-04-01,,81.31,79.48,81.09,40182380.0
2021-04-05,,81.9,80.39,81.43,32610554.0
2021-04-06,,82.455,80.88,81.44,29327948.0
2021-04-07,,83.1,80.35,82.2,35590925.0
2021-04-08,,83.79,82.435,83.35,41425284.0
2021-04-09,,83.59,82.16,82.76,32759867.0
2021-04-12,,82.18,78.03,78.58,62098804.0
2021-04-13,,80.72,78.98,80.19,37767257.0
2021-04-14,,80.13,77.935,78.55,34263832.0
2021-04-15,,83.95,79.97,83.01,68942819.0
2021-04-16,,83.59,81.53,82.15,47280570.0
2021-04-19,,83.18,80.39,81.11,38940461.0
2021-04-20,,81.11,78.51,79.27,34977750.0
2021-04-21,,81.66,78.86,81.61,34709955.0
2021-04-22,,81.79,78.59,79.06,38776500.0
2021-04-23,,83.3,79.96,82.76,49267281.0
2021-04-26,,85.9,82.7,85.41,57594535.0
2021-04-27,,87.15,85.13,85.21,61847615.0
2021-04-28,,89.2,83.92,84.02,108420306.0
2021-04-29,,85.27,82.63,83.91,51294528.0
2021-04-30,,84.1,81.415,81.62,46601858.0
2021-05-03,,82.0,78.46,78.55,66323268.0
2021-05-04,,78.67,77.04,78.61,58544328.0
2021-05-05,,79.3,77.36,77.83,42310154.0
2021-05-06,,78.0599,76.47,77.89,38661325.0
2021-05-07,,79.5718,78.22,78.81,36948179.0
2021-05-10,,78.3,75.92,75.99,43105465.0
2021-05-11,,76.93,72.75,76.83,51008239.0
2021-05-12,,76.13,74.16,74.64,42531103.0
2021-05-13,,75.7,72.5,73.09,48646754.0
2021-05-14,,75.0274,72.72,74.59,38347537.0
2021-05-17,,75.52,73.41,74.65,40779244.0
2021-05-18,,75.7699,74.24,74.44,31914482.0
2021-05-19,,76.97,72.76,76.23,72366162.0
2021-05-20,,78.27,76.25,78.06,49135012.0
2021-05-21,,78.81,77.04,77.17,40201088.0
2021-05-24,,78.01,76.8,77.44,33194287.0
2021-05-25,,78.77,76.8365,77.86,47293101.0
2021-05-26,,78.59,77.59,78.34,30353997.0
2021-05-27,,78.43,77.47,78.42,35864319.0
2021-05-28,,81.09,78.66,80.08,40952663.0
2021-06-01,,82.91,80.66,80.81,43433042.0
2021-06-02,,82.6,80.66,81.97,35186724.0
2021-06-03,,81.89,80.26,80.28,29800869.0
2021-06-04,,82.19,80.81,81.58,26387799.0
2021-06-07,,81.68,80.38,81.35,28993282.0
2021-06-08,,82.645,80.45,80.89,26956625.0
2021-06-09,,81.677,79.8,79.96,28454646.0
2021-06-10,,81.71,79.7,81.56,28606356.0
2021-06-11,,82.33,80.7,81.31,24310894.0
2021-06-14,,81.55,80.2,81.55,27830243.0
2021-06-15,,81.68,80.225,80.47,26194342.0
2021-06-16,,81.45,78.96,80.11,29598309.0
2021-06-17,,85.37,80.57,84.56,77791323.0
2021-06-18,,85.77,83.48,84.65,58536805.0
2021-06-21,,84.19,82.21,82.59,44417112.0
2021-06-22,,84.04,82.48,83.58,32107700.0
2021-06-23,,84.485,83.1603,83.82,24484435.0
2021-06-24,,87.1399,84.365,86.1,42217665.0
2021-06-25,,86.36,85.1,85.62,27804535.0
2021-06-28,,88.0,86.15,87.08,30262042.0
2021-06-29,,90.3,86.66,89.52,45811930.0
2021-06-30,,94.335,90.6,93.93,70697525.0
2021-07-01,,94.175,91.7,93.31,58059019.0
2021-07-02,,95.27,92.205,94.7,51342975.0
2021-07-06,,95.41,93.32,94.47,44930119.0
2021-07-07,,95.44,90.31,90.54,51498481.0
2021-07-08,,90.3399,87.45,89.74,45660654.0
2021-07-09,,91.26,88.53,90.9,35246321.0
2021-07-12,,91.9,89.65,90.81,28526559.0
2021-07-13,,91.41,89.8299,90.26,30367595.0
2021-07-14,,91.395,88.94,89.05,28108505.0
2021-07-15,,89.78,86.1801,86.93,38944741.0
2021-07-16,,88.03,85.68,85.89,35851920.0
2021-07-19,,87.2294,84.24,86.58,39244796.0
2021-07-20,,87.77,85.165,87.11,27900956.0
2021-07-21,,89.49,86.9,89.41,29468164.0
2021-07-22,,91.36,89.08,91.21,32730078.0
2021-07-23,,92.37,90.19,92.15,31695777.0
2021-07-26,,92.75,91.12,91.82,27668459.0
2021-07-27,,94.1,89.1,91.03,68893021.0
2021-07-28,,98.71,89.65,97.93,140498268.0
2021-07-29,,105.74,96.58,102.95,163939113.0
2021-07-30,,106.97,101.38,106.19,125632018.0
2021-08-02,,110.33,103.83,108.63,115581854.0
2021-08-03,,114.85,107.66,112.56,157723142.0
2021-08-04,,122.49,114.16,118.77,225368699.0
2021-08-05,,117.68,111.59,112.35,137860865.0
2021-08-06,,116.2599,109.7,110.11,143899026.0
2021-08-09,,112.33,107.06,107.58,115738243.0
2021-08-10,,109.17,104.36,106.48,113012297.0
2021-08-11,,109.79,105.62,107.68,91783349.0
2021-08-12,,108.44,105.86,106.5,60590725.0
2021-08-13,,111.71,106.57,110.55,100135745.0
