date,open,high,low,close,volume
2020-08-06,,96.265,94.48,95.92,2749495.0
2020-08-07,,99.3,94.95,99.16,4723206.0
2020-08-10,,102.645,99.26,101.62,5315614.0
2020-08-11,,105.7,102.96,103.26,4842268.0
2020-08-12,,104.8,100.68,101.68,3467035.0
2020-08-13,,101.83,99.5,100.42,3306365.0
2020-08-14,,101.29,99.27,100.41,2017630.0
2020-08-17,,100.0,97.44,97.55,7536254.0
2020-08-18,,98.83,96.47,96.67,3389048.0
2020-08-19,,97.9148,95.89,96.89,3124224.0
2020-08-20,,97.5755,95.68,96.72,3141607.0
2020-08-21,,97.65,95.96,96.15,2967459.0
2020-08-24,,99.37,96.39,99.33,4197651.0
2020-08-25,,100.79,98.0282,99.05,3007294.0
2020-08-26,,99.14,97.81,98.4,2977140.0
2020-08-27,,102.14,98.53,101.53,4025781.0
2020-08-28,,102.9,100.74,102.54,4430498.0
2020-08-31,,102.9,101.36,101.59,4725741.0
2020-09-01,,102.78,100.16,102.47,3212525.0
2020-09-02,,104.87,102.29,104.4,3591391.0
2020-09-03,,109.03,103.85,104.46,6826227.0
2020-09-04,,108.275,104.48,105.67,5306537.0
2020-09-08,,105.08,103.3,103.67,4600122.0
2020-09-09,,104.71,102.69,103.78,2527978.0
2020-09-10,,105.11,102.31,102.77,3329775.0
2020-09-11,,103.85,102.0105,103.36,2635449.0
2020-09-14,,107.69,104.22,107.27,3648017.0
2020-09-15,,108.12,106.24,106.68,3419131.0
2020-09-16,,107.49,104.69,105.98,5845993.0
2020-09-17,,105.35,103.3201,104.66,3271445.0
2020-09-18,,106.12,103.31,103.44,7345900.0
2020-09-21,,100.63,96.215,98.17,8420317.0
2020-09-22,,99.7847,96.41,98.48,4961455.0
2020-09-23,,97.1,95.09,95.56,9598593.0
2020-09-24,,96.8988,93.71,95.45,4308944.0
2020-09-25,,96.85,94.46,96.26,2823097.0
2020-09-28,,99.725,98.63,98.82,4089031.0
2020-09-29,,99.35,97.23,97.75,3233636.0
2020-09-30,,101.52,98.23,100.25,5106840.0
2020-10-01,,101.48,99.37,101.33,4235250.0
2020-10-02,,103.14,98.63,101.61,3849296.0
2020-10-05,,104.08,102.27,103.89,2921194.0
2020-10-06,,105.29,101.32,101.76,3382795.0
2020-10-07,,104.1546,102.39,103.38,3116524.0
2020-10-08,,106.14,104.06,106.06,2967196.0
2020-10-09,,107.21,105.235,106.34,3520201.0
2020-10-12,,107.01,106.0,106.61,2685721.0
2020-10-13,,106.59,104.76,105.01,2666639.0
2020-10-14,,106.27,104.76,104.81,2859413.0
2020-10-15,,104.89,103.02,104.43,2852689.0
2020-10-16,,105.68,104.2,104.91,2575579.0
2020-10-19,,105.22,102.25,102.47,3280225.0
2020-10-20,,104.61,102.83,103.14,2982034.0
2020-10-21,,103.385,101.355,101.43,2627310.0
2020-10-22,,104.86,101.5701,104.79,3814643.0
2020-10-23,,103.64,100.0,100.98,9033760.0
2020-10-26,,100.1,95.78,96.88,5780675.0
2020-10-27,,97.7,94.9,94.93,3844638.0
2020-10-28,,93.57,91.0,91.6,7134874.0
2020-10-29,,92.23,90.13,91.07,5465645.0
2020-10-30,,91.32,89.11,91.24,4785030.0
2020-11-02,,94.13,92.27,93.4,3642919.0
2020-11-03,,96.8481,94.4,96.29,4057700.0
2020-11-04,,97.82,92.86,96.4,4596406.0
2020-11-05,,98.32,96.84,98.11,4241522.0
2020-11-06,,98.64,96.27,96.69,3172180.0
2020-11-09,,119.81,110.19,117.37,17576311.0
2020-11-10,,119.89,115.12,115.95,7382163.0
2020-11-11,,116.0,110.302,111.12,5723419.0
2020-11-12,,112.12,109.5523,111.1,4989900.0
2020-11-13,,115.635,112.21,114.99,4849218.0
2020-11-16,,120.39,116.75,118.67,5467488.0
2020-11-17,,117.79,114.14,116.48,4073144.0
2020-11-18,,118.76,114.19,114.24,3302276.0
2020-11-19,,114.8,112.53,114.14,3328870.0
2020-11-20,,114.54,111.9,112.58,3820840.0
2020-11-23,,116.78,113.72,116.09,3073790.0
2020-11-24,,120.84,117.89,120.39,6273230.0
2020-11-25,,120.98,118.25,120.58,4669363.0
2020-11-27,,121.69,119.79,120.59,2447715.0
2020-11-30,,121.4848,118.0,118.59,3565742.0
2020-12-01,,122.57,119.85,119.93,3646240.0
2020-12-02,,122.85,118.9,122.33,3325803.0
2020-12-03,,123.95,122.115,123.12,4355575.0
2020-12-04,,125.32,123.85,125.04,5110762.0
2020-12-07,,124.87,122.63,123.94,4300771.0
2020-12-08,,124.55,122.02,123.52,3670986.0
2020-12-09,,123.96,121.0065,121.69,3660722.0
2020-12-10,,122.13,119.7,121.84,2857130.0
2020-12-11,,120.5,118.84,120.23,2978389.0
2020-12-14,,121.79,116.65,117.36,5366015.0
2020-12-15,,119.31,115.56,119.1,4565644.0
2020-12-16,,119.59,118.28,119.0,2991573.0
2020-12-17,,119.6691,118.46,118.98,3792216.0
2020-12-18,,119.36,116.65,117.51,9309320.0
2020-12-21,,118.0,113.72,116.41,4620072.0
2020-12-22,,116.26,114.38,114.55,3691830.0
2020-12-23,,118.19,115.78,116.95,2762511.0
2020-12-24,,117.44,115.82,117.35,706966.0
2020-12-28,,119.35,117.6,118.36,1901376.0
2020-12-29,,119.35,118.0,118.14,1887572.0
2020-12-30,,119.948,118.15,119.43,1985356.0
2020-12-31,,121.06,119.16,120.91,1757787.0
2021-01-04,,121.8,116.85,118.04,3527780.0
2021-01-05,,119.28,117.1,118.67,2146041.0
2021-01-06,,124.73,120.81,123.06,5920858.0
2021-01-07,,125.6873,117.3501,121.66,8755606.0
2021-01-08,,122.195,119.52,121.78,2987604.0
2021-01-11,,121.41,119.39,121.06,3351741.0
2021-01-12,,122.315,120.7201,121.62,2705497.0
2021-01-13,,123.89,121.16,122.4,3719216.0
2021-01-14,,124.5,122.085,123.78,3433673.0
2021-01-15,,122.86,121.71,122.15,4190776.0
2021-01-19,,128.06,124.24,126.75,5918176.0
2021-01-20,,129.54,127.07,128.94,4171374.0
2021-01-21,,128.89,126.1,127.43,3708746.0
2021-01-22,,127.055,124.88,126.14,3017700.0
2021-01-25,,125.0,120.32,121.15,6218703.0
2021-01-26,,120.29,115.72,116.15,9068056.0
2021-01-27,,116.8,112.0985,114.09,5906524.0
2021-01-28,,120.3799,116.6,118.97,5893987.0
2021-01-29,,118.39,115.81,116.26,5130025.0
2021-02-01,,119.29,117.0,117.03,3414021.0
2021-02-02,,122.42,118.28,120.7,4091029.0
2021-02-03,,120.98,119.5604,120.44,2821682.0
2021-02-04,,125.41,120.8,124.9,3970740.0
2021-02-05,,127.34,125.63,126.28,3265201.0
2021-02-08,,128.4,126.745,127.99,3398260.0
2021-02-09,,127.66,126.2,126.68,2204444.0
2021-02-10,,128.7,126.84,128.23,2973798.0
2021-02-11,,129.12,126.98,128.31,3773343.0
2021-02-12,,130.46,128.0,129.62,2898547.0
2021-02-16,,130.91,128.25,130.68,2804718.0
2021-02-17,,131.16,128.44,128.56,3261146.0
2021-02-18,,128.83,126.075,128.49,2306326.0
2021-02-19,,133.36,129.49,131.71,3534934.0
2021-02-22,,136.47,131.37,135.95,3936495.0
2021-02-23,,138.31,134.28,136.94,4907678.0
2021-02-24,,140.95,136.81,139.89,4139123.0
2021-02-25,,140.64,136.37,137.08,3661106.0
2021-02-26,,138.25,133.79,135.26,3686290.0
2021-03-01,,139.77,138.12,138.71,3042981.0
2021-03-02,,140.19,138.08,139.25,2965860.0
2021-03-03,,144.25,140.0,142.59,4440402.0
2021-03-04,,144.11,139.95,142.68,4525401.0
2021-03-05,,147.96,142.08,147.33,5101663.0
2021-03-08,,151.46,146.72,150.27,4345414.0
2021-03-09,,149.08,144.11,145.1,5893337.0
2021-03-10,,148.29,145.4401,146.75,3094491.0
2021-03-11,,147.82,145.13,147.75,3202147.0
2021-03-12,,150.64,148.02,148.54,2458837.0
2021-03-15,,148.92,146.03,146.99,2647175.0
2021-03-16,,147.265,142.82,143.3,4077950.0
2021-03-17,,144.82,141.9,144.68,3322973.0
2021-03-18,,145.5,142.07,142.58,3227816.0
2021-03-19,,141.94,139.7358,140.71,5985168.0
2021-03-22,,140.99,138.81,139.95,2330372.0
2021-03-23,,139.5,135.125,136.08,4929969.0
2021-03-24,,140.04,137.6142,138.42,2699292.0
2021-03-25,,142.53,136.76,142.28,2807067.0
2021-03-26,,143.98,141.0506,143.73,2733097.0
2021-03-29,,143.07,140.31,142.37,2250980.0
2021-03-30,,144.48,142.61,143.49,2071080.0
2021-03-31,,143.26,141.35,141.44,2997204.0
2021-04-01,,144.63,142.205,144.57,2672146.0
2021-04-05,,147.48,145.61,146.06,3012444.0
2021-04-06,,146.53,144.38,146.15,2920813.0
2021-04-07,,148.36,145.72,147.13,2452118.0
2021-04-08,,147.16,144.68,147.04,2351529.0
2021-04-09,,148.44,146.69,147.78,1828099.0
2021-04-12,,147.77,146.41,147.57,1924430.0
2021-04-13,,146.605,143.84,145.99,2173024.0
2021-04-14,,148.75,145.7,147.42,2182759.0
