date,open,high,low,close,volume
2020-08-06,,62.97,60.42,61.33,19223579.0
2020-08-07,,61.65,60.42,61.02,10103545.0
2020-08-10,,61.99,60.77,61.82,9932509.0
2020-08-11,,64.25,62.69,63.13,20977051.0
2020-08-12,,64.27,63.445,63.64,8697265.0
2020-08-13,,63.58,62.9,63.24,7866157.0
2020-08-14,,63.55,62.75,63.16,5719520.0
2020-08-17,,64.075,63.165,63.62,6109524.0
2020-08-18,,63.68,62.9,63.03,5836381.0
2020-08-19,,63.82,62.95,63.09,6234108.0
2020-08-20,,62.86,61.93,62.22,6418456.0
2020-08-21,,62.35,61.74,62.19,8438247.0
2020-08-24,,62.4563,61.7,62.41,8860517.0
2020-08-25,,63.365,62.5,62.71,6738436.0
2020-08-26,,62.5901,61.58,62.28,6301820.0
2020-08-27,,62.96,62.24,62.51,6476674.0
2020-08-28,,62.59,61.85,62.37,6448064.0
2020-08-31,,62.8,61.95,62.2,14260779.0
2020-09-01,,62.26,60.69,60.97,12301452.0
2020-09-02,,61.82,60.46,61.6,13429360.0
2020-09-03,,62.02,59.53,60.05,16590121.0
2020-09-04,,60.53,59.25,59.95,16513084.0
2020-09-08,,60.0,58.14,58.53,11908303.0
2020-09-09,,59.6,58.76,59.08,7309839.0
2020-09-10,,59.3,58.18,58.29,12119358.0
2020-09-11,,59.265,58.43,58.99,8645079.0
2020-09-14,,60.09,59.07,59.7,6315643.0
2020-09-15,,60.11,59.39,59.53,8368992.0
2020-09-16,,59.97,59.2402,59.45,6262231.0
2020-09-17,,59.43,58.26,59.4,6756773.0
2020-09-18,,59.715,58.8275,59.27,15443749.0
2020-09-21,,58.96,56.9,57.77,16302555.0
2020-09-22,,58.845,57.63,58.76,12647113.0
2020-09-23,,59.495,58.62,58.99,11532125.0
2020-09-24,,58.82,57.7,58.25,10468891.0
2020-09-25,,59.84,58.1567,59.49,9937083.0
2020-09-28,,60.21,58.96,59.71,9728257.0
2020-09-29,,60.94,59.68,59.9,8188105.0
2020-09-30,,60.64,59.79,60.29,10401060.0
2020-10-01,,60.57,59.625,59.82,8906677.0
2020-10-02,,60.01,58.68,58.72,12711150.0
2020-10-05,,59.28,57.95,59.2,11141891.0
2020-10-06,,59.46,57.61,57.74,13234702.0
2020-10-07,,60.98,57.96,60.42,14818830.0
2020-10-08,,62.09,60.46,61.62,11917401.0
2020-10-09,,62.295,61.605,61.82,9502625.0
2020-10-12,,62.25,61.48,61.83,11722005.0
2020-10-13,,62.01,60.98,61.13,8545464.0
2020-10-14,,61.63,60.721,61.0,8952551.0
2020-10-15,,60.9,60.31,60.42,13203274.0
2020-10-16,,61.74,60.65,61.24,9964797.0
2020-10-19,,62.42,60.5051,60.77,11144185.0
2020-10-20,,61.2684,60.53,60.64,6769320.0
2020-10-21,,60.75,59.95,60.03,8122513.0
2020-10-22,,61.01,59.95,60.76,7103389.0
2020-10-23,,61.22,60.0717,60.13,7426741.0
2020-10-26,,60.14,59.035,59.67,7572049.0
2020-10-27,,59.84,58.56,58.74,10115392.0
2020-10-28,,58.54,57.4,57.76,12038742.0
2020-10-29,,58.43,56.754,57.92,8950608.0
2020-10-30,,58.48,57.59,58.45,11218769.0
2020-11-02,,59.64,58.84,59.49,10516790.0
2020-11-03,,62.24,60.21,61.24,14398287.0
2020-11-04,,66.23,63.75,65.43,25159429.0
