date,open,high,low,close,volume
2020-08-06,,51.29,50.58,50.89,11158105.0
2020-08-07,,52.23,50.13,52.12,21638313.0
2020-08-10,,53.205,52.25,52.86,17048050.0
2020-08-11,,55.027,53.54,53.76,25607942.0
2020-08-12,,55.0185,52.745,53.35,19601736.0
2020-08-13,,53.48,52.57,52.89,13978361.0
2020-08-14,,53.345,52.355,52.93,14089272.0
2020-08-17,,52.82,51.35,51.42,20035624.0
2020-08-18,,51.53,50.28,50.34,17261009.0
2020-08-19,,51.33,50.0,50.29,21193810.0
2020-08-20,,50.015,49.23,49.58,16138933.0
2020-08-21,,50.08,49.1599,49.3,17895340.0
2020-08-24,,51.13,49.45,51.06,19941906.0
2020-08-25,,52.505,50.97,51.65,17503609.0
2020-08-26,,51.79,50.815,50.85,14803367.0
2020-08-27,,52.2101,50.65,51.72,19603169.0
2020-08-28,,52.37,51.525,52.28,17308922.0
2020-08-31,,52.04,51.1,51.12,16515524.0
2020-09-01,,51.565,50.54,51.2,17169533.0
2020-09-02,,52.14,50.6575,51.95,15554769.0
2020-09-03,,53.64,51.23,51.5,25259918.0
2020-09-04,,53.36,51.44,52.52,25392445.0
2020-09-08,,52.09,50.6599,51.04,28402264.0
2020-09-09,,51.59,50.615,51.4,19423117.0
2020-09-10,,52.5,50.7,50.95,22433612.0
2020-09-11,,51.685,50.8,51.0,21194669.0
2020-09-14,,52.08,47.9,48.15,59018751.0
2020-09-15,,48.39,44.67,44.81,85558805.0
2020-09-16,,46.76,44.62,46.02,46173140.0
2020-09-17,,45.83,45.01,45.53,29082309.0
2020-09-18,,45.96,44.755,44.86,35031473.0
2020-09-21,,44.155,43.07,43.93,33980368.0
2020-09-22,,44.13,43.075,43.29,26203042.0
2020-09-23,,43.95,41.79,41.85,28988784.0
2020-09-24,,42.595,41.29,42.19,31729323.0
2020-09-25,,42.13,41.52,42.02,26948636.0
2020-09-28,,43.88,42.89,43.34,21566263.0
2020-09-29,,43.29,42.02,42.42,20880614.0
2020-09-30,,43.59,42.5,43.11,22830794.0
2020-10-01,,43.65,42.6,43.44,22116066.0
2020-10-02,,43.87,42.52,43.66,24296062.0
2020-10-05,,45.23,44.21,44.91,24405116.0
2020-10-06,,46.06,44.16,44.41,29863395.0
2020-10-07,,45.63,44.61,44.84,22539737.0
2020-10-08,,45.17,44.28,44.72,29061178.0
2020-10-09,,45.59,44.69,44.93,25917850.0
2020-10-12,,45.99,44.95,45.88,24485641.0
2020-10-13,,46.12,43.55,43.68,50474669.0
2020-10-14,,44.235,43.0,43.03,30773468.0
2020-10-15,,43.635,42.25,43.61,26733879.0
2020-10-16,,43.88,43.08,43.19,26749970.0
2020-10-19,,43.39,42.81,42.9,23078700.0
2020-10-20,,44.08,43.34,43.52,21517724.0
2020-10-21,,43.7299,42.9,43.01,20062406.0
2020-10-22,,43.99,42.66,43.95,21595739.0
2020-10-23,,44.57,43.665,43.95,18662224.0
2020-10-26,,43.4,42.81,43.26,25126920.0
2020-10-27,,43.04,41.87,41.88,24514561.0
2020-10-28,,41.59,40.745,41.13,27909800.0
2020-10-29,,42.15,40.71,41.66,23576306.0
2020-10-30,,41.54,40.49,41.42,27153978.0
2020-11-02,,42.67,41.2,42.21,24580947.0
2020-11-03,,44.02,43.06,43.53,30303954.0
2020-11-04,,43.41,41.895,42.08,26312544.0
2020-11-05,,43.58,42.18,43.07,25200300.0
2020-11-06,,43.61,42.5,42.71,17842190.0
2020-11-09,,48.78,46.26,47.64,58257637.0
2020-11-10,,48.75,47.45,47.65,34248116.0
2020-11-11,,49.29,47.68,48.93,30106548.0
2020-11-12,,48.41,47.71,48.28,28675106.0
2020-11-13,,49.065,48.4,48.66,18900045.0
2020-11-16,,51.02,49.855,50.4,27586826.0
2020-11-17,,50.93,49.48,50.73,19336414.0
2020-11-18,,52.645,51.01,51.05,26219608.0
2020-11-19,,52.32,50.95,52.14,20671577.0
2020-11-20,,52.11,51.19,51.65,16138708.0
2020-11-23,,53.63,52.29,53.3,29244689.0
2020-11-24,,57.14,54.48,57.06,33662713.0
2020-11-25,,57.16,55.33,57.06,28935355.0
2020-11-27,,57.24,56.12,56.67,14228076.0
2020-11-30,,56.54,54.995,55.07,23607752.0
2020-12-01,,56.74,55.4,55.47,24147790.0
2020-12-02,,57.415,55.25,57.2,26931564.0
2020-12-03,,57.445,56.2,56.58,19029278.0
2020-12-04,,58.82,57.31,58.62,24940353.0
2020-12-07,,58.61,57.28,58.13,21535531.0
2020-12-08,,58.4,57.36,58.36,15758674.0
2020-12-09,,59.55,58.3,58.95,27620297.0
2020-12-10,,60.785,58.01,60.5,26070346.0
2020-12-11,,59.81,58.18,58.93,21232819.0
2020-12-14,,60.255,58.73,58.74,19958253.0
2020-12-15,,59.859,58.57,59.67,16468799.0
2020-12-16,,60.14,59.36,59.75,15151731.0
2020-12-17,,60.29,59.5699,60.05,18132761.0
2020-12-18,,60.3,58.71,59.06,30618387.0
2020-12-21,,61.82,59.81,61.23,32498255.0
2020-12-22,,61.1393,59.155,59.26,18166626.0
2020-12-23,,61.31,59.79,60.78,16921915.0
2020-12-24,,61.09,59.88,60.57,6824395.0
2020-12-28,,61.93,60.49,61.13,14618716.0
2020-12-29,,61.3999,60.55,60.91,10985272.0
2020-12-30,,61.265,60.67,60.86,10871324.0
2020-12-31,,61.85,60.53,61.66,12594562.0
2021-01-04,,61.7083,59.73,60.14,21674520.0
2021-01-05,,62.0,60.04,61.7,20450543.0
2021-01-06,,66.6,63.95,65.25,39000196.0
2021-01-07,,68.1,66.01,66.02,24672675.0
2021-01-08,,66.21,64.34,65.37,21058899.0
2021-01-11,,66.62,64.33,66.44,20793238.0
2021-01-12,,67.74,66.24,66.67,20506896.0
2021-01-13,,67.215,65.9884,66.86,18885441.0
2021-01-14,,69.425,67.17,69.01,29420630.0
2021-01-15,,67.6499,64.09,64.23,38957680.0
2021-01-19,,65.25,62.91,63.69,27699411.0
2021-01-20,,63.82,62.835,63.25,17785196.0
2021-01-21,,63.335,61.74,61.87,19691561.0
2021-01-22,,61.83,60.19,61.33,25119189.0
2021-01-25,,60.77,59.17,60.56,26153009.0
2021-01-26,,61.24,60.087,60.91,19061200.0
2021-01-27,,60.0,58.53,59.4,25042847.0
2021-01-28,,61.06,59.63,60.34,20207380.0
2021-01-29,,60.2,57.69,57.99,27400737.0
2021-02-01,,58.67,57.4,58.43,16337466.0
2021-02-02,,60.25,59.3,59.58,18941045.0
2021-02-03,,61.15,59.32,61.1,19011569.0
2021-02-04,,62.63,61.42,62.41,16856523.0
2021-02-05,,63.08,62.07,62.58,13712783.0
2021-02-08,,63.71,62.85,63.65,15287122.0
2021-02-09,,63.87,62.515,63.12,12642100.0
2021-02-10,,63.9899,62.98,63.62,12919671.0
2021-02-11,,63.87,61.925,63.2,12265771.0
2021-02-12,,64.02,62.89,63.63,12352736.0
2021-02-16,,65.07,63.835,64.12,19543732.0
2021-02-17,,64.905,63.45,64.76,18110672.0
2021-02-18,,64.55,63.09,63.48,14887844.0
2021-02-19,,65.99,64.05,65.78,20880768.0
2021-02-22,,66.895,65.29,65.52,23347632.0
2021-02-23,,66.915,64.86,66.74,27103233.0
2021-02-24,,68.68,67.0,68.6,21090821.0
2021-02-25,,69.38,66.89,67.41,25612365.0
2021-02-26,,67.595,65.54,65.88,24564342.0
2021-03-01,,69.985,67.98,69.54,28542383.0
2021-03-02,,69.99,68.85,68.91,19570551.0
2021-03-03,,71.49,69.3,70.38,25411397.0
2021-03-04,,71.78,67.89,69.81,28906772.0
2021-03-05,,71.27,68.4401,70.23,25723661.0
2021-03-08,,72.84,70.86,72.22,27612284.0
2021-03-09,,72.485,70.04,70.99,24830331.0
2021-03-10,,73.88,71.2,73.75,21624803.0
2021-03-11,,74.275,72.55,73.31,17928422.0
2021-03-12,,75.25,74.1,75.18,17453328.0
2021-03-15,,75.59,73.275,74.22,19281991.0
2021-03-16,,73.625,72.315,73.33,16019701.0
2021-03-17,,74.34,72.74,73.6,19563245.0
2021-03-18,,76.13,73.45,73.84,24132011.0
2021-03-19,,73.5802,71.522,73.01,25537842.0
2021-03-22,,72.6,71.64,71.96,15258144.0
2021-03-23,,72.64,70.505,70.91,16375943.0
2021-03-24,,72.48,70.06,70.08,17278097.0
2021-03-25,,71.92,69.15,71.72,18599019.0
2021-03-26,,73.24,72.0,73.02,15937041.0
2021-03-29,,72.15,70.37,71.58,17955530.0
2021-03-30,,73.22,72.0,72.96,15806654.0
2021-03-31,,73.83,72.46,72.75,15425920.0
2021-04-01,,73.29,72.22,73.14,15434400.0
2021-04-05,,74.34,72.44,72.75,16321009.0
2021-04-06,,73.065,72.05,72.6,13142650.0
2021-04-07,,73.12,71.95,72.69,14212884.0
2021-04-08,,72.525,71.085,72.33,13963029.0
2021-04-09,,73.01,72.01,72.42,14798345.0
2021-04-12,,72.8,72.14,72.69,12194574.0
2021-04-13,,72.42,71.065,72.06,16353471.0
2021-04-14,,73.29,71.3793,72.91,19684520.0
2021-04-15,,74.73,71.76,72.54,31882226.0
2021-04-16,,73.57,71.69,72.45,29120040.0
2021-04-19,,72.835,71.95,72.13,19851033.0
2021-04-20,,71.55,69.27,69.79,22255936.0
2021-04-21,,70.705,68.405,70.65,16580144.0
2021-04-22,,70.75,69.67,69.81,16256040.0
2021-04-23,,71.54,69.51,71.38,19003617.0
2021-04-26,,72.81,71.61,72.2,13278564.0
2021-04-27,,73.1,72.36,72.99,13483438.0
2021-04-28,,73.64,72.73,72.91,14607405.0
2021-04-29,,74.02,72.8807,73.84,20732514.0
2021-04-30,,72.74,71.09,71.24,23420946.0
2021-05-03,,72.445,71.39,71.71,16307837.0
2021-05-04,,72.4,70.63,72.33,23236818.0
2021-05-05,,73.81,71.78,73.71,19620782.0
2021-05-06,,74.94,73.42,74.78,19940945.0
2021-05-07,,75.105,73.22,75.08,17444459.0
2021-05-10,,76.839,75.11,75.13,19866489.0
2021-05-11,,75.57,73.91,74.87,21806257.0
2021-05-12,,76.4,73.9,74.23,20091196.0
2021-05-13,,75.88,73.8,75.29,18772141.0
2021-05-14,,76.77,75.66,76.56,14319948.0
2021-05-17,,77.47,76.1,77.42,14809790.0
2021-05-18,,77.69,76.57,76.62,13948156.0
2021-05-19,,76.6474,74.725,76.46,23526127.0
2021-05-20,,76.64,75.36,76.2,15398764.0
2021-05-21,,77.805,76.41,77.65,18895372.0
2021-05-24,,78.355,77.47,78.03,16830814.0
2021-05-25,,79.28,77.19,77.28,20167787.0
2021-05-26,,77.9031,76.68,77.52,15533045.0
2021-05-27,,79.11,77.95,78.76,17628942.0
2021-05-28,,78.97,77.91,78.71,14582834.0
2021-06-01,,80.09,79.34,79.76,15692720.0
2021-06-02,,80.29,79.3783,79.86,15521173.0
2021-06-03,,80.285,79.422,79.63,22397240.0
2021-06-04,,79.87,78.81,79.49,13930051.0
2021-06-07,,79.65,79.015,79.31,12780709.0
2021-06-08,,79.42,77.71,79.08,15722695.0
2021-06-09,,78.78,77.76,78.14,13935980.0
2021-06-10,,79.29,76.83,76.89,15438194.0
2021-06-11,,77.19,76.1,76.48,18231475.0
2021-06-14,,76.77,74.67,75.16,18444551.0
2021-06-15,,75.34,73.25,73.82,25364853.0
2021-06-16,,73.0,70.15,71.46,53683639.0
2021-06-17,,72.61,68.155,68.86,49024948.0
2021-06-18,,68.75,67.13,67.61,46621738.0
2021-06-21,,69.09,67.88,68.45,29481210.0
2021-06-22,,69.41,67.77,68.96,22014048.0
2021-06-23,,70.05,69.075,69.65,20031323.0
2021-06-24,,71.67,69.95,71.32,24392384.0
2021-06-25,,71.85,69.86,71.55,27420958.0
2021-06-28,,71.67,70.46,71.51,18080433.0
2021-06-29,,71.6,69.575,69.68,29181829.0
2021-06-30,,70.81,69.4212,70.75,18787519.0
2021-07-01,,71.21,70.45,71.01,12782665.0
2021-07-02,,71.12,70.11,70.41,13381571.0
2021-07-06,,70.19,67.86,68.21,24858071.0
2021-07-07,,68.37,67.2645,67.93,19690973.0
2021-07-08,,67.14,65.75,66.73,25194375.0
2021-07-09,,68.52,67.6414,68.45,19129340.0
2021-07-12,,69.59,67.3,69.44,19919221.0
2021-07-13,,69.48,68.015,68.37,19187130.0
2021-07-14,,70.78,67.45,68.17,36678684.0
2021-07-15,,69.035,67.44,68.45,19145484.0
2021-07-16,,68.76,66.415,66.9,19641098.0
2021-07-19,,66.07,64.36,65.08,33729671.0
2021-07-20,,66.78,64.78,66.29,20817852.0
2021-07-21,,68.25,66.93,67.89,23317814.0
2021-07-22,,67.79,66.41,66.93,16665203.0
2021-07-23,,67.76,66.52,66.71,13607738.0
2021-07-26,,67.84,66.46,67.77,16644373.0
2021-07-27,,68.4,66.78,67.98,17309331.0
2021-07-28,,68.615,67.485,68.1,20098185.0
2021-07-29,,69.58,68.41,68.81,22261717.0
2021-07-30,,68.52,67.24,67.62,17778220.0
2021-08-02,,69.12,67.64,67.73,16613772.0
2021-08-03,,69.09,66.89,68.88,21041505.0
2021-08-04,,69.25,67.93,68.52,14392807.0
2021-08-05,,69.77,68.77,69.69,14297613.0
2021-08-06,,71.5,70.58,71.07,23889872.0
2021-08-09,,71.9955,70.46,71.52,15619827.0
2021-08-10,,73.34,71.38,72.98,17920057.0
2021-08-11,,74.34,72.93,74.3,18676149.0
2021-08-12,,74.64,73.6285,74.13,14200559.0
2021-08-13,,74.62,72.92,73.11,13362751.0
