date,open,high,low,close,volume
2020-08-06,,135.205,133.695,134.39,2474135.0
2020-08-07,,135.11,132.5162,134.92,2246163.0
2020-08-10,,142.16,135.675,142.02,5211663.0
2020-08-11,,146.2,142.29,142.53,4316187.0
2020-08-12,,144.165,141.33,142.57,2576240.0
2020-08-13,,142.7376,139.77,140.67,2979130.0
2020-08-14,,140.89,138.77,139.96,2089215.0
2020-08-17,,140.6007,138.3,138.72,2318710.0
2020-08-18,,140.11,138.08,138.37,1609309.0
2020-08-19,,139.92,137.46,138.02,1880919.0
2020-08-20,,137.98,135.65,137.48,2342039.0
2020-08-21,,139.0,136.8,138.43,2626083.0
2020-08-24,,142.25,139.08,141.68,2969091.0
2020-08-25,,144.93,140.54,141.15,2522078.0
2020-08-26,,142.44,139.805,141.83,2420120.0
2020-08-27,,144.34,141.28,143.37,3039464.0
2020-08-28,,145.85,142.69,143.63,3729843.0
2020-08-31,,143.6,142.27,142.31,2917707.0
2020-09-01,,146.12,140.91,146.05,2713625.0
2020-09-02,,149.55,146.4,149.27,4573342.0
2020-09-03,,151.2,145.3001,146.76,4531173.0
2020-09-04,,150.78,146.04,148.18,5193131.0
2020-09-08,,150.76,145.72,148.52,4832047.0
2020-09-09,,155.475,149.21,152.69,5443755.0
2020-09-10,,153.25,148.75,149.86,4441978.0
2020-09-11,,154.4,150.24,153.83,3270940.0
2020-09-14,,154.8,152.205,153.51,2619830.0
2020-09-15,,154.47,148.3575,148.6,4160941.0
2020-09-16,,151.98,148.37,151.11,3350675.0
2020-09-17,,156.25,149.15,153.87,4517144.0
2020-09-18,,156.21,152.0619,152.39,5786772.0
2020-09-21,,149.5,143.87,145.33,4336709.0
2020-09-22,,147.5,144.501,147.15,2615508.0
2020-09-23,,148.91,143.6041,144.38,2447709.0
2020-09-24,,147.4386,142.73,145.14,2168356.0
2020-09-25,,146.7,143.01,145.91,1877333.0
2020-09-28,,150.31,147.41,147.68,2242879.0
2020-09-29,,148.97,146.21,147.41,1656499.0
2020-09-30,,150.95,147.735,149.15,3662272.0
2020-10-01,,150.31,145.65,146.71,2194083.0
2020-10-02,,151.25,143.75,149.94,3273117.0
2020-10-05,,154.45,151.62,153.49,2640182.0
2020-10-06,,155.45,151.28,151.53,2595107.0
2020-10-07,,156.06,153.2,154.77,2372126.0
2020-10-08,,156.73,154.24,156.66,1871672.0
2020-10-09,,159.39,157.4,158.94,4131831.0
2020-10-12,,163.2,159.52,162.61,4351234.0
2020-10-13,,163.18,161.116,162.12,3397915.0
2020-10-14,,164.8213,162.5,163.61,4132872.0
2020-10-15,,165.78,160.15,165.04,3025975.0
2020-10-16,,170.51,166.6224,168.75,5775008.0
2020-10-19,,170.02,166.8,167.53,2810155.0
2020-10-20,,171.26,167.91,168.99,3047597.0
2020-10-21,,170.52,166.74,167.4,2517390.0
2020-10-22,,169.85,166.89,169.66,2394882.0
2020-10-23,,170.65,167.56,168.59,2904301.0
2020-10-26,,166.64,160.83,163.2,4543824.0
2020-10-27,,161.85,157.01,157.91,4921730.0
2020-10-28,,155.43,150.52,151.16,5740383.0
2020-10-29,,155.51,149.6301,154.67,3911703.0
2020-10-30,,157.29,153.04,157.05,4429336.0
2020-11-02,,163.85,157.65,163.27,4126534.0
2020-11-03,,169.0,163.07,167.69,4927747.0
2020-11-04,,162.3799,155.23,155.23,9163946.0
2020-11-05,,164.96,157.6,163.09,4921590.0
2020-11-06,,165.54,160.76,161.29,3049709.0
2020-11-09,,176.37,170.12,170.82,6166129.0
2020-11-10,,174.99,170.77,172.3,3543512.0
2020-11-11,,172.7399,167.47,169.46,2387236.0
2020-11-12,,171.1,167.65,169.13,2221313.0
2020-11-13,,172.22,169.19,171.71,2154699.0
2020-11-16,,175.0,171.83,173.19,3972818.0
2020-11-17,,172.48,170.19,171.91,2138429.0
2020-11-18,,175.3821,172.04,172.74,3219105.0
2020-11-19,,173.25,170.71,172.9,2055155.0
2020-11-20,,173.12,171.31,172.23,2563773.0
2020-11-23,,175.5,173.24,174.78,2441116.0
2020-11-24,,178.32,175.27,176.9,3501197.0
2020-11-25,,176.48,172.7801,174.63,2547061.0
2020-11-27,,175.9199,173.88,175.08,976859.0
2020-11-30,,174.875,172.43,173.59,2420659.0
2020-12-01,,176.57,172.94,173.26,2745293.0
2020-12-02,,174.42,172.28,173.87,2016363.0
2020-12-03,,175.08,173.2801,174.63,2939546.0
2020-12-04,,183.81,175.6236,182.21,6116410.0
2020-12-07,,180.39,176.56,178.71,4650759.0
2020-12-08,,180.7399,177.5,178.84,2041517.0
2020-12-09,,180.4799,177.0,180.07,2949061.0
2020-12-10,,179.5275,177.14,178.85,3142192.0
2020-12-11,,179.78,176.23,179.29,2706478.0
2020-12-14,,183.33,177.7801,178.05,2577127.0
2020-12-15,,182.76,179.02,181.74,2394098.0
2020-12-16,,181.27,178.36,179.5,2075922.0
2020-12-17,,180.73,178.58,179.17,2324433.0
2020-12-18,,181.3028,177.47,180.96,6007589.0
2020-12-21,,180.89,176.32,180.16,2119055.0
2020-12-22,,180.16,176.48,176.58,2525379.0
2020-12-23,,179.29,177.01,178.42,1897918.0
2020-12-24,,179.85,178.35,179.56,585730.0
2020-12-28,,181.12,178.31,178.37,1544672.0
2020-12-29,,179.38,175.11,176.65,1515300.0
2020-12-30,,182.2293,178.685,180.04,2763612.0
2020-12-31,,182.1,178.75,182.02,1734174.0
2021-01-04,,185.98,180.25,182.15,4182753.0
2021-01-05,,185.8,181.21,183.64,2970867.0
2021-01-06,,197.28,186.15,193.86,8135202.0
2021-01-07,,197.37,192.2,194.23,5384214.0
2021-01-08,,195.2599,191.32,194.26,3240943.0
2021-01-11,,195.46,190.31,193.86,2600892.0
2021-01-12,,198.0,193.31,197.54,2516001.0
2021-01-13,,200.1743,195.8,195.89,3212377.0
2021-01-14,,197.91,195.36,197.4,2535525.0
2021-01-15,,195.705,190.88,194.62,3527504.0
2021-01-19,,196.109,193.44,194.06,2420513.0
2021-01-20,,193.9,190.42,192.34,2556113.0
2021-01-21,,193.72,190.0543,192.19,1989215.0
2021-01-22,,192.82,189.31,191.94,2066721.0
2021-01-25,,191.37,186.97,187.34,3891955.0
2021-01-26,,189.41,186.83,187.21,2578045.0
2021-01-27,,185.55,179.3401,180.63,4149006.0
2021-01-28,,187.61,181.31,184.34,3521648.0
2021-01-29,,188.82,180.725,182.84,4612766.0
2021-02-01,,186.8,182.02,184.72,2792803.0
2021-02-02,,192.78,185.64,192.5,5356416.0
2021-02-03,,191.53,189.0611,191.45,3035925.0
2021-02-04,,192.61,190.2,191.65,2301808.0
2021-02-05,,194.33,190.01,193.0,2283948.0
2021-02-08,,197.54,194.67,197.45,2795046.0
2021-02-09,,198.66,194.89,197.28,2372255.0
2021-02-10,,199.71,196.2552,197.72,2700571.0
2021-02-11,,198.42,194.39,198.35,2212394.0
2021-02-12,,198.7559,196.76,197.99,1833138.0
2021-02-16,,205.18,199.5,202.38,3777662.0
2021-02-17,,202.895,199.79,202.3,2506442.0
2021-02-18,,202.88,198.58,199.92,2396887.0
2021-02-19,,211.46,202.695,209.91,5094459.0
2021-02-22,,218.865,209.335,218.06,4636649.0
2021-02-23,,220.735,213.28,220.18,4226153.0
2021-02-24,,226.67,219.88,222.47,4992038.0
2021-02-25,,224.4,219.72,221.82,4384314.0
2021-02-26,,222.4,215.82,215.88,4506434.0
2021-03-01,,222.58,218.9,219.76,2940448.0
2021-03-02,,219.34,215.0101,215.82,2905724.0
2021-03-03,,217.55,212.01,214.91,2762540.0
2021-03-04,,216.668,208.47,212.77,3626187.0
2021-03-05,,220.78,211.5,220.16,3650599.0
2021-03-08,,224.3,218.212,221.58,3108222.0
