date,open,high,low,close,volume
2020-08-06,,99.59,97.75,98.97,915593.0
2020-08-07,,101.09,98.0,100.98,824854.0
2020-08-10,,103.17,100.83,103.15,634714.0
2020-08-11,,107.03,102.99,103.0,1062090.0
2020-08-12,,104.4299,101.75,102.0,1028660.0
2020-08-13,,102.29,100.68,101.04,537152.0
2020-08-14,,102.25,100.05,101.48,449698.0
2020-08-17,,102.8,99.18,100.76,464941.0
2020-08-18,,101.38,100.23,100.32,516379.0
2020-08-19,,101.51,99.67,100.26,382940.0
2020-08-20,,100.42,98.61,99.96,553697.0
2020-08-21,,100.29,98.83,99.81,594692.0
2020-08-24,,103.19,100.32,103.06,596968.0
2020-08-25,,104.45,101.57,102.17,688859.0
2020-08-26,,103.53,101.241,102.79,548256.0
2020-08-27,,103.59,101.86,102.97,476455.0
2020-08-28,,104.13,102.12,103.94,360123.0
2020-08-31,,103.73,101.07,101.15,931232.0
2020-09-01,,105.19,100.024,105.17,924683.0
2020-09-02,,106.44,104.58,106.17,1321362.0
2020-09-03,,107.1,102.55,103.74,1055294.0
2020-09-04,,106.3,103.99,106.18,1409542.0
2020-09-08,,104.95,102.72,104.16,1126914.0
2020-09-09,,107.11,104.72,106.44,701384.0
2020-09-10,,107.13,105.05,105.1,606184.0
2020-09-11,,107.33,105.16,106.58,554920.0
2020-09-14,,109.87,107.1604,109.41,670346.0
2020-09-15,,110.98,109.4,110.33,518997.0
2020-09-16,,114.32,110.61,113.44,1105260.0
2020-09-17,,115.03,111.21,114.22,1092064.0
2020-09-18,,114.69,112.75,113.82,1395380.0
2020-09-21,,111.48,108.36,109.54,918844.0
2020-09-22,,110.87,108.14,109.16,611931.0
2020-09-23,,109.55,105.9,106.05,849986.0
2020-09-24,,107.23,104.1205,105.46,605102.0
2020-09-25,,106.49,104.0973,106.14,484844.0
2020-09-28,,109.94,107.58,108.6,725554.0
2020-09-29,,109.22,106.48,106.88,482657.0
2020-09-30,,109.3214,107.15,107.45,732029.0
2020-10-01,,109.535,105.59,106.04,738229.0
2020-10-02,,109.31,103.3,108.25,782217.0
2020-10-05,,111.82,109.11,110.7,862972.0
2020-10-06,,114.86,111.09,111.17,877941.0
2020-10-07,,117.13,113.945,116.46,788582.0
2020-10-08,,118.12,116.03,117.95,525197.0
2020-10-09,,120.0,117.18,117.84,796765.0
2020-10-12,,118.55,116.79,117.29,709485.0
2020-10-13,,117.09,114.94,116.37,644617.0
2020-10-14,,119.0,116.67,118.5,511775.0
2020-10-15,,119.51,115.17,119.5,544745.0
2020-10-16,,120.67,119.3,120.1,755976.0
2020-10-19,,121.76,117.31,117.7,730297.0
2020-10-20,,119.59,117.36,117.36,455484.0
2020-10-21,,118.43,115.91,116.2,599405.0
2020-10-22,,118.445,116.28,118.07,476753.0
2020-10-23,,120.29,118.675,120.18,1089446.0
2020-10-26,,117.47,113.79,115.5,983879.0
2020-10-27,,115.67,111.96,112.11,750257.0
2020-10-28,,112.98,109.14,111.51,878652.0
2020-10-29,,114.88,110.49,113.79,746988.0
2020-10-30,,113.88,111.37,113.51,755781.0
2020-11-02,,118.26,114.92,117.5,1166354.0
2020-11-03,,119.51,117.64,118.62,637831.0
2020-11-04,,118.39,115.08,115.17,673694.0
2020-11-05,,121.31,116.42,119.67,786003.0
2020-11-06,,121.34,119.15,119.69,623999.0
2020-11-09,,133.95,124.56,126.25,1029190.0
2020-11-10,,129.87,126.445,127.88,994362.0
2020-11-11,,128.88,126.51,128.2,1096525.0
2020-11-12,,128.0,123.27,124.42,824609.0
2020-11-13,,128.52,125.04,128.41,861425.0
2020-11-16,,132.96,130.175,132.81,895772.0
2020-11-17,,132.53,129.7078,132.41,938949.0
2020-11-18,,135.74,131.93,133.21,1227803.0
2020-11-19,,134.36,129.0,133.55,1085124.0
2020-11-20,,134.44,131.53,131.91,1132141.0
2020-11-23,,135.34,133.26,134.39,695364.0
2020-11-24,,138.31,135.86,137.44,987111.0
2020-11-25,,136.48,132.91,133.01,942919.0
2020-11-27,,134.18,132.84,133.68,429644.0
2020-11-30,,132.88,129.09,129.33,1873943.0
2020-12-01,,133.18,129.965,130.32,1003119.0
2020-12-02,,131.34,128.86,130.65,1158090.0
2020-12-03,,131.49,129.27,129.7,851774.0
2020-12-04,,133.545,130.515,132.64,1637845.0
2020-12-07,,132.56,129.55,129.78,720369.0
2020-12-08,,130.71,128.99,130.55,534015.0
2020-12-09,,132.63,129.23,130.55,1042922.0
2020-12-10,,131.47,129.59,130.97,1199875.0
2020-12-11,,131.23,128.535,131.0,852039.0
2020-12-14,,133.19,128.89,128.99,807260.0
2020-12-15,,131.34,128.975,131.01,706663.0
2020-12-16,,132.23,129.79,130.02,670295.0
2020-12-17,,131.63,129.53,130.96,762159.0
2020-12-18,,132.25,129.59,131.76,2033777.0
2020-12-21,,130.94,128.77,130.76,532187.0
2020-12-22,,131.23,129.99,130.21,563628.0
2020-12-23,,132.11,129.36,129.39,578311.0
2020-12-24,,130.4,128.49,129.85,195740.0
2020-12-28,,130.9,127.73,127.77,524562.0
2020-12-29,,129.07,126.21,127.51,440245.0
2020-12-30,,130.115,127.54,129.6,696018.0
2020-12-31,,130.93,128.52,129.94,427132.0
2021-01-04,,130.86,125.86,125.93,763005.0
2021-01-05,,131.85,127.13,131.6,1831277.0
2021-01-06,,140.09,133.38,136.55,1415509.0
2021-01-07,,139.89,136.96,139.42,816019.0
2021-01-08,,139.65,135.34,136.82,589588.0
2021-01-11,,137.7233,134.28,136.99,844971.0
2021-01-12,,139.03,135.91,138.75,840917.0
2021-01-13,,139.72,136.19,136.8,739115.0
