date,open,high,low,close,volume
2020-08-06,,76.096,75.6,75.86,3212104.0
2020-08-07,,76.27,75.6,76.24,3004694.0
2020-08-10,,76.9,76.26,76.65,3460966.0
2020-08-11,,76.95,75.81,75.96,3430257.0
2020-08-12,,77.78,76.26,77.24,3879390.0
2020-08-13,,77.185,76.52,76.98,3011044.0
2020-08-14,,77.36,76.66,77.05,2591154.0
2020-08-17,,77.77,76.83,77.21,2809510.0
2020-08-18,,78.19,76.94,77.65,4317223.0
2020-08-19,,78.195,77.68,77.95,2518366.0
2020-08-20,,78.31,77.55,78.25,2041557.0
2020-08-21,,78.84,77.88,78.69,3558758.0
2020-08-24,,79.195,78.63,79.13,2889784.0
2020-08-25,,79.305,78.47,78.59,2426947.0
2020-08-26,,79.165,78.0158,78.65,3529499.0
2020-08-27,,79.48,78.83,79.06,2255300.0
2020-08-28,,79.51,78.44,79.37,3104777.0
2020-08-31,,79.49,78.92,79.26,3316014.0
2020-09-01,,79.17,77.8,78.09,3040225.0
2020-09-02,,79.785,78.01,79.47,3444546.0
2020-09-03,,80.095,77.085,77.67,4554130.0
2020-09-04,,78.42,76.34,77.21,3742850.0
2020-09-08,,77.32,75.565,75.64,4931834.0
2020-09-09,,78.365,76.46,77.57,3237092.0
2020-09-10,,77.78,76.26,76.41,4209454.0
2020-09-11,,77.26,76.41,76.75,2766855.0
2020-09-14,,77.69,76.95,77.15,2570578.0
2020-09-15,,77.72,76.915,76.94,2137202.0
2020-09-16,,77.755,76.87,76.91,2527541.0
2020-09-17,,77.205,76.17,76.71,2560641.0
2020-09-18,,76.94,75.28,75.83,5342567.0
2020-09-21,,75.93,74.35,75.19,3054912.0
2020-09-22,,76.57,75.22,76.07,2896279.0
2020-09-23,,76.23,75.03,75.14,2996576.0
2020-09-24,,76.27,74.96,75.76,2423197.0
2020-09-25,,76.11,75.33,75.95,2840351.0
2020-09-28,,77.51,76.42,76.61,2645077.0
2020-09-29,,76.78,75.85,76.22,2117826.0
2020-09-30,,77.45,76.41,77.15,4001559.0
2020-10-01,,77.73,76.7351,77.06,4114597.0
2020-10-02,,77.96,76.46,77.4,3618364.0
2020-10-05,,78.49,77.43,78.42,2809829.0
2020-10-06,,78.63,77.2,77.54,2693872.0
2020-10-07,,78.39,77.69,78.13,1963598.0
2020-10-08,,78.84,78.08,78.74,2184856.0
2020-10-09,,80.1262,78.89,79.77,2920171.0
2020-10-12,,80.955,79.62,80.63,2742405.0
2020-10-13,,80.99,79.85,80.26,3138846.0
2020-10-14,,80.63,79.42,79.86,2246709.0
2020-10-15,,80.14,79.283,79.71,3405913.0
2020-10-16,,80.59,80.025,80.31,3192846.0
2020-10-19,,80.9,79.01,79.21,2917168.0
2020-10-20,,80.76,79.71,79.83,3003324.0
2020-10-21,,80.74,79.52,80.2,3643218.0
2020-10-22,,79.68,78.68,79.29,2581013.0
2020-10-23,,80.0,79.32,79.34,2295437.0
2020-10-26,,79.22,78.12,78.69,3921744.0
2020-10-27,,79.64,78.79,78.85,2866002.0
2020-10-28,,78.175,76.7,76.86,4820696.0
2020-10-29,,77.44,75.5607,76.67,3985042.0
2020-10-30,,81.09,77.675,78.89,7450865.0
2020-11-02,,81.02,79.51,80.16,4324182.0
2020-11-03,,83.42,80.83,83.11,5367727.0
2020-11-04,,85.64,83.09,83.86,5770455.0
2020-11-05,,84.75,82.98,83.01,3971195.0
2020-11-06,,83.55,82.45,83.03,3545376.0
2020-11-09,,84.569,81.54,81.78,6761763.0
2020-11-10,,83.76,81.394,83.35,4565315.0
2020-11-11,,85.245,83.44,84.93,3984886.0
2020-11-12,,85.12,84.205,84.73,3745831.0
2020-11-13,,85.41,84.69,85.36,3808011.0
2020-11-16,,85.94,85.21,85.93,3808174.0
2020-11-17,,86.06,85.28,85.35,3460564.0
2020-11-18,,85.94,84.6,84.61,4208304.0
2020-11-19,,85.64,84.7,85.38,4477801.0
2020-11-20,,86.41,85.12,85.16,3877188.0
2020-11-23,,85.23,83.9733,84.54,3082221.0
2020-11-24,,85.65,84.115,84.71,4273536.0
2020-11-25,,85.47,84.44,84.75,3195303.0
2020-11-27,,85.06,84.3,84.9,2188268.0
2020-11-30,,85.66,84.2,85.64,4404768.0
2020-12-01,,86.34,85.38,86.26,3411903.0
2020-12-02,,86.38,85.25,85.74,2790741.0
2020-12-03,,85.73,84.41,85.19,3892218.0
2020-12-04,,85.68,84.42,85.03,3194853.0
2020-12-07,,85.86,84.75,85.39,2998069.0
2020-12-08,,85.44,84.19,85.17,2729783.0
2020-12-09,,85.335,84.39,84.75,2624016.0
2020-12-10,,85.35,84.39,84.59,2901286.0
2020-12-11,,85.09,84.15,84.68,2654327.0
2020-12-14,,85.45,84.14,84.19,2726374.0
2020-12-15,,85.07,84.21,84.75,2595572.0
2020-12-16,,85.76,84.64,85.04,2892807.0
2020-12-17,,86.05,85.34,85.66,3150100.0
2020-12-18,,86.2,84.96,85.93,6717572.0
2020-12-21,,85.49,84.37,85.31,2815153.0
2020-12-22,,85.42,84.27,84.4,2374401.0
2020-12-23,,84.955,84.2,84.43,2747415.0
2020-12-24,,85.1,84.49,85.04,733187.0
2020-12-28,,85.68,84.98,85.41,1260519.0
2020-12-29,,86.21,84.92,85.03,2426425.0
2020-12-30,,85.34,84.55,84.73,2180244.0
2020-12-31,,85.6,84.53,85.51,1911995.0
2021-01-04,,85.555,83.53,84.33,3624115.0
2021-01-05,,84.82,83.37,84.52,2594492.0
2021-01-06,,84.79,81.87,82.25,9083758.0
2021-01-07,,82.5529,81.14,81.8,5129211.0
2021-01-08,,82.61,81.82,82.35,5624651.0
2021-01-11,,83.06,82.1,82.14,4481823.0
2021-01-12,,82.75,81.85,82.26,4404995.0
