date,open,high,low,close,volume
2020-08-06,,42.89,42.02,42.87,13772208.0
2020-08-07,,42.92,42.47,42.81,10353185.0
2020-08-10,,43.215,42.56,43.02,16375211.0
2020-08-11,,44.0,42.92,42.99,17140910.0
2020-08-12,,43.725,42.97,43.34,10407807.0
2020-08-13,,43.425,42.985,43.39,12649900.0
2020-08-14,,44.18,43.2,43.77,15238094.0
2020-08-17,,43.95,43.3,43.53,11830644.0
2020-08-18,,43.735,43.28,43.54,8717346.0
2020-08-19,,43.759,43.16,43.32,9857898.0
2020-08-20,,43.435,42.9,43.27,11318747.0
2020-08-21,,43.23,42.72,43.07,12931399.0
2020-08-24,,43.82,42.85,43.8,15266659.0
2020-08-25,,43.78,43.18,43.41,8412956.0
2020-08-26,,44.36,42.91,44.2,14428645.0
2020-08-27,,44.795,44.24,44.54,14317602.0
2020-08-28,,44.57,43.93,44.56,10975487.0
2020-08-31,,45.13,44.25,44.81,24898073.0
2020-09-01,,45.09,44.24,45.05,16943174.0
2020-09-02,,45.93,45.01,45.17,20421059.0
2020-09-03,,45.94,44.09,44.44,18515149.0
2020-09-04,,44.97,43.9,44.43,16201893.0
2020-09-08,,44.26,43.12,43.81,20897638.0
2020-09-09,,44.99,43.71,44.6,15420892.0
2020-09-10,,45.01,43.86,44.02,16023771.0
2020-09-11,,44.74,43.97,44.67,18316341.0
2020-09-14,,45.49,44.71,45.27,11436100.0
2020-09-15,,46.74,45.05,46.46,18415902.0
2020-09-16,,47.5,46.7,46.81,26330600.0
2020-09-17,,46.43,45.02,45.58,21253663.0
2020-09-18,,45.85,44.29,45.26,39626010.0
2020-09-21,,45.44,43.41,44.68,32257655.0
2020-09-22,,46.475,44.84,46.19,32899316.0
2020-09-23,,46.38,45.245,45.36,19671192.0
2020-09-24,,46.08,44.905,45.7,14500623.0
2020-09-25,,46.33,45.22,46.15,12555978.0
2020-09-28,,47.07,46.24,46.76,16208781.0
2020-09-29,,46.87,46.17,46.2,11873967.0
2020-09-30,,46.72,45.75,46.26,27897250.0
2020-10-01,,46.77,46.17,46.44,15524355.0
2020-10-02,,45.99,45.11,45.15,18104053.0
2020-10-05,,45.93,45.02,45.81,12599396.0
2020-10-06,,45.52,44.37,44.51,17911209.0
2020-10-07,,45.105,44.26,44.96,17829245.0
2020-10-08,,45.39,44.83,45.3,15365992.0
2020-10-09,,45.63,44.68,44.85,25103928.0
2020-10-12,,46.26,44.922,45.99,19520077.0
2020-10-13,,46.31,45.38,45.89,13854743.0
2020-10-14,,46.005,44.99,45.28,15326671.0
2020-10-15,,45.15,44.525,45.11,12904916.0
2020-10-16,,45.885,44.9,45.56,13361955.0
2020-10-19,,45.76,44.2,44.33,17520400.0
2020-10-20,,44.66,44.13,44.27,13099584.0
2020-10-21,,44.9,43.97,44.52,13198948.0
2020-10-22,,45.235,44.36,45.11,15957523.0
2020-10-23,,45.55,44.6,45.06,10529350.0
2020-10-26,,44.82,43.55,43.77,15634591.0
2020-10-27,,43.84,43.36,43.44,11134876.0
2020-10-28,,43.08,41.91,41.98,20200151.0
2020-10-29,,43.69,41.89,43.06,20354399.0
2020-10-30,,43.05,41.7464,42.24,22002001.0
2020-11-02,,42.93,40.965,41.4,24480430.0
2020-11-03,,42.98,41.7521,42.62,20761579.0
2020-11-04,,44.61,43.4,43.7,23064111.0
2020-11-05,,44.81,44.21,44.35,18897353.0
2020-11-06,,44.7,43.95,44.53,13159145.0
2020-11-09,,48.23,46.72,47.18,37456780.0
2020-11-10,,47.96,45.95,47.77,21103089.0
2020-11-11,,47.97,47.12,47.67,11840198.0
