date,open,high,low,close,volume
2020-08-06,,164.4,162.2,163.97,1808137.0
2020-08-07,,168.03,162.15,167.14,1903735.0
2020-08-10,,168.28,163.82,165.34,1991563.0
2020-08-11,,169.26,165.78,168.12,1966798.0
2020-08-12,,172.24,169.45,169.96,1567398.0
2020-08-13,,170.49,167.73,169.57,1166316.0
2020-08-14,,172.235,169.075,171.44,1085796.0
2020-08-17,,174.83,171.04,174.61,1927387.0
2020-08-18,,176.2,172.4245,173.81,1366715.0
2020-08-19,,174.83,171.24,172.2,1308342.0
2020-08-20,,173.93,170.55,173.18,1051759.0
2020-08-21,,174.33,172.39,173.86,1223597.0
2020-08-24,,175.52,173.01,175.21,994132.0
2020-08-25,,176.37,174.0,174.92,1152790.0
2020-08-26,,175.96,173.5,175.26,1373663.0
2020-08-27,,178.25,175.3,176.45,1339456.0
2020-08-28,,177.81,175.31,177.03,1220061.0
2020-08-31,,177.48,175.72,175.87,1374144.0
2020-09-01,,176.0,172.01,173.78,1340560.0
2020-09-02,,175.65,171.16,172.71,2406968.0
2020-09-03,,176.235,170.98,171.89,1812386.0
2020-09-04,,173.36,166.7,169.62,2038786.0
2020-09-08,,169.8,166.33,167.0,1672679.0
2020-09-09,,169.56,166.4,168.01,1241392.0
2020-09-10,,168.5199,163.68,163.94,2055487.0
2020-09-11,,164.52,162.04,163.21,2143873.0
2020-09-14,,167.0,163.86,166.08,970619.0
2020-09-15,,168.68,166.3,168.1,1479844.0
2020-09-16,,170.88,168.35,170.2,1885441.0
2020-09-17,,171.01,168.0,170.71,1615616.0
2020-09-18,,172.49,168.42,169.05,2325122.0
2020-09-21,,168.83,164.83,167.69,1900710.0
2020-09-22,,168.89,164.41,166.59,1160320.0
2020-09-23,,167.225,162.04,162.35,1579423.0
2020-09-24,,165.27,161.645,163.93,1258763.0
2020-09-25,,166.99,163.23,166.78,1337727.0
2020-09-28,,170.125,167.58,168.93,1396818.0
2020-09-29,,169.8,164.13,166.12,1741739.0
2020-09-30,,168.91,165.94,167.31,1322805.0
2020-10-01,,170.97,167.63,170.25,1308151.0
2020-10-02,,170.185,168.02,168.49,1133280.0
2020-10-05,,169.87,166.33,166.94,1920649.0
2020-10-06,,170.39,166.99,168.33,1754728.0
2020-10-07,,170.04,167.58,169.5,2043745.0
2020-10-08,,172.4,169.3943,170.9,1408620.0
2020-10-09,,172.06,168.7,169.41,1100648.0
2020-10-12,,171.08,169.18,170.0,893581.0
2020-10-13,,170.91,167.0,167.5,1263006.0
2020-10-14,,168.9294,166.41,166.7,1146511.0
2020-10-15,,167.26,164.45,167.09,1339659.0
2020-10-16,,169.5,165.69,167.99,1006380.0
2020-10-19,,168.8,163.26,163.34,1284716.0
2020-10-20,,165.01,162.9019,163.12,1956357.0
2020-10-21,,164.87,162.23,164.59,2142133.0
2020-10-22,,165.07,162.87,163.48,1440604.0
2020-10-23,,165.18,162.26,163.86,1061836.0
2020-10-26,,163.055,157.9,160.16,1342060.0
2020-10-27,,161.44,159.35,159.47,1565838.0
2020-10-28,,156.0,147.53,149.56,3241809.0
2020-10-29,,152.58,146.89,149.99,2348095.0
2020-10-30,,150.87,147.8,150.72,1947888.0
2020-11-02,,154.78,150.84,152.28,2100671.0
2020-11-03,,156.21,153.22,153.48,1770506.0
2020-11-04,,156.283,150.32,150.5,2485987.0
2020-11-05,,152.61,150.0,150.45,2023652.0
2020-11-06,,151.83,149.3,150.59,1566148.0
2020-11-09,,166.39,160.24,162.41,4198359.0
2020-11-10,,168.87,161.11,168.71,3366032.0
2020-11-11,,170.27,165.17,165.81,1952056.0
2020-11-12,,165.2,159.46,161.01,1500088.0
2020-11-13,,167.075,161.7071,165.96,1548834.0
2020-11-16,,169.34,166.12,168.77,1660281.0
2020-11-17,,168.48,165.45,168.07,1372559.0
2020-11-18,,169.645,165.645,165.78,1225403.0
2020-11-19,,166.68,163.52,165.93,972839.0
2020-11-20,,168.335,164.98,167.47,1282776.0
