date,open,high,low,close,volume
2020-08-06,,345.12,341.61,343.31,2104513.0
2020-08-07,,344.73,339.63,340.91,1759041.0
2020-08-10,,341.065,338.58,340.0,1503771.0
2020-08-11,,340.85,331.8,332.43,2065571.0
2020-08-12,,338.9,333.17,336.76,1854172.0
2020-08-13,,339.46,335.13,335.7,1536633.0
2020-08-14,,338.76,335.6,336.28,1522984.0
2020-08-17,,340.37,337.355,339.96,1504934.0
2020-08-18,,342.8,336.81,340.75,1489444.0
2020-08-19,,341.94,339.95,340.9,1730080.0
2020-08-20,,341.66,338.74,340.87,1717482.0
2020-08-21,,345.84,339.33,344.61,2372580.0
2020-08-24,,346.11,342.105,344.13,1461915.0
2020-08-25,,344.91,341.46,344.71,1176166.0
2020-08-26,,344.83,341.69,344.27,1757268.0
2020-08-27,,347.742,342.5501,346.36,2221007.0
2020-08-28,,349.06,345.5,348.37,1487324.0
2020-08-31,,348.75,344.29,347.66,1586941.0
2020-09-01,,351.49,345.41,351.38,1774856.0
2020-09-02,,359.92,351.31,358.86,2434933.0
2020-09-03,,363.67,345.52,348.3,3630441.0
2020-09-04,,353.98,340.4,346.57,2557093.0
2020-09-08,,344.92,338.18,338.86,2144232.0
2020-09-09,,349.7,340.39,346.43,2100864.0
2020-09-10,,348.0,338.76,339.53,1959599.0
2020-09-11,,343.26,336.1,339.13,1599904.0
2020-09-14,,344.84,340.47,342.92,1522316.0
2020-09-15,,347.76,342.75,343.91,1362499.0
2020-09-16,,348.76,343.25,343.73,1657876.0
2020-09-17,,342.89,336.365,338.88,2681457.0
2020-09-18,,341.22,331.2,335.96,3409322.0
2020-09-21,,339.62,333.71,339.57,2427359.0
2020-09-22,,344.9,339.59,344.45,2128063.0
2020-09-23,,348.25,344.06,344.63,3577124.0
2020-09-24,,347.3333,338.309,347.0,5779283.0
2020-09-25,,343.77,335.36,342.58,7338492.0
2020-09-28,,349.77,343.1,349.62,3459192.0
2020-09-29,,354.29,347.1,352.14,2526612.0
2020-09-30,,357.7,351.1705,355.0,2525800.0
2020-10-01,,359.685,354.82,358.46,2052988.0
2020-10-02,,357.84,352.85,355.01,2124977.0
2020-10-05,,358.98,355.33,358.58,2093540.0
2020-10-06,,363.0,357.0394,358.35,2760443.0
2020-10-07,,364.74,359.66,363.02,1959147.0
2020-10-08,,365.97,361.75,365.09,1793133.0
2020-10-09,,369.75,365.7,369.46,1730688.0
2020-10-12,,380.66,370.77,376.48,2806875.0
2020-10-13,,382.29,376.48,380.68,1823278.0
2020-10-14,,383.8715,376.7,378.34,1905710.0
2020-10-15,,378.36,373.06,376.58,1699338.0
2020-10-16,,384.87,379.12,381.54,2460490.0
2020-10-19,,383.085,374.71,375.56,1938064.0
2020-10-20,,382.08,376.12,378.31,1282650.0
2020-10-21,,381.28,377.02,377.82,1466495.0
2020-10-22,,378.38,372.0301,375.75,1813550.0
