date,open,high,low,close,volume
2020-08-06,,87.9,86.1,87.47,7144408.0
2020-08-07,,87.11,85.74,86.8,7288229.0
2020-08-10,,89.76,87.6,89.73,8289746.0
2020-08-11,,93.01,89.17,89.62,9261793.0
2020-08-12,,91.66,89.45,90.72,9182461.0
2020-08-13,,91.28,89.7623,89.82,7453426.0
2020-08-14,,90.59,88.85,90.35,6457240.0
2020-08-17,,91.58,89.72,90.77,10662492.0
2020-08-18,,89.37,87.32,87.63,8144845.0
2020-08-19,,87.9,86.2,86.39,9228897.0
2020-08-20,,86.89,84.73,84.81,7987933.0
2020-08-21,,85.09,83.51,85.08,9415924.0
2020-08-24,,87.34,84.89,87.2,8869587.0
2020-08-25,,88.04,85.76,86.13,6951732.0
2020-08-26,,85.84,84.66,84.78,7628980.0
2020-08-27,,85.63,83.97,84.91,7533252.0
2020-08-28,,85.73,84.32,85.63,7384550.0
2020-08-31,,85.9,83.87,83.93,9561779.0
2020-09-01,,83.63,82.45,83.08,9214762.0
2020-09-02,,83.96,82.7,83.19,10972758.0
2020-09-03,,84.49,81.71,82.28,16338402.0
2020-09-04,,83.635,80.9,81.93,10642577.0
2020-09-08,,80.58,78.04,78.97,15145268.0
2020-09-09,,81.07,79.68,80.03,9466410.0
2020-09-10,,80.89,78.05,78.15,12227984.0
2020-09-11,,78.69,77.065,77.69,13879742.0
2020-09-14,,77.98,76.9199,77.29,8329132.0
2020-09-15,,78.48,75.96,76.35,11842820.0
2020-09-16,,79.48,75.96,78.56,13202717.0
2020-09-17,,78.85,76.37,78.79,10644904.0
2020-09-18,,79.15,77.5,78.21,16279814.0
2020-09-21,,76.6522,74.68,76.3,16377821.0
2020-09-22,,77.53,75.35,75.53,9275170.0
2020-09-23,,75.91,71.85,71.95,16806549.0
2020-09-24,,73.03,70.5,71.8,15493242.0
2020-09-25,,72.48,70.77,71.83,11281012.0
2020-09-28,,74.76,73.15,73.93,13087118.0
2020-09-29,,74.14,71.11,71.9,10712973.0
2020-09-30,,72.89,71.61,72.0,10570247.0
2020-10-01,,71.88,70.03,70.42,15092725.0
2020-10-02,,71.67,68.82,71.19,10202900.0
