date,open,high,low,close,volume
2020-08-06,,55.234,54.38,54.71,5752358.0
2020-08-07,,55.88,53.81,55.87,3232641.0
2020-08-10,,57.797,55.95,57.67,4157116.0
2020-08-11,,59.83,57.18,57.3,10000372.0
2020-08-12,,59.495,58.32,58.35,5426834.0
2020-08-13,,58.47,57.48,58.02,4141946.0
2020-08-14,,58.58,57.21,58.16,2697730.0
2020-08-17,,58.46,57.42,57.46,2445386.0
2020-08-18,,57.92,56.935,57.0,3006194.0
2020-08-19,,57.21,56.14,56.27,3911955.0
2020-08-20,,56.34,55.25,56.11,2424364.0
2020-08-21,,56.19,55.025,55.14,3190461.0
2020-08-24,,56.99,55.0561,56.89,5892050.0
2020-08-25,,57.67,56.04,56.2,3022278.0
2020-08-26,,57.18,55.72,56.91,2581335.0
2020-08-27,,57.47,56.14,56.58,2548154.0
2020-08-28,,57.26,56.3,57.18,2118523.0
2020-08-31,,56.9,55.74,55.76,3055377.0
2020-09-01,,57.27,54.9201,57.26,4581640.0
2020-09-02,,60.35,57.28,60.16,6873858.0
2020-09-03,,60.46,57.42,58.11,6084223.0
2020-09-04,,59.12,57.98,58.8,4856206.0
2020-09-08,,58.0,56.581,56.82,5052876.0
2020-09-09,,58.47,57.33,57.93,2959369.0
2020-09-10,,58.58,57.59,57.73,4206071.0
2020-09-11,,59.075,57.63,58.57,3027544.0
2020-09-14,,60.0899,58.86,59.43,3039525.0
2020-09-15,,59.96,59.22,59.55,2375899.0
2020-09-16,,60.98,59.15,60.17,3557806.0
2020-09-17,,60.92,59.031,60.77,4363268.0
2020-09-18,,60.48,58.67,59.29,6120207.0
2020-09-21,,57.68,55.88,56.18,6018684.0
2020-09-22,,56.2899,55.38,55.76,3146052.0
2020-09-23,,56.18,54.31,54.37,5264193.0
2020-09-24,,55.03,53.59,54.3,3757439.0
2020-09-25,,55.27,53.4901,55.04,2981065.0
2020-09-28,,57.29,55.87,56.55,3570542.0
2020-09-29,,56.685,55.02,55.19,4124658.0
2020-09-30,,56.33,55.02,55.48,4170668.0
