date,open,high,low,close,volume
2020-08-06,,183.24,180.25,181.26,985073.0
2020-08-07,,183.71,179.8605,183.5,1263741.0
2020-08-10,,191.35,184.4,189.91,2666114.0
2020-08-11,,195.85,192.205,193.22,1939978.0
2020-08-12,,192.82,189.59,192.31,1661210.0
2020-08-13,,191.17,188.45,189.5,1354941.0
2020-08-14,,193.21,188.43,191.13,914112.0
2020-08-17,,194.24,191.2,192.99,1054252.0
2020-08-18,,194.82,191.895,192.13,1136048.0
2020-08-19,,194.6,191.94,191.99,1527307.0
2020-08-20,,192.05,189.38,191.1,1584556.0
2020-08-21,,202.95,196.0,199.5,6549662.0
2020-08-24,,206.48,202.66,205.4,3225913.0
2020-08-25,,209.4,205.35,205.6,2796730.0
2020-08-26,,212.29,204.76,211.01,2050358.0
2020-08-27,,212.4522,208.82,209.83,1892075.0
2020-08-28,,210.8,208.745,209.9,1285325.0
2020-08-31,,211.43,207.77,210.06,1960002.0
2020-09-01,,217.72,208.27,217.69,1895827.0
2020-09-02,,219.71,215.67,217.11,2005708.0
2020-09-03,,218.73,209.07,210.81,1993282.0
2020-09-04,,214.0,208.18,211.34,1682210.0
2020-09-08,,213.24,207.97,210.24,1941904.0
2020-09-09,,217.3,210.86,215.52,1584994.0
2020-09-10,,218.23,213.61,215.11,1853505.0
2020-09-11,,218.507,213.0,215.96,1945532.0
2020-09-14,,219.12,216.7,218.33,1263760.0
2020-09-15,,220.96,215.19,215.77,1765159.0
2020-09-16,,218.92,214.86,215.4,1587206.0
2020-09-17,,221.6,212.0105,219.94,2114277.0
2020-09-18,,225.38,219.45,221.97,3280446.0
2020-09-21,,217.45,210.175,214.21,2162549.0
2020-09-22,,219.06,214.53,217.58,1656133.0
2020-09-23,,220.67,214.38,214.55,1703844.0
2020-09-24,,219.38,211.38,216.52,1044187.0
2020-09-25,,220.93,214.83,219.25,1246256.0
2020-09-28,,224.3565,221.5,221.9,1226810.0
2020-09-29,,222.39,218.07,220.18,918395.0
2020-09-30,,226.06,220.235,221.63,1896170.0
2020-10-01,,223.78,218.57,219.04,1397737.0
2020-10-02,,226.52,215.02,224.79,1427065.0
2020-10-05,,231.12,224.85,226.96,2090535.0
2020-10-06,,230.64,226.0101,226.12,1403840.0
2020-10-07,,232.53,228.105,230.57,1047891.0
2020-10-08,,234.81,230.71,234.24,1163418.0
2020-10-09,,237.01,233.58,234.81,1119120.0
2020-10-12,,237.61,235.0725,236.52,1259873.0
2020-10-13,,237.58,234.49,237.22,1328558.0
2020-10-14,,240.66,237.09,238.47,1073782.0
2020-10-15,,239.35,234.365,238.24,1245379.0
2020-10-16,,243.4,239.71,240.06,1735971.0
2020-10-19,,242.9,237.11,238.17,918845.0
2020-10-20,,242.035,237.76,238.87,985789.0
2020-10-21,,241.92,236.06,236.4,1527171.0
2020-10-22,,238.0,234.88,236.88,1261855.0
2020-10-23,,240.0,237.12,239.53,837277.0
2020-10-26,,237.49,231.745,234.25,1020808.0
2020-10-27,,234.59,228.0,228.51,1407160.0
2020-10-28,,227.5,222.51,223.37,1400968.0
2020-10-29,,229.81,221.73,228.02,1216617.0
2020-10-30,,228.59,222.61,225.91,1321577.0
2020-11-02,,232.24,227.5,231.7,1450131.0
2020-11-03,,241.62,234.42,239.96,1588698.0
2020-11-04,,240.0,233.2,233.3,2010187.0
2020-11-05,,247.09,237.33,246.02,2059107.0
2020-11-06,,250.365,246.11,247.64,1497899.0
2020-11-09,,265.87,248.35,248.87,2261935.0
2020-11-10,,256.9,249.49,253.97,1867547.0
2020-11-11,,254.27,245.955,249.35,1676813.0
2020-11-12,,252.203,246.87,248.01,1298704.0
2020-11-13,,252.5904,249.08,251.79,990517.0
2020-11-16,,260.34,253.61,259.1,1953425.0
2020-11-17,,259.72,253.5,258.21,1427286.0
2020-11-18,,260.6,257.25,257.33,1634878.0
2020-11-19,,259.53,255.0,255.59,1718549.0
2020-11-20,,259.66,255.5,258.56,1661144.0
2020-11-23,,262.76,260.16,261.11,2134126.0
2020-11-24,,264.17,260.01,261.51,2370589.0
2020-11-25,,265.8673,254.51,256.43,3065448.0
2020-11-27,,262.2,258.15,261.95,1042234.0
2020-11-30,,264.2292,258.1083,261.62,2370736.0
2020-12-01,,265.35,255.12,255.13,2122994.0
2020-12-02,,260.435,254.39,259.0,2793294.0
2020-12-03,,259.81,251.93,252.68,2111192.0
2020-12-04,,255.75,252.79,253.39,1670554.0
2020-12-07,,253.5,250.5425,252.01,1625837.0
2020-12-08,,254.84,251.27,252.6,1322134.0
2020-12-09,,255.5,251.6,254.83,1389275.0
2020-12-10,,254.24,250.615,253.45,1171926.0
2020-12-11,,256.0,250.82,255.77,1420799.0
2020-12-14,,258.75,252.51,252.72,991614.0
2020-12-15,,264.11,255.98,261.99,2105389.0
2020-12-16,,262.38,259.635,261.12,1232090.0
2020-12-17,,264.64,261.5424,264.53,1539996.0
2020-12-18,,271.45,264.56,270.7,3529877.0
2020-12-21,,272.0,265.58,267.75,2171994.0
2020-12-22,,270.58,265.23,269.26,1553580.0
2020-12-23,,271.38,267.83,267.94,950875.0
2020-12-24,,269.58,267.315,269.21,289945.0
2020-12-28,,273.56,267.4,267.5,719077.0
2020-12-29,,269.54,262.848,265.34,903931.0
2020-12-30,,268.36,265.495,266.15,806370.0
2020-12-31,,269.19,265.4529,269.05,812539.0
2021-01-04,,273.75,263.85,267.64,2838126.0
2021-01-05,,274.76,267.45,274.28,1846310.0
2021-01-06,,292.84,274.65,290.36,2813510.0
2021-01-07,,300.555,293.49,299.73,2249858.0
2021-01-08,,300.48,290.385,293.91,1816449.0
