date,open,high,low,close,volume
2020-08-06,,207.17,202.38,205.69,2763656.0
2020-08-07,,207.66,204.35,205.4,1378097.0
2020-08-10,,205.84,201.36,202.05,2183008.0
2020-08-11,,203.61,199.3,200.01,2451123.0
2020-08-12,,206.98,201.21,205.92,1489533.0
2020-08-13,,207.48,204.36,207.19,1236214.0
2020-08-14,,207.87,204.04,204.86,1312441.0
2020-08-17,,206.45,204.66,205.57,1257213.0
2020-08-18,,208.29,205.62,207.68,1497284.0
2020-08-19,,209.15,205.58,205.93,1209922.0
2020-08-20,,206.592,204.35,205.66,1024421.0
2020-08-21,,208.025,204.81,207.8,1553165.0
2020-08-24,,209.38,204.79,205.56,1270989.0
2020-08-25,,208.15,206.02,207.57,1480588.0
2020-08-26,,208.88,205.08,208.19,1169577.0
2020-08-27,,206.223,198.12,204.39,2613906.0
2020-08-28,,206.28,203.69,205.64,1405834.0
2020-08-31,,207.67,205.148,206.47,1733201.0
2020-09-01,,208.48,205.41,208.38,1637202.0
2020-09-02,,210.575,206.455,209.97,1956872.0
2020-09-03,,209.96,199.3,200.91,2397084.0
2020-09-04,,201.065,192.51,196.58,3760212.0
2020-09-08,,197.15,193.1,196.15,2720853.0
2020-09-09,,203.5,197.58,201.94,2679304.0
2020-09-10,,206.34,202.84,203.09,2447547.0
2020-09-11,,206.27,203.94,204.87,1915144.0
2020-09-14,,209.68,205.82,207.93,1739422.0
2020-09-15,,209.71,207.8216,208.69,1615382.0
2020-09-16,,210.29,206.88,207.05,1861821.0
2020-09-17,,207.27,204.01,207.15,1995266.0
2020-09-18,,208.57,204.7,206.31,4322246.0
2020-09-21,,205.83,201.5619,205.81,1643669.0
2020-09-22,,207.59,203.89,207.15,1608105.0
2020-09-23,,208.72,205.16,205.2,1808776.0
2020-09-24,,206.514,202.26,203.67,2431766.0
2020-09-25,,207.53,201.44,207.16,2332694.0
2020-09-28,,211.33,207.79,209.79,2112787.0
2020-09-29,,212.24,209.41,211.01,1754826.0
2020-09-30,,216.63,211.14,215.33,3309650.0
2020-10-01,,218.68,213.77,214.67,2121450.0
2020-10-02,,215.23,211.425,212.5,1470908.0
2020-10-05,,218.63,214.54,218.35,1266790.0
2020-10-06,,220.8139,217.107,218.24,2014343.0
2020-10-07,,223.2799,219.36,222.03,1770650.0
2020-10-08,,222.867,219.94,220.71,2172202.0
2020-10-09,,226.17,221.17,226.06,1648634.0
2020-10-12,,227.48,225.11,225.75,1934500.0
2020-10-13,,225.96,224.38,225.62,1691683.0
2020-10-14,,227.2,224.21,226.55,1812004.0
2020-10-15,,225.79,220.68,225.42,1768901.0
2020-10-16,,229.4499,226.0,227.45,2792257.0
2020-10-19,,228.71,222.25,223.83,2317078.0
2020-10-20,,229.0,223.56,227.03,2349638.0
2020-10-21,,229.75,226.21,226.55,3809485.0
2020-10-22,,235.6,225.78,233.98,2775131.0
2020-10-23,,236.55,231.33,232.66,2311375.0
2020-10-26,,235.12,231.21,234.91,2411268.0
2020-10-27,,240.51,235.83,239.78,3300718.0
2020-10-28,,238.67,231.13,232.1,2897843.0
2020-10-29,,233.4,228.33,230.07,2240203.0
2020-10-30,,230.855,225.4,229.54,2623424.0
2020-11-02,,235.23,229.84,232.44,2546137.0
2020-11-03,,236.68,232.84,234.76,1689482.0
2020-11-04,,245.49,238.6,240.52,3064687.0
2020-11-05,,247.04,239.74,240.34,3426974.0
2020-11-06,,247.75,239.77,245.46,2384292.0
2020-11-09,,248.32,233.46,233.78,4018230.0
2020-11-10,,234.25,224.81,225.88,6291652.0
2020-11-11,,234.89,226.14,233.14,3969677.0
2020-11-12,,235.49,231.55,232.99,2361831.0
2020-11-13,,236.28,233.9,234.68,2533314.0
2020-11-16,,236.34,228.82,229.65,2199945.0
2020-11-17,,232.0712,227.77,229.35,2443475.0
2020-11-18,,230.37,223.12,224.7,2911798.0
2020-11-19,,227.21,221.22,225.83,2823804.0
2020-11-20,,227.54,224.12,225.76,2452146.0
2020-11-23,,227.81,218.77,221.08,2823742.0
2020-11-24,,222.395,216.71,218.26,4003310.0
2020-11-25,,217.38,212.42,217.22,3276047.0
2020-11-27,,218.545,215.01,216.78,1407208.0
2020-11-30,,224.81,219.01,224.63,3376584.0
2020-12-01,,228.0,223.0,225.0,3958869.0
2020-12-02,,226.02,223.24,224.8,2170703.0
2020-12-03,,226.21,222.45,223.34,3233380.0
2020-12-04,,224.69,219.82,224.43,2570235.0
2020-12-07,,228.0,225.03,226.15,1873416.0
