date,open,high,low,close,volume
2020-08-06,,131.63,125.61,130.82,27644835.0
2020-08-07,,131.94,128.66,129.93,16411137.0
2020-08-10,,131.32,128.49,128.79,8684601.0
2020-08-11,,132.76,130.0,130.49,14167697.0
2020-08-12,,133.0,130.49,131.79,12346341.0
2020-08-13,,132.35,130.45,130.96,6592566.0
2020-08-14,,131.08,129.74,130.53,6677943.0
2020-08-17,,130.1371,128.54,129.37,7757538.0
2020-08-18,,129.59,128.36,128.92,6868268.0
2020-08-19,,130.2166,127.43,127.77,7790598.0
2020-08-20,,128.45,126.53,128.12,5027727.0
2020-08-21,,128.31,127.23,127.44,6451051.0
2020-08-24,,130.88,127.93,130.69,7748740.0
2020-08-25,,131.09,129.31,129.79,5719451.0
2020-08-26,,132.6,129.52,132.18,8584612.0
2020-08-27,,136.36,132.82,133.73,13857285.0
2020-08-28,,136.8,133.5801,135.54,11178293.0
2020-08-31,,135.54,131.25,131.87,11784869.0
2020-09-01,,133.61,130.89,133.55,8526432.0
2020-09-02,,135.92,133.264,135.39,8349736.0
2020-09-03,,137.2374,132.02,133.24,12288351.0
2020-09-04,,134.88,129.42,131.99,11456374.0
2020-09-08,,137.14,130.86,134.2,17567498.0
2020-09-09,,135.55,132.26,133.36,9076719.0
2020-09-10,,136.75,132.74,133.22,9761044.0
2020-09-11,,133.74,131.09,131.75,7287544.0
2020-09-14,,132.93,130.904,131.25,8489452.0
2020-09-15,,132.54,131.005,131.24,7089202.0
2020-09-16,,133.62,131.4,132.09,6721143.0
2020-09-17,,131.77,128.6,130.22,6860944.0
2020-09-18,,130.79,128.1201,128.63,11252881.0
2020-09-21,,126.8858,123.59,125.41,10557391.0
2020-09-22,,127.47,124.7,127.21,7124079.0
2020-09-23,,127.3,122.901,123.28,8456603.0
2020-09-24,,123.8,120.78,122.49,8681912.0
2020-09-25,,124.19,120.98,124.0,7013572.0
2020-09-28,,126.86,125.37,125.99,6442461.0
2020-09-29,,126.29,123.675,125.4,7538677.0
2020-09-30,,125.55,123.24,124.08,13862430.0
2020-10-01,,125.47,122.42,123.31,9094064.0
2020-10-02,,123.6775,121.69,122.55,6749004.0
2020-10-05,,123.595,122.33,123.37,6006074.0
2020-10-06,,124.19,120.61,120.93,9184814.0
2020-10-07,,123.3098,120.93,122.91,10305721.0
2020-10-08,,123.75,122.4201,123.09,7529920.0
2020-10-09,,125.5495,123.33,124.98,11622005.0
2020-10-12,,125.94,123.73,124.97,11101373.0
2020-10-13,,131.36,127.9,128.96,22767636.0
2020-10-14,,129.5,125.29,126.59,11695685.0
2020-10-15,,127.4,124.43,127.36,7907576.0
2020-10-16,,128.12,126.33,126.81,6792739.0
2020-10-19,,127.4,123.71,124.23,6692566.0
2020-10-20,,125.73,123.64,124.95,6290836.0
2020-10-21,,127.56,123.835,126.63,6738615.0
2020-10-22,,128.1,125.97,127.56,5314365.0
2020-10-23,,128.5,126.35,128.35,5555130.0
2020-10-26,,127.11,122.95,124.06,8717119.0
2020-10-27,,124.61,123.03,123.31,6925283.0
2020-10-28,,121.53,118.32,118.47,11833452.0
2020-10-29,,122.63,117.23,121.54,9749768.0
2020-10-30,,121.75,119.0881,121.25,8192658.0
2020-11-02,,122.93,119.81,120.13,9338364.0
2020-11-03,,125.07,121.37,124.02,8251301.0
2020-11-04,,126.86,123.41,125.07,7574921.0
2020-11-05,,128.62,125.8,126.96,7770937.0
2020-11-06,,128.04,124.6147,127.46,6392843.0
2020-11-09,,147.68,138.065,142.59,36650550.0
2020-11-10,,142.37,137.67,142.11,18704762.0
2020-11-11,,142.0,136.62,137.82,9774563.0
2020-11-12,,138.49,134.105,135.52,14094015.0
2020-11-13,,141.19,136.52,138.36,21393189.0
2020-11-16,,144.74,141.57,144.67,17009252.0
2020-11-17,,144.83,142.56,144.5,9646108.0
2020-11-18,,145.48,143.35,143.9,9318951.0
2020-11-19,,143.2996,141.7,141.72,9093645.0
2020-11-20,,142.61,140.86,141.07,8814127.0
2020-11-23,,147.75,141.7,145.98,13023973.0
2020-11-24,,151.86,147.849,151.49,16996425.0
2020-11-25,,150.27,147.235,149.09,9788459.0
2020-11-27,,150.3499,146.53,147.13,5306365.0
2020-11-30,,148.69,146.29,148.01,9869657.0
2020-12-01,,151.4,149.0,149.44,8985679.0
2020-12-02,,154.01,148.34,153.61,10738022.0
2020-12-03,,154.4399,152.13,153.24,9278286.0
2020-12-04,,154.68,152.81,154.14,6149403.0
2020-12-07,,153.88,152.26,153.68,6915788.0
2020-12-08,,154.88,152.2505,153.72,8044486.0
2020-12-09,,157.46,153.89,154.43,11181061.0
2020-12-10,,155.34,152.5,154.69,9124375.0
2020-12-11,,179.45,165.33,175.72,88016244.0
2020-12-14,,177.3,168.81,169.3,31464428.0
2020-12-15,,174.4699,167.8201,173.94,19005699.0
2020-12-16,,174.85,171.6226,173.12,11291699.0
2020-12-17,,174.84,171.96,173.55,9217070.0
2020-12-18,,175.843,172.28,172.89,22665275.0
2020-12-21,,171.94,168.19,170.69,10808581.0
2020-12-22,,171.45,169.16,170.45,6590853.0
2020-12-23,,175.95,172.3,173.55,10196051.0
2020-12-24,,174.5799,172.38,173.73,2708714.0
2020-12-28,,179.92,175.05,178.86,13286477.0
2020-12-29,,180.2,176.22,177.3,7036670.0
2020-12-30,,183.4,178.37,181.17,11779371.0
2020-12-31,,183.4,180.27,181.18,7133679.0
