date,open,high,low,close,volume
2020-08-06,,47.39,45.4827,45.69,2443390.0
2020-08-07,,46.26,45.065,45.8,1522966.0
2020-08-10,,47.7803,45.885,46.63,2405752.0
2020-08-11,,47.94,46.7,46.92,1512772.0
2020-08-12,,47.63,45.16,46.14,2828124.0
2020-08-13,,47.155,45.36,46.27,1457317.0
2020-08-14,,47.44,45.46,46.31,1465384.0
2020-08-17,,46.98,45.355,45.74,1819729.0
2020-08-18,,46.09,44.38,44.9,3388049.0
2020-08-19,,46.63,44.5,46.49,2087101.0
2020-08-20,,46.13,45.0,45.23,1775924.0
2020-08-21,,46.385,45.45,46.28,1815596.0
2020-08-24,,47.87,46.01,47.81,2743917.0
2020-08-25,,47.7,45.57,46.67,3715780.0
2020-08-26,,54.5,50.4701,53.99,19430278.0
2020-08-27,,57.2,52.89,53.0,7271636.0
2020-08-28,,54.85,53.08,53.16,2860289.0
2020-08-31,,54.7,52.78,54.12,2077557.0
2020-09-01,,56.9,53.56,56.6,3712694.0
2020-09-02,,57.25,54.71,56.13,1880636.0
2020-09-03,,56.6599,54.3195,54.78,2325273.0
2020-09-04,,55.845,53.32,54.9,1419073.0
2020-09-08,,54.95,53.4,54.17,2397599.0
2020-09-09,,56.65,54.68,56.38,2593489.0
2020-09-10,,57.725,55.8101,55.89,2605758.0
2020-09-11,,57.53,55.67,56.26,1637854.0
2020-09-14,,58.25,56.77,57.3,2174085.0
2020-09-15,,58.29,56.86,57.44,3055883.0
2020-09-16,,58.95,57.425,58.26,2506732.0
2020-09-17,,58.94,57.0,58.55,2586592.0
2020-09-18,,59.675,57.64,58.43,2117491.0
2020-09-21,,57.74,55.69,57.33,2189801.0
2020-09-22,,58.14,55.8,56.13,2032523.0
2020-09-23,,58.55,56.39,56.47,2062830.0
2020-09-24,,56.25,54.24,54.79,2161207.0
2020-09-25,,56.66,55.13,55.89,2191613.0
2020-09-28,,58.39,56.69,57.81,1972793.0
2020-09-29,,58.07,56.94,57.13,1589419.0
2020-09-30,,58.57,57.09,57.88,1804186.0
2020-10-01,,60.41,58.21,60.25,3544375.0
2020-10-02,,60.935,58.14,60.17,2108364.0
2020-10-05,,62.28,60.25,62.13,1984770.0
2020-10-06,,62.835,59.32,59.91,2524444.0
2020-10-07,,61.61,60.56,60.7,1574274.0
2020-10-08,,61.5,60.675,61.43,2244479.0
2020-10-09,,62.7,60.59,60.76,1645974.0
2020-10-12,,62.045,60.17,60.73,2586836.0
2020-10-13,,62.23,60.41,62.04,1860554.0
2020-10-14,,63.03,60.75,62.33,2394275.0
2020-10-15,,63.17,61.45,63.05,2137572.0
2020-10-16,,63.29,61.39,61.48,1497699.0
2020-10-19,,62.56,60.935,61.15,1508870.0
2020-10-20,,61.62,60.41,60.42,873930.0
2020-10-21,,60.93,59.85,60.19,1526938.0
2020-10-22,,60.8,58.97,59.53,1385823.0
2020-10-23,,60.26,57.92,59.58,1422630.0
2020-10-26,,59.01,57.235,58.48,2264225.0
2020-10-27,,58.6075,57.06,57.66,1322735.0
2020-10-28,,57.51,55.7,56.05,1435392.0
2020-10-29,,56.8164,55.3501,56.18,996714.0
2020-10-30,,57.39,55.64,56.65,2033576.0
2020-11-02,,57.425,55.625,56.28,2559678.0
2020-11-03,,58.25,56.63,57.72,1346845.0
2020-11-04,,58.3,56.53,56.73,1499280.0
2020-11-05,,57.92,56.54,56.82,1092004.0
2020-11-06,,57.01,55.76,56.55,1106363.0
2020-11-09,,60.0,52.47,52.61,4513133.0
2020-11-10,,54.45,52.09,53.6,2410239.0
2020-11-11,,54.13,51.72,53.66,2982429.0
2020-11-12,,53.66,51.14,51.46,2227313.0
2020-11-13,,52.46,50.88,50.9,2721402.0
2020-11-16,,52.89,51.14,52.88,2667729.0
2020-11-17,,53.48,51.78,53.35,1935725.0
2020-11-18,,55.1,53.33,54.29,2566074.0
2020-11-19,,56.31,54.2001,55.97,2630308.0
2020-11-20,,59.32,56.74,58.51,5957335.0
2020-11-23,,60.025,58.375,58.81,5166632.0
2020-11-24,,60.18,55.72,58.99,8095856.0
2020-11-25,,60.18,57.34,60.06,3911042.0
2020-11-27,,60.58,59.01,59.49,1838890.0
2020-11-30,,59.92,56.72,56.81,4764540.0
2020-12-01,,57.8,55.9,57.14,2057298.0
2020-12-02,,57.62,55.51,57.24,1985881.0
2020-12-03,,58.79,56.6,57.0,2152196.0
2020-12-04,,57.47,55.8,56.15,2687395.0
2020-12-07,,56.155,53.96,55.52,2767463.0
2020-12-08,,56.36,55.095,56.12,3666862.0
2020-12-09,,56.92,53.59,54.45,3608196.0
2020-12-10,,55.05,53.14,54.59,4999864.0
2020-12-11,,54.41,52.84,53.55,2694089.0
2020-12-14,,54.09,52.57,52.86,2778556.0
2020-12-15,,53.415,51.51,53.07,2600619.0
2020-12-16,,54.27,52.12,52.15,2307820.0
2020-12-17,,52.8892,52.095,52.75,1400459.0
2020-12-18,,54.07,51.82,52.47,2461551.0
2020-12-21,,53.62,51.69,53.34,1585332.0
2020-12-22,,55.8,53.625,55.37,3033716.0
2020-12-23,,56.69,55.38,55.8,1424628.0
2020-12-24,,55.9,54.96,55.59,821395.0
2020-12-28,,57.69,55.61,57.25,2709624.0
2020-12-29,,57.24,55.15,56.09,1675080.0
2020-12-30,,57.345,55.94,56.36,1219127.0
2020-12-31,,56.88,55.7,56.21,1280421.0
2021-01-04,,56.59,55.1,56.02,1640538.0
2021-01-05,,59.77,55.75,58.86,3961115.0
2021-01-06,,62.18,58.62,62.03,2794921.0
2021-01-07,,63.16,61.81,62.65,3041391.0
2021-01-08,,64.64,62.29,64.29,2448806.0
2021-01-11,,65.5,63.5,64.65,3165101.0
