date,open,high,low,close,volume
2020-08-06,,195.12,191.01,194.2,1403647.0
2020-08-07,,196.0889,192.27,194.9,1385607.0
2020-08-10,,197.23,194.21,195.3,774411.0
2020-08-11,,199.98,195.61,196.22,806739.0
2020-08-12,,199.93,197.29,198.69,865398.0
2020-08-13,,198.91,195.95,196.55,631573.0
2020-08-14,,196.84,193.86,194.71,641358.0
2020-08-17,,197.39,193.73,194.85,655588.0
2020-08-18,,195.81,193.58,194.37,633814.0
2020-08-19,,196.04,193.85,194.06,703183.0
2020-08-20,,194.78,192.16,194.41,519605.0
2020-08-21,,195.36,193.03,194.85,755631.0
2020-08-24,,198.5,196.11,197.52,592649.0
2020-08-25,,199.365,195.74,195.99,672735.0
2020-08-26,,198.27,195.43,197.11,801896.0
2020-08-27,,199.9,197.59,197.68,879507.0
2020-08-28,,200.67,196.6,200.5,760583.0
2020-08-31,,200.985,196.96,197.08,837187.0
2020-09-01,,201.66,195.79,201.66,1139341.0
2020-09-02,,209.67,201.25,209.18,1384324.0
2020-09-03,,209.39,202.18,204.84,2058662.0
2020-09-04,,206.82,202.87,204.76,1651138.0
2020-09-08,,203.29,195.17,197.88,1345848.0
2020-09-09,,205.09,199.955,203.0,1354513.0
2020-09-10,,205.62,201.46,201.87,841748.0
2020-09-11,,204.8625,202.135,203.6,1030946.0
2020-09-14,,207.03,204.4,204.89,1039046.0
2020-09-15,,208.33,205.98,206.63,1449221.0
2020-09-16,,209.535,207.65,207.82,1588003.0
2020-09-17,,208.49,204.92,207.5,1358696.0
2020-09-18,,208.2,203.81,204.02,2090421.0
2020-09-21,,200.97,195.885,198.47,759438.0
2020-09-22,,200.46,198.445,199.16,928640.0
2020-09-23,,200.0,194.7,195.2,1141045.0
2020-09-24,,197.37,192.42,194.61,973504.0
2020-09-25,,196.715,193.0,196.03,1034541.0
2020-09-28,,201.44,197.69,198.27,1341728.0
2020-09-29,,199.26,196.82,197.45,789795.0
2020-09-30,,201.63,198.08,199.84,1410341.0
2020-10-01,,203.75,196.12,197.08,1213036.0
2020-10-02,,199.84,194.5,198.06,1177023.0
2020-10-05,,202.29,199.09,199.39,1311756.0
2020-10-06,,201.9,196.19,196.43,1303886.0
2020-10-07,,203.28,199.57,201.4,1374406.0
2020-10-08,,203.47,201.32,201.46,856570.0
2020-10-09,,204.715,202.91,203.16,682757.0
2020-10-12,,206.18,201.97,202.73,1265518.0
2020-10-13,,204.49,200.85,201.05,1010538.0
2020-10-14,,203.41,201.12,201.31,684301.0
2020-10-15,,203.19,197.94,201.44,1071726.0
2020-10-16,,206.8,202.16,204.53,1137801.0
2020-10-19,,206.03,200.785,201.79,1010288.0
2020-10-20,,205.25,201.9,203.01,898489.0
2020-10-21,,206.205,202.29,203.21,1061006.0
2020-10-22,,205.83,202.3657,204.87,704934.0
2020-10-23,,207.74,204.04,204.87,759183.0
2020-10-26,,203.35,197.82,198.17,1161300.0
2020-10-27,,204.49,189.04,189.77,2403580.0
2020-10-28,,189.19,185.0,185.35,1217438.0
2020-10-29,,188.4,184.02,186.94,1222172.0
2020-10-30,,188.31,181.25,183.59,1171240.0
2020-11-02,,192.575,186.59,188.85,982942.0
2020-11-03,,194.27,189.66,192.61,979595.0
2020-11-04,,194.87,190.13,191.89,858807.0
2020-11-05,,198.02,194.44,196.42,934447.0
2020-11-06,,200.82,196.71,199.39,946106.0
2020-11-09,,220.21,208.85,216.9,2747502.0
2020-11-10,,220.61,210.83,212.23,1865431.0
2020-11-11,,213.88,207.72,209.83,1094330.0
2020-11-12,,209.88,201.11,203.48,1200881.0
2020-11-13,,208.71,204.96,208.43,1100192.0
2020-11-16,,215.02,209.56,213.38,870080.0
2020-11-17,,212.99,209.9,212.27,889767.0
2020-11-18,,213.39,209.44,209.44,846081.0
2020-11-19,,212.59,207.6,210.93,823030.0
2020-11-20,,212.34,209.75,210.66,884239.0
2020-11-23,,215.5,212.005,213.92,746642.0
2020-11-24,,221.72,216.39,219.31,1002232.0
2020-11-25,,220.48,216.91,218.03,781059.0
2020-11-27,,225.38,218.83,224.81,792727.0
2020-11-30,,224.7,219.46,222.15,2082049.0
2020-12-01,,226.32,221.585,224.02,1017216.0
2020-12-02,,224.54,218.95,219.14,913466.0
2020-12-03,,223.81,219.01,219.75,1014045.0
2020-12-04,,225.86,221.2,225.61,796267.0
2020-12-07,,225.03,221.76,222.74,815224.0
2020-12-08,,224.6,221.95,224.41,727742.0
2020-12-09,,226.56,222.96,225.9,750405.0
2020-12-10,,227.29,222.66,223.08,943620.0
2020-12-11,,224.5,220.28,221.25,749112.0
2020-12-14,,222.79,216.62,217.0,771981.0
2020-12-15,,224.09,218.08,222.95,961037.0
2020-12-16,,223.335,219.93,220.01,770603.0
2020-12-17,,222.595,219.79,220.61,941182.0
2020-12-18,,221.34,216.87,218.58,2339101.0
2020-12-21,,215.8999,210.79,215.81,1261823.0
2020-12-22,,217.6,214.38,215.21,959712.0
2020-12-23,,219.21,213.28,213.32,522343.0
2020-12-24,,216.36,212.06,216.12,279242.0
2020-12-28,,218.66,214.27,214.7,750296.0
2020-12-29,,216.925,213.365,214.47,409249.0
2020-12-30,,218.39,214.77,215.24,488594.0
2020-12-31,,216.84,214.725,216.36,758575.0
2021-01-04,,220.45,213.105,214.31,1493862.0
2021-01-05,,216.85,212.4303,216.56,736455.0
2021-01-06,,227.18,217.92,225.43,1329765.0
2021-01-07,,227.97,224.27,225.74,841679.0
2021-01-08,,226.48,218.6129,221.75,996769.0
2021-01-11,,221.97,218.86,221.06,689501.0
2021-01-12,,223.68,220.0,223.13,616886.0
2021-01-13,,223.26,216.14,216.96,1072303.0
2021-01-14,,219.028,212.13,212.43,829827.0
2021-01-15,,213.975,209.79,210.77,1258815.0
2021-01-19,,216.69,211.02,215.91,1035849.0
2021-01-20,,219.43,216.34,218.38,729002.0
2021-01-21,,220.0,213.93,214.01,741764.0
2021-01-22,,213.95,210.75,212.39,886905.0
2021-01-25,,213.0,208.0,211.26,765081.0
2021-01-26,,212.04,209.07,209.33,917658.0
2021-01-27,,209.0,201.55,207.37,1146738.0
2021-01-28,,217.115,207.1,211.1,1227025.0
2021-01-29,,211.56,203.67,204.51,1135066.0
2021-02-01,,209.11,204.69,208.43,1147641.0
2021-02-02,,211.485,208.16,210.28,939840.0
2021-02-03,,210.94,207.08,208.97,908841.0
2021-02-04,,210.6,205.79,208.13,1019163.0
2021-02-05,,214.07,210.88,212.78,839806.0
2021-02-08,,217.3,213.15,217.05,769294.0
2021-02-09,,217.68,215.12,215.56,934389.0
2021-02-10,,217.97,215.27,215.65,596583.0
2021-02-11,,218.58,214.47,216.4,925693.0
2021-02-12,,220.0,215.33,219.88,1012245.0
2021-02-16,,220.0,210.5,210.91,1128880.0
2021-02-17,,210.64,205.7,208.79,976452.0
2021-02-18,,211.07,206.21,209.8,804980.0
