date,open,high,low,close,volume
2020-08-06,,53.955,53.15,53.87,1748180.0
2020-08-07,,55.105,53.67,54.61,1674277.0
2020-08-10,,55.17,54.2,54.25,1478504.0
2020-08-11,,54.87,53.4,53.58,1597954.0
2020-08-12,,54.68,53.2,54.53,2070407.0
2020-08-13,,54.42,52.62,53.61,2780792.0
2020-08-14,,53.51,52.28,52.69,2451424.0
2020-08-17,,52.74,51.45,51.78,2393988.0
2020-08-18,,52.03,51.1,51.49,2460322.0
2020-08-19,,52.67,51.22,52.25,2379669.0
2020-08-20,,52.135,50.97,51.24,2069166.0
2020-08-21,,51.46,50.39,51.26,2490653.0
2020-08-24,,52.37,50.93,52.34,1432486.0
2020-08-25,,52.48,51.6,52.0,1321046.0
2020-08-26,,51.77,50.68,51.09,1653986.0
2020-08-27,,51.98,51.16,51.75,1703653.0
2020-08-28,,52.28,51.59,52.17,1793266.0
2020-08-31,,52.64,51.82,52.48,2434643.0
2020-09-01,,52.27,51.525,51.81,1705355.0
2020-09-02,,52.89,51.72,52.57,2455477.0
2020-09-03,,53.58,52.38,52.96,2144171.0
2020-09-04,,53.27,51.44,52.26,1886645.0
2020-09-08,,52.53,51.13,51.37,2605706.0
2020-09-09,,52.29,51.04,51.54,2541581.0
2020-09-10,,51.57,50.5,50.5,2906277.0
2020-09-11,,50.64,49.9,50.63,2664063.0
2020-09-14,,51.77,50.51,51.65,1812918.0
2020-09-15,,52.86,51.22,51.51,1896743.0
2020-09-16,,52.89,51.37,52.54,3972221.0
2020-09-17,,52.68,51.59,52.63,2993775.0
2020-09-18,,52.93,51.19,51.42,5225173.0
2020-09-21,,50.85,49.15,49.7,3130563.0
2020-09-22,,50.78,49.44,50.42,3118849.0
2020-09-23,,50.61,48.47,49.3,2650582.0
2020-09-24,,51.09,48.94,50.84,3167756.0
2020-09-25,,51.73,50.2,51.65,2519301.0
2020-09-28,,52.64,51.4699,51.89,2690780.0
2020-09-29,,51.7,50.93,51.02,1367971.0
2020-09-30,,51.63,50.515,50.84,2446423.0
2020-10-01,,51.14,50.26,50.44,2279265.0
2020-10-02,,51.55,50.0,51.5,2810170.0
2020-10-05,,52.86,51.59,52.61,2904482.0
2020-10-06,,55.12,52.305,53.86,2616018.0
2020-10-07,,55.17,54.07,54.94,1914758.0
2020-10-08,,56.13,54.95,56.1,2587293.0
2020-10-09,,56.73,55.78,56.09,1680729.0
2020-10-12,,56.59,55.655,56.27,1448813.0
2020-10-13,,56.43,55.53,56.28,1399183.0
2020-10-14,,56.84,55.65,56.24,1105949.0
2020-10-15,,57.445,55.53,56.81,1302208.0
2020-10-16,,58.55,56.62,58.11,2406053.0
2020-10-19,,58.35,57.45,58.26,1516142.0
2020-10-20,,59.99,58.51,59.75,2165020.0
2020-10-21,,59.79,58.94,59.05,2227334.0
2020-10-22,,60.08,58.59,59.89,1491795.0
2020-10-23,,60.86,60.0301,60.49,1862874.0
2020-10-26,,60.11,56.18,58.19,3657282.0
2020-10-27,,58.5486,57.32,57.81,2088868.0
2020-10-28,,59.09,56.54,56.56,2423729.0
2020-10-29,,56.78,55.06,56.07,2457813.0
2020-10-30,,56.55,54.83,56.04,1670709.0
2020-11-02,,57.59,56.0,57.55,1297321.0
2020-11-03,,59.25,58.09,58.41,1452743.0
2020-11-04,,59.42,57.39,57.43,1418608.0
2020-11-05,,59.71,57.99,59.38,1626854.0
2020-11-06,,59.7,58.01,58.32,1489708.0
