date,open,high,low,close,volume
2020-08-06,,51.08,50.26,50.89,3314958.0
2020-08-07,,49.19,45.07,48.81,8585577.0
2020-08-10,,50.63,48.64,50.46,4149320.0
2020-08-11,,52.78,49.23,49.42,5617641.0
2020-08-12,,50.34,48.62,49.09,4660370.0
2020-08-13,,49.15,47.38,47.42,3421507.0
2020-08-14,,47.98,46.9335,47.97,3590029.0
2020-08-17,,47.9,46.09,46.54,4732322.0
2020-08-18,,47.18,46.18,46.35,3236815.0
2020-08-19,,46.56,45.4403,45.61,2935402.0
2020-08-20,,45.3,44.09,44.1,4262288.0
2020-08-21,,44.12,42.98,43.39,4285760.0
2020-08-24,,44.965,43.36,44.33,6129224.0
2020-08-25,,45.13,44.05,44.38,3303472.0
2020-08-26,,44.36,43.01,43.26,3085068.0
2020-08-27,,45.1,43.2,44.95,5491488.0
2020-08-28,,46.25,44.76,46.21,3401037.0
2020-08-31,,46.25,45.01,45.34,3049834.0
2020-09-01,,45.375,44.39,45.21,2962679.0
2020-09-02,,45.14,43.53,43.7,5308094.0
2020-09-03,,44.6,42.78,43.13,5262658.0
2020-09-04,,43.92,42.55,43.14,4459637.0
2020-09-08,,42.36,40.03,40.83,5818062.0
2020-09-09,,42.34,40.95,41.86,3604144.0
2020-09-10,,41.82,37.99,38.0,7480713.0
2020-09-11,,39.19,37.9,39.05,5786561.0
2020-09-14,,39.76,38.54,39.17,3579523.0
2020-09-15,,39.78,38.43,38.59,4841617.0
2020-09-16,,41.58,38.65,40.86,6599866.0
2020-09-17,,41.2,39.56,41.19,3955623.0
2020-09-18,,41.55,40.31,40.71,6419013.0
2020-09-21,,40.11,38.29,38.81,4764097.0
2020-09-22,,39.7,37.9761,38.45,3813351.0
2020-09-23,,39.08,36.34,36.38,4079907.0
2020-09-24,,37.44,35.33,36.65,4488855.0
2020-09-25,,37.8,36.06,37.45,3404960.0
2020-09-28,,38.37,37.26,37.44,4219854.0
2020-09-29,,37.47,34.9,36.19,7045147.0
2020-09-30,,36.76,35.8,35.94,6069324.0
2020-10-01,,35.82,34.62,34.86,5139625.0
2020-10-02,,35.22,33.63,34.81,5483204.0
2020-10-05,,36.49,35.07,36.46,4171689.0
2020-10-06,,37.72,35.73,35.99,6078491.0
2020-10-07,,36.87,35.71,36.71,4577173.0
2020-10-08,,37.87,36.6706,37.67,3743983.0
2020-10-09,,38.17,37.175,37.56,3450540.0
2020-10-12,,38.405,36.66,38.21,3891715.0
2020-10-13,,40.15,38.485,38.64,7964038.0
2020-10-14,,39.21,37.6,37.62,6970241.0
2020-10-15,,38.24,36.16,38.08,4853849.0
2020-10-16,,39.85,36.65,37.42,10549190.0
2020-10-19,,37.5893,36.16,36.19,8529705.0
2020-10-20,,36.605,35.25,36.28,6170832.0
2020-10-21,,36.35,35.04,35.12,6379863.0
2020-10-22,,37.13,34.95,36.93,7299020.0
2020-10-23,,37.7119,36.695,37.51,4513679.0
2020-10-26,,36.77,34.655,34.93,5096643.0
2020-10-27,,35.185,34.26,34.58,7139500.0
2020-10-28,,33.69,31.97,32.51,8816403.0
2020-10-29,,34.04,31.22,33.97,6159794.0
2020-10-30,,34.26,33.02,34.24,4747874.0
2020-11-02,,35.77,33.4,35.15,4928659.0
2020-11-03,,35.97,34.53,35.02,3718945.0
2020-11-04,,36.89,34.22,36.04,6151871.0
2020-11-05,,36.47,35.31,35.6,5620878.0
2020-11-06,,37.13,34.04,34.58,8892689.0
2020-11-09,,41.78,39.1,40.31,11066632.0
2020-11-10,,42.25,39.57,42.19,6662991.0
2020-11-11,,43.04,41.2658,41.91,7183921.0
2020-11-12,,41.89,40.12,40.49,4787339.0
2020-11-13,,42.93,40.96,42.67,4891063.0
2020-11-16,,45.48,43.6458,45.35,7120562.0
2020-11-17,,45.8,43.95,45.67,5446427.0
2020-11-18,,47.41,44.85,44.93,5166093.0
2020-11-19,,45.61,44.11,45.46,4240454.0
2020-11-20,,46.02,44.57,45.39,3606368.0
2020-11-23,,50.46,46.05,50.38,6398870.0
2020-11-24,,54.7,51.83,54.42,10456622.0
2020-11-25,,54.78,53.0,53.0,7651354.0
2020-11-27,,53.38,51.13,51.43,2187033.0
2020-11-30,,50.81,46.72,46.88,9756592.0
2020-12-01,,48.82,46.45,46.53,4399441.0
2020-12-02,,49.07,46.31,47.82,9413825.0
2020-12-03,,48.85,47.72,48.17,16602159.0
2020-12-04,,53.01,49.26,53.0,7134595.0
2020-12-07,,52.67,51.1,51.57,5740070.0
2020-12-08,,52.23,51.02,52.15,4938297.0
2020-12-09,,54.51,52.0184,52.96,6984079.0
2020-12-10,,55.95,52.96,54.68,5295860.0
2020-12-11,,54.34,52.85,53.6,3980586.0
2020-12-14,,54.68,51.88,52.08,3986216.0
2020-12-15,,53.41,51.65,53.16,4129592.0
2020-12-16,,53.965,52.42,52.7,3468924.0
2020-12-17,,53.41,51.5,52.15,4093811.0
2020-12-18,,52.36,51.03,51.77,10613448.0
2020-12-21,,51.24,48.59,50.08,5410290.0
2020-12-22,,50.0,48.515,48.85,5066315.0
2020-12-23,,50.93,49.28,50.08,3695669.0
2020-12-24,,50.2013,49.04,49.6,2128499.0
2020-12-28,,50.34,48.79,48.94,2632896.0
2020-12-29,,49.83,48.2,48.67,2058615.0
2020-12-30,,50.65,48.34,50.56,2359952.0
2020-12-31,,50.45,49.53,49.87,2445786.0
2021-01-04,,50.95,48.6,49.86,4476325.0
2021-01-05,,55.315,50.37,53.92,5669243.0
2021-01-06,,56.16,53.73,55.06,6402380.0
2021-01-07,,59.26,55.25,58.62,5759340.0
2021-01-08,,59.69,57.9901,58.87,5862878.0
2021-01-11,,60.03,56.8,59.61,5734719.0
2021-01-12,,63.03,60.31,62.44,5557022.0
2021-01-13,,62.34,59.8,60.47,3841627.0
2021-01-14,,62.97,60.115,62.24,3785262.0
2021-01-15,,61.04,58.55,59.19,5157860.0
2021-01-19,,61.23,59.875,60.48,3019749.0
