date,open,high,low,close,volume
2020-08-06,,88.51,87.0844,88.1,1336470.0
2020-08-07,,89.8,87.8,89.02,1540804.0
2020-08-10,,89.47,88.15,88.55,1292315.0
2020-08-11,,88.69,85.9,86.09,1331398.0
2020-08-12,,88.35,86.4,87.91,1266397.0
2020-08-13,,88.31,87.15,87.92,792423.0
2020-08-14,,88.07,86.77,87.15,631633.0
2020-08-17,,88.5,86.65,87.46,1000733.0
2020-08-18,,87.9,86.34,86.94,945902.0
2020-08-19,,87.24,85.74,86.21,1070603.0
2020-08-20,,86.61,85.37,85.67,779170.0
2020-08-21,,86.7,84.875,86.54,1024904.0
2020-08-24,,86.45,84.4,85.88,1537088.0
2020-08-25,,86.31,84.74,84.93,1082555.0
2020-08-26,,84.635,83.04,84.01,1197855.0
2020-08-27,,84.82,83.19,84.28,1212415.0
2020-08-28,,85.02,83.24,84.77,1146183.0
2020-08-31,,85.86,84.53,85.71,2396842.0
2020-09-01,,85.36,83.43,83.66,1458119.0
2020-09-02,,86.76,83.18,86.47,1163706.0
2020-09-03,,87.66,85.24,86.08,1212438.0
2020-09-04,,86.51,84.54,86.08,1112220.0
2020-09-08,,86.37,84.8729,85.26,1281337.0
2020-09-09,,87.96,85.6,85.79,1154759.0
2020-09-10,,85.6092,83.29,83.34,1352424.0
2020-09-11,,83.65,81.52,82.16,2094728.0
2020-09-14,,83.49,81.675,82.91,2041411.0
2020-09-15,,85.16,83.23,83.97,1450943.0
2020-09-16,,84.46,83.31,83.36,1268563.0
2020-09-17,,82.78,81.4,81.93,1362289.0
2020-09-18,,81.8264,78.66,78.86,4042950.0
2020-09-21,,78.78,77.0,78.02,1421492.0
2020-09-22,,79.56,77.77,78.98,1479631.0
2020-09-23,,79.365,78.16,78.29,1272501.0
2020-09-24,,80.24,78.2,79.95,1484991.0
2020-09-25,,82.57,79.62,82.48,2012022.0
2020-09-28,,83.74,81.915,82.65,1313801.0
2020-09-29,,83.67,82.61,83.01,789758.0
2020-09-30,,84.17,82.64,83.55,1585199.0
2020-10-01,,85.48,83.6,85.45,1662014.0
2020-10-02,,87.63,84.64,87.05,1737375.0
2020-10-05,,89.56,86.83,89.49,1860922.0
2020-10-06,,91.37,88.7419,90.78,1698226.0
2020-10-07,,91.79,90.26,91.4,1280928.0
2020-10-08,,92.95,91.24,92.43,1169761.0
2020-10-09,,92.99,91.48,92.19,1283802.0
2020-10-12,,93.8,92.17,93.06,920278.0
2020-10-13,,92.92,91.18,92.66,1043539.0
2020-10-14,,92.7,91.24,91.83,1102994.0
2020-10-15,,91.88,90.395,91.02,1411868.0
2020-10-16,,92.18,90.46,91.42,1910246.0
2020-10-19,,92.41,90.81,91.08,1058417.0
2020-10-20,,92.98,91.21,92.24,1174434.0
2020-10-21,,92.92,91.63,92.08,873692.0
2020-10-22,,93.21,91.765,92.92,1059387.0
2020-10-23,,93.36,91.645,91.97,1228395.0
2020-10-26,,91.97,90.45,91.73,1687597.0
2020-10-27,,92.76,91.05,91.88,1791901.0
2020-10-28,,91.68,88.68,88.91,1360350.0
2020-10-29,,89.6,87.13,88.46,1629494.0
2020-10-30,,88.85,86.41,87.27,1444607.0
2020-11-02,,90.67,87.6801,90.59,1365063.0
2020-11-03,,92.66,90.9,91.98,1399298.0
2020-11-04,,93.05,90.99,91.29,1402731.0
2020-11-05,,93.57,91.76,92.2,1200767.0
2020-11-06,,94.09,91.63,92.78,1176069.0
2020-11-09,,96.66,93.41,93.53,1783487.0
2020-11-10,,94.44,92.8,93.66,1749510.0
2020-11-11,,95.01,93.4,94.42,1150537.0
2020-11-12,,94.44,91.71,92.31,1052317.0
2020-11-13,,93.96,92.47,93.29,864096.0
2020-11-16,,94.54,92.45,94.43,1018286.0
2020-11-17,,94.24,91.39,91.75,972474.0
2020-11-18,,92.36,89.59,89.75,1069061.0
2020-11-19,,89.834,87.35,88.19,1783558.0
2020-11-20,,89.41,87.82,88.63,1441623.0
2020-11-23,,89.11,87.475,87.79,947567.0
2020-11-24,,88.76,86.91,87.47,1385238.0
2020-11-25,,88.49,86.4,88.43,1636298.0
2020-11-27,,88.68,86.94,87.93,633536.0
2020-11-30,,88.4,86.54,87.51,2345595.0
2020-12-01,,89.16,87.55,88.22,1788326.0
2020-12-02,,88.33,87.1,88.15,1424349.0
2020-12-03,,88.1,86.455,86.81,1007802.0
2020-12-04,,87.13,84.7,85.54,1756981.0
2020-12-07,,87.13,85.01,86.74,1486662.0
2020-12-08,,86.8651,85.56,86.38,867335.0
2020-12-09,,86.56,85.32,86.02,959538.0
2020-12-10,,86.84,85.1,85.69,1444417.0
2020-12-11,,86.125,85.03,85.79,1236511.0
2020-12-14,,87.61,85.39,85.46,1303564.0
2020-12-15,,87.09,85.2,86.63,1354609.0
2020-12-16,,87.79,85.3,85.45,1882401.0
2020-12-17,,86.63,85.48,85.78,1842285.0
2020-12-18,,86.46,84.1,84.71,3717359.0
2020-12-21,,83.88,82.17,83.71,1935784.0
2020-12-22,,84.21,83.18,83.57,1933105.0
2020-12-23,,84.4,82.9,82.92,1619036.0
2020-12-24,,84.15,82.815,84.15,697688.0
2020-12-28,,85.1,84.29,85.04,1273874.0
2020-12-29,,85.93,84.94,85.19,1238882.0
2020-12-30,,85.83,84.8,85.33,853225.0
2020-12-31,,86.61,84.985,86.51,1135365.0
2021-01-04,,86.93,83.95,84.51,1770476.0
2021-01-05,,85.28,84.23,85.12,2225316.0
2021-01-06,,89.76,85.21,89.13,2937407.0
2021-01-07,,89.46,88.1,88.55,1774059.0
2021-01-08,,90.46,88.415,90.33,1629030.0
2021-01-11,,90.33,88.75,89.21,1418153.0
2021-01-12,,90.0,88.4,89.49,1209548.0
2021-01-13,,92.21,89.2237,90.16,2101274.0
2021-01-14,,90.69,87.1,89.57,2015718.0
2021-01-15,,90.14,87.885,88.57,2191024.0
2021-01-19,,89.19,87.02,87.14,1754637.0
2021-01-20,,87.86,86.08,87.62,1596640.0
2021-01-21,,87.53,86.5,87.13,1105664.0
2021-01-22,,88.01,86.12,87.41,1234239.0
2021-01-25,,90.3,87.0,90.29,1561804.0
2021-01-26,,90.46,88.84,89.89,1095166.0
2021-01-27,,90.93,88.33,88.53,2003957.0
2021-01-28,,91.23,88.55,89.14,1473888.0
2021-01-29,,89.24,87.28,87.5,2230286.0
2021-02-01,,88.7,87.05,87.8,914927.0
2021-02-02,,89.18,87.22,88.23,1046981.0
2021-02-03,,88.47,87.44,88.0,785493.0
2021-02-04,,88.81,87.04,88.28,954546.0
2021-02-05,,89.04,87.73,87.8,1144060.0
2021-02-08,,87.82,85.22,85.51,2134252.0
2021-02-09,,86.16,84.25,85.74,1101200.0
2021-02-10,,87.55,85.76,87.27,1545821.0
2021-02-11,,87.47,86.0315,86.23,959299.0
2021-02-12,,86.13,84.81,85.17,1027975.0
2021-02-16,,85.44,83.445,83.89,1263942.0
2021-02-17,,84.58,81.45,82.34,1752197.0
2021-02-18,,82.82,81.0,82.55,1513358.0
2021-02-19,,82.6,81.12,81.46,1561855.0
2021-02-22,,81.69,77.737,78.65,2400071.0
2021-02-23,,80.75,78.76,80.19,1773453.0
2021-02-24,,80.75,79.08,80.11,1671751.0
2021-02-25,,80.85,79.885,80.56,1472399.0
2021-02-26,,82.44,79.43,79.48,2362170.0
2021-03-01,,81.47,80.0,80.73,1330607.0
2021-03-02,,81.14,79.52,80.72,1473069.0
