date,open,high,low,close,volume
2020-08-06,,37.95,37.35,37.9,4525757.0
2020-08-07,,39.055,37.74,38.93,6261929.0
2020-08-10,,39.29,37.95,38.31,7763990.0
2020-08-11,,38.75,37.72,37.9,6477580.0
2020-08-12,,38.93,37.91,38.71,4890535.0
2020-08-13,,38.27,37.73,37.94,4095387.0
2020-08-14,,38.02,37.55,37.93,3313704.0
2020-08-17,,37.72,37.15,37.34,7655685.0
2020-08-18,,37.6101,36.89,37.07,4123642.0
2020-08-19,,37.4,36.89,37.02,4590506.0
2020-08-20,,37.24,36.28,36.31,3633104.0
2020-08-21,,36.585,35.97,36.52,6336109.0
2020-08-24,,37.74,36.54,37.69,5732081.0
2020-08-25,,37.8,36.85,37.13,3815976.0
2020-08-26,,37.3,36.55,37.275,6602568.0
2020-08-27,,37.5666,36.68,36.89,5470192.0
2020-08-28,,37.06,36.645,37.04,3930978.0
2020-08-31,,37.31,36.75,36.91,3984153.0
2020-09-01,,36.75,36.12,36.33,4373858.0
2020-09-02,,38.23,36.25,38.03,9580882.0
2020-09-03,,38.35,36.84,37.29,8410014.0
2020-09-04,,37.7,36.64,37.09,5989735.0
2020-09-08,,37.09,36.07,36.42,6070600.0
2020-09-09,,37.105,36.54,36.67,4467937.0
2020-09-10,,36.67,35.72,35.84,6101963.0
2020-09-11,,36.05,35.62,35.83,4602052.0
2020-09-14,,36.49,35.64,36.26,3664322.0
2020-09-15,,36.86,35.99,36.165,3310756.0
2020-09-16,,36.78,35.91,36.26,5631380.0
2020-09-17,,36.0,35.43,35.93,7085210.0
2020-09-18,,36.01,34.84,35.07,8477076.0
2020-09-21,,34.785,34.01,34.75,5216869.0
2020-09-22,,35.385,34.81,35.21,4448856.0
2020-09-23,,35.39,34.4,34.48,5043841.0
2020-09-24,,35.145,33.965,34.81,4594920.0
2020-09-25,,35.64,34.44,35.52,5196554.0
2020-09-28,,36.23,35.64,35.74,4661643.0
2020-09-29,,35.94,35.15,35.32,3278925.0
2020-09-30,,36.11,35.51,35.76,7059208.0
2020-10-01,,36.15,35.54,35.83,4727194.0
2020-10-02,,36.195,35.22,35.94,5178773.0
2020-10-05,,36.89,35.73,36.79,4998176.0
2020-10-06,,37.83,36.69,37.17,5710893.0
2020-10-07,,37.95,37.26,37.85,6227860.0
2020-10-08,,39.36,37.436,39.32,6929500.0
2020-10-09,,40.62,38.92,39.2,6014484.0
2020-10-12,,40.295,39.09,39.98,5940854.0
2020-10-13,,41.1197,39.92,40.98,12124401.0
2020-10-14,,41.75,40.98,41.03,9089313.0
2020-10-15,,41.48,40.315,41.4,5918793.0
2020-10-16,,42.17,41.17,42.09,6516543.0
2020-10-19,,42.285,41.8,41.86,8246954.0
2020-10-20,,42.66,42.04,42.4,6113320.0
2020-10-21,,42.77,42.12,42.14,4990413.0
2020-10-22,,42.29,41.575,42.23,4844992.0
2020-10-23,,42.65,41.95,42.2,4142908.0
2020-10-26,,41.765,41.04,41.7,6386740.0
2020-10-27,,42.005,41.14,41.15,5194860.0
2020-10-28,,40.83,39.425,39.57,6321729.0
2020-10-29,,40.565,38.8,40.16,5470756.0
2020-10-30,,40.25,39.46,39.89,7071659.0
2020-11-02,,40.975,39.94,40.96,5063709.0
2020-11-03,,42.99,41.62,42.47,6441796.0
2020-11-04,,42.94,41.65,42.22,8022245.0
2020-11-05,,43.36,42.31,43.07,7379248.0
2020-11-06,,43.17,42.61,42.84,8848182.0
2020-11-09,,46.02,43.11,43.32,8128001.0
2020-11-10,,43.67,42.92,42.99,10019998.0
2020-11-11,,43.85,42.88,43.835,5882684.0
2020-11-12,,43.63,42.385,42.7,5418055.0
2020-11-13,,42.95,42.51,42.89,3668734.0
2020-11-16,,43.51,42.63,43.34,4110897.0
2020-11-17,,43.54,42.81,43.07,4676072.0
2020-11-18,,43.38,42.68,42.7,5759432.0
2020-11-19,,42.58,41.78,42.35,5376687.0
2020-11-20,,42.56,41.78,41.87,4069937.0
2020-11-23,,42.3,41.395,41.57,4373778.0
2020-11-24,,42.81,41.87,42.75,4812111.0
2020-11-25,,42.56,41.78,42.22,3368949.0
2020-11-27,,42.31,41.585,41.74,1723438.0
2020-11-30,,41.52,40.92,41.07,9445750.0
2020-12-01,,41.88,41.1,41.25,5704755.0
2020-12-02,,41.61,40.72,41.57,5152715.0
2020-12-03,,41.65,40.8,41.05,4361370.0
2020-12-04,,41.34,40.53,40.93,3546301.0
2020-12-07,,41.445,40.66,41.195,3235857.0
2020-12-08,,41.39,40.61,41.32,4130692.0
2020-12-09,,41.47,40.97,41.09,4392419.0
2020-12-10,,41.38,40.551,41.2,4396124.0
2020-12-11,,41.29,40.705,41.19,3532441.0
2020-12-14,,42.09,41.03,41.06,4025620.0
2020-12-15,,42.83,41.275,42.72,8301152.0
2020-12-16,,43.11,42.18,42.44,7583779.0
2020-12-17,,43.115,42.605,42.65,5229598.0
2020-12-18,,43.03,42.34,42.57,9169932.0
2020-12-21,,42.21,41.11,41.51,4402792.0
2020-12-22,,41.965,41.48,41.76,3121752.0
2020-12-23,,42.43,41.65,41.71,3322921.0
2020-12-24,,41.95,41.41,41.83,1476671.0
2020-12-28,,42.63,41.985,42.21,2545093.0
2020-12-29,,42.44,41.67,41.83,2647909.0
2020-12-30,,42.25,41.72,41.93,2531495.0
2020-12-31,,42.28,41.705,42.22,3248447.0
2021-01-04,,42.54,40.845,41.17,5033744.0
2021-01-05,,41.47,40.84,41.11,3968325.0
2021-01-06,,42.81,41.32,42.45,6310598.0
2021-01-07,,42.56,41.73,42.03,5223143.0
2021-01-08,,42.41,41.901,42.21,4582762.0
2021-01-11,,42.56,41.61,41.86,5042880.0
2021-01-12,,42.18,41.41,42.08,5237791.0
2021-01-13,,42.95,41.946,42.8,4467271.0
2021-01-14,,43.01,42.3298,42.58,4328454.0
2021-01-15,,43.48,42.135,43.36,5060904.0
2021-01-19,,43.6425,42.82,42.82,4141504.0
2021-01-20,,43.115,42.435,43.05,4211639.0
2021-01-21,,43.28,42.49,43.02,3665305.0
2021-01-22,,42.9456,42.38,42.54,4189805.0
2021-01-25,,43.4,42.0802,43.35,6055877.0
2021-01-26,,43.28,42.45,42.85,4455727.0
2021-01-27,,42.83,40.935,41.02,7150355.0
2021-01-28,,42.84,41.0,42.04,5317780.0
2021-01-29,,41.99,41.0,41.56,6858925.0
2021-02-01,,42.32,41.2232,42.08,3650241.0
2021-02-02,,43.435,42.08,42.85,3889331.0
2021-02-03,,42.92,42.18,42.48,4831407.0
2021-02-04,,43.68,42.38,43.67,4526297.0
2021-02-05,,44.04,43.29,43.68,3978387.0
2021-02-08,,43.97,43.505,43.74,4314720.0
2021-02-09,,44.0,43.31,43.57,4408124.0
2021-02-10,,43.88,43.05,43.32,4259126.0
2021-02-11,,43.45,42.655,42.74,3455070.0
2021-02-12,,42.97,42.01,42.21,3442142.0
2021-02-16,,42.39,41.88,41.98,3210517.0
2021-02-17,,42.295,41.52,42.17,3163035.0
2021-02-18,,42.985,42.06,42.7,3492084.0
2021-02-19,,42.3,41.19,41.38,5333699.0
2021-02-22,,41.21,40.17,40.6,6255585.0
2021-02-23,,41.04,40.3302,40.8,5108227.0
2021-02-24,,41.26,40.0,40.19,7782691.0
2021-02-25,,40.0,38.355,38.92,9256318.0
2021-02-26,,39.48,38.57,38.6,8767007.0
2021-03-01,,39.88,39.0,39.31,5352471.0
2021-03-02,,39.7,39.27,39.31,5770412.0
2021-03-03,,39.74,38.85,39.53,6195791.0
2021-03-04,,40.53,39.33,39.77,8148160.0
2021-03-05,,39.775,39.13,39.64,7839455.0
2021-03-08,,41.17,39.45,40.69,8934866.0
2021-03-09,,41.71,40.54,41.53,7141554.0
2021-03-10,,42.08,41.27,41.86,7559409.0
2021-03-11,,42.7,41.69,42.03,6022652.0
2021-03-12,,42.67,42.04,42.59,4769778.0
2021-03-15,,43.39,42.645,43.36,4998126.0
2021-03-16,,43.52,42.85,43.36,5602565.0
2021-03-17,,43.49,42.75,42.97,5474585.0
2021-03-18,,43.29,42.52,42.7,5787709.0
2021-03-19,,43.24,42.19,42.97,8446203.0
2021-03-22,,42.9871,42.49,42.79,5309028.0
2021-03-23,,43.14,42.525,42.8,4836783.0
2021-03-24,,43.44,42.63,42.93,4431182.0
2021-03-25,,43.58,42.82,43.37,4192004.0
2021-03-26,,43.65,43.02,43.53,3996148.0
2021-03-29,,43.98,43.25,43.75,4392283.0
2021-03-30,,43.65,43.09,43.5,4295380.0
2021-03-31,,43.89,43.3,43.74,6001845.0
2021-04-01,,43.9799,43.51,43.91,4118308.0
2021-04-05,,44.745,43.98,44.48,4461440.0
2021-04-06,,44.715,44.18,44.56,4047318.0
2021-04-07,,45.07,44.6,44.95,4601898.0
2021-04-08,,45.28,44.87,44.9,5962336.0
2021-04-09,,45.12,44.715,44.83,4408222.0
2021-04-12,,45.2,44.62,44.74,4639972.0
2021-04-13,,45.32,44.5,45.17,5224584.0
2021-04-14,,45.46,45.04,45.45,3855653.0
2021-04-15,,45.845,45.27,45.77,5927163.0
2021-04-16,,46.365,45.8,46.16,4956888.0
2021-04-19,,46.28,45.42,45.5,4803683.0
2021-04-20,,45.92,45.41,45.8,6207561.0
2021-04-21,,46.0,45.5,45.68,4801448.0
2021-04-22,,45.74,45.015,45.08,4498352.0
2021-04-23,,45.29,44.875,44.91,4343773.0
2021-04-26,,44.9924,44.57,44.65,3090851.0
2021-04-27,,44.75,44.39,44.54,3640881.0
2021-04-28,,44.6599,44.23,44.61,4671105.0
2021-04-29,,45.1,44.38,44.89,4280058.0
2021-04-30,,44.98,44.63,44.94,5168103.0
2021-05-03,,45.45,44.785,44.89,4905566.0
2021-05-04,,44.971,44.49,44.78,6444707.0
2021-05-05,,44.85,43.0,43.53,8467887.0
2021-05-06,,44.52,43.14,44.48,4990538.0
2021-05-07,,45.15,44.42,44.68,4859460.0
2021-05-10,,45.175,44.48,44.52,6858345.0
2021-05-11,,44.78,43.83,44.44,5777371.0
2021-05-12,,44.59,42.945,43.105,6544618.0
2021-05-13,,44.52,42.8,44.41,7353422.0
2021-05-14,,45.14,44.45,45.09,5968220.0
2021-05-17,,45.25,44.69,45.09,7446755.0
2021-05-18,,45.725,44.892,45.65,8286774.0
2021-05-19,,46.14,45.06,45.54,15575400.0
2021-05-20,,46.03,45.45,45.74,4998697.0
2021-05-21,,46.14,45.47,45.84,5013485.0
2021-05-24,,46.27,45.705,46.03,5061838.0
2021-05-25,,46.12,44.81,44.91,5060192.0
2021-05-26,,45.41,44.87,45.17,5911275.0
2021-05-27,,45.47,44.55,44.6,8034742.0
2021-05-28,,45.27,44.75,45.12,4863679.0
2021-06-01,,45.255,44.83,45.14,5257538.0
2021-06-02,,45.52,45.0,45.2,4092784.0
2021-06-03,,45.9,43.75,45.77,7610407.0
2021-06-04,,45.89,45.46,45.6,4131020.0
2021-06-07,,45.92,45.58,45.86,3444906.0
2021-06-08,,45.97,45.63,45.75,3986921.0
2021-06-09,,46.45,45.73,46.36,4121194.0
2021-06-10,,46.96,46.38,46.71,5411780.0
2021-06-11,,46.92,46.455,46.91,4584284.0
2021-06-14,,47.13,46.52,47.11,4986918.0
2021-06-15,,47.24,46.92,47.11,6451301.0
2021-06-16,,47.3649,45.94,46.2,6116587.0
2021-06-17,,46.6,45.99,46.0,4689202.0
2021-06-18,,45.89,44.49,44.55,11791390.0
2021-06-21,,44.935,44.5,44.71,5325806.0
2021-06-22,,44.72,44.28,44.33,4180842.0
2021-06-23,,44.32,43.82,44.15,4183428.0
2021-06-24,,44.45,44.04,44.24,3214651.0
2021-06-25,,44.715,44.11,44.63,3778628.0
2021-06-28,,45.025,44.61,44.87,3116112.0
2021-06-29,,45.41,44.375,44.56,3740044.0
2021-06-30,,44.72,44.18,44.31,3852975.0
2021-07-01,,45.09,44.26,44.98,3099893.0
2021-07-02,,45.19,44.8,45.13,2345173.0
2021-07-06,,45.02,44.24,44.88,4057154.0
2021-07-07,,45.19,44.6,45.13,3086308.0
2021-07-08,,45.18,44.68,44.93,3102076.0
2021-07-09,,45.11,44.55,44.91,3012132.0
2021-07-12,,45.3,44.68,45.28,3646791.0
2021-07-13,,45.3,44.62,44.79,2722538.0
2021-07-14,,45.49,44.65,45.14,3711173.0
2021-07-15,,45.79,44.9,45.73,4658195.0
2021-07-16,,46.3,45.72,45.99,3808670.0
2021-07-19,,46.06,44.74,45.32,8116774.0
2021-07-20,,46.42,45.3,46.06,4848026.0
2021-07-21,,46.28,45.79,45.84,3721738.0
2021-07-22,,46.109,45.8,46.01,2945258.0
2021-07-23,,46.65,46.09,46.52,2522966.0
2021-07-26,,46.89,46.1472,46.41,4565875.0
2021-07-27,,47.36,46.11,47.24,3607989.0
2021-07-28,,47.39,46.6,46.98,3827140.0
2021-07-29,,47.49,47.08,47.32,3131116.0
2021-07-30,,47.62,46.72,46.8,3644493.0
2021-08-02,,47.4,46.7957,47.03,3858568.0
2021-08-03,,47.57,47.04,47.38,4365454.0
2021-08-04,,47.37,46.42,46.77,3902454.0
2021-08-05,,47.77,46.805,47.67,4121324.0
2021-08-06,,47.8763,47.31,47.6,3474830.0
2021-08-09,,47.6,47.1,47.43,2620014.0
2021-08-10,,47.82,47.22,47.57,3514889.0
2021-08-11,,48.26,47.67,48.2,3639803.0
2021-08-12,,48.17,47.755,48.03,3811056.0
2021-08-13,,48.4,48.035,48.35,2198703.0
2021-08-16,,49.1,48.41,48.58,6286868.0
2021-08-17,,48.405,47.74,48.36,4790302.0
2021-08-18,,48.44,47.96,48.22,5185576.0
2021-08-19,,49.1,48.28,48.79,3962298.0
2021-08-20,,49.415,48.46,49.36,6670082.0
2021-08-23,,49.45,48.8245,49.06,3685917.0
2021-08-24,,49.12,48.51,48.91,3315778.0
2021-08-25,,49.06,48.7,48.89,4870161.0
2021-08-26,,49.0,48.685,48.78,2671955.0
2021-08-27,,49.405,48.87,49.09,3790662.0
2021-08-30,,49.42,48.92,49.25,2965810.0
2021-08-31,,49.19,48.78,49.02,6201502.0
2021-09-01,,49.675,48.93,49.6,4079009.0
2021-09-02,,50.34,49.56,50.1,5057140.0
2021-09-03,,50.2,49.475,49.82,3535297.0
2021-09-07,,49.91,49.38,49.51,4971606.0
2021-09-08,,50.615,49.3215,50.36,5303693.0
2021-09-09,,50.62,49.98,50.23,4839590.0
2021-09-10,,50.54,49.87,49.91,5854535.0
2021-09-13,,50.985,50.205,50.56,6609188.0
2021-09-14,,50.98,50.21,50.38,6075823.0
2021-09-15,,50.94,50.045,50.85,8034951.0
2021-09-16,,50.73,50.13,50.18,5847834.0
2021-09-17,,50.77,49.55,49.86,13246169.0
2021-09-20,,50.21,49.04,49.71,6189041.0
2021-09-21,,49.81,48.99,49.02,4864508.0
2021-09-22,,49.6752,48.89,49.38,4986183.0
2021-09-23,,50.265,49.17,49.65,4084423.0
2021-09-24,,49.85,49.09,49.24,3893156.0
2021-09-27,,49.8,48.82,48.89,4575873.0
2021-09-28,,48.87,48.13,48.2,5334552.0
2021-09-29,,48.925,48.08,48.63,5627876.0
2021-09-30,,48.87,48.04,48.34,7111805.0
2021-10-01,,48.7,47.72,47.79,5669539.0
2021-10-04,,48.445,47.57,48.35,7695456.0
2021-10-05,,48.885,47.965,48.34,5959338.0
2021-10-06,,49.13,47.77,49.11,5024320.0
2021-10-07,,49.33,48.58,48.71,4951723.0
2021-10-08,,48.9,48.27,48.35,3423379.0
2021-10-11,,48.41,47.5,47.57,3130513.0
2021-10-12,,48.455,47.56,48.29,4428950.0
2021-10-13,,49.12,48.175,49.08,5351601.0
2021-10-14,,50.225,49.12,50.13,6212296.0
2021-10-15,,50.66,49.77,49.81,5783046.0
2021-10-18,,49.95,49.175,49.89,3752286.0
2021-10-19,,50.375,49.89,50.32,3422377.0
2021-10-20,,51.275,50.27,51.21,4269194.0
2021-10-21,,51.26,50.8,51.07,3052424.0
2021-10-22,,51.51,51.09,51.31,3423582.0
2021-10-25,,51.83,51.09,51.59,3374237.0
2021-10-26,,52.3,51.62,52.02,3732230.0
2021-10-27,,52.2999,51.53,51.98,4267858.0
2021-10-28,,52.8,51.97,52.75,5216383.0
2021-10-29,,53.54,52.59,53.19,6644042.0
2021-11-01,,54.03,52.58,53.89,5809317.0
2021-11-02,,54.18,53.41,53.74,5872938.0
2021-11-03,,54.7,53.45,54.05,5115861.0
2021-11-04,,54.18,53.495,54.11,6267056.0
2021-11-05,,54.65,54.07,54.14,4667848.0
2021-11-08,,54.24,52.625,53.12,5060217.0
2021-11-09,,54.21,53.12,54.09,5563562.0
2021-11-10,,54.51,53.78,54.45,3669381.0
2021-11-11,,54.74,54.01,54.7,4371447.0
2021-11-12,,54.765,54.17,54.4,5664532.0
2021-11-15,,54.79,54.03,54.77,3426841.0
2021-11-16,,54.86,54.185,54.25,3670454.0
2021-11-17,,54.28,53.33,53.58,6683046.0
2021-11-18,,53.87,53.19,53.54,4453280.0
2021-11-19,,53.8,53.22,53.61,4356431.0
2021-11-22,,54.595,53.54,53.96,4457271.0
2021-11-23,,54.49,53.78,54.38,3532794.0
2021-11-24,,54.655,54.0,54.51,2940200.0
2021-11-26,,54.32,53.3,53.43,3012093.0
2021-11-29,,54.35,53.43,54.17,4260072.0
2021-11-30,,53.92,52.3,52.73,10500430.0
2021-12-01,,53.74,52.23,52.29,5965966.0
2021-12-02,,53.51,52.63,52.92,7253548.0
2021-12-03,,53.45,51.7312,52.74,8362784.0
2021-12-06,,54.12,53.04,53.53,6123475.0
2021-12-07,,54.28,53.42,53.92,6598967.0
2021-12-08,,54.323,53.08,53.43,5205658.0
2021-12-09,,53.57,52.79,53.14,5295413.0
2021-12-10,,53.985,53.16,53.91,4410517.0
2021-12-13,,54.375,53.48,54.14,7262436.0
2021-12-14,,54.34,53.49,53.85,4893106.0
2021-12-15,,54.76,53.765,54.69,4664880.0
2021-12-16,,54.975,54.28,54.36,6513591.0
2021-12-17,,54.415,53.21,53.52,12719918.0
2021-12-20,,53.5,51.925,53.4,6644213.0
2021-12-21,,54.29,53.34,53.94,4584047.0
2021-12-22,,54.46,53.67,54.37,4291043.0
2021-12-23,,54.8862,54.39,54.49,3558392.0
2021-12-27,,54.855,54.365,54.81,2121361.0
2021-12-28,,55.64,54.7902,55.61,3271653.0
2021-12-29,,56.89,55.77,56.65,4715083.0
2021-12-30,,57.505,56.6301,57.35,5978298.0
2021-12-31,,58.011,56.912,57.76,3958375.0
2022-01-03,,57.16,55.75,57.07,10627511.0
2022-01-04,,57.625,56.6,57.01,8847915.0
2022-01-05,,57.82,56.87,56.97,9474522.0
2022-01-06,,57.12,56.58,56.73,5701835.0
2022-01-07,,57.19,56.24,56.64,8421392.0
2022-01-10,,57.03,56.251,56.82,8788690.0
2022-01-11,,56.84,55.11,55.62,9588258.0
2022-01-12,,56.05,55.245,55.99,9003760.0
2022-01-13,,56.93,56.215,56.49,10075197.0
2022-01-14,,56.63,56.02,56.24,7398297.0
2022-01-18,,56.23,55.33,56.04,10270801.0
2022-01-19,,56.88,56.0,56.49,8916775.0
2022-01-20,,57.925,56.54,56.98,8451084.0
2022-01-21,,57.45,56.485,56.77,9434445.0
2022-01-24,,57.19,54.65,56.1,10424506.0
2022-01-25,,56.08,55.1732,55.46,7965277.0
2022-01-26,,56.5,55.29,55.7,8396931.0
2022-01-27,,57.15,55.61,56.13,11090332.0
2022-01-28,,57.37,55.54,57.33,8445719.0
2022-01-31,,57.995,56.66,57.95,9653593.0
2022-02-01,,58.21,56.925,57.83,7534200.0
2022-02-02,,43.09,40.8,42.86,29696453.0
2022-02-03,,44.02,42.19,43.79,25588404.0
2022-02-04,,43.895,42.62,43.52,17454564.0
2022-02-07,,43.74,43.04,43.64,14387974.0
2022-02-08,,44.02,42.96,43.02,14755390.0
2022-02-09,,43.485,42.54,42.6,10408546.0
2022-02-10,,42.91,41.955,42.04,11356527.0
2022-02-11,,42.74,41.99,42.13,11253663.0
2022-02-14,,42.35,41.28,42.2,13118498.0
2022-02-15,,42.51,41.43,41.74,10471908.0
