date,open,high,low,close,volume
2020-08-06,,14.755,13.92,14.56,32396936.0
2020-08-07,,14.23,13.7,13.96,21502929.0
2020-08-10,,14.39,14.12,14.38,20340348.0
2020-08-11,,14.51,13.915,13.96,18693596.0
2020-08-12,,14.225,13.93,13.97,12151234.0
2020-08-13,,14.155,13.68,13.79,18398159.0
2020-08-14,,13.905,13.67,13.78,9468726.0
2020-08-17,,14.3,14.01,14.1,12494203.0
2020-08-18,,14.675,14.28,14.41,13817931.0
2020-08-19,,15.19,14.52,14.94,28188007.0
2020-08-20,,14.8,14.5002,14.7,14203438.0
2020-08-21,,14.48,14.22,14.36,11995028.0
2020-08-24,,14.7,14.355,14.56,12961304.0
2020-08-25,,14.65,14.4,14.46,9700076.0
2020-08-26,,15.05,14.37,15.01,15503695.0
2020-08-27,,15.34,14.87,14.9,17871030.0
2020-08-28,,15.7,15.17,15.65,16602042.0
2020-08-31,,15.89,15.485,15.61,15703978.0
2020-09-01,,16.205,15.63,16.18,19187083.0
2020-09-02,,16.34,15.8674,16.27,23644575.0
2020-09-03,,15.97,15.145,15.56,18885330.0
2020-09-04,,16.16,15.185,16.02,22204506.0
2020-09-08,,15.95,15.375,15.72,19525920.0
2020-09-09,,16.29,15.89,16.14,17618596.0
2020-09-10,,16.41,15.695,15.77,21030559.0
2020-09-11,,16.44,15.87,16.27,21315620.0
2020-09-14,,16.51,16.26,16.36,22673284.0
2020-09-15,,16.69,16.39,16.41,16973261.0
2020-09-16,,17.15,16.315,16.78,27883842.0
2020-09-17,,17.2,16.45,17.03,25347115.0
2020-09-18,,17.5,16.94,17.0,28245216.0
2020-09-21,,16.51,15.41,15.65,30364151.0
2020-09-22,,15.87,15.52,15.68,16701082.0
2020-09-23,,15.62,14.675,14.77,30911679.0
2020-09-24,,15.59,14.6701,15.38,29610368.0
2020-09-25,,15.385,14.77,15.3,16840012.0
2020-09-28,,15.94,15.425,15.9,17700294.0
2020-09-29,,15.92,15.31,15.32,13811761.0
2020-09-30,,15.8078,15.36,15.64,18587779.0
2020-10-01,,15.8,15.3,15.55,31048354.0
2020-10-02,,16.06,15.22,15.94,24305913.0
2020-10-05,,16.54,16.04,16.32,15916221.0
2020-10-06,,16.58,15.715,15.72,20524841.0
2020-10-07,,17.0,16.25,16.88,29141202.0
2020-10-08,,17.24,16.76,16.8,16856067.0
2020-10-09,,17.26,16.835,17.23,16063950.0
2020-10-12,,17.26,16.77,16.81,14512207.0
2020-10-13,,17.0,16.52,16.82,12961695.0
2020-10-14,,17.02,16.77,16.94,10073797.0
2020-10-15,,17.27,16.5,17.21,11772254.0
2020-10-16,,17.295,17.02,17.15,11448621.0
2020-10-19,,17.835,17.09,17.14,16021777.0
2020-10-20,,17.87,17.34,17.61,15947345.0
2020-10-21,,18.325,17.665,17.72,21698590.0
2020-10-22,,18.4,17.3,18.35,21623967.0
