date,open,high,low,close,volume
2020-08-06,,64.82,63.95,64.18,1631749.0
2020-08-07,,64.46,63.77,64.35,1885903.0
2020-08-10,,64.31,63.5101,63.75,2271039.0
2020-08-11,,63.9,62.01,62.14,4163015.0
2020-08-12,,63.54,62.24,63.06,2161090.0
2020-08-13,,63.33,62.57,62.97,1277084.0
2020-08-14,,63.6,62.95,63.27,2150840.0
2020-08-17,,64.4,63.18,64.28,1934148.0
2020-08-18,,65.06,63.67,64.63,2095686.0
2020-08-19,,64.98,64.42,64.46,1693729.0
2020-08-20,,64.48,63.93,64.21,1283747.0
2020-08-21,,64.26,63.37,64.02,1889709.0
2020-08-24,,64.23,63.52,64.13,1463579.0
2020-08-25,,64.6,63.77,63.9,1774964.0
2020-08-26,,64.35,63.63,64.25,2258714.0
2020-08-27,,65.16,64.39,64.71,2175432.0
2020-08-28,,64.71,63.0,63.39,3003550.0
2020-08-31,,64.155,63.29,63.95,2680748.0
2020-09-01,,64.08,62.49,63.12,2580891.0
2020-09-02,,64.73,62.95,64.5,2701486.0
2020-09-03,,65.52,62.4,62.97,3439883.0
2020-09-04,,63.44,62.35,63.15,2610946.0
2020-09-08,,63.35,59.145,59.52,5118688.0
2020-09-09,,60.78,59.52,59.98,4706818.0
2020-09-10,,60.13,58.38,58.49,3428660.0
2020-09-11,,59.05,57.84,58.54,3589385.0
2020-09-14,,59.64,58.275,58.76,3713786.0
2020-09-15,,59.49,58.245,59.02,2564301.0
2020-09-16,,59.54,58.67,58.75,2463515.0
2020-09-17,,58.6,57.315,57.58,4315463.0
2020-09-18,,58.06,57.15,57.32,5181261.0
2020-09-21,,58.2,56.92,57.87,3462975.0
2020-09-22,,58.77,57.63,57.99,3873259.0
2020-09-23,,59.37,57.48,57.72,5779867.0
2020-09-24,,59.32,57.98,58.7,4446688.0
2020-09-25,,60.28,59.29,59.67,5966343.0
2020-09-28,,60.495,59.15,59.9,2845046.0
2020-09-29,,60.24,59.43,59.86,2274367.0
2020-09-30,,62.03,59.79,61.68,7733791.0
2020-10-01,,62.68,60.77,62.57,6302561.0
2020-10-02,,63.29,61.98,62.52,4558373.0
2020-10-05,,63.03,62.25,62.68,2556816.0
2020-10-06,,62.6199,60.97,61.23,3403240.0
2020-10-07,,61.86,60.8,61.59,3254161.0
2020-10-08,,61.59,60.74,61.39,2487276.0
2020-10-09,,62.23,61.13,61.87,3109550.0
2020-10-12,,62.8563,61.8,62.35,2280920.0
2020-10-13,,62.865,62.17,62.72,2997036.0
2020-10-14,,62.94,61.91,62.09,1794815.0
2020-10-15,,62.99,61.54,62.7,2228336.0
2020-10-16,,62.9,62.32,62.37,3048028.0
2020-10-19,,62.58,61.15,61.29,2243572.0
2020-10-20,,61.76,60.97,61.12,2378056.0
2020-10-21,,61.42,60.73,60.97,1588689.0
2020-10-22,,61.47,60.31,61.31,1873439.0
2020-10-23,,61.965,61.19,61.78,1468785.0
2020-10-26,,61.938,60.66,60.98,2680698.0
2020-10-27,,61.71,60.81,61.12,2327791.0
2020-10-28,,61.06,59.47,59.52,3587168.0
2020-10-29,,59.945,58.72,59.22,2609834.0
2020-10-30,,59.63,58.67,59.12,2521205.0
2020-11-02,,60.57,59.44,59.73,2637784.0
2020-11-03,,61.705,60.15,60.89,2176509.0
2020-11-04,,61.775,60.41,60.47,2620224.0
2020-11-05,,61.68,60.52,60.56,2488116.0
2020-11-06,,61.36,60.5,61.07,2014871.0
2020-11-09,,61.67,58.3,58.36,4642480.0
2020-11-10,,58.97,57.24,58.92,6930379.0
2020-11-11,,60.21,58.49,59.89,3833323.0
2020-11-12,,60.5,58.98,60.49,4518843.0
2020-11-13,,61.085,60.25,60.97,1931454.0
2020-11-16,,61.27,59.89,61.21,3689633.0
2020-11-17,,61.54,60.53,61.28,3698427.0
2020-11-18,,62.0,60.85,61.13,4113001.0
2020-11-19,,62.02,60.5,62.0,2609598.0
2020-11-20,,62.36,60.89,61.36,3202408.0
2020-11-23,,61.44,60.685,61.02,3008138.0
2020-11-24,,61.55,60.21,60.57,3794490.0
2020-11-25,,61.09,59.93,60.0,3320914.0
2020-11-27,,60.35,59.81,60.13,1376069.0
2020-11-30,,60.85,59.62,60.82,4516597.0
2020-12-01,,61.43,60.45,61.31,3334883.0
2020-12-02,,61.84,59.95,60.22,3775505.0
2020-12-03,,60.63,59.92,60.44,3199207.0
2020-12-04,,60.81,60.01,60.44,3330933.0
2020-12-07,,60.57,59.52,59.74,3202854.0
2020-12-08,,60.53,59.59,60.4,2677251.0
2020-12-09,,60.46,59.1,59.33,3966673.0
2020-12-10,,59.6434,58.53,58.87,3729622.0
2020-12-11,,59.46,58.63,59.32,2387967.0
2020-12-14,,60.44,59.33,59.35,3643944.0
2020-12-15,,59.585,58.54,59.03,3494972.0
2020-12-16,,59.66,58.67,58.92,4137652.0
2020-12-17,,60.16,58.52,59.7,5159647.0
2020-12-18,,60.2,59.055,59.4,6833237.0
2020-12-21,,59.31,58.18,58.99,3248908.0
2020-12-22,,58.96,58.29,58.6,2820987.0
2020-12-23,,59.25,58.62,58.99,2564637.0
2020-12-24,,59.16,58.619,59.13,1127449.0
2020-12-28,,59.42,58.92,59.35,2708359.0
2020-12-29,,59.82,58.96,59.15,2363056.0
2020-12-30,,59.22,58.53,58.56,1994224.0
2020-12-31,,58.87,58.1,58.8,3408540.0
2021-01-04,,59.19,57.81,59.03,4582621.0
2021-01-05,,59.65,58.55,59.09,2777988.0
2021-01-06,,59.58,58.82,58.94,3701491.0
2021-01-07,,58.82,57.94,57.95,3455883.0
2021-01-08,,58.09,56.22,56.4,6764436.0
2021-01-11,,56.67,55.4,55.57,5634312.0
2021-01-12,,55.5146,53.96,54.37,10253605.0
2021-01-13,,55.79,54.14,55.39,8270951.0
2021-01-14,,55.76,54.48,55.75,6498899.0
2021-01-15,,56.67,55.15,56.24,8838185.0
2021-01-19,,56.63,55.625,55.67,3980658.0
2021-01-20,,55.68,54.52,55.34,4478585.0
2021-01-21,,55.53,54.91,55.29,3116613.0
2021-01-22,,56.09,54.76,55.97,4777573.0
2021-01-25,,58.285,55.89,57.9,7010903.0
2021-01-26,,59.215,57.4,59.13,6069097.0
2021-01-27,,61.46,59.01,60.4,7415061.0
2021-01-28,,61.2,58.57,59.36,8013868.0
2021-01-29,,60.19,57.98,58.1,7158026.0
2021-02-01,,58.49,57.05,57.55,5237923.0
2021-02-02,,58.35,57.0773,57.62,3860866.0
2021-02-03,,57.7,56.42,56.82,3854556.0
2021-02-04,,57.53,56.28,56.9,3237791.0
2021-02-05,,57.66,56.66,57.4,3199589.0
2021-02-08,,57.78,57.2,57.7,3043127.0
2021-02-09,,58.1,57.35,57.67,1800889.0
2021-02-10,,58.18,57.45,58.09,2738146.0
2021-02-11,,58.17,56.7,56.91,2920120.0
2021-02-12,,57.15,56.38,57.12,3463272.0
2021-02-16,,56.9,55.865,56.29,4228049.0
2021-02-17,,56.86,55.87,56.81,3097019.0
2021-02-18,,58.4,56.64,58.02,3075459.0
2021-02-19,,58.1348,56.48,56.5,3510739.0
2021-02-22,,56.615,55.57,56.17,3924145.0
2021-02-23,,57.055,55.95,56.82,3314969.0
2021-02-24,,56.91,56.16,56.2,3686393.0
2021-02-25,,56.84,55.575,55.84,3895068.0
2021-02-26,,56.13,54.87,55.01,5684534.0
2021-03-01,,55.52,54.63,54.74,5694454.0
2021-03-02,,55.31,54.31,55.07,4242425.0
2021-03-03,,55.33,54.61,54.89,3506039.0
2021-03-04,,56.32,54.9,55.29,5685121.0
2021-03-05,,57.06,55.28,56.78,6482342.0
2021-03-08,,58.3,56.59,57.76,4036682.0
2021-03-09,,58.41,57.27,57.4,3667446.0
2021-03-10,,59.26,56.91,58.56,6887646.0
2021-03-11,,58.88,58.12,58.13,5036947.0
2021-03-12,,58.8301,57.98,58.75,4352875.0
2021-03-15,,59.26,58.59,59.02,4473238.0
2021-03-16,,59.72,58.85,59.38,3935715.0
2021-03-17,,59.8806,59.16,59.39,3583497.0
2021-03-18,,60.2,59.18,59.9,4283658.0
2021-03-19,,60.43,59.63,60.07,8565970.0
2021-03-22,,61.63,59.56,61.45,6561755.0
2021-03-23,,62.02,61.0,61.19,5318356.0
2021-03-24,,59.48,57.81,58.62,10761711.0
2021-03-25,,60.27,58.15,59.53,6440732.0
2021-03-26,,61.15,58.73,60.97,5365185.0
2021-03-29,,62.6,61.0,62.49,6501929.0
2021-03-30,,62.7,61.67,61.79,4904398.0
2021-03-31,,62.24,61.16,61.32,5786094.0
2021-04-01,,61.48,60.18,60.92,7259371.0
2021-04-05,,62.01,61.01,61.53,4515698.0
2021-04-06,,62.06,61.13,61.74,5050547.0
2021-04-07,,62.1,61.17,61.39,3921181.0
2021-04-08,,61.27,60.735,60.95,3304063.0
2021-04-09,,61.2,59.64,60.13,3943095.0
