date,open,high,low,close,volume
2020-08-06,,206.29,203.83,204.25,1903975.0
2020-08-07,,208.8,202.45,208.27,3102202.0
2020-08-10,,210.64,208.04,209.38,2465866.0
2020-08-11,,216.95,210.53,211.06,4084252.0
2020-08-12,,215.95,209.27,212.13,2469109.0
2020-08-13,,212.2,207.69,208.39,2258510.0
2020-08-14,,209.48,206.61,207.97,2308456.0
2020-08-17,,207.85,202.53,203.07,3949160.0
2020-08-18,,203.58,201.1,201.31,3088450.0
2020-08-19,,206.1,201.77,203.02,2471752.0
2020-08-20,,203.28,200.34,201.85,1783717.0
2020-08-21,,203.35,199.82,202.43,1861180.0
2020-08-24,,207.43,201.32,207.34,3120453.0
2020-08-25,,210.49,205.17,206.0,2663877.0
2020-08-26,,207.28,205.03,207.22,2584644.0
2020-08-27,,213.0,206.41,210.15,3713669.0
2020-08-28,,212.0,207.09,207.71,3720272.0
2020-08-31,,206.41,203.63,204.87,3075317.0
2020-09-01,,206.71,203.01,205.46,2485729.0
2020-09-02,,210.93,205.37,210.04,3589360.0
2020-09-03,,215.23,205.83,207.56,3559395.0
2020-09-04,,213.35,205.32,210.94,3694699.0
2020-09-08,,209.96,201.27,202.48,4606060.0
2020-09-09,,204.83,202.03,202.22,4707608.0
2020-09-10,,205.35,199.55,200.01,2536887.0
2020-09-11,,201.91,198.95,200.92,2390792.0
2020-09-14,,203.3,200.67,201.34,2783848.0
2020-09-15,,202.585,197.98,198.0,3737669.0
2020-09-16,,203.8,198.07,200.68,3596062.0
2020-09-17,,199.89,194.51,194.83,4313082.0
2020-09-18,,196.65,192.3848,194.86,9604380.0
2020-09-21,,194.17,187.47,194.0,4929419.0
2020-09-22,,196.14,188.43,191.62,3384341.0
2020-09-23,,192.915,185.865,186.12,3145584.0
2020-09-24,,197.4594,187.05,195.11,5167067.0
2020-09-25,,195.39,189.6085,194.95,3146545.0
2020-09-28,,201.865,197.15,199.07,3313403.0
2020-09-29,,198.77,195.43,196.79,2430679.0
2020-09-30,,203.08,198.36,200.97,3114215.0
2020-10-01,,203.13,197.8738,198.55,2317594.0
2020-10-02,,200.6999,195.29,199.9,2574155.0
2020-10-05,,202.84,199.59,201.8,2582576.0
2020-10-06,,206.09,199.9,201.09,2870072.0
2020-10-07,,205.0,201.17,203.6,2384179.0
2020-10-08,,208.16,204.11,207.98,2356239.0
2020-10-09,,209.81,206.07,207.54,3068308.0
