date,open,high,low,close,volume
2020-08-06,,152.8998,150.34,152.58,2550199.0
2020-08-07,,155.26,151.86,155.11,2555716.0
2020-08-10,,159.875,155.16,159.43,2889227.0
2020-08-11,,163.25,160.1,160.28,3845250.0
2020-08-12,,162.815,158.99,160.07,2709564.0
2020-08-13,,159.65,157.5695,158.98,2621933.0
2020-08-14,,160.87,157.96,160.28,2881013.0
2020-08-17,,160.88,158.05,158.76,2844087.0
2020-08-18,,159.76,157.22,157.38,1899748.0
2020-08-19,,158.13,156.16,156.85,2126191.0
2020-08-20,,157.02,155.21,156.17,1636423.0
2020-08-21,,157.76,155.96,157.5,2641343.0
2020-08-24,,159.45,156.51,159.37,2126948.0
2020-08-25,,166.9994,163.52,164.53,7568050.0
2020-08-26,,166.4258,163.34,165.31,3536394.0
2020-08-27,,168.69,165.09,165.99,4333144.0
2020-08-28,,168.7,165.46,168.38,13058599.0
2020-08-31,,168.59,164.69,165.55,4638737.0
2020-09-01,,168.155,163.5,167.97,4037398.0
2020-09-02,,172.93,167.915,172.47,4173856.0
2020-09-03,,173.8203,165.0624,166.3,3586872.0
2020-09-04,,169.66,164.58,166.69,3396664.0
2020-09-08,,166.435,163.2971,164.27,2853392.0
2020-09-09,,167.55,164.86,165.75,2848588.0
2020-09-10,,167.3,163.82,164.27,2861944.0
2020-09-11,,167.45,164.27,166.45,2145291.0
2020-09-14,,169.54,167.37,168.47,2164378.0
2020-09-15,,169.99,168.0687,168.3,1879672.0
2020-09-16,,171.36,168.476,170.0,3191172.0
2020-09-17,,171.45,166.71,170.34,2696152.0
2020-09-18,,170.47,167.7,168.7,5680925.0
2020-09-21,,165.18,158.5941,161.37,4510254.0
2020-09-22,,163.0,160.12,162.68,2552551.0
2020-09-23,,163.9,157.83,158.79,2546547.0
2020-09-24,,160.915,156.851,158.76,2282708.0
2020-09-25,,162.06,157.17,161.49,2632228.0
2020-09-28,,166.15,163.23,164.64,2571604.0
2020-09-29,,166.23,163.47,164.51,2231662.0
2020-09-30,,167.92,163.02,164.61,2929800.0
2020-10-01,,167.14,162.1167,163.68,2445540.0
2020-10-02,,167.0,161.35,165.61,2398604.0
2020-10-05,,169.25,166.74,168.72,1774628.0
2020-10-06,,171.42,166.62,166.89,2373639.0
2020-10-07,,172.195,168.52,171.55,2059365.0
2020-10-08,,173.87,171.48,173.78,2010508.0
2020-10-09,,176.06,173.265,174.38,2678333.0
2020-10-12,,176.98,174.12,175.36,3442379.0
2020-10-13,,174.935,170.52,171.55,2382397.0
2020-10-14,,174.96,172.8,173.47,2435427.0
2020-10-15,,173.535,170.33,172.61,2475219.0
2020-10-16,,176.4,172.8,174.86,3813637.0
2020-10-19,,175.16,171.05,171.59,2138000.0
2020-10-20,,175.72,172.47,173.26,1616145.0
2020-10-21,,175.2199,172.545,172.87,1859963.0
2020-10-22,,177.25,173.04,176.85,1909232.0
2020-10-23,,178.6395,173.66,175.54,2030607.0
2020-10-26,,173.2,167.5971,170.17,2352094.0
2020-10-27,,169.85,166.66,166.75,2051019.0
2020-10-28,,165.51,160.97,161.16,3289026.0
2020-10-29,,165.74,159.42,164.6,3160328.0
2020-10-30,,165.76,161.05,164.95,4434489.0
2020-11-02,,174.5,168.11,173.61,4262615.0
2020-11-03,,180.39,174.25,179.21,3762110.0
2020-11-04,,182.43,173.28,178.91,4386135.0
2020-11-05,,184.38,180.22,183.28,4626484.0
2020-11-06,,186.0,182.875,184.27,3118948.0
2020-11-09,,210.0,193.42,196.99,7957862.0
2020-11-10,,203.02,198.13,201.98,5956385.0
2020-11-11,,202.95,198.34,199.29,3296040.0
2020-11-12,,199.305,195.68,197.24,2703533.0
2020-11-13,,201.895,198.84,201.54,2384472.0
2020-11-16,,209.61,203.395,208.59,4973572.0
2020-11-17,,206.91,203.36,205.33,3504996.0
2020-11-18,,204.97,200.96,201.11,4488152.0
2020-11-19,,203.09,199.8901,202.72,3322722.0
2020-11-20,,203.33,200.5,202.0,2483548.0
2020-11-23,,205.3,203.42,204.58,2850433.0
2020-11-24,,208.79,206.74,207.89,4109353.0
2020-11-25,,208.6382,206.55,207.68,2465480.0
2020-11-27,,209.42,207.6,209.41,1434163.0
2020-11-30,,208.25,203.92,203.92,6513804.0
2020-12-01,,209.8326,205.93,206.2,3844457.0
2020-12-02,,209.04,205.97,208.0,2513895.0
2020-12-03,,209.44,206.41,208.22,2817050.0
2020-12-04,,212.89,209.39,212.68,3254640.0
2020-12-07,,211.79,209.35,211.1,2641265.0
