date,open,high,low,close,volume
2020-08-06,,120.7075,119.5029,120.5736,3627395.158
2020-08-07,,119.5698,117.7916,119.4646,3892838.578
2020-08-10,,121.6444,119.6796,121.5201,4229818.984
2020-08-11,,124.7323,121.0421,121.1759,5344198.096
2020-08-12,,122.1702,120.3403,121.1281,3747284.54
2020-08-13,,120.8317,119.283,119.5315,3386893.608
2020-08-14,,120.0382,118.4608,119.761,3181890.16
2020-08-17,,120.0669,118.9388,118.9675,3584229.876
2020-08-18,,119.9809,118.7763,119.4264,3083805.694
2020-08-19,,119.9809,118.0688,118.3939,3989961.77
2020-08-20,,118.5851,117.4092,117.7342,2736565.074
2020-08-21,,118.0537,116.9312,117.7438,3730225.326
2020-08-24,,120.5163,117.935,120.153,4330518.45
2020-08-25,,121.2428,119.0153,119.1587,3190756.056
2020-08-26,,119.6176,118.499,118.7094,3609163.378
2020-08-27,,119.5985,118.5277,119.1683,3628434.882
2020-08-28,,119.7897,118.7559,119.5698,3294038.096
2020-08-31,,119.7419,117.6195,117.8872,5123883.3
2020-09-01,,118.499,116.7782,117.9732,3397606.74
2020-09-02,,123.0402,118.1405,122.543,6988118.892
2020-09-03,,124.2352,118.2122,118.9771,6067064.638
2020-09-04,,119.8375,115.9082,116.9216,6365896.378
2020-09-08,,117.4665,115.4015,115.8795,5553983.856
2020-09-09,,118.26,115.956,116.8834,4053623.422
2020-09-10,,118.1419,114.9522,115.2581,4353690.488
2020-09-11,,117.304,115.4207,116.1185,3793925.68
2020-09-14,,117.9541,116.4054,116.7208,3864698.04
2020-09-15,,117.9732,116.8642,117.0554,3111010.062
2020-09-16,,120.2868,117.3136,118.7572,4070051.898
2020-09-17,,120.0287,116.6061,119.4264,3387921.826
2020-09-18,,119.4264,117.2562,117.3614,6534351.54
2020-09-21,,115.392,113.3652,114.9618,5710514.618
2020-09-22,,116.109,114.2734,115.2103,3166081.962
2020-09-23,,116.2428,113.2218,113.6042,4175861.074
2020-09-24,,114.2591,111.3576,112.8967,3812503.686
2020-09-25,,114.1587,111.7973,113.7189,3158949.288
2020-09-28,,116.9503,115.1147,116.3767,3731489.94
2020-09-29,,116.8124,114.9235,115.6214,2278208.92
2020-09-30,,117.5048,115.4876,116.3193,3466371.826
2020-10-01,,117.8776,115.0621,115.7648,3415688.942
2020-10-02,,116.3958,113.5946,115.2677,3145349.196
2020-10-05,,117.3518,115.7266,116.6444,3256573.514
2020-10-06,,119.3403,116.2428,116.6061,4123847.678
2020-10-07,,118.9197,116.9407,118.6138,2999675.914
2020-10-08,,129.5411,124.0631,125.7075,26806936.116
2020-10-09,,126.195,121.9885,122.1702,8881132.036
2020-10-12,,122.6099,120.8795,121.6157,4970846.178
2020-10-13,,121.5583,118.9866,119.5985,5798808.524
2020-10-14,,121.3576,119.6272,120.4015,3969642.174
2020-10-15,,119.7084,118.4034,119.3977,3631764.3
2020-10-16,,120.87,119.173,120.392,5185788.718
2020-10-19,,121.7495,119.5793,120.0,7913196.062
2020-10-20,,114.8662,111.7017,112.2084,22850394.046
2020-10-21,,112.5142,109.7419,110.0,10415381.824
2020-10-22,,110.956,108.0115,110.6692,8316644.538
2020-10-23,,111.4914,110.4493,110.8987,4170930.23
2020-10-26,,109.847,106.9216,107.2849,7637312.516
2020-10-27,,107.2849,105.1912,105.6979,6291850.038
2020-10-28,,104.9044,101.262,101.9598,10022529.328
2020-10-29,,104.8184,101.8642,104.1205,7223796.29
2020-10-30,,106.8834,103.0115,106.7495,8379055.174
2020-11-02,,108.8207,107.3136,107.9446,5678242.38
2020-11-03,,110.5641,108.6329,109.1396,4493158.898
2020-11-04,,108.9006,106.2715,106.979,6253492.172
2020-11-05,,110.2199,108.0402,109.7228,5234519.766
2020-11-06,,110.0382,108.4034,109.0249,5567893.564
2020-11-09,,114.4742,110.2008,110.4493,9658189.746
2020-11-10,,112.9732,111.1377,112.7247,6011898.598
2020-11-11,,113.1453,111.109,112.0459,4563881.05
2020-11-12,,111.2524,108.4895,109.4646,6918897.75
2020-11-13,,112.2084,109.9522,111.7113,4965565.97
2020-11-16,,113.3365,111.9694,113.1549,5682676.374
2020-11-17,,113.327,111.9216,112.5239,4406833.564
2020-11-18,,113.652,111.6157,111.6348,4921414.31
2020-11-19,,112.2849,110.7935,112.0268,3673236.108
2020-11-20,,112.8489,111.5583,111.7973,5399169.58
2020-11-23,,115.2151,112.1128,114.8088,5978144.178
2020-11-24,,119.2447,115.4924,118.9484,8214583.18
2020-11-25,,118.8623,116.74,118.738,4436661.3
2020-11-27,,119.8021,118.4608,118.8815,2187380.556
2020-11-30,,119.5029,117.6769,118.088,6358038.826
2020-12-01,,120.2964,117.6673,117.7438,5640483.872
2020-12-02,,119.1587,117.0268,119.1396,3948277.624
2020-12-03,,119.369,117.8681,118.174,4819156.304
2020-12-04,,121.7782,118.2027,121.6061,5852595.936
2020-12-07,,121.3862,119.0918,119.2161,8800100.508
2020-12-08,,120.7744,119.1587,120.1816,5764105.382
2020-12-09,,122.0746,120.1721,121.2141,6884016.788
2020-12-10,,121.348,119.4455,119.4646,5206571.692
2020-12-11,,119.9904,118.174,118.805,4767959.834
2020-12-14,,120.6917,118.0402,118.0975,5365879.584
2020-12-15,,120.392,118.0115,120.392,4625847.136
2020-12-16,,121.0065,119.7763,120.0287,4830336.998
2020-12-17,,120.5449,119.4168,120.0287,4040241.944
2020-12-18,,120.8413,119.4742,120.3155,8906153.402
2020-12-21,,118.7189,116.3671,117.9637,6517070.574
2020-12-22,,118.7572,117.0268,118.174,4603629.05
2020-12-23,,119.7036,118.2983,118.4512,2901336.224
2020-12-24,,119.5985,118.7476,119.2065,1842133.612
2020-12-28,,121.0325,118.9866,119.3308,3876401.734
2020-12-29,,119.9618,117.8203,118.3556,3697106.874
2020-12-30,,119.3595,118.1931,118.8719,3631277.91
2020-12-31,,120.4876,118.5373,120.3442,3808714.028
2021-01-04,,120.3799,117.6291,118.4895,5559175.154
2021-01-05,,121.109,119.13,120.5927,6497179.838
2021-01-06,,126.0803,121.1472,123.6042,8412663.154
2021-01-07,,124.7228,122.6195,123.3174,4837978.028
2021-01-08,,123.6329,121.3958,122.8776,4998211.63
