date,open,high,low,close,volume
2020-08-06,,48.82,48.1,48.57,23795529.0
2020-08-07,,48.65,47.7,48.03,36765228.0
2020-08-10,,49.39,48.06,49.22,37442609.0
2020-08-11,,49.73,48.06,48.19,35348092.0
2020-08-12,,49.26,48.24,49.19,30687169.0
2020-08-13,,49.33,48.385,48.56,24774512.0
2020-08-14,,49.21,48.65,48.89,22321168.0
2020-08-17,,49.305,48.73,48.93,20018273.0
2020-08-18,,49.57,48.62,48.65,19251395.0
2020-08-19,,48.98,48.25,48.33,27774975.0
2020-08-20,,50.2,49.0,49.17,55081342.0
2020-08-21,,49.31,48.65,49.28,33316470.0
2020-08-24,,49.4,48.82,49.14,36295307.0
2020-08-25,,49.88,49.21,49.43,38384329.0
2020-08-26,,49.67,49.23,49.55,28616620.0
2020-08-27,,49.93,49.17,49.4,24420613.0
2020-08-28,,50.8,49.46,50.43,35384684.0
2020-08-31,,51.5,50.32,50.95,46096133.0
2020-09-01,,51.0,50.22,50.79,30387707.0
2020-09-02,,52.68,51.09,52.25,53000730.0
2020-09-03,,52.62,50.135,50.39,47374840.0
2020-09-04,,51.23,49.49,50.08,43318369.0
2020-09-08,,49.9,48.85,48.91,39700694.0
2020-09-09,,49.9684,49.04,49.62,33437273.0
2020-09-10,,50.09,48.71,48.96,32649149.0
2020-09-11,,50.05,48.95,49.28,29333570.0
2020-09-14,,49.72,48.85,49.41,27200491.0
2020-09-15,,50.6,49.73,50.0,27598263.0
2020-09-16,,51.03,50.165,50.37,26555283.0
2020-09-17,,50.485,49.3,50.32,26959934.0
2020-09-18,,50.5,49.04,49.89,50084095.0
2020-09-21,,49.745,48.83,49.72,27377117.0
2020-09-22,,50.21,49.47,49.95,22290855.0
2020-09-23,,50.145,48.66,48.82,30078801.0
2020-09-24,,49.64,48.42,49.16,29328397.0
2020-09-25,,50.28,48.75,49.94,26633411.0
2020-09-28,,51.46,50.16,51.43,29652247.0
2020-09-29,,51.735,50.95,51.19,19687447.0
2020-09-30,,52.38,51.15,51.78,27711346.0
2020-10-01,,52.72,51.99,52.24,22127580.0
2020-10-02,,51.9789,50.99,51.01,25811766.0
2020-10-05,,51.81,51.27,51.69,20883245.0
2020-10-06,,52.7,51.23,51.37,25642790.0
2020-10-07,,52.9,51.79,52.67,21978673.0
2020-10-08,,53.58,52.67,53.37,22369537.0
2020-10-09,,53.85,52.67,52.82,24343898.0
2020-10-12,,54.2,53.21,53.88,27303474.0
2020-10-13,,54.29,53.62,53.83,20005769.0
2020-10-14,,54.4,53.51,53.55,21885105.0
2020-10-15,,53.98,52.62,53.85,18272865.0
2020-10-16,,54.7,53.9,54.16,23421388.0
2020-10-19,,56.23,53.84,54.58,43537219.0
2020-10-20,,54.7,53.27,53.43,27124899.0
2020-10-21,,54.07,52.82,53.5,21325025.0
2020-10-22,,54.22,53.07,53.9,41522739.0
2020-10-23,,48.665,47.66,48.2,96941490.0
2020-10-26,,47.86,46.25,46.72,54161291.0
2020-10-27,,46.41,45.36,45.64,50130518.0
2020-10-28,,45.285,44.2,44.25,44866011.0
2020-10-29,,44.47,43.9201,44.11,36796801.0
2020-10-30,,44.795,43.61,44.28,46794171.0
2020-11-02,,45.055,44.24,44.46,32856742.0
2020-11-03,,45.46,44.7,44.85,33587541.0
2020-11-04,,46.15,44.78,45.7,34630153.0
2020-11-05,,46.38,45.525,45.68,31103209.0
2020-11-06,,45.795,44.9,45.39,36179425.0
2020-11-09,,47.35,45.54,45.6,48481729.0
2020-11-10,,46.48,45.25,45.44,39224462.0
2020-11-11,,46.455,45.86,46.35,31496938.0
2020-11-12,,46.19,44.55,44.95,42909915.0
2020-11-13,,45.58,44.97,45.46,30898107.0
2020-11-16,,46.75,45.79,46.19,36306293.0
2020-11-17,,46.12,45.405,45.53,30902061.0
2020-11-18,,45.685,45.04,45.06,32817918.0
