date,open,high,low,close,volume
2020-08-06,,98.1,96.54,97.24,10681841.0
2020-08-07,,99.49,96.56,99.38,14908314.0
2020-08-10,,102.04,100.0343,100.64,15211636.0
2020-08-11,,106.16,103.51,103.82,32139595.0
2020-08-12,,106.43,101.71,102.94,19566785.0
2020-08-13,,103.36,101.635,102.37,13832540.0
2020-08-14,,103.31,101.42,102.41,12332586.0
2020-08-17,,102.0,99.53,99.71,15124804.0
2020-08-18,,99.91,98.12,98.32,13461786.0
2020-08-19,,100.59,98.34,98.55,13711233.0
2020-08-20,,98.03,96.8,97.37,13844552.0
2020-08-21,,98.565,96.94,97.32,12873497.0
2020-08-24,,100.21,97.42,100.06,18101162.0
2020-08-25,,101.98,99.8,100.5,13913667.0
2020-08-26,,100.27,99.05,99.09,12245046.0
2020-08-27,,102.65,99.0,102.35,22377006.0
2020-08-28,,103.25,101.81,102.77,14073039.0
2020-08-31,,102.18,100.02,100.19,14364229.0
2020-09-01,,100.8712,99.04,100.14,11863734.0
2020-09-02,,101.94,99.56,101.65,14677738.0
2020-09-03,,104.99,100.64,101.33,23553764.0
2020-09-04,,105.21,101.37,103.52,26667981.0
2020-09-08,,103.57,99.48,99.92,22530504.0
2020-09-09,,101.69,99.56,100.87,13608808.0
2020-09-10,,102.42,99.64,99.83,16105571.0
2020-09-11,,101.36,99.59,101.07,14070621.0
2020-09-14,,103.46,101.37,102.47,19155829.0
2020-09-15,,102.85,99.14,99.28,23899586.0
2020-09-16,,101.13,98.76,99.7,19534197.0
2020-09-17,,99.3433,97.71,98.56,18479405.0
2020-09-18,,99.49,97.44,98.35,22283418.0
2020-09-21,,96.05,93.82,95.31,28796357.0
2020-09-22,,95.66,93.67,94.27,19482652.0
2020-09-23,,95.35,92.6617,92.74,20177859.0
2020-09-24,,94.3,91.38,92.66,18586495.0
2020-09-25,,93.715,91.87,93.47,13448053.0
2020-09-28,,96.93,94.35,96.16,21077983.0
2020-09-29,,96.03,94.332,95.35,12962816.0
2020-09-30,,97.1975,95.26,96.27,16529073.0
2020-10-01,,97.77,96.03,96.97,15986030.0
2020-10-02,,98.59,95.09,97.89,15371202.0
2020-10-05,,99.25,97.53,99.04,14070815.0
2020-10-06,,100.86,97.5101,98.02,19456486.0
2020-10-07,,100.35,98.6658,99.73,16584730.0
2020-10-08,,101.92,99.895,101.78,15814773.0
2020-10-09,,102.105,100.11,101.2,13921597.0
2020-10-12,,103.0,100.85,102.44,16268066.0
2020-10-13,,103.22,100.26,100.78,22139122.0
2020-10-14,,101.925,100.1,100.22,15479521.0
2020-10-15,,101.78,99.04,101.72,16191992.0
2020-10-16,,102.33,100.723,101.51,14067898.0
2020-10-19,,101.87,99.56,99.8,11851061.0
2020-10-20,,101.77,100.12,100.37,11396495.0
2020-10-21,,100.99,99.33,99.37,10914818.0
2020-10-22,,103.24,99.31,102.88,14956179.0
2020-10-23,,104.45,102.93,103.81,14529512.0
2020-10-26,,102.7,100.25,101.24,12605409.0
2020-10-27,,100.92,99.16,99.33,10521877.0
2020-10-28,,98.3,96.07,96.54,16658093.0
2020-10-29,,97.98,95.2397,97.17,14423300.0
2020-10-30,,98.42,96.23,98.04,15411439.0
2020-11-02,,100.88,97.86,100.25,15245666.0
2020-11-03,,104.74,102.69,103.41,17813814.0
2020-11-04,,102.07,98.93,100.25,19151576.0
2020-11-05,,105.095,101.0,104.35,18032091.0
2020-11-06,,105.1,102.39,102.96,12701518.0
2020-11-09,,118.9,110.35,116.9,48585297.0
2020-11-10,,117.45,114.69,116.52,21199101.0
2020-11-11,,116.96,113.96,114.78,14644526.0
2020-11-12,,113.955,112.055,113.37,22358262.0
2020-11-13,,114.86,113.5701,114.08,12010839.0
2020-11-16,,118.61,115.7318,117.3,20328959.0
2020-11-17,,116.44,114.58,116.11,14805743.0
2020-11-18,,118.61,115.2,115.25,12895304.0
2020-11-19,,115.82,113.56,115.56,10446022.0
2020-11-20,,115.65,114.09,114.57,13292376.0
2020-11-23,,118.17,115.57,117.87,13453446.0
2020-11-24,,123.5,119.71,123.32,20683053.0
2020-11-25,,122.38,120.465,122.03,11985077.0
2020-11-27,,122.35,121.08,121.22,5983627.0
2020-11-30,,120.7199,117.77,117.88,14614180.0
2020-12-01,,121.58,119.6276,119.74,12856191.0
2020-12-02,,122.31,119.27,122.04,10960550.0
2020-12-03,,121.885,120.36,121.24,13074039.0
2020-12-04,,123.29,121.6901,122.34,13735164.0
2020-12-07,,122.17,120.21,121.88,9882044.0
2020-12-08,,122.33,120.76,122.0,9742029.0
2020-12-09,,123.3,120.44,121.05,13266988.0
2020-12-10,,120.7781,119.56,120.27,13795589.0
2020-12-11,,120.02,118.37,119.56,10130096.0
2020-12-14,,121.42,118.105,118.3,12272124.0
2020-12-15,,120.9,118.62,120.32,12734064.0
2020-12-16,,121.08,119.86,120.67,11296893.0
