date,open,high,low,close,volume
2020-08-06,,21.145,20.23,20.72,6116185.0
2020-08-07,,22.22,20.46,22.02,7147546.0
2020-08-10,,23.33,22.07,22.85,10188303.0
2020-08-11,,24.14,23.13,23.24,8728903.0
2020-08-12,,23.96,22.535,23.43,6865633.0
2020-08-13,,23.2,22.58,22.77,7108240.0
2020-08-14,,24.3069,22.56,23.4,10069167.0
2020-08-17,,23.82,22.67,23.45,9633697.0
2020-08-18,,21.09,19.35,20.01,45348104.0
2020-08-19,,20.4,19.45,19.58,15379354.0
2020-08-20,,19.74,19.0,19.0,10243917.0
2020-08-21,,19.34,18.74,18.9,9296194.0
2020-08-24,,20.43,19.0726,20.39,12915955.0
2020-08-25,,20.8,19.935,20.62,8406598.0
2020-08-26,,20.9701,20.35,20.71,6328134.0
2020-08-27,,21.72,20.75,21.12,7494885.0
2020-08-28,,21.685,21.12,21.65,7495813.0
2020-08-31,,21.61,20.81,21.36,6924981.0
2020-09-01,,21.59,20.78,20.97,7191290.0
2020-09-02,,21.93,20.835,21.2,7303258.0
2020-09-03,,22.09,21.0059,21.72,9871198.0
2020-09-04,,22.285,20.9713,22.25,8356256.0
2020-09-08,,22.78,21.3599,22.38,10295902.0
2020-09-09,,22.38,21.9,22.03,6994660.0
2020-09-10,,22.7,21.78,21.89,6307061.0
2020-09-11,,21.99,21.1144,21.33,6747697.0
2020-09-14,,23.4,21.59,23.37,10642876.0
2020-09-15,,23.48,22.75,23.13,6651809.0
2020-09-16,,24.505,22.95,23.82,8944406.0
2020-09-17,,24.04,22.985,23.26,5968153.0
2020-09-18,,23.86,23.1,23.4,34452789.0
2020-09-21,,22.9399,21.475,21.5,7652366.0
2020-09-22,,21.91,20.725,20.82,7467798.0
2020-09-23,,21.55,20.13,20.15,6144037.0
2020-09-24,,20.3,19.24,19.84,7133984.0
2020-09-25,,20.04,19.275,19.45,6709804.0
2020-09-28,,20.27,19.45,19.48,6628067.0
2020-09-29,,19.65,18.28,18.41,13122760.0
2020-09-30,,19.03,18.435,18.53,9325952.0
2020-10-01,,19.625,18.3601,19.46,9371777.0
2020-10-02,,20.06,18.5,19.96,10731949.0
2020-10-05,,20.75,20.05,20.42,6337991.0
2020-10-06,,20.75,19.36,19.49,7482842.0
2020-10-07,,20.735,19.83,20.64,6746865.0
2020-10-08,,21.9,20.72,21.89,8123808.0
2020-10-09,,22.24,21.425,21.53,6764180.0
