date,open,high,low,close,volume
2020-08-06,,248.0,244.6665,246.66,1956001.0
2020-08-07,,245.67,243.69,245.31,1765673.0
2020-08-10,,243.99,241.7,243.34,1182012.0
2020-08-11,,248.24,244.49,244.85,1531845.0
2020-08-12,,251.0,247.36,248.63,1337294.0
2020-08-13,,249.92,247.21,249.24,1165194.0
2020-08-14,,249.55,247.385,248.5,997890.0
2020-08-17,,250.58,247.49,248.43,985915.0
2020-08-18,,250.25,246.01,246.88,1026021.0
2020-08-19,,249.32,246.6,247.24,1641309.0
2020-08-20,,245.7,243.79,245.31,1929313.0
2020-08-21,,244.93,240.24,244.3,1887257.0
2020-08-24,,250.88,248.63,248.91,1400950.0
2020-08-25,,251.38,249.26,250.08,1085232.0
2020-08-26,,254.25,249.04,252.88,857479.0
2020-08-27,,254.01,250.14,250.93,1096648.0
2020-08-28,,254.08,250.75,253.57,970079.0
2020-08-31,,253.255,249.17,249.74,2311575.0
2020-09-01,,257.05,248.55,256.94,2317389.0
2020-09-02,,260.49,255.66,260.23,2936710.0
2020-09-03,,259.14,247.3623,250.45,3328151.0
2020-09-04,,251.96,243.49,247.7,2942936.0
2020-09-08,,245.95,241.89,243.05,1870279.0
2020-09-09,,253.58,245.85,251.15,1868098.0
2020-09-10,,254.61,247.0,247.29,1113711.0
2020-09-11,,251.43,248.71,250.17,1400212.0
2020-09-14,,253.64,250.58,251.25,1534440.0
2020-09-15,,254.265,250.71,250.73,1412532.0
2020-09-16,,251.885,248.44,248.84,1655077.0
2020-09-17,,250.53,245.9,250.39,1532595.0
2020-09-18,,250.61,245.25,246.1,2843357.0
2020-09-21,,240.61,234.87,238.44,2216228.0
2020-09-22,,238.675,236.17,238.23,2237047.0
2020-09-23,,238.37,232.87,233.15,1767130.0
2020-09-24,,235.48,231.7,234.5,1407533.0
2020-09-25,,233.67,228.47,232.75,2260938.0
2020-09-28,,238.9,236.4,237.05,1206715.0
2020-09-29,,239.29,236.27,236.43,1196156.0
2020-09-30,,240.02,235.92,238.13,2150748.0
2020-10-01,,238.365,232.09,232.7,2512679.0
2020-10-02,,234.98,229.14,232.15,2488111.0
2020-10-05,,236.65,234.24,235.09,2745259.0
2020-10-06,,237.81,231.78,232.08,2006604.0
2020-10-07,,240.005,234.36,238.95,1810903.0
2020-10-08,,240.38,237.09,237.75,1552490.0
2020-10-09,,241.33,238.815,239.94,1870674.0
2020-10-12,,242.83,239.94,240.26,1475597.0
2020-10-13,,239.09,234.87,235.98,1694469.0
2020-10-14,,236.61,234.1,234.86,1096082.0
2020-10-15,,230.71,228.0,229.6,2426682.0
2020-10-16,,234.43,230.56,233.08,1963794.0
2020-10-19,,234.42,229.43,229.87,1147059.0
2020-10-20,,234.14,230.98,233.24,1439638.0
2020-10-21,,235.61,230.72,230.91,1386928.0
2020-10-22,,234.08,228.46,233.2,1482393.0
2020-10-23,,236.93,233.76,234.27,1342665.0
2020-10-26,,231.49,226.28,227.99,1266197.0
2020-10-27,,228.55,225.18,225.47,1590781.0
2020-10-28,,220.5,216.14,216.91,2335722.0
2020-10-29,,221.59,214.14,219.84,2265271.0
2020-10-30,,220.9,217.28,220.34,2498025.0
2020-11-02,,230.21,224.05,228.58,2220443.0
2020-11-03,,235.37,231.85,234.09,1613976.0
2020-11-04,,238.5,232.085,235.29,2373150.0
2020-11-05,,253.355,248.3608,249.76,2970190.0
2020-11-06,,253.66,249.53,250.32,1754206.0
2020-11-09,,269.78,257.19,257.65,3241293.0
2020-11-10,,264.49,259.71,262.04,1964105.0
2020-11-11,,262.85,256.885,259.62,1857447.0
2020-11-12,,259.73,254.16,255.07,1694268.0
2020-11-13,,258.62,255.81,257.06,1220386.0
2020-11-16,,259.08,252.81,255.46,1768405.0
2020-11-17,,254.68,251.01,252.14,1968229.0
2020-11-18,,254.39,250.2,250.3,1197435.0
2020-11-19,,253.29,248.81,253.07,1227817.0
2020-11-20,,254.53,251.4,252.07,1412748.0
2020-11-23,,255.21,251.1,252.14,1250417.0
2020-11-24,,257.77,252.68,256.16,2011012.0
2020-11-25,,256.02,253.04,253.34,1197231.0
2020-11-27,,259.13,257.2,257.43,1081980.0
2020-11-30,,261.52,255.3,256.42,3430790.0
2020-12-01,,261.245,257.45,258.9,1838218.0
2020-12-02,,257.01,250.75,251.0,2088394.0
2020-12-03,,252.73,245.76,246.2,2488837.0
2020-12-04,,250.62,244.77,250.62,3059956.0
2020-12-07,,254.66,249.22,249.78,1800785.0
2020-12-08,,250.06,246.575,249.24,1423820.0
2020-12-09,,251.83,248.46,251.14,1469596.0
2020-12-10,,252.41,249.4,250.95,1260400.0
2020-12-11,,249.96,247.4333,249.4,1357917.0
2020-12-14,,251.51,247.57,247.6,1827083.0
2020-12-15,,252.99,249.3,251.66,1441443.0
2020-12-16,,252.1,249.49,250.13,1371530.0
2020-12-17,,257.21,255.1,256.63,1569235.0
2020-12-18,,258.73,253.51,257.67,3837643.0
2020-12-21,,255.025,247.5,254.17,1744675.0
2020-12-22,,254.69,251.7,253.46,1175598.0
2020-12-23,,257.78,254.9,255.1,1050231.0
2020-12-24,,256.98,254.77,256.62,276353.0
2020-12-28,,263.425,259.68,260.02,1274098.0
2020-12-29,,263.28,258.63,259.42,895283.0
2020-12-30,,262.43,260.46,261.77,936504.0
2020-12-31,,263.83,260.61,263.51,917843.0
2021-01-04,,267.29,257.365,258.81,1764709.0
2021-01-05,,263.24,257.56,262.87,1640373.0
2021-01-06,,274.575,261.39,271.5,2617297.0
2021-01-07,,273.76,269.0,270.72,1793224.0
2021-01-08,,272.38,267.93,270.4,1906430.0
2021-01-11,,269.09,264.19,267.53,1937217.0
2021-01-12,,267.59,263.67,266.62,1815375.0
2021-01-13,,268.53,266.21,267.73,1559391.0
2021-01-14,,267.28,263.54,263.69,1922794.0
2021-01-15,,261.91,256.9,258.09,2135218.0
2021-01-19,,263.61,258.28,259.04,1685949.0
2021-01-20,,260.7,257.29,257.4,1809617.0
2021-01-21,,257.74,253.0,253.2,1580549.0
2021-01-22,,254.56,251.19,251.48,1600594.0
2021-01-25,,253.55,246.0,253.12,2033379.0
2021-01-26,,257.66,254.25,255.85,1571602.0
2021-01-27,,250.76,240.8,242.91,2707637.0
2021-01-28,,251.1969,246.07,249.54,2135469.0
2021-01-29,,249.32,244.1001,245.4,1666301.0
2021-02-01,,251.2,245.94,250.43,1667240.0
2021-02-02,,253.64,250.25,252.25,1544436.0
2021-02-03,,253.49,249.81,250.13,2390731.0
2021-02-04,,252.42,247.31,249.18,2732956.0
2021-02-05,,259.675,252.21,257.37,2842585.0
2021-02-08,,259.98,255.63,257.34,1795382.0
2021-02-09,,258.07,254.95,255.62,1415677.0
2021-02-10,,255.11,251.36,252.72,1631105.0
2021-02-11,,255.22,251.79,253.11,1224660.0
2021-02-12,,253.71,250.8978,252.68,1494491.0
2021-02-16,,254.54,249.85,250.14,2278860.0
2021-02-17,,250.29,247.24,249.28,1679098.0
2021-02-18,,251.2382,246.475,249.93,2197475.0
2021-02-19,,251.97,249.15,250.88,2048873.0
2021-02-22,,252.0,249.22,251.07,2072395.0
2021-02-23,,259.2,250.21,258.64,3051438.0
2021-02-24,,259.35,254.485,254.61,2176740.0
2021-02-25,,254.04,246.9,247.0,2125559.0
2021-02-26,,248.21,244.18,244.27,2628546.0
2021-03-01,,252.52,247.26,251.49,1543336.0
2021-03-02,,256.9889,252.9962,254.01,1691757.0
2021-03-03,,251.2097,247.46,247.55,1811909.0
2021-03-04,,249.665,242.47,245.42,2392941.0
2021-03-05,,248.29,241.88,247.64,2157822.0
2021-03-08,,256.7,247.82,253.68,2492921.0
2021-03-09,,264.9,258.02,262.34,2854595.0
2021-03-10,,267.01,263.89,265.64,2228974.0
2021-03-11,,270.0,267.24,267.37,1598578.0
2021-03-12,,268.56,265.41,268.5,1162723.0
2021-03-15,,269.01,264.69,269.0,1708819.0
2021-03-16,,271.7216,268.1,270.79,1616947.0
2021-03-17,,271.78,268.4078,269.55,1696982.0
2021-03-18,,270.49,266.55,267.9,1958627.0
2021-03-19,,270.89,264.12,269.12,4162993.0
2021-03-22,,271.65,267.63,270.36,1380123.0
2021-03-23,,272.47,266.97,267.88,1556657.0
2021-03-24,,271.17,266.68,269.77,1502243.0
2021-03-25,,274.1475,268.71,273.38,1871135.0
2021-03-26,,281.88,274.43,281.4,2251560.0
2021-03-29,,283.25,277.77,281.0,2466764.0
2021-03-30,,280.81,278.695,279.26,1384707.0
2021-03-31,,283.25,278.058,280.14,2239941.0
2021-04-01,,281.43,277.165,280.84,1627575.0
2021-04-05,,286.98,282.56,285.4,1414675.0
2021-04-06,,285.22,282.37,284.11,1649975.0
2021-04-07,,284.42,280.45,281.35,3040440.0
2021-04-08,,284.14,281.92,282.2,2024383.0
2021-04-09,,285.23,281.73,284.8,1626616.0
2021-04-12,,286.37,283.02,285.43,1516791.0
2021-04-13,,287.79,285.17,286.29,1571811.0
2021-04-14,,286.515,284.12,285.05,1356226.0
2021-04-15,,288.8,286.61,287.97,1473504.0
2021-04-16,,290.64,288.52,289.96,1449426.0
2021-04-19,,290.13,287.03,288.45,1697478.0
2021-04-20,,287.85,285.69,285.84,1625830.0
2021-04-21,,292.49,287.49,291.97,1191377.0
2021-04-22,,291.81,288.17,288.7,948399.0
2021-04-23,,292.42,287.85,291.6,1306026.0
2021-04-26,,292.05,288.77,289.52,941151.0
2021-04-27,,290.85,287.64,290.21,1213573.0
2021-04-28,,290.56,286.95,287.14,1387631.0
2021-04-29,,289.34,285.93,289.34,1307829.0
2021-04-30,,288.63,285.4,285.84,1948780.0
2021-05-03,,289.5817,287.11,288.7,995954.0
2021-05-04,,285.87,281.95,283.0,2326991.0
2021-05-05,,292.77,286.74,291.61,1795105.0
2021-05-06,,296.5,291.59,296.4,2559715.0
2021-05-07,,300.91,296.93,298.93,1905497.0
2021-05-10,,303.87,301.01,301.01,1731564.0
2021-05-11,,300.94,296.295,298.61,1669744.0
2021-05-12,,297.77,293.29,293.98,1806573.0
2021-05-13,,298.79,293.83,297.95,1604329.0
2021-05-14,,301.84,298.98,301.17,1227153.0
2021-05-17,,303.21,299.0,300.88,1159408.0
2021-05-18,,301.81,297.81,298.0,1325487.0
2021-05-19,,296.49,291.54,296.07,1914616.0
2021-05-20,,300.82,297.51,298.13,1295846.0
2021-05-21,,302.03,298.34,298.57,2003506.0
2021-05-24,,303.07,300.55,301.27,1077122.0
2021-05-25,,302.69,300.22,301.25,1345561.0
2021-05-26,,301.59,297.465,299.77,1430814.0
2021-05-27,,301.71,299.77,300.78,1733848.0
2021-05-28,,302.99,300.0,300.6,1457018.0
2021-06-01,,305.71,301.27,302.26,1456321.0
2021-06-02,,302.37,299.32,299.88,1580665.0
2021-06-03,,298.71,296.05,298.32,1633436.0
2021-06-04,,301.74,298.55,299.86,1378420.0
2021-06-07,,297.99,291.135,291.58,3620018.0
2021-06-08,,294.28,291.36,292.5,1748961.0
2021-06-09,,294.49,290.17,290.48,1734731.0
2021-06-10,,293.11,290.2,290.33,1329460.0
2021-06-11,,292.68,289.95,291.22,1460512.0
2021-06-14,,291.55,287.94,290.91,1508947.0
2021-06-15,,293.72,288.95,290.91,2029129.0
2021-06-16,,294.98,289.34,289.56,2392413.0
2021-06-17,,289.46,285.365,287.24,2418423.0
2021-06-18,,285.56,281.99,282.02,4406849.0
2021-06-21,,288.63,285.38,288.33,2304615.0
2021-06-22,,291.49,289.35,290.35,2436075.0
2021-06-23,,290.35,284.28,284.76,2708491.0
2021-06-24,,287.74,284.82,285.13,3145201.0
2021-06-25,,286.88,283.0,285.11,23433753.0
2021-06-28,,289.86,287.2,289.69,1996277.0
2021-06-29,,293.1,289.71,290.37,1208364.0
2021-06-30,,289.88,287.95,289.1,1567045.0
2021-07-01,,290.9,288.96,290.84,1462027.0
2021-07-02,,292.35,289.54,291.76,1082084.0
2021-07-06,,291.91,287.47,288.5,1307500.0
2021-07-07,,292.77,289.33,292.53,1253473.0
2021-07-08,,287.9608,284.71,286.99,1626810.0
2021-07-09,,293.82,290.08,292.71,1422401.0
2021-07-12,,294.66,291.73,292.52,1405547.0
2021-07-13,,292.55,288.835,289.72,1359471.0
2021-07-14,,292.12,289.5,291.09,1128330.0
2021-07-15,,293.5,288.99,292.05,1239865.0
2021-07-16,,293.17,289.15,290.07,1355089.0
2021-07-19,,285.43,282.75,284.67,1747472.0
2021-07-20,,291.52,284.63,290.37,1997961.0
2021-07-21,,294.72,291.53,294.2,1415492.0
2021-07-22,,297.05,294.535,295.22,936287.0
2021-07-23,,299.02,296.18,298.81,1122261.0
2021-07-26,,300.03,296.85,298.47,1421875.0
2021-07-27,,300.628,295.58,298.85,1569943.0
2021-07-28,,298.71,296.58,296.86,1078872.0
2021-07-29,,300.58,297.33,299.45,1295078.0
2021-07-30,,308.8,302.0,307.39,2516649.0
2021-08-02,,310.19,300.12,300.22,1927668.0
2021-08-03,,303.215,300.05,302.92,1133017.0
2021-08-04,,307.72,304.48,305.62,1476717.0
2021-08-05,,308.99,304.42,304.83,1586469.0
2021-08-06,,306.88,303.93,305.87,858928.0
2021-08-09,,306.18,301.74,303.26,910300.0
2021-08-10,,304.7,300.95,301.78,1448379.0
2021-08-11,,307.9,303.67,306.3,1803128.0
2021-08-12,,308.68,304.78,306.66,784507.0
2021-08-13,,309.42,307.31,309.4,816475.0
2021-08-16,,311.71,308.32,311.35,1267575.0
2021-08-17,,312.31,307.78,311.52,1408557.0
2021-08-18,,314.37,309.7,309.91,1278834.0
2021-08-19,,311.94,307.75,311.17,1402537.0
2021-08-20,,314.12,310.72,313.85,1165261.0
2021-08-23,,314.36,312.82,312.83,988626.0
2021-08-24,,314.31,311.9,312.48,689440.0
2021-08-25,,313.555,309.98,312.85,801437.0
2021-08-26,,313.92,311.22,311.32,880053.0
2021-08-27,,314.99,312.34,314.54,1268969.0
2021-08-30,,316.29,314.59,315.55,747550.0
2021-08-31,,315.47,313.47,314.59,1492948.0
2021-09-01,,315.49,312.13,313.88,1050677.0
2021-09-02,,315.6725,313.795,315.57,893067.0
2021-09-03,,316.183,313.34,313.43,1150830.0
2021-09-07,,317.03,312.79,315.64,1404991.0
2021-09-08,,315.82,310.35,311.59,1521798.0
2021-09-09,,315.51,312.18,312.7,1211232.0
2021-09-10,,314.19,310.11,310.44,971170.0
2021-09-13,,315.57,311.18,313.5,1370340.0
2021-09-14,,315.78,310.99,311.94,1147232.0
2021-09-15,,315.05,311.56,314.53,1441056.0
2021-09-16,,314.88,309.9225,313.08,1232348.0
2021-09-17,,311.27,305.98,309.32,6501718.0
2021-09-20,,304.56,299.57,302.21,1885205.0
2021-09-21,,306.1,303.05,304.96,1216239.0
2021-09-22,,309.2876,305.69,306.06,1333990.0
2021-09-23,,311.85,308.55,310.37,1066956.0
2021-09-24,,311.12,307.81,310.26,926192.0
2021-09-27,,312.29,308.47,309.21,1021570.0
2021-09-28,,305.67,298.23,299.93,2278017.0
2021-09-29,,300.51,298.32,299.14,1197745.0
2021-09-30,,300.46,293.3,293.38,2106350.0
2021-10-01,,298.54,292.56,297.85,1597413.0
2021-10-04,,297.97,292.0,294.65,1495164.0
2021-10-05,,299.66,294.25,297.83,1360033.0
2021-10-06,,296.24,290.27,296.05,2050252.0
2021-10-07,,302.38,297.45,299.16,1375830.0
2021-10-08,,300.31,295.685,296.19,924038.0
2021-10-11,,298.18,294.7,294.84,748779.0
2021-10-12,,297.09,294.21,295.81,1063874.0
2021-10-13,,302.13,297.87,300.99,1429973.0
2021-10-14,,309.135,303.64,308.77,1126439.0
2021-10-15,,309.54,306.58,308.24,1230456.0
2021-10-18,,308.53,305.77,307.97,1010567.0
2021-10-19,,310.99,306.97,310.68,984768.0
2021-10-20,,312.0,310.21,311.22,745273.0
2021-10-21,,311.6,308.41,311.31,857043.0
2021-10-22,,314.99,312.85,314.15,1214757.0
2021-10-25,,317.78,313.96,316.68,1225360.0
2021-10-26,,319.11,316.68,316.77,1069820.0
2021-10-27,,321.42,316.76,318.97,1535968.0
2021-10-28,,318.45,315.62,317.96,1564973.0
2021-10-29,,322.72,316.85,319.2,1890859.0
2021-11-01,,324.32,320.48,322.97,1253704.0
2021-11-02,,328.74,326.02,327.57,2012334.0
2021-11-03,,330.16,325.3,328.41,1856410.0
2021-11-04,,331.63,328.34,331.5,1628309.0
2021-11-05,,332.61,330.66,331.99,1693199.0
2021-11-08,,337.9,335.06,337.53,1448727.0
