date,open,high,low,close,volume
2020-08-06,,155.5,151.0,152.88,2222911.0
2020-08-07,,153.5,151.58,152.93,2050269.0
2020-08-10,,153.49,151.53,153.0,1775288.0
2020-08-11,,153.14,150.2,150.63,2152543.0
2020-08-12,,153.17,150.6,152.55,2475493.0
2020-08-13,,151.69,149.79,150.46,2116697.0
2020-08-14,,151.69,149.15,150.09,1585628.0
2020-08-17,,152.7,150.36,151.53,2736996.0
2020-08-18,,153.15,151.15,153.11,1990080.0
2020-08-19,,154.41,152.01,152.29,1982799.0
2020-08-20,,152.85,150.85,151.34,1855741.0
2020-08-21,,151.35,147.95,149.26,3253563.0
2020-08-24,,150.4,148.25,149.52,2315315.0
2020-08-25,,151.31,149.31,149.68,2263496.0
2020-08-26,,149.46,147.41,149.26,3062741.0
2020-08-27,,150.94,148.94,148.97,3184136.0
2020-08-28,,149.1518,146.98,147.34,2127205.0
2020-08-31,,148.795,147.03,148.39,4462581.0
2020-09-01,,149.2,146.645,147.3,2407589.0
2020-09-02,,150.0,146.51,149.55,2438123.0
2020-09-03,,153.37,147.46,149.02,4277181.0
2020-09-04,,152.58,147.95,150.91,4407073.0
2020-09-08,,151.31,148.5,149.31,4431132.0
2020-09-09,,154.12,150.31,151.97,2358988.0
2020-09-10,,150.6,145.715,146.22,4057755.0
2020-09-11,,149.185,146.88,148.09,3047549.0
2020-09-14,,150.505,147.47,149.0,3145674.0
2020-09-15,,151.87,149.415,150.08,2952143.0
2020-09-16,,152.68,150.79,150.96,3676751.0
2020-09-17,,152.68,149.455,152.47,3669981.0
2020-09-18,,154.5,152.04,154.17,13775747.0
2020-09-21,,153.66,149.06,151.18,3570342.0
2020-09-22,,151.57,149.15,149.86,2970385.0
2020-09-23,,151.59,148.7,149.81,3585150.0
2020-09-24,,149.66,147.37,148.81,3453722.0
2020-09-25,,150.4,147.85,150.26,2474124.0
2020-09-28,,151.58,147.9,148.1,2463569.0
2020-09-29,,148.44,145.93,146.26,3344098.0
2020-09-30,,148.445,145.06,148.02,5168708.0
2020-10-01,,148.705,144.06,144.29,3845974.0
2020-10-02,,146.94,143.27,145.21,3938338.0
2020-10-05,,147.47,144.18,146.63,2844980.0
2020-10-06,,147.83,143.93,144.13,2449735.0
2020-10-07,,149.89,146.85,148.96,4693268.0
2020-10-08,,153.94,150.5,153.5,4794161.0
2020-10-09,,157.15,154.07,156.88,4680108.0
2020-10-12,,157.15,154.42,154.49,3348630.0
2020-10-13,,154.3269,148.55,150.08,6026036.0
2020-10-14,,150.6,147.71,148.46,2771686.0
2020-10-15,,146.91,145.38,146.78,3826383.0
2020-10-16,,148.38,146.0,146.12,3157325.0
2020-10-19,,147.4088,142.21,142.8,3189730.0
2020-10-20,,144.12,142.11,143.59,2230520.0
2020-10-21,,143.33,141.21,141.31,2043912.0
2020-10-22,,142.265,140.8,141.65,3087875.0
2020-10-23,,144.7,141.72,142.38,2525858.0
2020-10-26,,142.2899,140.05,141.7,2976914.0
2020-10-27,,136.08,131.87,131.9,11555603.0
2020-10-28,,134.1008,130.31,131.31,6273109.0
2020-10-29,,133.13,130.38,132.55,4166708.0
2020-10-30,,133.105,129.21,130.46,4368688.0
2020-11-02,,133.95,129.99,131.63,3533359.0
2020-11-03,,134.07,130.7,130.98,3684147.0
2020-11-04,,151.98,134.905,148.59,12295181.0
2020-11-05,,148.81,144.7,145.52,5802070.0
2020-11-06,,147.39,139.1,142.74,6266656.0
2020-11-09,,144.75,140.6,142.33,5599485.0
2020-11-10,,149.2,143.79,146.56,5528361.0
2020-11-11,,147.76,143.37,144.76,3127928.0
2020-11-12,,143.46,139.86,141.03,3568882.0
2020-11-13,,143.21,141.3201,142.38,2182816.0
2020-11-16,,144.3,140.0,140.59,5028646.0
2020-11-17,,141.96,138.61,141.2,3676396.0
2020-11-18,,142.42,140.13,140.17,2841569.0
2020-11-19,,143.89,138.92,143.41,4673608.0
2020-11-20,,147.09,142.84,145.49,5192631.0
2020-11-23,,145.62,141.16,143.38,3830695.0
2020-11-24,,145.64,143.11,144.9,4205301.0
2020-11-25,,145.34,142.61,144.75,3270314.0
2020-11-27,,147.92,145.36,147.44,1753995.0
2020-11-30,,148.17,144.9,145.65,5887087.0
2020-12-01,,148.06,145.26,145.56,3994625.0
2020-12-02,,147.09,144.38,145.16,3808254.0
2020-12-03,,146.5,143.13,144.11,4109451.0
2020-12-04,,148.72,144.0,148.45,3092359.0
2020-12-07,,148.33,146.48,147.42,2673759.0
2020-12-08,,150.14,146.91,149.3,2813050.0
2020-12-09,,158.94,153.68,158.0,8501251.0
2020-12-10,,162.0,158.18,161.0,6561644.0
2020-12-11,,161.18,159.06,160.04,3500961.0
2020-12-14,,162.2871,157.83,157.91,4428255.0
2020-12-15,,168.23,158.05,167.43,7034285.0
