date,open,high,low,close,volume
2020-08-06,,383.19,378.09,379.74,713059.0
2020-08-07,,386.66,378.76,385.62,937001.0
2020-08-10,,391.11,385.96,389.26,870369.0
2020-08-11,,399.49,391.33,391.96,1330581.0
2020-08-12,,396.52,391.29,392.44,896124.0
2020-08-13,,394.05,387.0,389.24,1071342.0
2020-08-14,,394.2,388.02,391.42,661937.0
2020-08-17,,395.19,387.73,388.96,883473.0
2020-08-18,,391.91,388.3434,390.26,817511.0
2020-08-19,,391.97,388.84,390.05,728454.0
2020-08-20,,389.2,383.577,387.88,1212809.0
2020-08-21,,390.79,386.8596,389.57,1048920.0
2020-08-24,,395.57,389.9,395.04,1031762.0
2020-08-25,,402.375,392.4,394.84,1004119.0
2020-08-26,,397.66,390.56,395.44,922979.0
2020-08-27,,400.085,394.88,395.02,711901.0
2020-08-28,,396.0,391.73,395.59,737976.0
2020-08-31,,395.0,388.47,390.26,1044854.0
2020-09-01,,389.185,385.0,386.81,931689.0
2020-09-02,,398.9,384.11,398.07,1237741.0
2020-09-03,,401.8755,383.38,386.29,1517374.0
2020-09-04,,391.55,379.58,385.02,948430.0
2020-09-08,,385.285,378.36,380.23,1093963.0
2020-09-09,,389.42,381.0101,385.24,1235748.0
2020-09-10,,388.5323,378.33,379.11,727792.0
2020-09-11,,390.4999,380.75,389.45,947090.0
2020-09-14,,396.67,391.62,393.75,1007995.0
2020-09-15,,396.0,386.89,392.55,973995.0
2020-09-16,,399.6,390.93,395.58,1066113.0
2020-09-17,,398.55,389.54,395.94,973135.0
2020-09-18,,399.0,394.15,395.14,2801191.0
2020-09-21,,389.8658,377.23,379.61,1482765.0
2020-09-22,,392.48,381.3443,388.42,1308786.0
2020-09-23,,394.4271,381.99,383.24,1244856.0
2020-09-24,,384.49,375.095,378.76,1312526.0
2020-09-25,,388.4,376.45,386.7,1405733.0
2020-09-28,,396.61,389.65,390.51,996324.0
2020-09-29,,393.15,387.51,388.74,1133634.0
2020-09-30,,389.76,380.51,383.28,1425689.0
2020-10-01,,390.0,379.0,380.89,1121980.0
2020-10-02,,383.4766,374.28,380.58,1236069.0
2020-10-05,,385.8891,378.86,383.96,840317.0
2020-10-06,,386.11,376.02,376.46,971193.0
2020-10-07,,383.84,378.56,382.94,840256.0
2020-10-08,,389.19,382.2784,388.59,704594.0
2020-10-09,,390.1,385.29,385.93,690073.0
2020-10-12,,390.51,383.26,388.92,822398.0
2020-10-13,,390.56,385.12,388.95,989488.0
2020-10-14,,395.46,387.14,390.72,1106338.0
2020-10-15,,388.87,383.22,386.12,803197.0
2020-10-16,,389.78,386.09,386.5,1015234.0
2020-10-19,,389.6,381.671,383.71,1194564.0
2020-10-20,,385.79,371.8,372.21,1803450.0
2020-10-21,,375.0,365.0,367.14,1958590.0
2020-10-22,,371.11,365.15,368.96,1274962.0
2020-10-23,,376.19,369.01,374.33,1194219.0
2020-10-26,,369.87,362.5016,368.55,1411370.0
2020-10-27,,367.98,360.805,362.43,994683.0
2020-10-28,,360.0,350.45,350.86,1718487.0
2020-10-29,,356.225,348.29,352.44,1571874.0
2020-10-30,,353.73,345.65,350.13,1323491.0
2020-11-02,,359.91,350.72,352.42,1729106.0
2020-11-03,,366.2,356.21,363.44,1504711.0
2020-11-04,,381.46,369.51,372.16,2181240.0
2020-11-05,,376.5,363.77,364.7,1725363.0
2020-11-06,,363.73,357.95,361.27,1423688.0
2020-11-09,,381.52,363.73,363.95,2018904.0
2020-11-10,,373.435,363.94,371.28,1729765.0
2020-11-11,,373.33,365.68,369.28,1135381.0
2020-11-12,,370.57,365.51,367.89,868868.0
2020-11-13,,376.0,369.23,375.14,936503.0
2020-11-16,,380.69,376.08,377.13,1333633.0
2020-11-17,,380.48,375.25,375.9,1339768.0
2020-11-18,,383.4699,376.24,377.56,1091490.0
2020-11-19,,377.75,372.17,376.46,1093035.0
2020-11-20,,377.2373,367.62,368.02,1151306.0
2020-11-23,,374.53,369.86,370.85,949074.0
2020-11-24,,378.48,373.06,378.48,974528.0
2020-11-25,,381.95,376.23,378.34,873775.0
2020-11-27,,378.81,373.45,374.34,612298.0
2020-11-30,,372.44,363.39,365.0,1632671.0
2020-12-01,,373.29,364.87,364.99,1320976.0
2020-12-02,,365.9899,360.01,361.36,2539707.0
2020-12-03,,369.5,360.96,362.03,1777700.0
2020-12-04,,367.73,362.11,366.61,1242029.0
2020-12-07,,366.9,360.54,362.13,1406547.0
2020-12-08,,363.17,358.835,359.23,1805200.0
2020-12-09,,362.59,356.945,361.35,1548553.0
2020-12-10,,364.215,355.195,355.39,1397845.0
2020-12-11,,363.12,354.19,361.71,1428948.0
2020-12-14,,365.62,357.44,357.66,1392262.0
2020-12-15,,359.89,355.445,357.57,1538854.0
2020-12-16,,357.899,353.65,354.57,2004702.0
2020-12-17,,357.66,351.88,352.6,1677040.0
2020-12-18,,356.79,350.01,356.03,4530949.0
2020-12-21,,353.94,346.6,349.35,2156454.0
2020-12-22,,350.62,347.385,347.92,1853635.0
2020-12-23,,354.995,349.4,351.6,1327208.0
2020-12-24,,354.0561,350.4,351.97,508779.0
2020-12-28,,357.82,351.71,354.18,1042289.0
2020-12-29,,357.35,351.8,353.9,1067703.0
2020-12-30,,356.61,353.0,354.16,858408.0
2020-12-31,,356.03,352.23,354.98,1331663.0
2021-01-04,,354.98,341.065,344.64,1913502.0
2021-01-05,,351.19,343.3,348.79,1503400.0
2021-01-06,,351.92,342.7826,348.03,1936693.0
2021-01-07,,347.8499,341.3398,342.55,2086220.0
2021-01-08,,343.47,335.01,336.1,3262793.0
2021-01-11,,339.0,333.32,337.68,3250388.0
2021-01-12,,343.37,335.63,341.85,3049745.0
2021-01-13,,347.2,339.165,345.49,1672328.0
2021-01-14,,354.79,346.85,347.44,1999872.0
2021-01-15,,350.5,344.278,347.27,1958179.0
2021-01-19,,350.97,341.48,341.5,2045176.0
2021-01-20,,343.78,339.215,341.67,1811660.0
2021-01-21,,343.61,338.96,339.67,1689031.0
2021-01-22,,341.84,337.21,339.88,1585478.0
2021-01-25,,346.89,337.9,343.51,2005803.0
2021-01-26,,343.98,330.69,330.69,3598642.0
2021-01-27,,335.73,329.674,332.51,2723513.0
2021-01-28,,334.68,327.1784,327.93,1866666.0
2021-01-29,,328.98,321.72,321.82,2135912.0
2021-02-01,,325.65,319.81,324.03,1647228.0
2021-02-02,,335.2,326.69,332.7,2098318.0
2021-02-03,,333.4,328.3,332.39,2720262.0
2021-02-04,,338.42,332.18,337.23,2195600.0
2021-02-05,,341.42,336.5,337.04,1481009.0
2021-02-08,,339.5,335.2,337.84,1580931.0
2021-02-09,,344.51,336.57,342.34,1702709.0
2021-02-10,,343.74,339.15,342.19,1753546.0
2021-02-11,,344.61,338.03,339.14,1199535.0
2021-02-12,,340.6445,336.56,337.73,1225597.0
2021-02-16,,340.0,333.8169,335.03,1711131.0
2021-02-17,,339.27,332.79,337.0,2056018.0
2021-02-18,,339.58,335.28,337.92,1317577.0
2021-02-19,,339.09,335.25,335.42,1895067.0
2021-02-22,,343.5599,333.21,340.47,1688156.0
2021-02-23,,347.47,338.33,346.23,2440282.0
2021-02-24,,350.3,344.61,346.53,2094871.0
2021-02-25,,349.1,340.67,341.69,1597382.0
2021-02-26,,338.76,330.0,330.25,2053790.0
2021-03-01,,337.72,332.82,333.47,1680638.0
2021-03-02,,340.01,332.67,338.59,2094895.0
2021-03-03,,346.3312,338.59,340.91,4073666.0
2021-03-04,,344.35,334.15,338.25,2220656.0
2021-03-05,,341.17,335.13,340.43,1480769.0
2021-03-08,,346.06,338.44,341.45,1621695.0
2021-03-09,,342.85,337.27,337.5,1474962.0
2021-03-10,,343.19,335.69,340.84,1785253.0
2021-03-11,,343.63,338.46,339.73,1699502.0
2021-03-12,,343.65,338.62,340.19,2190943.0
2021-03-15,,346.64,342.6,346.41,2118348.0
2021-03-16,,349.0,342.3,347.13,1671633.0
2021-03-17,,355.55,347.13,351.02,2111216.0
2021-03-18,,359.0,352.5428,358.45,2307912.0
2021-03-19,,359.43,350.1,355.07,5905417.0
2021-03-22,,358.37,352.0,357.66,2225757.0
2021-03-23,,359.245,352.6719,353.61,1495801.0
2021-03-24,,362.68,354.99,356.12,1625347.0
2021-03-25,,361.79,354.22,361.22,1619217.0
2021-03-26,,365.25,359.75,364.71,2045846.0
2021-03-29,,374.24,365.0,372.79,2263752.0
2021-03-30,,374.13,368.61,370.54,1546237.0
2021-03-31,,372.61,367.38,369.5,1393285.0
2021-04-01,,372.99,368.3439,371.02,1284396.0
2021-04-05,,380.4,372.06,378.75,1507379.0
2021-04-06,,380.104,376.315,378.97,1058727.0
2021-04-07,,380.4,376.07,380.19,995978.0
2021-04-08,,387.42,378.31,386.02,1888684.0
2021-04-09,,390.26,383.6619,386.23,1423093.0
2021-04-12,,388.7056,384.288,387.85,1099239.0
2021-04-13,,388.2,384.3398,387.11,1156872.0
2021-04-14,,391.2407,387.0,388.67,1095097.0
2021-04-15,,392.0,387.7,390.63,1308333.0
2021-04-16,,394.335,389.8,391.81,1576937.0
2021-04-19,,392.39,386.62,391.73,1336558.0
2021-04-20,,391.5,384.62,387.33,1400030.0
2021-04-21,,390.885,384.95,387.24,1377668.0
2021-04-22,,386.77,378.4,380.09,1691387.0
2021-04-23,,378.59,373.32,377.29,1317154.0
2021-04-26,,375.31,370.72,371.98,1563917.0
2021-04-27,,374.24,370.142,373.22,1588452.0
2021-04-28,,373.88,370.95,372.94,1132470.0
2021-04-29,,381.98,374.84,380.35,1406078.0
2021-04-30,,382.0,377.6,380.56,1121910.0
2021-05-03,,386.39,379.06,385.31,1371703.0
2021-05-04,,390.15,384.54,387.48,1538387.0
2021-05-05,,387.48,381.705,386.37,1095868.0
2021-05-06,,389.3,386.0,387.34,1097084.0
2021-05-07,,392.6,385.89,390.34,1216650.0
2021-05-10,,396.99,391.29,393.14,1598034.0
2021-05-11,,391.68,384.41,387.82,1383057.0
2021-05-12,,390.35,380.2,380.62,1655059.0
2021-05-13,,390.38,380.95,387.77,1133474.0
2021-05-14,,392.1,388.59,390.78,818770.0
2021-05-17,,392.03,388.715,391.12,1009474.0
2021-05-18,,394.17,387.08,387.22,1189764.0
2021-05-19,,385.73,381.35,385.54,1018555.0
2021-05-20,,389.54,386.07,388.32,1112720.0
2021-05-21,,392.19,385.56,387.22,927898.0
2021-05-24,,389.75,385.9624,387.71,947260.0
2021-05-25,,389.5,385.18,385.85,996406.0
2021-05-26,,386.0659,382.2101,384.13,1012853.0
2021-05-27,,387.95,384.28,387.39,4000664.0
2021-05-28,,386.0,381.52,382.2,951690.0
2021-06-01,,384.43,381.13,381.92,981748.0
2021-06-02,,385.5,380.63,385.09,1019463.0
2021-06-03,,387.54,383.095,387.35,1664952.0
2021-06-04,,395.52,387.61,394.1,1856164.0
2021-06-07,,395.72,389.6101,391.51,1107392.0
2021-06-08,,392.66,387.07,388.53,1080335.0
2021-06-09,,389.27,385.12,386.8,1059460.0
2021-06-10,,389.74,386.09,387.72,928499.0
2021-06-11,,389.15,385.17,387.72,761991.0
2021-06-14,,389.455,385.88,389.11,882909.0
2021-06-15,,392.045,389.06,389.8,960151.0
2021-06-16,,391.0028,383.2,383.6,1542598.0
2021-06-17,,385.52,379.57,382.9,1269486.0
2021-06-18,,382.1,379.0,379.19,2544638.0
2021-06-21,,385.44,380.61,382.5,1206463.0
2021-06-22,,383.88,379.65,382.48,653501.0
2021-06-23,,382.51,377.26,377.33,1042292.0
2021-06-24,,379.99,376.85,377.73,1052955.0
2021-06-25,,383.42,376.89,382.01,1743566.0
2021-06-28,,382.733,378.82,380.07,791945.0
2021-06-29,,380.4,373.245,373.42,1239102.0
2021-06-30,,379.439,373.615,378.35,1099842.0
2021-07-01,,381.115,377.215,380.22,770350.0
2021-07-02,,383.19,378.95,381.49,791058.0
2021-07-06,,380.34,373.6843,378.67,1157614.0
2021-07-07,,384.6,377.4101,383.48,966516.0
2021-07-08,,381.69,377.93,379.92,917404.0
2021-07-09,,384.39,380.77,383.11,552447.0
2021-07-12,,383.315,376.23,379.07,1029399.0
2021-07-13,,380.685,377.535,377.84,725733.0
2021-07-14,,378.3914,375.21,376.82,710232.0
2021-07-15,,378.65,375.0,378.25,729828.0
2021-07-16,,379.72,375.28,377.14,915603.0
2021-07-19,,376.82,367.56,372.02,1379692.0
2021-07-20,,380.64,373.0,379.98,1284878.0
2021-07-21,,384.7,379.4,380.89,939885.0
2021-07-22,,381.545,377.8301,379.93,701255.0
2021-07-23,,382.5,380.19,380.77,807736.0
2021-07-26,,374.36,366.4,368.05,2748739.0
2021-07-27,,375.55,368.25,374.73,1487264.0
2021-07-28,,376.242,370.59,372.81,792173.0
2021-07-29,,375.86,371.35,372.6,754760.0
2021-07-30,,373.64,370.11,371.67,798759.0
2021-08-02,,375.04,368.08,368.3,1176463.0
2021-08-03,,369.91,366.0,369.45,872936.0
2021-08-04,,365.36,359.61,361.64,1608105.0
2021-08-05,,363.02,359.88,360.78,912917.0
2021-08-06,,363.46,360.56,362.05,704471.0
2021-08-09,,362.4246,359.78,361.04,945120.0
2021-08-10,,363.06,360.1,362.24,842087.0
2021-08-11,,364.35,361.0,363.3,894275.0
2021-08-12,,364.3,358.8,359.75,1006041.0
2021-08-13,,361.065,357.51,357.98,1222334.0
2021-08-16,,360.51,355.56,360.25,1625931.0
2021-08-17,,362.53,358.665,361.6,1571156.0
2021-08-18,,360.5,356.56,356.6,960963.0
2021-08-19,,359.895,353.57,354.03,1345883.0
2021-08-20,,358.81,353.57,357.17,904545.0
2021-08-23,,359.07,356.41,357.35,828025.0
2021-08-24,,360.49,357.92,359.0,822751.0
2021-08-25,,360.65,357.991,358.75,953589.0
2021-08-26,,361.98,357.2416,361.62,1166233.0
2021-08-27,,364.33,361.18,361.99,1203851.0
2021-08-30,,363.96,361.75,362.05,986040.0
2021-08-31,,360.85,358.1,359.8,1084123.0
2021-09-01,,359.51,356.54,356.66,1116268.0
2021-09-02,,358.735,355.52,358.05,2031599.0
2021-09-03,,358.27,355.625,356.0,893685.0
2021-09-07,,354.72,349.07,349.2,2062088.0
2021-09-08,,353.58,349.46,351.46,1215491.0
2021-09-09,,351.7,347.86,348.93,1099019.0
2021-09-10,,350.08,345.82,345.88,1222611.0
2021-09-13,,349.28,342.75,346.31,1502256.0
2021-09-14,,348.3,342.48,344.34,1346096.0
2021-09-15,,346.93,343.91,345.07,1171825.0
2021-09-16,,345.9436,340.75,341.5,1451607.0
2021-09-17,,342.81,339.15,340.98,2108086.0
2021-09-20,,340.65,335.89,338.46,1709991.0
2021-09-21,,340.065,335.1001,336.05,1316981.0
2021-09-22,,343.2,338.02,341.73,1335925.0
2021-09-23,,344.775,340.11,344.2,1353931.0
2021-09-24,,352.94,347.51,349.52,1692975.0
2021-09-27,,357.235,351.32,353.36,1865989.0
2021-09-28,,355.31,349.92,352.15,1140435.0
2021-09-29,,352.58,344.97,350.29,1547732.0
2021-09-30,,352.3,344.9,345.1,1067951.0
2021-10-01,,349.68,342.77,347.8,960373.0
2021-10-04,,350.2724,343.7,345.99,1127402.0
2021-10-05,,350.45,344.82,347.75,889373.0
2021-10-06,,350.14,344.2,349.99,982095.0
2021-10-07,,354.48,350.17,351.78,1042648.0
2021-10-08,,355.16,350.8,353.75,780397.0
2021-10-11,,359.33,354.12,357.08,996832.0
2021-10-12,,360.38,356.0101,358.12,840239.0
2021-10-13,,362.39,353.4498,361.76,1102227.0
2021-10-14,,364.16,360.355,362.07,974240.0
2021-10-15,,366.24,363.51,365.62,952985.0
2021-10-18,,367.88,361.875,365.0,1014628.0
2021-10-19,,371.18,363.65,371.07,1051527.0
2021-10-20,,372.57,369.8,371.13,955188.0
2021-10-21,,373.26,367.14,373.14,803738.0
2021-10-22,,377.02,372.25,374.6,1092043.0
2021-10-25,,378.1,374.61,376.33,1350320.0
2021-10-26,,351.2,326.0,331.91,9439687.0
2021-10-27,,336.434,330.54,330.94,2822940.0
2021-10-28,,334.855,325.14,331.39,2874550.0
2021-10-29,,334.3641,328.84,332.32,1821510.0
2021-11-01,,334.198,330.07,330.93,1865020.0
2021-11-02,,332.0407,325.31,326.31,2745016.0
2021-11-03,,333.1,324.2278,331.35,1902646.0
2021-11-04,,335.7396,331.3,335.5,1847897.0
2021-11-05,,340.52,336.35,339.89,2145291.0
2021-11-08,,343.02,337.58,341.78,1733007.0
2021-11-09,,342.0,337.0997,338.17,1769211.0
2021-11-10,,340.7,337.5,337.63,1268778.0
2021-11-11,,337.21,333.3,335.89,1216473.0
2021-11-12,,340.39,335.03,339.06,1097664.0
2021-11-15,,341.65,339.43,340.92,1068912.0
2021-11-16,,343.64,339.76,340.37,1307549.0
2021-11-17,,343.545,339.48,341.99,1751113.0
2021-11-18,,343.11,340.21,342.08,1431476.0
2021-11-19,,343.0,339.35,341.44,1426637.0
2021-11-22,,347.59,341.48,344.98,1215147.0
2021-11-23,,348.09,344.67,345.18,1212807.0
2021-11-24,,347.0,343.05,343.58,1134598.0
2021-11-26,,343.23,338.08,342.72,1079864.0
2021-11-29,,344.6,339.2,341.23,1492254.0
2021-11-30,,338.355,333.03,333.32,2763187.0
2021-12-01,,335.95,328.2,328.42,2249186.0
2021-12-02,,333.91,328.33,330.53,1804208.0
2021-12-03,,334.3775,330.34,333.81,1576414.0
2021-12-06,,342.41,337.25,339.96,1946921.0
2021-12-07,,342.11,338.8,339.17,1540927.0
2021-12-08,,342.38,339.0244,341.08,1376911.0
2021-12-09,,345.11,338.27,343.6,1591713.0
2021-12-10,,347.24,344.6,344.88,1180685.0
2021-12-13,,346.795,341.51,345.55,1740728.0
2021-12-14,,348.4,343.75,345.64,1786033.0
2021-12-15,,345.64,340.0,344.42,1208943.0
2021-12-16,,347.96,343.67,344.84,1185928.0
2021-12-17,,347.155,342.92,344.14,2749535.0
2021-12-20,,341.19,333.42,337.42,2304257.0
2021-12-21,,343.38,338.65,340.77,2352563.0
2021-12-22,,344.35,341.03,343.14,1311507.0
2021-12-23,,348.32,343.78,347.02,1061270.0
2021-12-27,,350.81,347.0,350.28,966003.0
2021-12-28,,355.17,349.5114,353.75,827730.0
2021-12-29,,355.5,352.69,354.27,771816.0
2021-12-30,,357.83,353.51,353.58,778617.0
2021-12-31,,357.06,351.555,355.41,887171.0
2022-01-03,,356.59,353.03,354.36,1206138.0
2022-01-04,,363.54,355.21,361.99,1361119.0
2022-01-05,,364.0,357.87,358.14,1682213.0
2022-01-06,,361.24,357.55,358.0,1368995.0
2022-01-07,,362.99,358.15,360.14,1634647.0
2022-01-10,,369.46,361.41,363.25,2389886.0
2022-01-11,,365.0379,361.27,364.14,1128134.0
2022-01-12,,366.155,359.45,361.3,1477143.0
2022-01-13,,367.36,360.12,365.18,1243975.0
2022-01-14,,372.99,363.97,372.62,2164983.0
2022-01-18,,377.36,368.86,376.54,2472313.0
2022-01-19,,381.45,374.1765,377.33,3336687.0
2022-01-20,,381.15,374.01,375.13,2109142.0
2022-01-21,,377.1,369.68,371.2,2795405.0
2022-01-24,,374.54,365.34,373.33,3023288.0
2022-01-25,,388.0,370.78,387.17,3182423.0
2022-01-26,,393.63,383.7,391.24,3592696.0
2022-01-27,,395.6,384.735,389.08,2566244.0
2022-01-28,,393.33,384.78,393.15,2145264.0
2022-01-31,,390.99,384.68,389.13,2363525.0
2022-02-01,,390.51,386.21,387.01,1951392.0
2022-02-02,,388.35,385.01,387.34,1620605.0
2022-02-03,,392.1666,386.39,389.7,1648970.0
2022-02-04,,392.84,385.32,389.33,1645777.0
2022-02-07,,395.58,388.3,392.34,1242963.0
2022-02-08,,396.835,390.6,396.04,1305373.0
2022-02-09,,397.6171,393.69,394.54,1541931.0
2022-02-10,,395.66,383.93,385.43,2301132.0
2022-02-11,,398.85,385.35,396.19,3276387.0
2022-02-14,,395.5199,383.79,386.97,2799981.0
2022-02-15,,387.3,378.32,382.22,2418998.0
2022-02-16,,388.7078,382.0,386.9,1776794.0
2022-02-17,,391.69,385.77,388.77,1249040.0
2022-02-18,,391.08,385.705,386.46,1459949.0
2022-02-22,,393.42,385.07,386.2,1680920.0
2022-02-23,,390.28,384.5,388.9,1839516.0
2022-02-24,,398.98,387.42,395.71,4140943.0
2022-02-25,,414.45,395.22,409.49,3376337.0
2022-02-28,,433.9,413.5,433.8,5808648.0
2022-03-01,,458.53,435.0,456.61,5696257.0
2022-03-02,,451.56,429.28,450.0,5003398.0
2022-03-03,,455.9,437.4435,447.82,4603471.0
2022-03-04,,462.66,443.07,458.15,3322792.0
2022-03-07,,479.99,463.0,466.15,5202548.0
2022-03-08,,468.0,448.36,448.99,4133678.0
2022-03-09,,455.735,432.43,448.72,3477455.0
2022-03-10,,456.9599,442.24,444.36,3049605.0
2022-03-11,,448.685,438.61,439.04,2579146.0
2022-03-14,,449.78,439.21,444.45,2475664.0
2022-03-15,,450.42,440.28,448.67,1778690.0
2022-03-16,,436.89,411.36,421.34,5815501.0
2022-03-17,,431.78,424.8,428.59,2947717.0
2022-03-18,,437.49,421.7001,426.18,5215744.0
2022-03-21,,447.93,431.63,440.0,3211074.0
2022-03-22,,443.84,434.19,440.59,2113816.0
2022-03-23,,447.5,442.35,445.25,1715074.0
2022-03-24,,451.5,443.23,449.73,1375374.0
2022-03-25,,457.53,450.0,453.66,1646550.0
2022-03-28,,450.46,443.31,444.98,1676187.0
2022-03-29,,438.12,429.32,437.15,2451105.0
2022-03-30,,447.06,439.305,445.95,1719608.0
2022-03-31,,448.8699,441.0,441.4,1660687.0
2022-04-01,,448.99,438.8177,445.98,1174396.0
2022-04-04,,448.0,439.55,444.01,1166477.0
2022-04-05,,454.81,443.38,447.24,2240156.0
2022-04-06,,457.56,446.38,454.58,1941375.0
2022-04-07,,467.4,450.79,465.51,2032701.0
2022-04-08,,471.59,459.61,461.52,1710860.0
2022-04-11,,474.45,462.19,464.25,1911179.0
2022-04-12,,471.7399,461.38,467.55,1502527.0
2022-04-13,,474.61,466.25,469.19,1212375.0
2022-04-14,,473.73,466.04,467.66,1965159.0
2022-04-18,,471.9699,459.11,467.44,1638891.0
2022-04-19,,475.5,458.425,459.9,2044006.0
2022-04-20,,461.36,452.78,453.87,1636172.0
2022-04-21,,455.95,438.85,439.54,1925573.0
2022-04-22,,450.9,438.3924,445.79,1451796.0
2022-04-25,,444.82,433.27,442.89,1499844.0
2022-04-26,,452.32,443.1803,446.09,1440435.0
2022-04-27,,452.0,439.2655,444.98,1017592.0
2022-04-28,,449.0,437.52,441.71,1349467.0
2022-04-29,,445.01,430.38,432.12,1479532.0
2022-05-02,,437.49,426.15,430.81,1397135.0
2022-05-03,,437.6,430.955,434.77,1331984.0
2022-05-04,,445.99,434.885,445.74,1172615.0
2022-05-05,,447.47,438.6091,443.15,1183765.0
2022-05-06,,449.58,439.91,449.43,1409797.0
2022-05-09,,448.78,437.12,438.84,1354467.0
2022-05-10,,446.5,437.5,439.13,978706.0
2022-05-11,,444.99,436.615,440.41,1018188.0
2022-05-12,,441.32,428.35,434.59,1390225.0
2022-05-13,,437.705,429.0,435.17,1114755.0
2022-05-16,,440.365,432.155,437.55,1004671.0
2022-05-17,,442.22,431.26,441.0,798112.0
2022-05-18,,442.07,433.1034,434.33,960895.0
2022-05-19,,432.99,419.285,425.62,1536795.0
2022-05-20,,428.0,417.29,424.15,1632492.0
2022-05-23,,435.645,427.44,433.03,1038386.0
2022-05-24,,443.31,433.0,442.78,1034278.0
2022-05-25,,448.63,441.3,447.54,1032343.0
2022-05-26,,454.06,447.765,447.99,1143164.0
2022-05-27,,451.47,444.46,450.56,1265963.0
2022-05-31,,445.0,438.41,440.11,2539099.0
2022-06-01,,443.85,436.49,439.3,1199127.0
2022-06-02,,442.54,430.4401,441.11,1209973.0
2022-06-03,,446.578,439.16,442.69,928107.0
2022-06-06,,446.0007,441.56,443.41,689983.0
2022-06-07,,456.67,441.3989,456.3,1126120.0
2022-06-08,,454.64,442.91,443.41,1151604.0
2022-06-09,,443.5493,432.5,432.72,995196.0
2022-06-10,,434.35,425.75,430.19,1166079.0
2022-06-13,,428.36,421.522,423.93,1483046.0
2022-06-14,,424.16,411.11,416.17,1498032.0
2022-06-15,,419.0,408.87,414.1,1241740.0
2022-06-16,,412.89,403.02,404.79,1580297.0
2022-06-17,,405.4,394.66,404.01,3757111.0
2022-06-21,,420.5,409.0101,418.96,1474357.0
2022-06-22,,420.42,411.79,415.45,1073621.0
2022-06-23,,416.27,407.18,410.62,988848.0
2022-06-24,,419.48,410.68,419.04,1767980.0
2022-06-27,,423.19,417.47,419.25,779026.0
2022-06-28,,427.56,419.35,420.71,953621.0
2022-06-29,,424.4063,416.43,418.89,733833.0
2022-06-30,,430.32,416.88,429.96,1269511.0
2022-07-01,,434.96,424.48,433.52,1296938.0
2022-07-05,,425.77,407.21,415.25,1713202.0
2022-07-06,,427.86,415.28,425.89,1044956.0
2022-07-07,,427.995,419.55,422.19,1177278.0
2022-07-08,,426.965,419.97,420.35,681978.0
2022-07-11,,423.0,415.38,419.07,602659.0
2022-07-12,,419.89,412.6,413.99,680454.0
2022-07-13,,417.77,407.73,408.0,1155525.0
2022-07-14,,405.37,397.52,400.31,1160735.0
2022-07-15,,403.71,397.81,398.38,1223234.0
2022-07-18,,400.0,387.03,387.28,2759730.0
2022-07-19,,390.57,373.67,390.38,3023792.0
2022-07-20,,397.48,385.665,395.22,1560459.0
2022-07-21,,395.55,389.64,395.2,941017.0
2022-07-22,,401.97,393.46,394.74,769437.0
2022-07-25,,403.725,393.625,399.8,1038252.0
2022-07-26,,402.98,396.57,396.81,992431.0
2022-07-27,,399.25,394.0,398.54,838642.0
2022-07-28,,406.77,396.14,406.08,1014819.0
2022-07-29,,414.15,402.0,413.81,1493633.0
2022-08-01,,428.5,416.64,419.28,1721893.0
2022-08-02,,432.835,419.1,428.78,2453931.0
2022-08-03,,431.76,419.6423,429.3,1330652.0
2022-08-04,,434.6525,426.89,428.13,1126420.0
2022-08-05,,427.8431,419.53,426.41,932609.0
2022-08-08,,429.37,421.675,423.86,815818.0
2022-08-09,,431.88,425.7001,428.55,747479.0
2022-08-10,,432.25,426.34,429.99,1409345.0
2022-08-11,,432.49,427.2,428.85,949367.0
2022-08-12,,434.29,427.19,434.24,978009.0
