date,open,high,low,close,volume
2020-08-06,,203.6,198.37,203.18,3192490.0
2020-08-07,,205.16,203.285,204.6,3026840.0
2020-08-10,,205.16,202.5367,204.12,2822326.0
2020-08-11,,207.42,204.25,205.0,2561469.0
2020-08-12,,207.4,205.38,206.02,2207090.0
2020-08-13,,207.25,205.35,206.49,1839629.0
2020-08-14,,207.33,205.2,207.03,2092201.0
2020-08-17,,209.5,206.85,208.67,2656956.0
2020-08-18,,210.43,207.23,210.32,2976854.0
2020-08-19,,211.17,208.64,209.51,2763198.0
2020-08-20,,210.99,208.1,209.88,2136559.0
2020-08-21,,212.185,209.26,211.57,3663067.0
2020-08-24,,213.5,210.93,212.62,2521690.0
2020-08-25,,214.185,212.22,212.65,2368484.0
2020-08-26,,214.42,211.6,213.76,2367445.0
2020-08-27,,216.1,212.1,212.19,3264692.0
2020-08-28,,216.71,211.77,214.91,3251184.0
2020-08-31,,214.99,212.81,213.52,2943776.0
2020-09-01,,213.61,210.5816,212.69,2999040.0
2020-09-02,,217.13,212.69,216.23,4147711.0
2020-09-03,,218.11,211.9,213.8,3192321.0
2020-09-04,,217.78,210.76,211.73,3884600.0
2020-09-08,,216.3,211.06,213.58,4170732.0
2020-09-09,,218.17,214.44,215.71,3258804.0
2020-09-10,,219.48,215.72,217.24,3375510.0
2020-09-11,,219.18,216.28,218.0,3620076.0
2020-09-14,,222.59,219.34,220.56,2595194.0
2020-09-15,,223.64,221.4,222.37,2704752.0
2020-09-16,,226.72,221.3,224.81,3517510.0
2020-09-17,,223.73,220.5,222.58,3449854.0
2020-09-18,,223.57,220.13,220.27,4702013.0
2020-09-21,,218.045,213.4,216.41,2876044.0
2020-09-22,,216.96,214.55,216.41,2516887.0
2020-09-23,,219.685,214.24,214.97,2820867.0
2020-09-24,,218.41,213.59,216.12,1756100.0
2020-09-25,,219.25,213.65,218.18,2232035.0
2020-09-28,,221.98,219.02,220.26,2156223.0
2020-09-29,,220.955,218.4783,218.68,1768466.0
2020-09-30,,222.2,218.41,219.49,3070391.0
2020-10-01,,223.0,217.79,219.59,2483533.0
2020-10-02,,223.3499,217.1,222.67,3884971.0
2020-10-05,,226.5,224.01,226.07,2980148.0
2020-10-06,,228.66,223.6,224.09,2519907.0
2020-10-07,,228.41,225.125,226.48,2026052.0
2020-10-08,,227.08,224.29,225.8,3258447.0
2020-10-09,,227.22,223.12,224.83,3282010.0
2020-10-12,,226.51,223.12,226.11,2461575.0
2020-10-13,,228.58,224.93,227.35,2160808.0
2020-10-14,,229.4803,227.35,227.62,1900884.0
2020-10-15,,230.0,225.59,229.64,2211944.0
2020-10-16,,231.91,229.1501,229.37,2363385.0
2020-10-19,,231.02,225.17,226.0,2043108.0
2020-10-20,,230.0,226.43,227.45,1926155.0
2020-10-21,,229.49,227.21,228.19,1561939.0
2020-10-22,,229.4,226.875,229.15,2002987.0
2020-10-23,,230.41,227.8,228.71,2307661.0
2020-10-26,,227.25,220.97,224.27,2567629.0
2020-10-27,,225.23,222.72,222.97,1833213.0
2020-10-28,,220.5916,214.46,214.69,3323815.0
2020-10-29,,217.65,213.07,214.95,2509720.0
2020-10-30,,215.22,209.905,213.0,3508984.0
2020-11-02,,216.32,210.79,212.56,3029980.0
2020-11-03,,218.1,213.95,216.8,2652855.0
2020-11-04,,219.47,213.3,214.87,3431456.0
2020-11-05,,218.2,214.68,216.31,3683190.0
2020-11-06,,217.885,214.25,216.56,3967507.0
2020-11-09,,227.8477,207.17,213.22,8110086.0
2020-11-10,,215.99,211.34,213.32,4317282.0
2020-11-11,,219.25,214.3,218.02,4192197.0
2020-11-12,,217.82,210.88,213.07,4298548.0
2020-11-13,,214.39,212.34,213.28,3104515.0
2020-11-16,,216.75,213.6301,216.73,3758302.0
2020-11-17,,217.39,214.02,216.01,2489633.0
2020-11-18,,217.84,215.41,215.52,3112438.0
2020-11-19,,215.48,213.33,215.11,2881144.0
2020-11-20,,215.215,213.625,214.09,4048467.0
2020-11-23,,217.6,214.65,217.0,3067758.0
2020-11-24,,221.25,218.25,219.71,3928496.0
2020-11-25,,220.59,217.92,219.34,1917521.0
2020-11-27,,220.4,217.66,218.33,1394366.0
2020-11-30,,217.57,214.43,217.44,3449341.0
2020-12-01,,218.93,215.53,216.14,4263019.0
2020-12-02,,214.4,209.13,210.86,6288877.0
2020-12-03,,213.23,210.5581,211.51,3775463.0
2020-12-04,,213.38,210.1,210.74,3207755.0
2020-12-07,,209.11,206.19,208.89,3911279.0
2020-12-08,,209.1,206.41,208.39,2814019.0
2020-12-09,,209.5271,207.33,208.69,3064095.0
2020-12-10,,208.76,207.07,208.04,2998602.0
2020-12-11,,208.94,206.73,207.76,2818461.0
2020-12-14,,214.74,210.21,211.92,4844676.0
2020-12-15,,216.21,212.7392,214.86,3893505.0
2020-12-16,,217.51,213.66,213.8,2718557.0
2020-12-17,,215.785,213.53,214.25,2608739.0
2020-12-18,,216.85,213.82,215.08,8973095.0
2020-12-21,,212.55,208.01,211.67,4429436.0
2020-12-22,,212.905,210.37,211.92,2819103.0
2020-12-23,,213.4338,211.79,212.02,1687954.0
2020-12-24,,212.74,211.14,211.39,1047650.0
2020-12-28,,214.88,212.19,214.02,2599198.0
2020-12-29,,215.78,212.45,212.71,1699918.0
2020-12-30,,213.36,211.28,211.56,1893991.0
2020-12-31,,214.93,210.78,214.58,2637633.0
2021-01-04,,214.72,208.22,210.22,4112227.0
2021-01-05,,211.95,209.62,211.48,2614255.0
2021-01-06,,211.7083,209.03,211.0,3123993.0
2021-01-07,,213.22,210.56,211.98,3209323.0
2021-01-08,,216.12,212.23,215.87,2675364.0
2021-01-11,,216.12,213.1234,214.23,2598047.0
2021-01-12,,214.33,210.94,211.6,3001489.0
2021-01-13,,213.13,210.9046,212.09,2104941.0
2021-01-14,,212.67,208.0,208.5,3711065.0
2021-01-15,,210.7,207.4203,209.91,3874972.0
2021-01-19,,211.0,207.88,209.09,3395043.0
2021-01-20,,214.41,209.63,213.63,4148000.0
2021-01-21,,215.96,213.32,213.53,2735494.0
2021-01-22,,214.14,211.17,213.38,2235465.0
2021-01-25,,214.05,210.56,213.34,2699331.0
2021-01-26,,215.51,212.17,215.38,2971589.0
2021-01-27,,213.15,207.0,207.0,5541321.0
2021-01-28,,210.36,205.13,206.82,5470693.0
2021-01-29,,209.4,203.11,207.84,5280436.0
2021-02-01,,209.69,206.6,207.93,2867945.0
2021-02-02,,212.63,207.645,209.76,2851741.0
2021-02-03,,209.99,207.93,208.71,3081222.0
2021-02-04,,212.11,208.67,211.03,2813060.0
2021-02-05,,214.18,212.01,212.58,2663147.0
2021-02-08,,212.99,209.96,211.58,2748018.0
2021-02-09,,216.18,211.77,215.98,3087434.0
2021-02-10,,217.31,213.81,214.4,3207385.0
2021-02-11,,214.8,212.4,214.27,2619779.0
2021-02-12,,214.7,212.99,213.9,2810629.0
2021-02-16,,216.94,213.83,215.03,2957754.0
2021-02-17,,214.89,212.63,213.45,3381457.0
2021-02-18,,215.8601,212.65,215.43,2229988.0
2021-02-19,,215.73,211.97,212.24,3302290.0
2021-02-22,,213.0,209.69,212.06,2988863.0
2021-02-23,,215.7,210.43,211.32,3299796.0
2021-02-24,,214.1,210.42,213.27,2940113.0
2021-02-25,,212.92,209.74,210.95,3170822.0
2021-02-26,,211.635,206.14,206.14,5388581.0
2021-03-01,,210.38,207.35,208.25,2890922.0
2021-03-02,,209.9,206.19,208.67,3057993.0
2021-03-03,,208.99,205.61,205.82,3530635.0
2021-03-04,,207.49,202.73,204.84,3990294.0
2021-03-05,,208.23,202.9592,207.37,3654437.0
2021-03-08,,210.591,207.14,209.11,3218013.0
2021-03-09,,211.2,208.28,208.55,3691009.0
2021-03-10,,213.63,208.24,213.31,3509908.0
2021-03-11,,215.23,211.49,211.57,3688997.0
2021-03-12,,214.24,211.42,212.34,2860417.0
2021-03-15,,220.55,213.5,220.46,5616368.0
2021-03-16,,221.3,217.16,219.86,3649235.0
