date,open,high,low,close,volume
2020-08-06,,130.8445,129.3311,130.4348,3564765.308
2020-08-07,,132.4582,129.6572,132.3829,2663018.384
2020-08-10,,135.1171,132.5669,134.9833,2756215.488
2020-08-11,,139.3311,136.3211,136.6054,4629958.788
2020-08-12,,138.7542,136.5803,137.3411,2534381.408
2020-08-13,,140.0418,137.7508,138.6789,3548046.424
2020-08-14,,139.0468,137.5585,138.8796,1934770.396
2020-08-17,,139.1054,136.8311,137.7174,2572743.108
2020-08-18,,138.3278,136.9231,137.4415,1845145.744
2020-08-19,,138.5366,136.9398,137.0987,2447212.144
2020-08-20,,136.8423,135.7692,136.2625,2432788.384
2020-08-21,,136.0284,134.398,135.209,2546774.36
2020-08-24,,137.0819,134.7408,136.7308,2904478.824
2020-08-25,,138.1689,135.8027,136.3712,2381152.28
2020-08-26,,137.7676,135.1923,137.0401,3037873.488
2020-08-27,,138.2609,136.4381,137.1906,2830750.208
2020-08-28,,138.9381,137.0569,138.5117,3675233.848
2020-08-31,,138.587,135.5268,136.3043,3481254.608
2020-09-01,,138.4197,135.1505,137.7926,3546094.552
2020-09-02,,142.1405,138.0769,141.7308,4753086.988
2020-09-03,,142.4916,137.9515,139.0552,4237567.932
2020-09-04,,141.3963,137.0401,138.6037,3973864.284
2020-09-08,,138.4866,135.3513,136.4298,3494989.472
2020-09-09,,139.9164,137.1237,138.5452,3322236.84
2020-09-10,,139.3562,136.0786,136.413,2534499.812
2020-09-11,,139.3783,136.3378,138.9381,2087815.34
2020-09-14,,141.6597,139.1513,140.8528,2800901.636
2020-09-15,,142.0819,138.9382,139.2726,2520706.344
2020-09-16,,143.0602,140.0585,141.7308,3572158.98
2020-09-17,,144.8161,139.7868,144.1304,3336768.24
2020-09-18,,144.4649,141.6973,141.7642,5739021.548
2020-09-21,,139.3561,133.4783,134.9164,4746285.336
2020-09-22,,136.8478,134.1304,135.7358,2555042.308
2020-09-23,,137.3244,133.0435,133.3696,2715246.508
2020-09-24,,135.4139,132.1656,134.1304,1917612.58
2020-09-25,,134.5987,132.8261,134.005,2364397.516
2020-09-28,,137.2408,134.8913,135.1672,2551626.532
2020-09-29,,135.4097,132.7592,133.6204,2458441.388
2020-09-30,,136.3737,132.6171,133.9298,3736685.524
2020-10-01,,135.3679,131.8729,132.7676,2420243.54
2020-10-02,,135.4013,130.6438,134.0803,2187592.836
2020-10-05,,136.7057,135.2508,136.0786,1790221.836
2020-10-06,,138.5452,135.3094,135.6438,2453901.372
2020-10-07,,140.2592,137.4666,139.2057,2651811.864
2020-10-08,,140.5936,138.9005,140.2258,2312222.016
2020-10-09,,142.5418,140.4264,141.5552,2457436.748
2020-10-12,,142.6505,140.5686,141.0117,1902821.648
2020-10-13,,141.6806,138.796,139.3227,1965349.724
2020-10-14,,141.7559,139.4565,140.8027,1763234.096
2020-10-15,,141.8729,138.6288,141.3712,2003893.216
2020-10-16,,143.8712,141.4841,142.9515,3179940.348
2020-10-19,,144.1054,141.1957,141.7642,2328019.98
2020-10-20,,144.8077,142.1321,142.9348,2205456.292
2020-10-21,,143.9047,141.3629,141.4465,1866810.088
2020-10-22,,142.9682,140.7944,142.7341,2022446.764
2020-10-23,,143.959,141.3211,141.9732,2608145.904
2020-10-26,,140.5435,137.4498,138.9298,4041179.948
2020-10-27,,137.9431,134.3227,134.6405,4724429.632
2020-10-28,,136.1622,132.2074,132.5502,3735520.62
2020-10-29,,133.9298,130.5435,132.5084,3253770.624
2020-10-30,,133.7458,131.2667,133.7458,2707134.04
2020-11-02,,136.6388,134.5569,136.2375,2594348.848
2020-11-03,,139.49,136.9026,138.3863,2305008.94
2020-11-04,,138.2107,133.6957,133.913,3809141.596
2020-11-05,,137.4666,135.4682,136.4548,2668918.252
2020-11-06,,137.3746,135.092,136.3043,2057450.096
2020-11-09,,146.6806,136.413,136.6472,5454612.748
2020-11-10,,141.5324,137.0067,141.4214,4280089.32
2020-11-11,,142.7592,140.1338,141.4799,3524926.548
2020-11-12,,141.4632,138.4448,139.6739,2729126.088
2020-11-13,,142.3579,139.8662,141.9649,2213730.22
2020-11-16,,145.393,142.291,145.3679,2993802.084
2020-11-17,,145.903,142.8595,145.1839,3156824.06
2020-11-18,,146.0702,143.2525,143.311,3214198.572
2020-11-19,,143.7124,141.5552,143.4866,3656954.184
2020-11-20,,144.607,142.9431,144.5569,3292170.596
2020-11-23,,146.1998,145.0251,145.602,2519180.248
2020-11-24,,148.1773,146.2375,148.0602,3795694.968
2020-11-25,,148.2776,146.6973,148.0936,2509741.416
2020-11-27,,150.1881,146.7977,147.9013,1515488.676
2020-11-30,,147.1572,144.398,144.4231,7401170.92
2020-12-01,,146.898,142.1488,142.5753,4667140.036
2020-12-02,,144.2977,142.3244,143.6873,2955083.976
2020-12-03,,144.9749,143.01,143.6706,2906260.864
2020-12-04,,144.7826,143.4281,144.1973,3226556.84
2020-12-07,,144.2308,141.4548,142.2659,3064028.812
2020-12-08,,144.5067,141.8896,144.1973,2124003.908
2020-12-09,,146.8562,143.75,146.5635,3387205.952
2020-12-10,,146.6555,144.3896,145.0585,2738905.78
2020-12-11,,146.0284,143.9555,145.5017,2288896.428
2020-12-14,,147.3244,144.6405,144.7157,4525845.792
2020-12-15,,146.3671,144.2726,146.0535,2769828.36
2020-12-16,,147.0318,145.7776,146.6639,2373410.572
2020-12-17,,148.3779,146.6472,147.7007,2830717.916
2020-12-18,,148.3779,146.413,147.5084,6567201.316
2020-12-21,,147.2617,144.6771,146.8729,2118385.1
2020-12-22,,147.0945,145.6355,146.1371,1697922.928
2020-12-23,,146.9992,145.4473,145.4766,2137894.252
2020-12-24,,146.1474,145.0,145.9197,784796.064
2020-12-28,,147.4916,145.811,146.0786,1707652.388
2020-12-29,,146.8562,144.7742,145.3595,1489234.084
2020-12-30,,146.2542,144.9666,145.5769,1727014.432
2020-12-31,,146.2124,144.7993,146.1455,2224012.232
2021-01-04,,147.3244,142.6007,143.704,3680497.444
2021-01-05,,144.8579,142.6839,143.4615,2791477.156
2021-01-06,,146.7977,143.8462,145.6438,4065546.056
2021-01-07,,145.0334,138.9298,141.9064,7097663.196
2021-01-08,,141.7559,137.6338,139.3144,5845777.704
2021-01-11,,139.7492,137.9599,138.1271,3365413.636
2021-01-12,,139.7784,137.1906,139.2224,3634040.02
2021-01-13,,140.2508,138.8378,139.0301,2585665.888
2021-01-14,,139.9331,138.1522,139.1388,3524861.964
2021-01-15,,139.0134,136.6054,138.4197,4525510.912
2021-01-19,,141.7642,139.4649,141.4047,4762327.284
2021-01-20,,142.6254,140.8278,142.3244,3280302.688
2021-01-21,,143.3855,141.6304,142.7007,3291329.808
2021-01-22,,142.3077,139.8328,141.3378,2868780.616
2021-01-25,,144.2224,140.6564,142.4666,4080762.764
2021-01-26,,147.8595,143.8796,147.1154,6234848.464
2021-01-27,,156.5803,148.1271,156.0619,9828419.432
2021-01-28,,156.0033,152.6589,153.3612,5176075.112
2021-01-29,,152.9933,146.2125,146.8729,5116284.68
2021-02-01,,148.0853,145.4601,146.0702,3149862.144
2021-02-02,,148.4365,146.1957,146.3378,3477128.408
2021-02-03,,148.3637,145.1087,146.7224,3528200.0
2021-02-04,,148.2358,146.7476,148.0769,2246641.748
2021-02-05,,149.8576,147.7425,149.6739,2244688.68
2021-02-08,,151.2291,149.8077,151.1371,2882655.412
2021-02-09,,152.0903,150.6522,151.2876,2377344.216
2021-02-10,,152.4916,151.0368,151.4047,2345284.24
2021-02-11,,150.3972,147.0234,148.1689,2688698.896
2021-02-12,,149.5318,148.1647,149.4147,1332323.668
2021-02-16,,150.2425,147.4283,147.6839,2261645.568
2021-02-17,,148.2441,146.4381,147.7007,1952266.68
2021-02-18,,150.2258,147.2826,149.9749,2548720.252
2021-02-19,,151.1455,147.3244,147.6087,3701667.84
2021-02-22,,148.0686,146.3294,147.2575,2772813.576
2021-02-23,,148.4448,146.0786,147.2993,2873019.24
2021-02-24,,148.8127,145.2843,148.5201,3337281.324
2021-02-25,,151.1288,148.3528,149.4649,3223083.656
2021-02-26,,150.0418,145.9908,146.3712,4090740.992
2021-03-01,,148.4114,146.9064,147.5,2270006.804
2021-03-02,,148.6538,146.1455,148.0853,2764172.476
2021-03-03,,150.5184,147.8261,148.8796,2758747.42
2021-03-04,,150.6522,145.5435,148.5201,4275917.672
2021-03-05,,151.806,147.9515,151.1706,2746605.628
2021-03-08,,155.2676,151.2793,153.6538,3177678.712
2021-03-09,,153.9716,151.3545,151.4883,3452142.772
2021-03-10,,155.0,151.6806,154.2726,2930286.112
2021-03-11,,154.7408,152.2541,154.3227,2933398.104
2021-03-12,,155.694,154.0719,154.6154,3286970.388
2021-03-15,,158.5535,155.2759,158.4281,4023836.752
2021-03-16,,157.5753,155.5017,156.2291,2775219.928
2021-03-17,,158.8545,156.3963,157.4415,3130848.136
2021-03-18,,160.6104,157.6923,159.699,3696698.46
2021-03-19,,159.699,157.7676,157.7843,8871973.448
2021-03-22,,158.6622,156.3629,158.4197,3195036.26
2021-03-23,,160.2926,157.107,157.4666,3361672.548
2021-03-24,,161.1538,157.26,159.4398,3437085.132
