date,open,high,low,close,volume
2020-08-06,,49.98,49.24,49.45,5853038.0
2020-08-07,,50.47,49.08,50.35,6308086.0
2020-08-10,,50.83,50.26,50.58,6570448.0
2020-08-11,,52.87,51.565,51.78,11921716.0
2020-08-12,,53.42,51.91,52.38,9041111.0
2020-08-13,,52.46,51.71,52.18,5796073.0
2020-08-14,,52.545,51.65,52.3,5892629.0
2020-08-17,,52.3,51.09,51.28,7393205.0
2020-08-18,,51.37,50.65,50.92,6507910.0
2020-08-19,,52.03,51.14,51.37,6058595.0
2020-08-20,,51.07,50.495,50.8,5248387.0
2020-08-21,,51.42,50.5,51.1,6627916.0
2020-08-24,,52.47,51.16,52.37,7790321.0
2020-08-25,,52.89,51.85,52.05,8521937.0
2020-08-26,,52.105,51.61,51.71,5993137.0
2020-08-27,,52.865,51.68,52.61,8982463.0
2020-08-28,,53.0,52.45,52.89,8837463.0
2020-08-31,,52.89,52.25,52.26,8132836.0
2020-09-01,,52.815,51.69,52.58,5665443.0
2020-09-02,,53.47,52.465,53.25,7634623.0
2020-09-03,,54.38,52.2,52.75,11120101.0
2020-09-04,,53.76,51.755,52.71,9532113.0
2020-09-08,,52.29,50.09,50.17,11057843.0
2020-09-09,,51.63,50.43,51.06,8883261.0
2020-09-10,,51.59,50.17,50.29,8668985.0
2020-09-11,,50.945,50.055,50.35,9036409.0
2020-09-14,,51.565,50.3,51.15,8898829.0
2020-09-15,,51.335,50.27,50.39,7728075.0
2020-09-16,,51.91,50.31,51.15,8754245.0
2020-09-17,,50.925,49.98,50.25,7591341.0
2020-09-18,,50.94,50.05,50.08,11532871.0
2020-09-21,,49.0899,47.51,48.36,13026182.0
2020-09-22,,48.59,46.925,47.63,11240581.0
2020-09-23,,48.235,46.39,46.42,8314549.0
2020-09-24,,47.42,45.86,46.61,9923478.0
2020-09-25,,47.33,45.915,47.04,9885304.0
2020-09-28,,49.14,47.805,48.38,9560441.0
2020-09-29,,48.26,47.19,47.24,11412540.0
2020-09-30,,48.99,47.54,48.35,15123059.0
2020-10-01,,49.07,46.9,47.26,25448080.0
2020-10-02,,48.34,46.42,47.97,12816291.0
2020-10-05,,48.89,47.78,48.6,19218243.0
2020-10-06,,49.41,47.47,47.74,23152777.0
2020-10-07,,49.17,48.24,48.71,12220161.0
2020-10-08,,49.49,47.26,49.0,24085966.0
2020-10-09,,49.73,48.73,48.83,11558023.0
2020-10-12,,51.01,49.03,50.74,17871142.0
2020-10-13,,51.24,49.985,50.44,17703656.0
2020-10-14,,51.39,50.38,50.65,20650724.0
