date,open,high,low,close,volume
2020-08-06,,216.3705,211.55,216.35,32656843.0
2020-08-07,,215.7,210.93,212.48,27820421.0
2020-08-10,,211.88,206.35,208.25,36704662.0
2020-08-11,,207.65,203.14,203.38,36446459.0
2020-08-12,,210.28,204.75,209.19,28041364.0
2020-08-13,,211.35,208.15,208.7,22588870.0
2020-08-14,,209.59,207.51,208.9,17930136.0
2020-08-17,,211.1874,208.915,210.28,20160757.0
2020-08-18,,212.36,209.21,211.49,21336167.0
2020-08-19,,212.1,209.25,209.7,27627561.0
2020-08-20,,215.0,208.91,214.58,26981478.0
2020-08-21,,216.25,212.85,213.02,36249319.0
2020-08-24,,215.52,212.43,213.69,25460147.0
2020-08-25,,216.61,213.1,216.47,23043696.0
2020-08-26,,222.09,217.36,221.15,39574983.0
2020-08-27,,231.15,219.4,226.58,57602195.0
2020-08-28,,230.644,226.58,228.91,26292896.0
2020-08-31,,228.7,224.31,225.53,28711156.0
2020-09-01,,227.45,224.43,227.27,25791235.0
2020-09-02,,232.86,227.35,231.65,34032089.0
2020-09-03,,229.31,214.9602,217.3,58386688.0
2020-09-04,,218.3599,205.19,214.25,59264072.0
2020-09-08,,210.03,202.2,202.66,52774330.0
2020-09-09,,214.8399,206.7,211.29,45672786.0
2020-09-10,,214.74,204.11,205.37,35427164.0
2020-09-11,,208.63,201.24,204.03,33617623.0
2020-09-14,,209.2,204.03,205.41,30375713.0
2020-09-15,,209.78,206.93,208.78,21820942.0
2020-09-16,,210.65,204.64,205.05,26371864.0
2020-09-17,,204.33,199.96,202.91,34005257.0
2020-09-18,,203.65,196.25,200.39,55225326.0
2020-09-21,,202.71,196.38,202.54,39839657.0
2020-09-22,,208.1,202.075,207.42,33517065.0
2020-09-23,,208.1,200.03,200.59,30803780.0
2020-09-24,,205.57,199.2,203.19,31202493.0
2020-09-25,,209.04,202.54,207.82,29437312.0
2020-09-28,,212.57,208.06,209.44,32004936.0
2020-09-29,,210.07,206.81,207.26,24464472.0
2020-09-30,,211.98,206.54,210.33,33829088.0
2020-10-01,,213.99,211.32,212.46,27142418.0
2020-10-02,,210.99,205.54,206.19,33134781.0
2020-10-05,,210.41,206.98,210.38,21331561.0
2020-10-06,,210.18,204.82,205.91,28554261.0
2020-10-07,,210.11,206.72,209.83,25681054.0
2020-10-08,,211.19,208.32,210.58,19925837.0
2020-10-09,,215.86,211.23,215.81,26458047.0
2020-10-12,,223.86,216.81,221.4,40456493.0
2020-10-13,,225.21,220.43,222.86,28950843.0
2020-10-14,,224.22,219.13,220.86,23451713.0
2020-10-15,,220.36,216.01,219.66,22733064.0
2020-10-16,,222.29,219.32,219.66,25882732.0
2020-10-19,,222.3,213.72,214.22,27625841.0
2020-10-20,,217.37,213.0901,214.65,22753511.0
2020-10-21,,216.92,213.12,214.8,22699906.0
2020-10-22,,216.055,211.7,214.89,22351450.0
2020-10-23,,216.28,213.16,216.23,18772608.0
2020-10-26,,216.3399,208.1,210.08,37111561.0
2020-10-27,,214.67,210.329,213.25,36685925.0
2020-10-28,,208.84,202.1,202.68,51178393.0
2020-10-29,,207.36,203.37,204.72,31372563.0
2020-10-30,,204.29,199.62,202.47,36968111.0
2020-11-02,,205.28,200.12,202.33,30842163.0
2020-11-03,,208.12,203.12,206.43,27511636.0
2020-11-04,,218.32,212.4185,216.39,42299777.0
2020-11-05,,224.12,221.15,223.29,36080137.0
2020-11-06,,224.36,218.03,223.72,25231895.0
2020-11-09,,228.12,217.88,218.39,44347950.0
2020-11-10,,216.5,209.72,211.01,44022470.0
2020-11-11,,218.04,212.2,216.55,29440788.0
2020-11-12,,219.11,214.46,215.44,21616115.0
2020-11-13,,217.42,214.16,216.51,18630307.0
2020-11-16,,217.74,214.52,217.23,24953344.0
2020-11-17,,217.68,214.08,214.46,24154112.0
2020-11-18,,215.17,210.93,211.08,28372789.0
2020-11-19,,213.03,209.93,212.42,24792746.0
2020-11-20,,213.285,210.0,210.39,22843119.0
2020-11-23,,212.29,208.16,210.11,25683507.0
2020-11-24,,214.25,208.86,213.86,33979731.0
2020-11-25,,215.29,212.46,213.87,20938887.0
2020-11-27,,216.27,214.04,215.23,14512213.0
2020-11-30,,214.76,210.835,214.07,33064753.0
2020-12-01,,217.32,213.35,216.21,30931318.0
2020-12-02,,215.47,212.8,215.37,23724509.0
2020-12-03,,216.3757,213.65,214.24,25120922.0
2020-12-04,,215.38,213.18,214.36,24144649.0
2020-12-07,,215.54,212.99,214.29,24496997.0
2020-12-08,,216.95,212.89,216.01,23284094.0
2020-12-09,,215.225,211.214,211.8,32282603.0
2020-12-10,,213.08,210.36,210.52,26467017.0
2020-12-11,,213.32,209.11,213.26,30786640.0
2020-12-14,,216.21,212.88,214.2,28794179.0
2020-12-15,,215.42,212.24,214.13,27018106.0
2020-12-16,,220.11,214.72,219.28,35021923.0
2020-12-17,,220.89,217.92,219.42,32442784.0
2020-12-18,,219.69,216.02,218.59,63354922.0
2020-12-21,,224.0,217.2801,222.59,37181886.0
2020-12-22,,225.63,221.85,223.94,22643397.0
2020-12-23,,223.5589,220.8,221.02,18699638.0
2020-12-24,,223.61,221.2,222.75,10550572.0
2020-12-28,,226.03,223.02,224.96,17933496.0
2020-12-29,,227.18,223.58,224.15,17402513.0
2020-12-30,,225.63,221.47,221.68,20272337.0
2020-12-31,,223.0,219.68,222.42,20692132.0
2021-01-04,,223.0,214.81,217.69,37130139.0
2021-01-05,,218.52,215.7,217.9,23808703.0
2021-01-06,,216.4899,211.94,212.25,35930653.0
2021-01-07,,219.34,213.71,218.29,27694480.0
2021-01-08,,220.58,217.0261,219.62,22956136.0
2021-01-11,,218.91,216.73,217.49,23047029.0
2021-01-12,,217.1,213.3202,214.93,23249336.0
2021-01-13,,216.76,213.9266,216.34,20087080.0
2021-01-14,,217.46,212.74,213.02,28846837.0
2021-01-15,,214.51,212.03,212.65,31730012.0
2021-01-19,,216.98,212.63,216.44,30480859.0
2021-01-20,,225.79,217.2908,224.34,37777260.0
2021-01-21,,226.3,222.42,224.97,30746353.0
2021-01-22,,230.07,225.8,225.95,30172663.0
2021-01-25,,229.78,224.22,229.53,33152095.0
2021-01-26,,234.18,230.08,232.33,49167001.0
2021-01-27,,240.44,230.14,232.9,69789638.0
2021-01-28,,242.64,235.09,238.93,49111159.0
2021-01-29,,238.02,231.35,231.96,42503138.0
2021-02-01,,242.5,232.43,239.65,33314193.0
2021-02-02,,242.31,238.69,239.51,25916337.0
2021-02-03,,245.09,239.26,243.0,27033104.0
2021-02-04,,243.2399,240.37,242.01,25196100.0
2021-02-05,,243.28,240.42,242.2,18054752.0
2021-02-08,,243.68,240.81,242.47,22211929.0
2021-02-09,,244.76,241.38,243.77,23564953.0
2021-02-10,,245.92,240.89,242.82,22186706.0
