date,open,high,low,close,volume
2020-08-06,,71.1925,70.2775,70.7025,4698100.0
2020-08-07,,72.3525,70.6238,71.945,4443472.0
2020-08-10,,72.2788,70.7325,70.91,7314704.0
2020-08-11,,71.145,69.11,69.4475,6904892.0
2020-08-12,,71.4925,69.675,71.1475,6197024.0
2020-08-13,,71.365,70.6575,71.1,3769252.0
2020-08-14,,71.035,70.005,70.125,4992668.0
2020-08-17,,71.2675,70.0825,70.7475,4915228.0
2020-08-18,,71.2925,70.55,70.7625,4834760.0
2020-08-19,,71.0638,70.455,70.585,5547796.0
2020-08-20,,70.9404,70.14,70.5275,3692460.0
2020-08-21,,70.76,70.1125,70.6025,6020620.0
2020-08-24,,70.78,70.065,70.6575,3652320.0
2020-08-25,,70.9113,69.785,70.3275,4177584.0
2020-08-26,,70.3525,69.54,69.75,5311228.0
2020-08-27,,70.12,69.15,69.72,4656540.0
2020-08-28,,69.9925,69.31,69.8875,4680260.0
2020-08-31,,70.9125,69.67,69.7925,6112844.0
2020-09-01,,69.8788,68.5125,69.2825,5875824.0
2020-09-02,,72.425,68.9175,72.065,9841856.0
2020-09-03,,72.7725,69.4875,70.1475,8049928.0
2020-09-04,,71.5,68.1975,69.33,7393152.0
2020-09-08,,70.2075,68.825,69.4775,7315236.0
2020-09-09,,71.705,69.96,70.5925,4854508.0
2020-09-10,,70.4975,69.1084,69.2275,4429380.0
2020-09-11,,69.7975,68.8625,69.5375,4007620.0
2020-09-14,,70.9975,69.6081,70.48,3972692.0
2020-09-15,,74.825,72.7875,73.925,11119896.0
2020-09-16,,71.7375,69.7825,70.0875,19716988.0
2020-09-17,,70.0675,68.9525,69.88,9591056.0
2020-09-18,,70.4975,68.96,69.23,16106248.0
2020-09-21,,69.1725,67.8913,69.05,7651840.0
2020-09-22,,69.9875,68.7425,69.515,7357444.0
2020-09-23,,69.665,68.28,68.3275,5947932.0
2020-09-24,,69.94,68.14,69.385,7575996.0
2020-09-25,,70.5325,68.5825,70.455,5555984.0
2020-09-28,,71.5075,70.66,71.035,7008156.0
2020-09-29,,71.4825,70.55,70.78,7193364.0
