date,open,high,low,close,volume
2020-08-06,,71.34,69.35,70.11,6843684.0
2020-08-07,,69.49,68.36,68.91,6148028.0
2020-08-10,,70.4,67.51,67.89,5684253.0
2020-08-11,,64.94,62.65,62.87,11647070.0
2020-08-12,,64.63,62.685,62.99,8423561.0
2020-08-13,,64.71,63.34,64.11,5732404.0
2020-08-14,,64.53,63.36,63.85,3953059.0
2020-08-17,,68.37,65.56,68.35,8568132.0
2020-08-18,,69.81,66.7566,67.7,5464317.0
2020-08-19,,68.255,65.39,65.98,6181267.0
2020-08-20,,67.53,65.73,67.23,4709806.0
2020-08-21,,66.74,65.22,65.57,5636615.0
2020-08-24,,66.51,64.78,65.2,4645195.0
2020-08-25,,65.1,63.26,64.86,4278535.0
2020-08-26,,65.77,63.97,65.67,4227143.0
2020-08-27,,66.79,63.71,64.76,4939218.0
2020-08-28,,67.09,65.28,66.71,4544794.0
2020-08-31,,68.22,66.68,67.28,6111317.0
2020-09-01,,68.55,65.86,67.02,6258236.0
2020-09-02,,67.55,64.77,67.53,7454471.0
2020-09-03,,67.05,64.76,66.13,7233805.0
2020-09-04,,65.82,63.35,65.35,7028577.0
2020-09-08,,66.925,63.425,65.77,6289370.0
2020-09-09,,68.42,66.16,68.17,5585510.0
2020-09-10,,68.849,66.37,66.49,4949576.0
2020-09-11,,67.63,65.81,66.22,4104510.0
2020-09-14,,67.58,66.54,67.38,5087789.0
2020-09-15,,68.57,67.05,67.55,4359684.0
2020-09-16,,68.44,67.225,67.29,5659431.0
2020-09-17,,66.59,65.38,66.32,6746320.0
2020-09-18,,66.79,64.54,64.71,13178788.0
2020-09-21,,64.29,62.72,63.67,9790753.0
2020-09-22,,64.34,62.5173,63.45,6233671.0
2020-09-23,,63.09,59.8,60.22,9306123.0
2020-09-24,,62.18,59.28,61.44,6385134.0
2020-09-25,,61.66,60.53,61.42,3891852.0
2020-09-28,,62.83,61.305,62.13,5468974.0
2020-09-29,,63.45,62.39,62.77,4214183.0
2020-09-30,,63.9,61.85,63.45,7254136.0
2020-10-01,,64.1,62.66,62.83,6581918.0
2020-10-02,,63.4,62.15,62.29,4735423.0
2020-10-05,,63.95,62.27,63.13,4552782.0
2020-10-06,,63.73,60.77,60.82,7048579.0
2020-10-07,,61.78,60.89,61.17,4186380.0
2020-10-08,,62.16,61.21,61.72,3984740.0
2020-10-09,,62.92,61.85,62.82,4956993.0
2020-10-12,,63.465,62.5,62.93,3942860.0
2020-10-13,,62.85,61.625,62.76,4147884.0
2020-10-14,,64.33,62.9,64.0,4424781.0
2020-10-15,,63.64,62.48,63.0,4153055.0
2020-10-16,,63.34,62.51,62.67,3809827.0
2020-10-19,,63.34,61.57,61.71,3191018.0
2020-10-20,,62.1,60.89,61.19,4726200.0
2020-10-21,,62.38,61.26,61.48,5099528.0
2020-10-22,,60.935,59.84,60.54,5193198.0
2020-10-23,,60.99,60.02,60.47,3291144.0
2020-10-26,,61.03,59.8,60.32,3834682.0
2020-10-27,,61.798,60.275,61.65,4513974.0
2020-10-28,,60.55,58.29,58.65,9936349.0
2020-10-29,,61.47,58.46,60.34,7124237.0
2020-10-30,,62.97,60.8037,62.84,9216306.0
2020-11-02,,64.93,62.61,64.73,8441173.0
2020-11-03,,67.25,65.1,66.67,7570639.0
2020-11-04,,66.87,64.945,65.08,8494615.0
2020-11-05,,68.3,66.7,67.85,8620900.0
2020-11-06,,68.45,67.5,68.14,4744001.0
2020-11-09,,66.51,62.87,66.01,10978888.0
2020-11-10,,65.98,64.245,64.89,7229326.0
2020-11-11,,65.66,63.31,65.63,8140581.0
2020-11-12,,66.22,64.87,65.02,5408448.0
2020-11-13,,66.05,65.34,65.71,3512031.0
2020-11-16,,66.1155,64.92,65.67,3619932.0
2020-11-17,,65.74,64.44,64.53,4310375.0
2020-11-18,,64.4,61.49,61.56,5990814.0
2020-11-19,,61.49,60.43,61.41,7123284.0
2020-11-20,,62.38,61.13,61.65,5512583.0
2020-11-23,,61.22,58.58,58.68,9187543.0
2020-11-24,,57.71,56.55,56.87,11712164.0
2020-11-25,,58.14,57.31,57.78,7365463.0
2020-11-27,,58.62,56.76,58.48,3749912.0
2020-11-30,,58.91,57.46,58.82,11075268.0
2020-12-01,,60.355,58.46,60.21,10639814.0
2020-12-02,,60.56,59.585,59.96,6894425.0
2020-12-03,,60.61,59.21,59.51,5561115.0
2020-12-04,,59.86,59.01,59.44,5192766.0
2020-12-07,,62.12,59.4,61.44,7250669.0
2020-12-08,,62.01,61.0,61.51,4478403.0
2020-12-09,,61.31,59.66,59.98,6066652.0
2020-12-10,,60.45,59.095,59.18,6386690.0
2020-12-11,,59.73,58.58,58.87,5055696.0
2020-12-14,,59.42,57.53,57.56,5871903.0
2020-12-15,,59.5,58.24,59.04,5070268.0
2020-12-16,,60.4,59.01,60.24,5460456.0
2020-12-17,,62.29,61.06,61.64,7369437.0
2020-12-18,,61.68,60.48,60.5,10884814.0
2020-12-21,,61.24,60.01,60.72,4972275.0
2020-12-22,,61.03,59.14,59.41,5189882.0
2020-12-23,,60.3086,59.57,59.78,4002681.0
2020-12-24,,60.56,59.56,60.48,1857714.0
2020-12-28,,61.635,59.74,59.82,3827044.0
2020-12-29,,60.545,59.58,59.73,3868987.0
2020-12-30,,60.41,59.55,60.39,3614173.0
2020-12-31,,60.53,59.42,59.89,3729608.0
2021-01-04,,63.4,61.66,63.15,9616607.0
2021-01-05,,63.73,62.349,63.43,5726825.0
2021-01-06,,65.4,62.69,65.24,9989165.0
2021-01-07,,65.78,64.25,65.14,5466929.0
2021-01-08,,64.2,61.74,62.79,8927283.0
2021-01-11,,62.72,61.4129,61.95,6005234.0
2021-01-12,,62.69,61.46,62.49,4347941.0
2021-01-13,,63.27,62.05,62.07,5436226.0
2021-01-14,,63.675,62.12,63.33,6340033.0
2021-01-15,,63.43,61.78,61.86,5928824.0
2021-01-19,,62.6,61.411,61.85,5380074.0
2021-01-20,,64.05,61.99,63.52,6636117.0
2021-01-21,,63.88,62.11,62.31,5073056.0
2021-01-22,,62.355,60.39,61.75,4540221.0
2021-01-25,,62.385,60.63,61.64,5684223.0
2021-01-26,,62.43,61.4149,61.48,4703742.0
2021-01-27,,60.87,58.64,58.89,7642743.0
2021-01-28,,60.91,59.42,59.73,6544806.0
2021-01-29,,61.5,59.42,59.6,6781431.0
2021-02-01,,61.21,58.9,59.88,8022465.0
2021-02-02,,60.65,58.82,59.63,6350380.0
2021-02-03,,60.1,58.86,58.91,9612690.0
2021-02-04,,57.976,56.6,57.66,12331140.0
2021-02-05,,59.45,57.44,59.3,6323944.0
2021-02-08,,60.92,59.71,60.42,6347657.0
2021-02-09,,60.77,59.77,60.01,4492072.0
2021-02-10,,60.8,59.55,59.7,4615977.0
2021-02-11,,60.0,58.325,58.38,5388835.0
2021-02-12,,59.24,57.55,58.94,3882352.0
2021-02-16,,58.64,57.45,57.8,7396936.0
2021-02-17,,57.73,56.38,56.99,8902150.0
2021-02-18,,58.11,56.06,57.36,8218485.0
2021-02-19,,57.91,56.01,56.67,8932435.0
2021-02-22,,57.7,56.5301,57.49,10363250.0
2021-02-23,,57.48,55.8,56.84,7683627.0
2021-02-24,,57.69,55.83,57.08,6274936.0
2021-02-25,,57.48,55.78,56.12,6863427.0
2021-02-26,,55.84,54.18,54.38,10657520.0
2021-03-01,,55.64,54.28,54.65,6842243.0
2021-03-02,,57.39,54.82,56.8,9379402.0
2021-03-03,,55.86,54.57,55.33,7391028.0
2021-03-04,,56.5,54.79,55.42,8405149.0
2021-03-05,,57.0,55.06,56.74,8041004.0
2021-03-08,,56.89,55.625,56.39,7111165.0
2021-03-09,,58.115,56.96,57.25,6738905.0
2021-03-10,,58.82,57.28,58.18,7105443.0
2021-03-11,,58.65,57.705,58.45,6508975.0
2021-03-12,,59.02,57.35,58.99,5764984.0
2021-03-15,,61.95,59.375,61.42,11356935.0
2021-03-16,,62.3799,60.94,61.82,8387862.0
2021-03-17,,63.32,60.79,62.97,7882635.0
2021-03-18,,63.63,62.05,62.26,8621720.0
2021-03-19,,62.51,61.55,61.93,31899815.0
2021-03-22,,61.5,60.3699,60.89,6516451.0
2021-03-23,,60.8,59.81,60.12,5810429.0
2021-03-24,,60.77,59.96,60.37,5680309.0
2021-03-25,,60.43,59.255,59.88,6007806.0
2021-03-26,,61.62,59.74,61.5,7006373.0
2021-03-29,,62.21,60.46,62.16,6257336.0
2021-03-30,,61.06,59.45,59.88,6534232.0
2021-03-31,,60.96,59.508,60.27,7248182.0
2021-04-01,,61.91,60.25,61.81,6632667.0
2021-04-05,,63.13,61.7,62.49,6214179.0
2021-04-06,,63.43,62.54,62.8,6340027.0
2021-04-07,,63.16,61.69,62.01,5726938.0
2021-04-08,,62.85,61.71,61.8,7073387.0
2021-04-09,,61.79,60.82,61.51,4986156.0
2021-04-12,,61.37,60.43,60.61,5473959.0
2021-04-13,,62.415,60.79,62.25,6137192.0
2021-04-14,,62.66,61.67,61.85,4075329.0
2021-04-15,,65.21,62.43,64.78,7912315.0
2021-04-16,,65.87,64.9,65.41,6822279.0
2021-04-19,,65.29,64.125,64.85,5583160.0
2021-04-20,,66.32,64.72,65.84,5913987.0
2021-04-21,,66.99,65.61,66.82,5251604.0
2021-04-22,,66.39,65.22,65.7,4890447.0
2021-04-23,,66.64,65.49,65.72,4969317.0
2021-04-26,,65.81,65.16,65.28,4140523.0
2021-04-27,,65.37,64.14,64.21,4496307.0
2021-04-28,,64.75,63.54,64.2,5689270.0
2021-04-29,,63.55,60.85,62.31,8458298.0
2021-04-30,,63.06,61.97,62.41,5281503.0
2021-05-03,,64.8676,63.14,64.46,6037190.0
2021-05-04,,65.41,63.44,64.02,6060226.0
