date,open,high,low,close,volume
2020-08-06,,510.82,498.7,509.08,3725861.0
2020-08-07,,508.29,486.68,494.73,5910348.0
2020-08-10,,497.4584,478.6269,483.38,4691185.0
2020-08-11,,480.92,466.55,466.93,7329226.0
2020-08-12,,482.49,470.18,475.47,5441243.0
2020-08-13,,484.45,476.45,481.33,3008933.0
2020-08-14,,488.325,480.21,482.68,2943487.0
2020-08-17,,486.24,479.1,482.35,2423545.0
2020-08-18,,495.3,482.8,491.87,3505518.0
2020-08-19,,494.4985,483.5,484.53,3156218.0
2020-08-20,,498.94,483.89,497.9,4806380.0
2020-08-21,,498.13,490.0,492.31,3921293.0
2020-08-24,,501.0,483.16,488.81,4762183.0
2020-08-25,,492.47,485.09,490.58,4347721.0
2020-08-26,,549.04,492.075,547.53,20373681.0
2020-08-27,,541.0,521.2471,526.27,9062912.0
2020-08-28,,539.0,522.0,523.89,4417517.0
2020-08-31,,531.99,517.58,529.56,4941409.0
2020-09-01,,557.3895,532.45,556.55,9581907.0
2020-09-02,,556.5,537.369,552.84,5886930.0
2020-09-03,,554.0,521.32,525.75,9071089.0
2020-09-04,,527.36,485.98,516.05,8270118.0
2020-09-08,,522.0,495.0,507.02,5572684.0
2020-09-09,,520.0,492.5743,500.19,6848127.0
2020-09-10,,506.29,478.84,480.67,6240181.0
2020-09-11,,493.73,476.81,482.03,5035200.0
2020-09-14,,488.99,471.3001,476.26,7359126.0
2020-09-15,,497.47,481.63,495.99,5336992.0
2020-09-16,,504.66,483.31,483.86,4401412.0
2020-09-17,,478.4,463.27,470.2,5379301.0
2020-09-18,,479.4,458.6,469.96,6717711.0
2020-09-21,,487.775,466.32,487.35,5457539.0
2020-09-22,,491.82,479.26,491.17,3482324.0
2020-09-23,,491.04,469.0,470.61,3686423.0
2020-09-24,,477.0,467.82,473.08,3727201.0
2020-09-25,,484.87,468.0258,482.88,3769436.0
2020-09-28,,492.0,477.88,490.65,4773497.0
2020-09-29,,496.2868,486.53,493.48,3543193.0
2020-09-30,,504.63,489.2704,500.03,4634111.0
2020-10-01,,529.55,503.6,527.51,8148905.0
2020-10-02,,526.3714,502.7,503.06,6071165.0
2020-10-05,,520.99,501.6997,520.65,4088069.0
2020-10-06,,521.82,504.16,505.87,4199034.0
2020-10-07,,536.49,515.815,534.66,7988683.0
2020-10-08,,535.0,524.15,531.79,5386238.0
2020-10-09,,544.28,535.0,539.44,4761259.0
2020-10-12,,551.81,538.24,539.81,5391074.0
2020-10-13,,557.65,537.2,554.09,5602498.0
2020-10-14,,572.49,541.0,541.45,9510081.0
2020-10-15,,551.22,535.1,541.94,5110576.0
2020-10-16,,554.33,530.03,530.79,6347363.0
2020-10-19,,541.8,525.38,530.72,7567506.0
2020-10-20,,533.78,522.26,525.42,10047175.0
2020-10-21,,506.85,488.25,489.05,17339708.0
2020-10-22,,495.14,482.0,485.23,6979682.0
2020-10-23,,490.06,481.35,488.28,4927862.0
2020-10-26,,496.82,478.9,488.24,6086087.0
2020-10-27,,490.49,482.93,488.93,3627175.0
2020-10-28,,494.0,483.28,486.24,5992731.0
2020-10-29,,513.8999,479.34,504.21,10930689.0
2020-10-30,,505.88,472.21,475.74,7813897.0
2020-11-02,,486.3,475.0,484.12,4408193.0
2020-11-03,,495.305,478.76,487.22,3689997.0
2020-11-04,,507.73,493.98,496.95,5137330.0
2020-11-05,,518.7337,503.45,513.76,5372781.0
2020-11-06,,515.21,502.51,514.73,4236349.0
2020-11-09,,495.85,467.26,470.5,10409926.0
2020-11-10,,484.6,463.41,480.24,8306142.0
2020-11-11,,491.68,478.26,490.76,5460532.0
2020-11-12,,496.52,480.4255,486.77,5071155.0
2020-11-13,,488.94,477.8,482.84,3006510.0
2020-11-16,,485.58,477.3,479.1,3953563.0
2020-11-17,,487.51,479.18,480.63,3690082.0
2020-11-18,,488.61,477.7212,481.79,3629237.0
2020-11-19,,487.8,480.47,484.67,2254653.0
2020-11-20,,494.76,481.57,488.24,4255924.0
2020-11-23,,491.15,475.84,476.62,5416571.0
2020-11-24,,484.05,475.89,482.88,3557894.0
2020-11-25,,486.9,478.919,485.0,3587154.0
2020-11-27,,493.25,481.845,491.36,2805762.0
2020-11-30,,492.55,481.2678,490.7,3530940.0
2020-12-01,,509.47,491.9812,504.58,5063234.0
2020-12-02,,506.795,493.5,503.38,3028358.0
2020-12-03,,508.77,496.04,497.52,2826116.0
2020-12-04,,504.5,493.64,498.31,3666243.0
2020-12-07,,517.76,497.77,515.78,4289293.0
2020-12-08,,521.4909,505.55,512.66,4228950.0
2020-12-09,,514.5,491.29,493.6,4178768.0
2020-12-10,,503.77,492.91,501.09,3018203.0
2020-12-11,,503.34,494.85,503.22,3160928.0
2020-12-14,,524.1603,501.18,522.42,5770424.0
2020-12-15,,524.7,513.56,519.78,3398209.0
2020-12-16,,527.38,517.69,524.83,3676992.0
2020-12-17,,535.49,526.44,532.9,3193377.0
2020-12-18,,536.37,526.02,534.45,4502692.0
2020-12-21,,532.62,521.15,528.91,3893964.0
2020-12-22,,530.4,520.5,527.33,1908529.0
2020-12-23,,526.32,514.2,514.48,2393187.0
2020-12-24,,519.345,512.2104,513.97,1143952.0
2020-12-28,,523.66,507.13,519.12,2891867.0
2020-12-29,,536.5478,515.4801,530.87,4022358.0
2020-12-30,,533.2575,523.69,524.59,1876286.0
2020-12-31,,545.5,523.1502,540.73,5392322.0
2021-01-04,,540.8,515.085,522.86,4444407.0
2021-01-05,,526.78,515.89,520.8,3133872.0
2021-01-06,,513.0998,499.5,500.49,5346210.0
2021-01-07,,516.44,506.42,508.89,3686448.0
2021-01-08,,513.24,504.51,510.4,2973949.0
2021-01-11,,510.725,497.95,499.1,3812720.0
2021-01-12,,501.09,485.6701,494.25,5990425.0
2021-01-13,,512.3542,493.01,507.79,5032099.0
2021-01-14,,514.5,499.58,500.86,4177357.0
2021-01-15,,506.32,495.1,497.98,5865788.0
2021-01-19,,509.25,493.5427,501.77,12308313.0
2021-01-20,,593.2877,556.86,586.34,32631330.0
2021-01-21,,588.75,570.4,579.84,11840634.0
2021-01-22,,583.99,564.35,565.17,7541822.0
2021-01-25,,569.75,548.65,556.78,7207329.0
2021-01-26,,567.99,554.06,561.93,5023847.0
2021-01-27,,556.4187,515.73,523.28,8670277.0
2021-01-28,,553.1482,530.74,538.6,5968978.0
2021-01-29,,541.0,530.18,532.39,4325264.0
2021-02-01,,545.06,531.73,539.04,3547507.0
2021-02-02,,555.48,538.935,548.16,3765969.0
2021-02-03,,550.48,538.243,539.45,3172288.0
2021-02-04,,559.48,537.51,552.16,5164537.0
2021-02-05,,554.44,545.4778,550.79,2376175.0
2021-02-08,,555.0,543.7,547.92,2791721.0
2021-02-09,,566.0,543.0,559.07,3703499.0
2021-02-10,,566.65,553.463,563.59,3991264.0
2021-02-11,,565.93,554.22,557.59,2728987.0
2021-02-12,,561.2499,550.85,556.52,2197128.0
2021-02-16,,563.63,552.73,557.28,2624097.0
2021-02-17,,555.25,543.03,551.34,2071590.0
2021-02-18,,550.0,538.2265,548.22,2457604.0
