date,open,high,low,close,volume
2020-08-06,,101.18,100.03,100.45,4179375.0
2020-08-07,,101.91,99.89,101.86,5629681.0
2020-08-10,,106.83,102.4,105.41,12477033.0
2020-08-11,,107.3299,104.86,105.12,5575960.0
2020-08-12,,105.89,103.38,105.22,4794770.0
2020-08-13,,106.99,105.2,106.52,4398352.0
2020-08-14,,106.78,105.46,106.43,3074186.0
2020-08-17,,106.5,105.115,105.66,3109834.0
2020-08-18,,107.0,105.47,106.97,5155402.0
2020-08-19,,109.69,107.35,108.39,9643514.0
2020-08-20,,108.74,107.35,108.01,4394431.0
2020-08-21,,109.77,107.75,109.75,5817395.0
2020-08-24,,112.0,109.9,111.83,8317359.0
2020-08-25,,112.28,111.09,111.51,4545277.0
2020-08-26,,112.09,111.29,111.53,4611702.0
2020-08-27,,112.79,110.5,110.84,4471020.0
2020-08-28,,112.67,110.57,112.29,3815990.0
2020-08-31,,112.52,111.14,111.89,3589067.0
2020-09-01,,114.9,111.83,114.84,5026075.0
2020-09-02,,117.41,114.5,116.8,6991644.0
2020-09-03,,116.9,112.0,112.85,7335715.0
2020-09-04,,113.75,110.21,112.4,5275915.0
2020-09-08,,113.84,110.54,112.72,5409913.0
2020-09-09,,116.21,112.83,114.9,6104748.0
2020-09-10,,118.227,113.9975,114.79,5119553.0
2020-09-11,,119.25,116.42,118.0,8663193.0
2020-09-14,,119.93,118.17,119.28,5095334.0
2020-09-15,,120.48,119.18,119.27,6087465.0
2020-09-16,,119.69,118.16,118.59,7247678.0
2020-09-17,,118.55,115.8,116.36,7506102.0
2020-09-18,,117.91,114.49,114.66,14246457.0
2020-09-21,,114.06,111.74,113.37,8629779.0
2020-09-22,,117.2,112.85,116.87,13114571.0
2020-09-23,,130.38,125.26,127.11,38299708.0
2020-09-24,,127.54,123.3,124.75,13870107.0
2020-09-25,,124.75,122.27,124.23,9393154.0
2020-09-28,,126.19,123.885,124.32,7655771.0
2020-09-29,,127.1,123.96,126.35,7898232.0
2020-09-30,,127.28,125.1647,125.54,8818742.0
2020-10-01,,127.73,125.31,126.64,5777052.0
2020-10-02,,126.8,123.59,126.64,7571807.0
2020-10-05,,128.5,126.45,127.91,8378160.0
2020-10-06,,130.44,127.2654,127.65,6078166.0
2020-10-07,,130.41,128.25,130.06,4462901.0
2020-10-08,,130.9289,129.51,129.71,3682091.0
2020-10-09,,131.19,129.3254,130.98,4386456.0
2020-10-12,,131.34,129.26,129.46,5271859.0
2020-10-13,,129.87,127.96,129.2,4383218.0
2020-10-14,,129.6,127.01,127.66,3695567.0
2020-10-15,,129.0999,126.11,129.0,4312131.0
2020-10-16,,130.19,127.55,128.0,6355040.0
2020-10-19,,129.78,127.05,127.43,5262076.0
2020-10-20,,129.9,127.72,128.49,3881653.0
2020-10-21,,131.38,128.45,129.43,5011943.0
2020-10-22,,130.26,128.8601,130.02,2927822.0
2020-10-23,,130.6,128.65,129.99,4170296.0
2020-10-26,,129.62,126.68,128.37,5486198.0
2020-10-27,,129.49,127.9,127.99,3034975.0
2020-10-28,,126.4,121.04,122.08,8714236.0
2020-10-29,,124.19,121.15,122.86,5018863.0
2020-10-30,,123.66,118.8,120.08,7867200.0
2020-11-02,,124.1,121.1,122.39,4849252.0
2020-11-03,,125.5,123.19,124.59,3556711.0
2020-11-04,,128.93,125.26,127.34,5138796.0
2020-11-05,,130.41,128.46,129.7,4045730.0
2020-11-06,,129.91,128.3477,128.9,3028832.0
2020-11-09,,136.35,128.7652,128.95,7712903.0
2020-11-10,,130.115,126.25,127.71,8153316.0
2020-11-11,,129.7985,127.18,127.66,6131619.0
2020-11-12,,127.8386,125.625,126.64,4912704.0
2020-11-13,,128.6,126.83,128.28,4046916.0
2020-11-16,,130.32,127.37,130.11,6273397.0
2020-11-17,,132.6,129.11,132.21,7124558.0
2020-11-18,,133.98,131.53,131.63,5717371.0
2020-11-19,,132.11,129.93,131.91,4737089.0
2020-11-20,,133.53,131.91,132.98,4563251.0
2020-11-23,,134.89,133.09,134.13,6221122.0
2020-11-24,,135.99,134.21,134.7,7334501.0
2020-11-25,,135.7999,133.62,135.54,4606047.0
2020-11-27,,136.13,133.34,134.25,3506832.0
2020-11-30,,135.29,132.69,134.7,9776162.0
2020-12-01,,136.5,134.75,135.44,3920059.0
2020-12-02,,136.32,134.67,135.58,4202114.0
2020-12-03,,137.95,135.0,136.96,5020007.0
2020-12-04,,137.4,135.64,137.19,4412448.0
2020-12-07,,138.86,136.8,138.75,4692029.0
2020-12-08,,140.4373,137.65,139.12,7062142.0
2020-12-09,,140.57,138.27,138.79,4461300.0
2020-12-10,,139.14,137.24,137.58,4592707.0
2020-12-11,,138.14,136.23,137.41,4265125.0
2020-12-14,,139.0,136.2,136.28,7740457.0
2020-12-15,,139.44,137.2491,139.39,7715826.0
