date,open,high,low,close,volume
2020-08-06,,55.6,54.935,55.28,8247541.0
2020-08-07,,55.24,54.755,55.23,8840913.0
2020-08-10,,55.62,54.88,54.94,10116051.0
2020-08-11,,55.46,54.135,54.27,8177013.0
2020-08-12,,54.7,53.97,54.17,9131409.0
2020-08-13,,54.195,53.6786,54.02,8362294.0
2020-08-14,,54.555,53.77,54.2,5559895.0
2020-08-17,,54.39,53.66,53.99,9618639.0
2020-08-18,,56.925,54.87,55.18,21305822.0
2020-08-19,,56.8,55.46,56.2,17003604.0
2020-08-20,,55.81,55.09,55.26,11064172.0
2020-08-21,,55.45,54.73,55.19,9934341.0
2020-08-24,,56.105,55.44,56.01,8010705.0
2020-08-25,,56.75,56.02,56.09,7553738.0
2020-08-26,,57.49,56.059,57.49,11665228.0
2020-08-27,,58.45,56.58,57.18,15927258.0
2020-08-28,,58.16,57.205,57.88,8692847.0
2020-08-31,,57.76,57.035,57.22,18797990.0
2020-09-01,,58.01,57.08,57.66,10323305.0
2020-09-02,,59.32,57.72,59.03,14454487.0
2020-09-03,,58.99,56.65,57.1,15484247.0
2020-09-04,,57.265,55.155,55.73,14813173.0
2020-09-08,,55.79,54.87,55.32,16674621.0
2020-09-09,,57.4,55.8601,56.95,14157706.0
2020-09-10,,58.18,56.75,57.33,20631239.0
2020-09-11,,61.86,56.87,57.0,41325378.0
2020-09-14,,61.5,59.35,59.46,51225826.0
2020-09-15,,61.6799,59.39,60.94,30774010.0
2020-09-16,,61.39,59.65,60.43,21485638.0
2020-09-17,,60.61,59.0,60.18,23064399.0
2020-09-18,,60.29,59.425,59.75,50727724.0
2020-09-21,,62.5999,60.03,60.82,33158000.0
2020-09-22,,60.75,59.46,60.62,13538406.0
2020-09-23,,60.49,58.9,58.96,15639634.0
2020-09-24,,59.9,58.29,59.3,9679042.0
2020-09-25,,59.99,58.96,59.8,9476674.0
2020-09-28,,60.54,59.47,59.58,9461255.0
2020-09-29,,60.16,59.4,59.47,6478713.0
2020-09-30,,60.39,59.37,59.7,11076753.0
2020-10-01,,60.27,59.45,59.68,7456271.0
2020-10-02,,59.52,58.51,58.83,7477385.0
2020-10-05,,59.6664,59.09,59.56,7023893.0
2020-10-06,,60.53,59.405,59.51,9843998.0
2020-10-07,,60.895,59.635,60.59,8788811.0
2020-10-08,,61.3,60.63,60.89,7323625.0
2020-10-09,,61.38,60.86,61.15,7435735.0
2020-10-12,,61.83,61.07,61.46,8404074.0
2020-10-13,,61.78,60.875,60.97,9026838.0
2020-10-14,,61.525,60.85,60.96,6753050.0
2020-10-15,,60.74,60.075,60.52,6327496.0
2020-10-16,,61.11,60.26,60.29,6568842.0
2020-10-19,,60.7517,59.39,59.62,8407536.0
2020-10-20,,60.33,59.63,59.75,9364803.0
2020-10-21,,60.12,59.22,59.67,10283774.0
2020-10-22,,59.865,58.69,59.69,12002701.0
2020-10-23,,60.16,59.71,59.9,9802867.0
2020-10-26,,58.48,56.525,57.49,19014335.0
2020-10-27,,57.98,57.02,57.08,10889519.0
2020-10-28,,56.6,55.53,55.59,14034563.0
2020-10-29,,56.755,55.14,56.02,13679072.0
2020-10-30,,56.635,55.45,56.11,12728708.0
2020-11-02,,57.47,56.115,56.45,11583618.0
2020-11-03,,57.5,56.565,56.8,9031874.0
2020-11-04,,58.09,56.35,56.49,12192165.0
2020-11-05,,57.65,56.415,56.66,9084528.0
2020-11-06,,56.98,56.15,56.8,7620359.0
2020-11-09,,59.08,56.77,56.84,11666393.0
2020-11-10,,57.24,56.2,56.67,9129609.0
2020-11-11,,57.63,56.8,57.2,7801515.0
2020-11-12,,57.49,56.1,56.45,7412869.0
2020-11-13,,57.09,56.545,56.91,5958278.0
2020-11-16,,57.61,56.875,57.15,6413490.0
