date,open,high,low,close,volume
2020-08-06,,16.01,15.385,15.45,18905995.0
2020-08-07,,15.555,14.96,15.45,21113020.0
2020-08-10,,16.48,15.62,16.48,26850261.0
2020-08-11,,16.74,15.1,15.16,42296020.0
2020-08-12,,15.5499,14.85,14.92,32166218.0
2020-08-13,,15.2481,14.54,14.6,28728689.0
2020-08-14,,14.7199,14.36,14.64,21583804.0
2020-08-17,,14.51,13.73,13.91,31375270.0
2020-08-18,,14.19,13.83,13.95,16966210.0
2020-08-19,,14.12,13.75,13.82,18366164.0
2020-08-20,,13.73,13.25,13.4,22029075.0
2020-08-21,,13.42,12.93,13.16,23045068.0
2020-08-24,,13.725,13.025,13.62,18953823.0
2020-08-25,,14.03,13.31,13.51,16492784.0
2020-08-26,,13.47,12.95,12.96,19950835.0
2020-08-27,,13.14,12.72,13.04,20328831.0
2020-08-28,,13.225,12.89,13.13,14290883.0
2020-08-31,,13.17,12.73,12.74,18099737.0
2020-09-01,,12.62,12.33,12.48,23398376.0
2020-09-02,,12.66,12.28,12.4,19534199.0
2020-09-03,,12.9,12.35,12.59,26317688.0
2020-09-04,,12.84,12.12,12.25,22935227.0
2020-09-08,,11.98,11.02,11.06,37078315.0
2020-09-09,,11.21,10.9,11.07,22470947.0
2020-09-10,,11.08,10.18,10.19,43765665.0
2020-09-11,,10.36,9.83,10.22,35747450.0
2020-09-14,,10.3801,9.93,10.17,25459389.0
2020-09-15,,10.885,10.2,10.71,34960352.0
2020-09-16,,12.03,10.655,11.64,53493983.0
2020-09-17,,12.03,11.1734,11.86,28224164.0
2020-09-18,,12.09,11.47,11.65,41735898.0
2020-09-21,,11.32,10.9,11.29,23264205.0
2020-09-22,,11.585,11.03,11.08,17648138.0
2020-09-23,,11.27,10.39,10.41,24620422.0
2020-09-24,,10.87,10.1618,10.64,23139452.0
2020-09-25,,10.58,10.11,10.22,30949802.0
2020-09-28,,10.65,10.31,10.34,22857975.0
2020-09-29,,10.35,9.87,9.99,29707923.0
2020-09-30,,10.27,9.94,10.01,23561899.0
2020-10-01,,9.98,9.57,9.68,33234462.0
2020-10-02,,9.9,9.23,9.87,28982071.0
