date,open,high,low,close,volume
2020-08-06,,54.7,53.36,54.63,1813323.0
2020-08-07,,55.94,54.14,55.65,1819539.0
2020-08-10,,56.13,55.24,55.35,1527264.0
2020-08-11,,56.23,54.42,54.47,1554979.0
2020-08-12,,55.86,54.52,55.53,2007222.0
2020-08-13,,55.66,54.69,55.46,1454336.0
2020-08-14,,55.64,54.79,55.17,1035311.0
2020-08-17,,55.16,54.43,54.72,1439485.0
2020-08-18,,54.98,53.97,54.53,2079927.0
2020-08-19,,54.76,54.14,54.34,1219651.0
2020-08-20,,54.24,53.6,53.85,1139295.0
2020-08-21,,54.06,52.81,53.28,2168722.0
2020-08-24,,53.915,52.97,53.9,1412938.0
2020-08-25,,54.05,53.05,53.6,1300905.0
2020-08-26,,53.08,52.1328,52.45,1494559.0
2020-08-27,,52.995,51.91,52.29,2218334.0
2020-08-28,,52.355,51.56,52.16,2813315.0
2020-08-31,,52.5,51.91,52.24,1935409.0
2020-09-01,,51.82,50.75,51.0,1498013.0
2020-09-02,,53.1,50.69,52.92,2229758.0
2020-09-03,,53.73,51.54,52.03,1698023.0
2020-09-04,,52.63,51.36,52.52,2291038.0
2020-09-08,,52.22,51.12,52.0,2686391.0
2020-09-09,,54.09,52.185,53.43,3651583.0
2020-09-10,,53.37,52.28,52.3,2408955.0
2020-09-11,,52.58,51.5,52.39,1621218.0
2020-09-14,,52.77,52.16,52.48,1435738.0
2020-09-15,,52.69,51.48,51.65,1788617.0
2020-09-16,,53.165,51.46,53.0,2234588.0
2020-09-17,,53.1073,51.91,52.24,1948429.0
2020-09-18,,52.48,51.04,51.33,4103121.0
2020-09-21,,51.55,50.32,51.17,1704381.0
2020-09-22,,52.74,51.54,52.47,2177876.0
2020-09-23,,52.75,51.83,51.92,1909891.0
2020-09-24,,53.94,51.66,53.47,3447505.0
2020-09-25,,54.35,52.79,54.13,2417241.0
2020-09-28,,55.165,54.29,54.35,1651617.0
2020-09-29,,55.3531,54.35,54.8,1825803.0
2020-09-30,,55.4,54.53,54.91,2960456.0
2020-10-01,,55.37,54.47,55.07,2295960.0
2020-10-02,,56.41,54.18,55.95,3659927.0
2020-10-05,,56.9,55.56,56.32,1930984.0
2020-10-06,,56.945,55.56,55.9,2470883.0
2020-10-07,,57.34,56.38,57.03,2132532.0
2020-10-08,,58.49,57.12,58.4,1481654.0
2020-10-09,,58.69,57.35,57.56,2218173.0
2020-10-12,,58.035,57.24,57.76,1964462.0
2020-10-13,,57.96,56.8,57.92,2500986.0
2020-10-14,,58.67,57.845,58.02,1399164.0
2020-10-15,,58.88,57.41,58.45,1468163.0
2020-10-16,,59.83,58.26,59.5,2678508.0
2020-10-19,,59.86,59.05,59.5,1962923.0
2020-10-20,,60.08,59.49,59.89,1542435.0
2020-10-21,,60.17,59.47,59.52,2228853.0
2020-10-22,,60.89,59.144,60.87,1591408.0
2020-10-23,,61.06,60.44,60.92,1870630.0
2020-10-26,,60.99,59.975,60.98,1854452.0
2020-10-27,,61.89,60.77,61.0,1806910.0
2020-10-28,,60.71,58.51,58.68,2544441.0
2020-10-29,,60.3,58.16,59.72,2651230.0
2020-10-30,,59.72,57.43,58.15,3262342.0
2020-11-02,,59.18,58.0,58.49,3364962.0
2020-11-03,,60.02,58.875,59.32,1724631.0
2020-11-04,,60.16,58.25,58.4,1924320.0
2020-11-05,,59.64,58.3,58.79,1737531.0
2020-11-06,,59.14,58.39,58.42,1521385.0
2020-11-09,,62.15,60.3,60.38,2543736.0
2020-11-10,,60.74,59.86,60.73,1954143.0
2020-11-11,,61.24,60.13,60.88,1667382.0
2020-11-12,,60.27,58.78,59.18,1888171.0
2020-11-13,,59.93,59.15,59.38,3038612.0
2020-11-16,,60.51,59.26,59.52,4408849.0
2020-11-17,,59.45,58.94,59.05,3784569.0
2020-11-18,,59.38,57.76,57.82,2676732.0
2020-11-19,,57.82,56.84,57.62,2522998.0
2020-11-20,,58.425,57.35,58.21,5586619.0
2020-11-23,,58.9,58.0,58.42,2073951.0
2020-11-24,,59.9,58.445,59.68,2326807.0
