date,open,high,low,close,volume
2020-08-06,,136.29,135.2735,135.86,2693058.0
2020-08-07,,136.76,135.37,136.74,3692151.0
2020-08-10,,136.88,135.38,135.98,3052091.0
2020-08-11,,137.45,134.62,135.12,3301552.0
2020-08-12,,138.68,135.25,137.8,4425182.0
2020-08-13,,138.61,137.1,138.1,2393520.0
2020-08-14,,138.172,137.2,137.56,2461687.0
2020-08-17,,138.89,137.05,137.92,2862635.0
2020-08-18,,138.61,137.04,138.11,2638555.0
2020-08-19,,138.795,136.1,136.45,3682226.0
2020-08-20,,137.15,135.63,136.72,2263090.0
2020-08-21,,136.66,135.25,136.46,4295630.0
2020-08-24,,137.68,136.11,137.64,3177925.0
2020-08-25,,138.38,136.7,137.3,2579448.0
2020-08-26,,138.66,136.38,138.47,6019737.0
2020-08-27,,139.9284,137.91,138.4,4159270.0
2020-08-28,,139.96,137.24,139.94,3355482.0
2020-08-31,,141.02,139.0,140.06,3828697.0
2020-09-01,,140.48,138.505,139.19,3422807.0
2020-09-02,,143.82,139.35,143.29,4918523.0
2020-09-03,,144.035,138.12,139.37,6639867.0
2020-09-04,,140.31,136.94,138.76,4836833.0
2020-09-08,,138.6295,134.41,135.55,4901536.0
2020-09-09,,138.46,135.4,137.11,4282289.0
2020-09-10,,137.55,133.88,134.76,6050544.0
2020-09-11,,136.38,134.23,135.81,3404714.0
2020-09-14,,137.5,135.8,136.67,2779316.0
2020-09-15,,137.24,135.41,135.62,4080783.0
2020-09-16,,136.6,134.78,134.98,3353726.0
2020-09-17,,134.55,131.69,133.2,5186417.0
2020-09-18,,134.79,130.01,131.47,8472958.0
2020-09-21,,131.31,129.36,131.24,4402723.0
2020-09-22,,132.89,130.445,132.15,3950959.0
2020-09-23,,132.82,129.85,131.0,5909940.0
2020-09-24,,132.31,129.92,131.58,4316594.0
2020-09-25,,133.83,130.515,133.55,4575979.0
2020-09-28,,138.58,135.67,137.97,7487509.0
2020-09-29,,139.54,137.13,137.16,4333805.0
2020-09-30,,139.19,136.9,138.6,7060713.0
2020-10-01,,140.85,137.4866,140.8,6483894.0
2020-10-02,,139.91,136.2,138.06,5130582.0
2020-10-05,,138.38,136.98,137.93,4519821.0
2020-10-06,,138.82,135.15,135.7,5031019.0
2020-10-07,,137.52,135.76,137.01,4347287.0
2020-10-08,,138.13,136.76,137.85,2977598.0
2020-10-09,,139.26,137.895,138.44,3194022.0
2020-10-12,,143.49,139.78,142.13,6167150.0
2020-10-13,,144.0,141.91,143.54,4293198.0
2020-10-14,,144.11,141.625,142.52,3641327.0
2020-10-15,,141.97,140.62,141.43,3307718.0
2020-10-16,,142.82,141.13,141.73,5076139.0
2020-10-19,,142.53,139.25,139.68,3223384.0
2020-10-20,,141.215,139.4072,139.71,2751622.0
2020-10-21,,140.48,139.1,139.6,2560061.0
2020-10-22,,140.2,139.01,139.61,2909227.0
2020-10-23,,140.53,139.04,139.56,2758507.0
