date,open,high,low,close,volume
2020-08-06,,60.41,59.3,59.87,5885224.0
2020-08-07,,61.29,59.3493,61.23,6344327.0
2020-08-10,,64.435,61.36,64.23,10120751.0
2020-08-11,,66.15,64.075,64.26,12285656.0
2020-08-12,,65.14,63.38,64.29,7406717.0
2020-08-13,,64.0377,62.65,63.3,9538067.0
2020-08-14,,64.24,62.59,63.64,5201275.0
2020-08-17,,63.88,62.675,62.77,6495545.0
2020-08-18,,63.17,62.025,62.1,4803981.0
2020-08-19,,62.91,61.5,61.64,5445933.0
2020-08-20,,61.42,60.335,60.99,4776260.0
2020-08-21,,61.28,60.23,60.27,7356492.0
2020-08-24,,62.04,60.13,61.88,6473680.0
2020-08-25,,61.4,59.64,60.95,12898171.0
2020-08-26,,60.9238,59.985,60.77,8783869.0
2020-08-27,,61.96,60.375,60.9,8866931.0
2020-08-28,,62.53,60.63,62.24,18621096.0
2020-08-31,,63.57,60.92,61.0,11010377.0
2020-09-01,,61.35,60.12,60.68,9466909.0
2020-09-02,,62.15,60.76,62.0,7604494.0
2020-09-03,,63.2,60.42,60.86,8610895.0
2020-09-04,,62.2066,59.94,61.17,6867130.0
2020-09-08,,60.59,58.82,59.25,10716522.0
2020-09-09,,60.31,58.89,59.58,7648677.0
2020-09-10,,61.68,59.38,59.52,8830040.0
2020-09-11,,60.9,59.4,60.65,9852857.0
2020-09-14,,62.23,61.08,61.97,6630871.0
2020-09-15,,62.44,60.955,61.44,6950802.0
2020-09-16,,63.73,60.91,62.92,8998248.0
2020-09-17,,64.01,61.56,62.81,6188555.0
2020-09-18,,63.33,62.1,62.35,17812584.0
2020-09-21,,62.5688,59.63,60.02,8976851.0
2020-09-22,,60.78,58.9301,59.79,5978256.0
2020-09-23,,60.88,58.3,58.33,7375662.0
2020-09-24,,58.32,56.62,57.38,7812206.0
2020-09-25,,57.74,56.34,57.49,12095238.0
2020-09-28,,59.57,58.09,58.89,5559701.0
2020-09-29,,58.79,57.4889,57.6,6478940.0
2020-09-30,,58.605,57.1,57.54,7793933.0
2020-10-01,,58.45,57.09,57.46,6596662.0
2020-10-02,,59.38,56.51,59.34,8527325.0
2020-10-05,,60.33,59.17,59.51,6145719.0
2020-10-06,,60.58,58.43,58.45,7263370.0
2020-10-07,,59.94,58.95,59.69,4987748.0
2020-10-08,,60.85,59.6816,60.8,4552629.0
2020-10-09,,61.33,59.89,59.91,4063273.0
2020-10-12,,60.68,59.56,60.53,5482903.0
2020-10-13,,60.1,58.53,59.52,8938063.0
2020-10-14,,60.34,59.21,59.94,6057655.0
2020-10-15,,60.5,58.92,60.49,6240243.0
2020-10-16,,62.04,60.64,61.75,8687080.0
2020-10-19,,62.67,61.0,61.46,7460203.0
2020-10-20,,62.3126,61.04,61.24,6038170.0
2020-10-21,,61.1,60.19,60.35,5764425.0
2020-10-22,,62.97,60.22,62.8,7085624.0
2020-10-23,,63.79,62.42,62.57,5979327.0
2020-10-26,,61.75,59.88,60.81,7629352.0
2020-10-27,,59.8,56.44,56.53,14883815.0
2020-10-28,,56.07,52.25,52.34,20038073.0
2020-10-29,,53.48,51.92,53.14,15157000.0
2020-10-30,,54.45,52.92,54.32,14712041.0
2020-11-02,,56.0,53.91,55.75,9872462.0
2020-11-03,,57.51,56.34,57.04,7823394.0
2020-11-04,,58.59,56.14,56.82,8781831.0
2020-11-05,,58.82,56.87,58.28,7539587.0
2020-11-06,,58.85,57.24,58.56,7968961.0
2020-11-09,,66.39,62.49,64.99,19464417.0
2020-11-10,,68.15,65.75,67.89,14581522.0
2020-11-11,,67.7,65.12,65.85,10260918.0
2020-11-12,,64.6378,63.27,63.99,8483146.0
2020-11-13,,66.4,64.52,66.15,6916639.0
2020-11-16,,69.044,67.15,68.66,13054307.0
2020-11-17,,69.62,67.355,68.87,11217455.0
2020-11-18,,71.315,69.33,69.51,13492880.0
2020-11-19,,71.23,68.2,71.11,9065054.0
2020-11-20,,71.12,69.65,69.76,6073584.0
2020-11-23,,72.84,70.34,72.64,7297506.0
2020-11-24,,75.32,73.8,74.36,10699519.0
2020-11-25,,74.19,72.9,73.81,5485986.0
2020-11-27,,74.4,73.3901,73.91,5103396.0
2020-11-30,,73.55,71.36,71.72,10824273.0
2020-12-01,,72.94,71.21,71.23,6631449.0
2020-12-02,,72.345,70.69,71.94,5477265.0
2020-12-03,,74.39,71.91,73.29,6968748.0
2020-12-04,,74.6578,73.38,73.91,9361081.0
2020-12-07,,73.75,72.55,73.04,4993497.0
2020-12-08,,74.51,72.79,74.48,4470210.0
2020-12-09,,74.815,73.28,73.54,5412578.0
2020-12-10,,73.74,72.45,72.98,7571705.0
2020-12-11,,73.58,72.36,72.89,7263202.0
2020-12-14,,73.834,70.71,70.8,10932095.0
2020-12-15,,71.8,70.1,71.04,8199103.0
2020-12-16,,71.175,70.4522,70.57,5681255.0
2020-12-17,,71.49,70.51,70.64,5907749.0
2020-12-18,,70.76,69.81,70.17,17990047.0
2020-12-21,,70.24,67.78,69.67,8497861.0
2020-12-22,,70.11,68.97,69.25,4157821.0
2020-12-23,,71.41,69.59,70.72,4385432.0
2020-12-24,,70.95,69.89,70.27,1758644.0
2020-12-28,,71.46,70.3422,70.63,2984551.0
2020-12-29,,71.1,69.67,70.34,3729472.0
2020-12-30,,71.64,70.34,71.36,5069191.0
2020-12-31,,71.7,70.94,71.51,4227582.0
2021-01-04,,71.56,68.31,68.43,7755545.0
2021-01-05,,69.88,68.4,69.42,6514360.0
2021-01-06,,71.49,68.4499,70.28,8867453.0
2021-01-07,,70.87,69.69,69.78,8894494.0
2021-01-08,,70.08,68.7,69.86,5235585.0
2021-01-11,,69.849,68.52,69.8,4640708.0
2021-01-12,,71.72,69.57,71.52,5441188.0
2021-01-13,,71.45,69.785,70.5,7100153.0
2021-01-14,,72.37,70.55,70.94,9810579.0
2021-01-15,,70.33,68.95,69.2,7542330.0
2021-01-19,,70.05,69.15,69.36,7458593.0
2021-01-20,,69.53,68.615,68.84,4761205.0
2021-01-21,,68.7,67.85,68.11,7477161.0
2021-01-22,,68.11,67.12,67.58,4644751.0
2021-01-25,,66.52,65.02,66.28,10707422.0
2021-01-26,,70.93,67.19,67.2,13488681.0
2021-01-27,,67.76,65.25,65.5,12509900.0
2021-01-28,,69.29,66.21,68.17,8839465.0
2021-01-29,,67.56,66.11,66.73,15774720.0
2021-02-01,,67.6,66.13,66.96,6086915.0
2021-02-02,,70.42,67.55,70.14,8791428.0
2021-02-03,,70.915,69.3704,70.58,8479300.0
2021-02-04,,72.81,70.73,72.68,9105473.0
2021-02-05,,73.8799,72.0,72.33,8077234.0
2021-02-08,,72.68,71.81,72.49,5071105.0
2021-02-09,,73.337,71.565,73.04,6310749.0
2021-02-10,,73.14,72.14,72.47,3990014.0
2021-02-11,,73.19,71.17,72.33,4590559.0
2021-02-12,,72.82,71.815,72.61,4261828.0
2021-02-16,,73.25,72.04,72.61,6193132.0
2021-02-17,,73.21,72.08,73.06,5324689.0
2021-02-18,,73.05,72.02,72.88,4970246.0
2021-02-19,,74.31,73.1,74.26,6530924.0
2021-02-22,,74.26,72.22,73.0,10667339.0
2021-02-23,,74.01,72.53,73.99,11804484.0
2021-02-24,,78.17,73.52,77.67,11248274.0
2021-02-25,,77.12,72.95,73.32,9585064.0
2021-02-26,,73.93,71.99,71.99,8081756.0
2021-03-01,,75.34,73.1,74.36,10998894.0
2021-03-02,,75.4189,74.2,74.67,5859505.0
2021-03-03,,76.385,74.6531,75.07,6018887.0
2021-03-04,,76.46,72.74,74.42,8351959.0
2021-03-05,,75.565,73.1,75.18,6720391.0
2021-03-08,,77.34,75.54,75.61,7330966.0
2021-03-09,,76.7,74.75,74.83,6621377.0
2021-03-10,,77.15,74.99,76.56,6856964.0
2021-03-11,,78.08,76.2,77.05,6387701.0
2021-03-12,,78.87,77.68,78.52,6150273.0
2021-03-15,,80.06,78.35,79.57,7943253.0
2021-03-16,,79.665,78.005,78.24,6002660.0
2021-03-17,,79.84,78.31,79.56,6758159.0
2021-03-18,,79.92,77.88,77.94,6141644.0
2021-03-19,,78.545,76.12,78.36,15881822.0
2021-03-22,,78.54,76.59,76.92,7570072.0
2021-03-23,,77.17,75.01,75.18,8369307.0
2021-03-24,,77.83,75.55,75.55,7814298.0
2021-03-25,,77.67,74.63,77.53,6486964.0
2021-03-26,,78.26,76.57,78.17,6259294.0
2021-03-29,,78.99,77.53,77.68,7230547.0
2021-03-30,,78.45,77.26,77.82,5585112.0
2021-03-31,,78.2238,77.05,77.27,6066823.0
2021-04-01,,77.8,76.925,77.28,6287838.0
2021-04-05,,78.45,77.54,77.91,5707367.0
2021-04-06,,78.09,77.2,77.51,8566943.0
2021-04-07,,78.11,77.05,77.6,5396233.0
2021-04-08,,77.56,76.49,77.48,5116115.0
2021-04-09,,78.88,77.65,78.29,5531161.0
2021-04-12,,78.82,78.13,78.72,5562290.0
2021-04-13,,78.08,76.7418,77.7,5585033.0
2021-04-14,,78.685,77.7671,77.96,4919139.0
2021-04-15,,78.28,76.98,77.97,5176360.0
2021-04-16,,78.59,77.05,78.22,8017133.0
2021-04-19,,78.73,77.7358,78.59,6318708.0
2021-04-20,,77.91,76.0705,77.09,8761872.0
2021-04-21,,78.94,76.4,78.87,5250102.0
2021-04-22,,79.91,78.55,78.74,6770304.0
2021-04-23,,80.76,78.81,80.54,7229052.0
2021-04-26,,82.07,80.795,81.0,12267696.0
2021-04-27,,83.69,80.88,82.81,11193079.0
2021-04-28,,83.12,81.48,83.08,7264724.0
2021-04-29,,83.8,82.505,82.87,6329170.0
2021-04-30,,83.4078,82.35,83.24,5677013.0
2021-05-03,,84.445,83.28,84.14,5917736.0
2021-05-04,,84.59,83.1501,83.94,9369817.0
2021-05-05,,84.67,83.54,84.13,4737254.0
2021-05-06,,84.9,83.5301,84.68,4962467.0
2021-05-07,,85.9298,84.14,85.71,6116574.0
2021-05-10,,87.04,84.93,85.04,9143221.0
2021-05-11,,85.2,83.35,84.33,6804115.0
2021-05-12,,84.86,82.22,82.28,6150593.0
2021-05-13,,84.28,82.14,83.78,4774504.0
2021-05-14,,86.07,84.355,85.88,5063463.0
2021-05-17,,86.57,85.06,86.57,5161709.0
2021-05-18,,86.96,85.35,85.38,7494858.0
2021-05-19,,85.27,83.58,85.21,9423397.0
2021-05-20,,85.56,84.09,85.23,10137092.0
2021-05-21,,87.1,85.55,85.81,6019170.0
2021-05-24,,86.95,86.0,86.48,5169473.0
2021-05-25,,87.28,85.99,86.26,7663476.0
2021-05-26,,86.73,86.0,86.5,4866309.0
2021-05-27,,88.81,87.705,88.61,10605245.0
2021-05-28,,88.83,88.035,88.71,4926848.0
2021-06-01,,89.93,88.84,88.99,4388088.0
2021-06-02,,89.25,88.4465,88.63,4478613.0
2021-06-03,,88.967,87.885,88.68,4123626.0
2021-06-04,,89.24,88.5484,89.02,4147831.0
2021-06-07,,89.15,88.48,88.97,5739334.0
2021-06-08,,89.78,88.76,89.45,4839821.0
2021-06-09,,89.57,88.82,88.85,4629394.0
2021-06-10,,89.98,88.16,88.25,4872637.0
2021-06-11,,88.97,88.165,88.81,4126490.0
2021-06-14,,89.19,88.245,88.72,5973360.0
2021-06-15,,89.795,88.8,89.4,5394568.0
2021-06-16,,89.43,87.95,88.43,8090635.0
2021-06-17,,88.73,86.32,87.13,7560917.0
2021-06-18,,86.73,85.62,85.92,11162629.0
2021-06-21,,88.14,86.52,88.0,5152998.0
2021-06-22,,88.06,86.86,87.38,4218357.0
2021-06-23,,87.61,86.57,86.6,3561602.0
2021-06-24,,87.18,86.255,86.85,5381635.0
2021-06-25,,87.4,86.68,86.72,6671895.0
2021-06-28,,86.4,84.76,85.11,5788572.0
2021-06-29,,85.87,84.34,84.44,6539835.0
2021-06-30,,85.67,84.14,85.31,4793170.0
2021-07-01,,86.25,85.27,86.22,3943535.0
2021-07-02,,87.0,85.83,86.7,4237375.0
2021-07-06,,86.49,84.93,85.75,4220923.0
2021-07-07,,86.04,84.82,85.83,4185896.0
2021-07-08,,85.775,84.02,85.44,4729794.0
2021-07-09,,86.75,86.02,86.38,4601040.0
2021-07-12,,86.4,85.02,86.22,5516522.0
2021-07-13,,86.24,85.26,85.33,4661733.0
2021-07-14,,85.885,84.46,84.91,3724373.0
2021-07-15,,85.525,83.94,84.98,3516390.0
2021-07-16,,85.75,83.3,83.53,4153913.0
2021-07-19,,81.96,79.72,81.05,9313787.0
2021-07-20,,85.13,81.02,84.8,7987146.0
2021-07-21,,86.955,85.05,86.58,5468220.0
2021-07-22,,86.5,85.19,85.82,4175771.0
2021-07-23,,86.73,85.61,85.81,2667179.0
2021-07-26,,86.2,85.42,85.95,3807917.0
2021-07-27,,89.46,87.411,88.22,8519530.0
2021-07-28,,89.12,86.9508,87.2,5595316.0
2021-07-29,,88.65,87.49,87.65,4135438.0
2021-07-30,,87.76,86.66,86.95,4443874.0
2021-08-02,,88.74,86.51,86.61,4049194.0
2021-08-03,,88.0,85.33,87.97,4629224.0
2021-08-04,,87.39,85.65,85.82,5286297.0
2021-08-05,,87.43,86.19,86.88,3604642.0
2021-08-06,,87.98,87.17,87.58,3020236.0
2021-08-09,,87.425,86.53,87.08,3265643.0
2021-08-10,,88.06,87.0,87.65,2909254.0
2021-08-11,,88.66,87.43,88.62,3724801.0
2021-08-12,,88.655,87.375,87.98,2816687.0
2021-08-13,,88.1355,87.1401,87.25,3051326.0
2021-08-16,,87.26,85.5698,87.14,3896351.0
2021-08-17,,87.165,85.65,86.61,3999539.0
2021-08-18,,86.92,85.41,85.48,4256508.0
2021-08-19,,84.84,82.965,83.35,5706976.0
2021-08-20,,84.48,83.0,84.05,4502402.0
2021-08-23,,85.575,84.51,84.96,3367674.0
2021-08-24,,86.08,85.0,85.43,4726822.0
2021-08-25,,86.44,85.0,85.73,3195152.0
2021-08-26,,85.8,84.515,84.76,2595991.0
2021-08-27,,86.14,85.15,85.4,3590389.0
2021-08-30,,85.52,84.7,84.8,2936803.0
2021-08-31,,85.42,84.34,84.76,3969570.0
2021-09-01,,85.14,83.92,84.1,4109283.0
2021-09-02,,84.95,84.1301,84.54,3471621.0
2021-09-03,,84.63,83.5,83.65,3300713.0
2021-09-07,,83.65,82.36,83.0,5779381.0
2021-09-08,,83.48,82.2,82.87,3911458.0
2021-09-09,,84.35,82.73,83.66,4521208.0
2021-09-10,,84.46,82.8,83.0,3893652.0
2021-09-13,,84.23,82.76,83.64,4814963.0
2021-09-14,,83.84,82.26,82.74,5307200.0
2021-09-15,,85.06,82.83,84.87,5714314.0
2021-09-16,,85.13,83.88,84.02,5907479.0
2021-09-17,,84.01,82.37,83.39,23129960.0
2021-09-20,,83.6,81.52,83.45,8217120.0
2021-09-21,,84.15,82.67,83.11,5900282.0
2021-09-22,,85.96,83.61,85.27,6233674.0
