date,open,high,low,close,volume
2020-08-06,,33.98,33.02,33.14,8159685.0
2020-08-07,,34.06,32.84,34.04,7881110.0
2020-08-10,,34.28,33.55,33.8,6086716.0
2020-08-11,,35.555,34.23,34.96,12235619.0
2020-08-12,,35.9983,34.75,34.84,9067555.0
2020-08-13,,34.915,34.105,34.61,5982878.0
2020-08-14,,35.46,34.29,35.05,8776836.0
2020-08-17,,35.275,34.47,34.62,8394705.0
2020-08-18,,35.0,34.24,34.95,7743297.0
2020-08-19,,35.9,34.95,35.71,8074127.0
2020-08-20,,35.35,34.48,34.55,8225875.0
2020-08-21,,34.89,34.23,34.45,6018039.0
2020-08-24,,35.5,34.46,35.12,9975687.0
2020-08-25,,35.87,35.24,35.55,5355401.0
2020-08-26,,35.72,35.12,35.42,4159083.0
2020-08-27,,36.37,35.13,36.08,6508280.0
2020-08-28,,36.47,35.85,36.28,6205776.0
2020-08-31,,36.2,35.45,35.53,8375786.0
2020-09-01,,36.255,34.96,35.8,6223628.0
2020-09-02,,36.12,35.46,35.97,8090334.0
2020-09-03,,36.875,35.2,35.39,13837146.0
2020-09-04,,36.89,35.63,36.2,11556980.0
2020-09-08,,35.7,34.61,34.66,9131342.0
2020-09-09,,35.265,34.56,35.03,7700030.0
2020-09-10,,35.375,34.52,34.66,5756736.0
2020-09-11,,35.565,34.69,35.24,5928344.0
2020-09-14,,36.17,35.33,35.73,6901792.0
2020-09-15,,35.115,33.79,34.75,13025807.0
2020-09-16,,36.075,34.81,35.73,8836366.0
2020-09-17,,36.07,35.06,35.81,7355640.0
2020-09-18,,36.54,35.61,36.03,9830360.0
2020-09-21,,35.92,34.5,35.24,11506744.0
2020-09-22,,35.8,34.45,34.97,7868107.0
2020-09-23,,35.81,34.77,34.78,8195873.0
2020-09-24,,34.97,34.1,34.36,7079658.0
2020-09-25,,35.07,33.96,34.94,5823441.0
2020-09-28,,36.31,35.425,36.2,6088344.0
2020-09-29,,36.26,35.49,35.78,7211285.0
2020-09-30,,36.68,35.955,36.23,7250368.0
2020-10-01,,37.76,36.6,37.73,20092973.0
2020-10-02,,38.475,37.07,37.67,22801737.0
2020-10-05,,38.71,36.75,36.94,95111492.0
2020-10-06,,37.46,36.07,36.75,20018920.0
2020-10-07,,38.16,36.9,37.78,18384665.0
2020-10-08,,37.95,37.44,37.74,10917095.0
2020-10-09,,38.46,37.565,38.23,11706503.0
2020-10-12,,38.53,37.9,38.47,14553158.0
2020-10-13,,38.51,37.41,37.61,10923456.0
2020-10-14,,37.94,37.01,37.12,10156822.0
2020-10-15,,39.04,37.235,39.03,15485657.0
2020-10-16,,39.77,38.56,39.29,14553550.0
2020-10-19,,39.555,38.73,38.89,12368512.0
2020-10-20,,40.12,39.08,39.13,10023235.0
2020-10-21,,39.42,38.735,38.93,7729781.0
2020-10-22,,40.265,38.71,40.13,10143048.0
2020-10-23,,40.93,39.92,40.35,8352973.0
2020-10-26,,40.0,38.665,39.15,12069786.0
2020-10-27,,39.22,38.305,38.47,7924990.0
2020-10-28,,38.53,37.29,38.15,13986622.0
2020-10-29,,40.785,37.33,40.31,14810786.0
2020-10-30,,41.135,40.0,41.11,13242927.0
2020-11-02,,42.69,40.89,41.26,12906966.0
2020-11-03,,43.77,42.09,42.56,13017348.0
2020-11-04,,41.96,39.5,40.84,15283090.0
2020-11-05,,42.2,40.8,41.45,9947876.0
2020-11-06,,42.0,40.98,41.13,6916344.0
2020-11-09,,45.89,43.76,44.96,15009027.0
2020-11-10,,46.49,44.87,46.42,10898307.0
2020-11-11,,47.48,45.89,46.23,15186953.0
2020-11-12,,45.5,44.26,44.72,9677684.0
2020-11-13,,46.225,45.01,46.0,7587450.0
2020-11-16,,47.41,45.98,46.89,10787395.0
2020-11-17,,48.94,46.75,48.9,16893138.0
2020-11-18,,49.835,47.7,47.7,15546848.0
2020-11-19,,47.33,46.25,47.08,11137660.0
