date,open,high,low,close,volume
2020-08-06,,19.69,19.21,19.32,6830801.0
2020-08-07,,19.65,19.02,19.63,7203358.0
2020-08-10,,20.39,19.48,20.22,11753669.0
2020-08-11,,21.27,20.19,20.3,12619738.0
2020-08-12,,20.76,19.805,20.36,14705533.0
2020-08-13,,20.29,19.73,19.87,8701472.0
2020-08-14,,20.165,19.59,20.07,7391268.0
2020-08-17,,20.24,19.86,20.01,8766812.0
2020-08-18,,20.145,19.68,19.77,7952933.0
2020-08-19,,20.13,19.625,19.72,8141046.0
2020-08-20,,19.58,18.77,18.77,10364449.0
2020-08-21,,18.7,18.37,18.58,9265053.0
2020-08-24,,19.725,18.67,19.55,8802773.0
2020-08-25,,19.98,19.11,19.26,11266450.0
2020-08-26,,19.27,18.64,18.67,8074981.0
2020-08-27,,18.87,18.44,18.7,8661219.0
2020-08-28,,19.46,18.77,19.42,12753241.0
2020-08-31,,19.54,18.94,19.01,13703197.0
2020-09-01,,18.92,18.46,18.63,9634359.0
2020-09-02,,18.79,18.355,18.77,10996553.0
2020-09-03,,19.56,18.67,19.12,17025813.0
2020-09-04,,19.685,18.89,19.31,15494556.0
2020-09-08,,19.02,17.93,18.38,15840657.0
2020-09-09,,18.74,18.37,18.61,10087686.0
2020-09-10,,18.65,17.64,17.71,16342979.0
2020-09-11,,17.97,17.49,17.87,8739623.0
2020-09-14,,18.21,17.64,18.03,10020504.0
2020-09-15,,18.45,17.965,18.2,10730266.0
2020-09-16,,19.39,18.22,19.18,14350023.0
2020-09-17,,19.13,18.45,19.08,11808822.0
2020-09-18,,19.34,18.525,18.73,20618235.0
2020-09-21,,18.19,17.09,17.27,16253193.0
2020-09-22,,17.735,17.17,17.33,8997858.0
2020-09-23,,17.62,16.59,16.61,10790847.0
2020-09-24,,17.0791,15.93,16.62,18029859.0
2020-09-25,,16.41,15.82,15.92,16453477.0
2020-09-28,,16.8486,16.26,16.45,12085849.0
2020-09-29,,16.4,15.47,15.6,15957679.0
2020-09-30,,16.02,15.4238,15.56,15673967.0
2020-10-01,,15.527,14.88,15.01,18031951.0
2020-10-02,,15.725,14.52,15.57,14872328.0
2020-10-05,,16.13,15.6301,16.07,12330736.0
2020-10-06,,16.56,15.64,15.67,13367933.0
2020-10-07,,16.03,15.58,15.95,10497412.0
2020-10-08,,16.44,15.94,16.43,10996425.0
2020-10-09,,16.6,16.05,16.23,11845749.0
2020-10-12,,16.2,15.76,16.12,12575985.0
2020-10-13,,16.14,15.515,15.73,14223866.0
2020-10-14,,16.51,15.735,15.95,15991762.0
2020-10-15,,16.44,15.55,16.42,15905513.0
2020-10-16,,16.26,14.9,14.97,40439040.0
2020-10-19,,15.44,14.91,15.01,18550249.0
2020-10-20,,15.65,15.18,15.49,20928676.0
2020-10-21,,15.5869,14.98,15.01,18720887.0
2020-10-22,,15.42,14.91,15.3,16066864.0
2020-10-23,,15.78,15.17,15.4,14022819.0
2020-10-26,,15.26,14.86,15.17,17582721.0
2020-10-27,,15.23,14.745,15.09,14873719.0
2020-10-28,,14.75,14.15,14.18,18381638.0
2020-10-29,,14.49,13.7,14.45,16496330.0
2020-10-30,,14.96,14.32,14.94,17611903.0
2020-11-02,,15.8,14.78,15.58,18628709.0
2020-11-03,,16.045,15.56,15.76,13176972.0
2020-11-04,,16.2,15.07,15.97,17834355.0
2020-11-05,,16.1319,15.5,15.52,15187032.0
2020-11-06,,15.83,15.1382,15.22,10469417.0
2020-11-09,,18.76,16.93,18.25,32806327.0
2020-11-10,,18.91,18.0,18.31,19469125.0
2020-11-11,,18.51,17.4,17.71,16543521.0
2020-11-12,,17.88,17.16,17.3,10972618.0
2020-11-13,,18.11,17.42,18.0,9422900.0
2020-11-16,,20.05,18.56,20.04,23339722.0
2020-11-17,,20.1,19.27,20.09,14257430.0
2020-11-18,,20.565,19.92,19.97,15651045.0
2020-11-19,,20.5,19.55,20.46,12008579.0
2020-11-20,,20.495,19.975,20.21,10542539.0
2020-11-23,,21.65,20.45,21.61,14968568.0
2020-11-24,,22.5,21.915,22.23,21092915.0
2020-11-25,,22.31,21.66,22.1,12429844.0
2020-11-27,,22.11,21.71,21.88,6550850.0
