date,open,high,low,close,volume
2020-08-06,,64.71,63.7,64.1,3042530.0
2020-08-07,,65.27,64.02,64.95,2471530.0
2020-08-10,,66.945,64.815,66.785,3585604.0
2020-08-11,,67.5,65.31,65.555,2918874.0
2020-08-12,,67.335,65.775,67.095,3013818.0
2020-08-13,,67.56,66.51,67.33,2183826.0
2020-08-14,,67.0225,65.595,65.945,2628206.0
2020-08-17,,65.645,64.44,64.84,3429508.0
2020-08-18,,65.25,64.405,64.68,1789420.0
2020-08-19,,65.1525,63.8725,64.11,3011122.0
2020-08-20,,64.035,62.98,63.11,2334536.0
2020-08-21,,63.275,62.425,62.74,2362300.0
2020-08-24,,63.71,62.44,63.685,1657958.0
2020-08-25,,64.05,62.55,62.755,2038480.0
2020-08-26,,62.5475,61.115,61.17,2574898.0
2020-08-27,,62.55,61.525,61.795,2192882.0
2020-08-28,,61.94,60.99,61.16,2145734.0
2020-08-31,,61.955,61.1075,61.825,2206508.0
2020-09-01,,61.745,60.76,61.125,2141642.0
2020-09-02,,62.5925,60.855,62.275,2471578.0
2020-09-03,,62.95,60.775,61.36,2241228.0
2020-09-04,,61.84,59.4,60.445,2373898.0
2020-09-08,,60.5,58.635,59.545,2962918.0
2020-09-09,,61.135,59.79,60.475,2766918.0
2020-09-10,,60.345,58.98,59.06,2133186.0
2020-09-11,,59.08,58.32,58.9,2675568.0
2020-09-14,,59.77,58.79,59.575,3411882.0
2020-09-15,,60.59,58.525,58.815,2151610.0
2020-09-16,,60.71,58.605,60.42,3053572.0
2020-09-17,,60.56,59.3381,60.515,3625556.0
2020-09-18,,60.67,59.365,59.99,8395530.0
2020-09-21,,59.495,58.25,58.33,3487930.0
2020-09-22,,59.88,58.435,59.525,3185024.0
2020-09-23,,59.625,57.205,57.25,3487690.0
2020-09-24,,58.45,56.165,57.87,2908660.0
2020-09-25,,58.9,57.395,58.805,2232290.0
2020-09-28,,59.36,58.2875,58.355,2626440.0
2020-09-29,,58.995,57.825,58.09,1925576.0
2020-09-30,,59.425,58.335,59.18,3271916.0
2020-10-01,,60.125,59.14,59.565,2714368.0
2020-10-02,,60.6675,58.85,60.25,2527760.0
2020-10-05,,60.93,59.8425,60.885,1917974.0
2020-10-06,,62.43,60.625,61.115,2275176.0
2020-10-07,,61.75,60.5175,61.36,2172774.0
2020-10-08,,63.605,61.5875,63.355,2071986.0
2020-10-09,,63.755,62.345,63.005,1827304.0
2020-10-12,,63.785,62.49,63.39,1643242.0
2020-10-13,,63.635,62.855,63.275,2458032.0
2020-10-14,,64.015,63.035,63.545,1975556.0
2020-10-15,,64.695,62.78,64.27,2938708.0
2020-10-16,,64.94,63.77,64.055,2831634.0
2020-10-19,,64.925,63.41,63.985,3066714.0
2020-10-20,,65.1995,64.145,64.84,2009526.0
2020-10-21,,65.255,64.4,64.65,2419560.0
2020-10-22,,66.245,64.135,66.14,2293500.0
2020-10-23,,67.005,65.835,66.93,2348936.0
2020-10-26,,66.425,65.1401,65.66,2436930.0
2020-10-27,,66.23,65.125,65.135,2724590.0
2020-10-28,,65.075,62.86,63.05,3369278.0
2020-10-29,,64.61,62.34,63.61,2518254.0
2020-10-30,,63.785,61.99,62.68,3083044.0
2020-11-02,,64.02,62.915,63.81,2716750.0
2020-11-03,,65.205,64.295,64.55,1889628.0
2020-11-04,,65.95,64.03,64.215,1880650.0
2020-11-05,,65.465,63.385,63.505,3164506.0
2020-11-06,,64.145,62.32,62.415,3317444.0
2020-11-09,,66.79,64.99,65.195,4363252.0
2020-11-10,,68.405,65.215,67.98,5562856.0
2020-11-11,,68.31,66.405,66.82,4016464.0
2020-11-12,,66.68,65.16,66.15,3346662.0
2020-11-13,,67.635,66.07,67.275,3088540.0
2020-11-16,,68.735,67.17,67.72,2833288.0
2020-11-17,,67.725,66.8667,67.03,3288704.0
2020-11-18,,68.18,66.51,66.52,3413330.0
2020-11-19,,66.515,64.73,65.125,3460144.0
2020-11-20,,65.955,65.05,65.21,2790782.0
2020-11-23,,65.975,64.895,65.52,2746796.0
2020-11-24,,66.61,65.835,66.155,2388222.0
2020-11-25,,66.18,65.28,65.98,2574894.0
2020-11-27,,65.99,65.015,65.23,963948.0
2020-11-30,,65.225,63.63,63.74,4912246.0
2020-12-01,,64.975,63.82,63.88,2761760.0
2020-12-02,,65.795,63.83,65.715,4951788.0
2020-12-03,,66.385,65.035,66.005,3570374.0
2020-12-04,,66.21,63.6875,64.085,5022744.0
2020-12-07,,64.5,63.6,64.115,3182858.0
2020-12-08,,65.025,63.785,64.65,3162976.0
2020-12-09,,64.805,64.175,64.48,2748858.0
2020-12-10,,64.75,64.05,64.365,2645578.0
2020-12-11,,64.48,63.615,64.0,3389426.0
2020-12-14,,65.0125,64.0,64.02,2814790.0
2020-12-15,,65.75,64.05,65.475,3360810.0
2020-12-16,,65.9875,64.55,64.56,3465164.0
2020-12-17,,66.35,64.31,65.87,5992784.0
2020-12-18,,66.39,64.995,65.35,7989018.0
2020-12-21,,64.6575,63.25,63.355,4697380.0
2020-12-22,,63.7,62.825,63.135,1974974.0
2020-12-23,,63.94,62.945,62.975,1505660.0
2020-12-24,,63.09,62.36,62.95,739524.0
2020-12-28,,63.945,63.06,63.245,1629436.0
2020-12-29,,63.705,63.055,63.195,1629356.0
2020-12-30,,63.545,62.6275,62.91,2642704.0
2020-12-31,,63.785,62.505,63.705,1912286.0
2021-01-04,,63.735,61.63,61.9,4076270.0
2021-01-05,,62.165,60.8865,61.705,4800208.0
2021-01-06,,62.465,61.2499,61.905,3832886.0
2021-01-07,,62.32,59.73,59.95,5261748.0
2021-01-08,,60.265,59.695,59.89,5712202.0
2021-01-11,,60.11,58.63,59.205,5687436.0
2021-01-12,,59.1,57.42,59.0,5180588.0
2021-01-13,,60.815,58.835,60.575,4443894.0
2021-01-14,,62.415,60.8275,61.265,5792734.0
2021-01-15,,62.175,60.775,61.08,3422480.0
2021-01-19,,61.3725,60.525,60.74,3235588.0
2021-01-20,,61.565,60.2855,61.435,3409524.0
2021-01-21,,61.69,61.005,61.185,2945314.0
2021-01-22,,61.355,60.295,60.725,2581226.0
2021-01-25,,63.085,60.25,62.985,5089800.0
2021-01-26,,63.435,62.29,62.295,2860150.0
2021-01-27,,62.11,59.455,59.975,4143806.0
2021-01-28,,62.6363,60.13,62.345,4698830.0
2021-01-29,,63.28,61.54,61.88,5598268.0
2021-02-01,,62.75,61.18,62.47,3131692.0
2021-02-02,,63.715,62.1,62.29,3168014.0
2021-02-03,,62.555,61.4413,61.665,2419294.0
2021-02-04,,63.13,61.345,63.035,2268172.0
2021-02-05,,63.54,62.74,63.12,1851330.0
2021-02-08,,63.32,62.29,62.425,2179580.0
2021-02-09,,62.94,61.95,62.67,1462938.0
2021-02-10,,63.8036,62.82,63.425,2268414.0
2021-02-11,,63.34,62.7175,62.9,2349786.0
2021-02-12,,62.98,61.67,62.25,2270216.0
2021-02-16,,62.75,61.8,62.34,2059526.0
2021-02-17,,62.575,61.63,62.305,1618396.0
2021-02-18,,62.45,61.77,62.135,2516282.0
2021-02-19,,62.805,62.0,62.285,2491616.0
2021-02-22,,62.5,60.335,61.33,2705348.0
2021-02-23,,62.24,61.255,61.78,3053098.0
2021-02-24,,61.975,60.85,61.285,3536204.0
2021-02-25,,61.87,59.3,59.54,3525518.0
2021-02-26,,59.755,57.985,57.99,4299364.0
2021-03-01,,59.925,58.325,58.95,2216638.0
2021-03-02,,59.1,58.3875,58.565,4315392.0
2021-03-03,,58.73,57.33,58.485,2814940.0
2021-03-04,,60.0,58.285,58.495,3038582.0
2021-03-05,,59.95,58.365,59.585,2699922.0
2021-03-08,,61.895,59.63,61.455,3405348.0
2021-03-09,,62.3706,61.285,61.715,2584268.0
2021-03-10,,63.485,61.75,63.245,4866624.0
2021-03-11,,64.32,62.61,63.455,3898836.0
2021-03-12,,64.49,63.32,64.375,2997722.0
2021-03-15,,66.25,64.425,66.0,4518676.0
2021-03-16,,66.115,65.09,65.615,3305274.0
2021-03-17,,65.745,64.27,64.745,3379518.0
2021-03-18,,65.07,64.27,64.805,3412956.0
2021-03-19,,65.285,64.055,64.31,12753558.0
2021-03-22,,64.3325,63.46,64.05,2747678.0
2021-03-23,,65.025,63.83,64.76,2927036.0
2021-03-24,,64.965,63.735,64.485,2385928.0
2021-03-25,,65.715,64.23,65.49,2780484.0
2021-03-26,,66.2,65.125,66.07,2673016.0
2021-03-29,,66.65,65.6825,66.095,2894856.0
2021-03-30,,66.0225,65.26,65.785,1678204.0
2021-03-31,,66.46,65.485,66.29,2782372.0
2021-04-01,,66.495,65.405,65.9,1905030.0
2021-04-05,,67.625,66.255,66.92,2633764.0
2021-04-06,,67.365,66.39,67.12,2266734.0
2021-04-07,,67.33,66.305,66.76,2636260.0
2021-04-08,,67.6,66.545,66.575,2743526.0
2021-04-09,,67.325,66.64,67.14,2040382.0
2021-04-12,,67.9,66.35,66.645,2916434.0
2021-04-13,,67.6525,65.805,67.52,2916740.0
2021-04-14,,67.875,67.22,67.72,2141226.0
2021-04-15,,68.895,67.72,68.815,2801352.0
2021-04-16,,69.41,68.79,69.07,2915302.0
2021-04-19,,69.785,68.795,69.12,2829450.0
2021-04-20,,70.055,68.95,69.93,2449836.0
2021-04-21,,70.15,68.94,69.3,2601580.0
2021-04-22,,69.45,68.62,68.725,1881344.0
2021-04-23,,68.775,68.115,68.535,1627062.0
2021-04-26,,68.545,67.725,68.245,2222676.0
2021-04-27,,68.325,67.235,67.465,2428668.0
2021-04-28,,67.7825,66.965,67.46,2105062.0
2021-04-29,,68.11,67.46,68.06,4051534.0
2021-04-30,,68.81,67.71,68.785,2442916.0
2021-05-03,,69.68,68.485,69.03,1905628.0
2021-05-04,,69.29,68.65,68.99,2499362.0
2021-05-05,,69.37,67.1,67.74,2547598.0
2021-05-06,,68.38,67.43,68.305,2241978.0
2021-05-07,,69.415,67.845,68.91,1841908.0
2021-05-10,,70.23,69.0551,69.51,1660576.0
2021-05-11,,69.59,68.535,69.27,2655844.0
2021-05-12,,69.29,67.46,67.605,2959830.0
2021-05-13,,69.245,67.245,68.865,1827796.0
2021-05-14,,69.74,68.75,69.055,1914778.0
2021-05-17,,69.295,68.36,68.77,2796694.0
2021-05-18,,68.9,68.405,68.675,3652634.0
2021-05-19,,68.595,67.27,67.975,3533952.0
2021-05-20,,68.345,67.625,67.87,7519246.0
2021-05-21,,68.675,67.995,68.485,3440762.0
2021-05-24,,69.395,68.825,68.88,1940656.0
2021-05-25,,68.985,67.56,67.725,2436150.0
2021-05-26,,68.92,67.61,68.515,4235992.0
2021-05-27,,68.77,67.46,67.65,11351406.0
2021-05-28,,68.44,67.36,67.745,4155984.0
2021-06-01,,68.23,67.645,67.965,4847826.0
2021-06-02,,68.225,67.46,67.92,5522558.0
2021-06-03,,68.7,67.425,68.505,3400712.0
2021-06-04,,68.885,67.945,68.21,3599734.0
2021-06-07,,68.52,67.9825,68.05,2992962.0
2021-06-08,,68.305,67.245,67.72,3773868.0
2021-06-09,,69.985,67.905,69.72,4252810.0
2021-06-10,,70.37,69.475,69.845,2998530.0
2021-06-11,,71.29,69.725,71.12,5068208.0
2021-06-14,,71.83,70.835,71.625,5379232.0
2021-06-15,,72.465,71.42,72.03,2832238.0
2021-06-16,,72.375,70.44,70.58,3395692.0
2021-06-17,,71.04,70.12,70.29,2639336.0
2021-06-18,,69.885,68.86,68.885,7015478.0
2021-06-21,,69.88,68.5,69.23,3508482.0
2021-06-22,,69.145,68.39,68.475,2990712.0
2021-06-23,,68.375,67.35,67.78,2408242.0
2021-06-24,,68.2325,67.565,67.775,2147120.0
2021-06-25,,68.785,67.605,68.735,3123398.0
2021-06-28,,69.105,68.355,68.64,2444742.0
2021-06-29,,68.33,66.36,66.86,4984542.0
2021-06-30,,66.845,65.49,66.24,5492930.0
2021-07-01,,67.335,65.845,67.045,4421770.0
2021-07-02,,67.5,66.46,67.395,3173688.0
2021-07-06,,66.8679,65.63,66.685,2572194.0
2021-07-07,,66.825,66.195,66.725,2059886.0
2021-07-08,,66.65,65.84,65.965,2681202.0
2021-07-09,,66.575,65.6549,66.43,3094562.0
2021-07-12,,66.8225,65.985,66.72,1927958.0
2021-07-13,,66.84,65.74,66.06,1724860.0
2021-07-14,,66.535,65.825,66.085,3201016.0
2021-07-15,,66.31,65.605,66.28,3314916.0
2021-07-16,,67.385,66.165,67.1,3508768.0
2021-07-19,,67.04,64.22,64.91,3978300.0
2021-07-20,,66.105,64.91,65.96,2821636.0
2021-07-21,,66.66,65.045,65.15,2145830.0
2021-07-22,,65.375,64.515,64.56,1666488.0
2021-07-23,,65.49,64.67,65.36,1396202.0
2021-07-26,,65.65,65.065,65.35,1621720.0
2021-07-27,,66.42,64.885,66.315,2477456.0
2021-07-28,,66.55,65.48,66.39,2088016.0
2021-07-29,,66.715,65.915,66.215,1564234.0
2021-07-30,,66.6164,65.085,65.325,2267978.0
2021-08-02,,66.35,65.355,65.625,1667306.0
2021-08-03,,66.215,65.525,65.99,1478600.0
2021-08-04,,65.5252,64.55,65.43,1996212.0
2021-08-05,,66.49,65.205,66.47,1901990.0
2021-08-06,,66.75,66.075,66.165,1422148.0
2021-08-09,,66.28,65.195,65.63,1651508.0
2021-08-10,,66.08,65.375,65.875,1297144.0
2021-08-11,,66.305,65.7689,66.0,2002470.0
2021-08-12,,66.41,65.76,66.21,1214378.0
2021-08-13,,66.925,66.125,66.885,1416670.0
2021-08-16,,67.775,66.615,66.785,2261730.0
2021-08-17,,67.015,66.115,66.945,1472490.0
2021-08-18,,66.915,66.04,66.295,1546312.0
2021-08-19,,67.085,65.9,65.985,2050920.0
2021-08-20,,66.825,65.37,66.68,4974042.0
2021-08-23,,66.99,65.83,65.945,2415228.0
2021-08-24,,66.105,65.23,65.485,3255964.0
2021-08-25,,65.915,65.165,65.795,1727510.0
2021-08-26,,66.245,65.5,65.895,2096802.0
2021-08-27,,66.275,65.72,65.93,2097876.0
2021-08-30,,66.25,65.84,65.905,1195150.0
2021-08-31,,66.5975,65.6814,66.18,3471940.0
2021-09-01,,67.16,66.26,66.8,2399648.0
2021-09-02,,67.54,66.9025,67.325,2766298.0
2021-09-03,,67.235,66.67,66.705,1281606.0
2021-09-07,,66.95,66.1,66.105,2000594.0
2021-09-08,,67.49,66.0,67.0,1881538.0
2021-09-09,,67.28,66.77,66.905,1780594.0
2021-09-10,,66.915,66.215,66.245,2085008.0
2021-09-13,,67.695,66.735,67.0,2511852.0
2021-09-14,,67.555,66.635,66.915,2575654.0
2021-09-15,,68.405,66.5725,68.38,3965226.0
