date,open,high,low,close,volume
2020-08-06,,30.09,29.68,29.84,22564753.0
2020-08-07,,30.06,29.58,30.02,30968389.0
2020-08-10,,30.2,29.985,30.2,35935798.0
2020-08-11,,30.77,30.1,30.2,31605995.0
2020-08-12,,30.51,30.11,30.18,21599094.0
2020-08-13,,30.13,29.84,29.91,25368949.0
2020-08-14,,30.15,29.7601,30.01,22986453.0
2020-08-17,,30.08,29.8,29.85,23941598.0
2020-08-18,,29.93,29.77,29.79,22453836.0
2020-08-19,,29.89,29.68,29.73,25217740.0
2020-08-20,,29.875,29.5,29.67,23566415.0
2020-08-21,,29.79,29.53,29.69,26364652.0
2020-08-24,,30.05,29.6605,30.03,27027776.0
2020-08-25,,30.14,29.83,29.9,21578688.0
2020-08-26,,30.12,29.7,29.99,28252182.0
2020-08-27,,30.17,29.815,29.9,30008696.0
2020-08-28,,30.08,29.81,30.04,27226610.0
2020-08-31,,30.16,29.8,29.81,42257553.0
2020-09-01,,29.75,29.32,29.47,47424511.0
2020-09-02,,29.84,29.32,29.7,35835926.0
2020-09-03,,30.175,29.42,29.59,45022604.0
2020-09-04,,29.87,29.26,29.42,45331491.0
2020-09-08,,29.6,29.02,29.51,47144680.0
2020-09-09,,29.6995,29.37,29.37,30204089.0
2020-09-10,,29.38,28.9,28.91,48043974.0
2020-09-11,,29.13,28.8,29.0,30159211.0
2020-09-14,,29.3,29.0,29.14,29182448.0
2020-09-15,,29.34,29.06,29.12,26379919.0
2020-09-16,,29.54,29.12,29.24,31293335.0
2020-09-17,,29.24,28.95,29.07,32185128.0
2020-09-18,,29.22,28.91,28.93,50545618.0
2020-09-21,,28.82,28.26,28.63,46297877.0
2020-09-22,,28.93,28.42,28.51,28786908.0
2020-09-23,,28.685,27.84,27.87,44360657.0
2020-09-24,,28.255,27.75,28.04,33854047.0
2020-09-25,,28.11,27.75,28.04,36483767.0
2020-09-28,,28.65,28.24,28.38,31299961.0
2020-09-29,,28.405,28.13,28.3,25981955.0
2020-09-30,,28.67,28.285,28.51,39409624.0
2020-10-01,,28.64,28.34,28.49,29149124.0
2020-10-02,,28.89,28.21,28.68,29301774.0
2020-10-05,,28.75,28.36,28.67,34394330.0
2020-10-06,,29.16,28.66,28.71,39728270.0
2020-10-07,,28.975,28.69,28.8,41975501.0
2020-10-08,,28.63,28.24,28.61,33148790.0
2020-10-09,,28.69,28.23,28.32,33171275.0
2020-10-12,,28.3,28.01,28.13,51942928.0
2020-10-13,,28.13,27.68,27.75,54961305.0
2020-10-14,,27.95,27.48,27.49,49203669.0
2020-10-15,,27.45,27.11,27.45,32895251.0
2020-10-16,,27.57,27.32,27.33,31269661.0
2020-10-19,,27.47,26.82,26.88,52696430.0
2020-10-20,,27.12,26.66,26.76,42324727.0
2020-10-21,,26.92,26.54,26.72,48532378.0
2020-10-22,,28.5,27.7,28.28,90778656.0
2020-10-23,,28.41,27.75,27.82,43425034.0
2020-10-26,,27.65,27.09,27.38,42114103.0
2020-10-27,,27.27,26.9,26.92,35705087.0
2020-10-28,,26.88,26.45,26.5,49714368.0
2020-10-29,,27.05,26.35,26.76,45092597.0
2020-10-30,,27.04,26.69,27.02,48916258.0
2020-11-02,,27.6,27.01,27.34,50325370.0
2020-11-03,,27.8,27.4,27.46,33690683.0
2020-11-04,,27.445,26.86,27.04,46105254.0
2020-11-05,,27.85,27.18,27.51,35764608.0
2020-11-06,,27.705,27.38,27.44,26752849.0
2020-11-09,,28.79,28.15,28.3,72749430.0
2020-11-10,,28.97,28.49,28.85,45131216.0
2020-11-11,,29.0,28.43,28.73,40224755.0
2020-11-12,,28.58,28.19,28.44,30936315.0
2020-11-13,,28.99,28.47,28.91,27902986.0
2020-11-16,,29.23,28.9,28.97,51161656.0
2020-11-17,,29.13,28.68,29.03,29227575.0
2020-11-18,,29.17,28.61,28.62,30089278.0
2020-11-19,,28.51,28.11,28.28,42183164.0
2020-11-20,,28.42,28.16,28.32,29349568.0
2020-11-23,,28.7,28.35,28.62,28433905.0
2020-11-24,,29.44,28.91,29.23,44679708.0
2020-11-25,,29.29,28.9,28.99,25093530.0
2020-11-27,,29.19,28.88,29.03,15649805.0
2020-11-30,,29.02,28.695,28.75,43987543.0
2020-12-01,,29.14,28.745,28.87,42192349.0
2020-12-02,,29.2,28.785,29.09,30054223.0
2020-12-03,,29.24,28.9,29.23,35415193.0
2020-12-04,,29.76,29.31,29.54,38431182.0
2020-12-07,,29.78,29.52,29.64,35241753.0
2020-12-08,,30.93,29.46,30.81,74391919.0
2020-12-09,,31.89,30.97,31.46,71945285.0
2020-12-10,,31.11,30.48,30.69,47895534.0
2020-12-11,,31.09,30.39,31.01,32069601.0
2020-12-14,,31.27,30.4,30.55,43419886.0
2020-12-15,,30.7,30.28,30.58,33863325.0
2020-12-16,,30.59,30.24,30.29,35281911.0
2020-12-17,,30.12,29.54,29.62,62948900.0
2020-12-18,,29.68,29.26,29.4,79588422.0
2020-12-21,,29.21,28.75,29.01,49052556.0
2020-12-22,,29.01,28.32,28.4,64672556.0
2020-12-23,,28.93,28.5,28.75,39949700.0
2020-12-24,,28.76,28.5,28.69,19153092.0
2020-12-28,,28.9591,28.5,28.55,42476723.0
2020-12-29,,28.88,28.51,28.54,37307332.0
2020-12-30,,28.68,28.43,28.49,34928008.0
2020-12-31,,28.8,28.39,28.76,39215585.0
2021-01-04,,29.49,29.02,29.44,66749273.0
2021-01-05,,29.75,29.19,29.26,63417018.0
2021-01-06,,30.0,29.365,29.83,56215018.0
2021-01-07,,30.09,29.68,29.91,54512804.0
2021-01-08,,29.21,28.75,29.02,56121242.0
2021-01-11,,29.02,28.68,28.87,31812859.0
2021-01-12,,28.87,28.51,28.75,44083108.0
2021-01-13,,28.8,28.47,28.61,39351199.0
2021-01-14,,29.765,28.53,29.29,64430004.0
2021-01-15,,29.29,28.8208,29.17,43681103.0
2021-01-19,,29.38,28.9,28.95,41532858.0
2021-01-20,,29.01,28.74,28.96,33067634.0
2021-01-21,,29.075,28.765,28.83,28617269.0
2021-01-22,,29.05,28.571,28.93,35389923.0
2021-01-25,,29.18,28.49,29.11,53069474.0
2021-01-26,,29.84,29.07,29.75,51048146.0
2021-01-27,,30.2,28.96,29.14,74374917.0
2021-01-28,,29.72,28.78,28.8,53464379.0
2021-01-29,,29.04,28.57,28.63,50703173.0
2021-02-01,,28.975,28.33,28.65,45184964.0
2021-02-02,,28.82,28.38,28.54,43365447.0
2021-02-03,,28.6973,28.45,28.51,41230029.0
2021-02-04,,28.89,28.465,28.89,32280460.0
2021-02-05,,29.07,28.86,28.93,28441367.0
2021-02-08,,28.99,28.62,28.77,32691371.0
2021-02-09,,28.78,28.56,28.62,33551264.0
2021-02-10,,28.655,28.48,28.55,42964499.0
2021-02-11,,28.7,28.46,28.69,34431099.0
2021-02-12,,28.84,28.59,28.8,29313523.0
2021-02-16,,29.18,28.73,28.97,39714959.0
2021-02-17,,29.74,28.8,29.57,47930034.0
2021-02-18,,29.59,29.21,29.23,27592497.0
2021-02-19,,29.33,28.98,29.0,30933165.0
2021-02-22,,29.57,28.98,29.32,35537226.0
