date,open,high,low,close,volume
2020-08-06,,101.154,98.484,99.3053,89884695.0
2020-08-07,,99.9833,94.334,96.8473,133446300.0
2020-08-10,,97.1667,92.3893,94.5713,112833960.0
2020-08-11,,94.6667,91.0,91.626,129387510.0
2020-08-12,,105.6667,95.6667,103.6507,328463985.0
2020-08-13,,110.0787,104.484,108.0667,306379620.0
2020-08-14,,111.2533,108.4427,110.0473,188664210.0
2020-08-17,,123.0573,111.522,122.376,303634845.0
2020-08-18,,128.26,123.0073,125.806,247082715.0
2020-08-19,,127.4,122.7473,125.2353,183079965.0
2020-08-20,,134.7993,123.804,133.4553,309176940.0
2020-08-21,,139.6993,135.0033,136.6653,321893385.0
2020-08-24,,141.9333,128.5013,134.28,300954315.0
2020-08-25,,135.1967,131.2,134.8893,159883395.0
2020-08-26,,144.4,136.9086,143.5447,213590730.0
2020-08-27,,153.04,142.8333,149.25,355395645.0
2020-08-28,,154.566,145.768,147.56,301217640.0
2020-08-31,,166.7133,146.7033,166.1067,355123218.0
2020-09-01,,167.4967,156.8367,158.35,270320157.0
2020-09-02,,159.68,135.0402,149.1233,288528384.0
2020-09-03,,143.9333,134.0,135.6667,262788258.0
2020-09-04,,142.6667,124.0067,139.44,330941055.0
2020-09-08,,122.9133,109.96,110.07,345882819.0
2020-09-09,,123.0,113.8367,122.0933,238387707.0
2020-09-10,,132.9967,120.1867,123.78,254791824.0
2020-09-11,,127.5,120.1667,124.24,182152377.0
2020-09-14,,140.0,124.4333,139.8733,248700624.0
2020-09-15,,153.98,143.5667,149.92,291894684.0
2020-09-16,,152.5967,145.1033,147.2533,217640280.0
2020-09-17,,145.93,136.0,141.1433,230334759.0
2020-09-18,,150.3333,142.9333,147.3833,259196157.0
2020-09-21,,151.8933,135.69,149.7967,328430400.0
2020-09-22,,145.92,139.2,141.41,238742385.0
2020-09-23,,137.3833,125.2934,126.7867,284734878.0
2020-09-24,,133.1667,117.1,129.2633,289642233.0
2020-09-25,,136.2441,130.4333,135.78,201625377.0
2020-09-28,,142.6933,138.5167,140.4,149125083.0
2020-09-29,,142.8333,137.2,139.69,151024212.0
2020-09-30,,144.6433,140.1567,143.0033,144424698.0
2020-10-01,,149.6267,144.8067,149.3867,152224362.0
2020-10-02,,146.3767,138.3333,138.3633,214290075.0
2020-10-05,,144.5467,139.7767,141.8933,134168358.0
2020-10-06,,142.9266,135.35,137.9933,147438777.0
2020-10-07,,143.3,137.9483,141.7667,129383127.0
2020-10-08,,146.3333,141.7667,141.9733,121263348.0
2020-10-09,,144.8633,142.1534,144.6667,86776968.0
2020-10-12,,149.58,146.1933,147.4333,116373399.0
2020-10-13,,149.63,145.5333,148.8833,103390995.0
2020-10-14,,155.3,149.1167,153.7667,144136182.0
2020-10-15,,152.19,147.5,149.6267,107017062.0
2020-10-16,,151.9833,146.2833,146.5567,98247612.0
2020-10-19,,149.0,142.9567,143.61,108863529.0
2020-10-20,,143.9167,139.6834,140.6467,94968861.0
2020-10-21,,144.3167,140.4167,140.88,97111383.0
2020-10-22,,148.41,141.5033,141.93,119979573.0
2020-10-23,,140.962,135.7934,140.21,100834140.0
2020-10-26,,141.92,136.6667,140.0933,84717483.0
2020-10-27,,143.5,140.0333,141.56,68059518.0
2020-10-28,,139.5333,135.3333,135.34,76264227.0
2020-10-29,,139.3533,135.4867,136.9433,67815924.0
2020-10-30,,135.8638,126.37,129.3467,127762917.0
2020-11-02,,135.66,130.7667,133.5033,87063354.0
2020-11-03,,142.59,135.5633,141.3,103000050.0
2020-11-04,,145.1333,139.0333,140.3267,96429171.0
2020-11-05,,146.6667,141.3334,146.03,85243569.0
2020-11-06,,145.5233,141.4267,143.3167,65118042.0
2020-11-09,,150.8333,140.3333,140.42,104499075.0
2020-11-10,,140.03,132.01,136.7867,90852672.0
2020-11-11,,139.565,136.86,139.0433,52073166.0
2020-11-12,,141.0,136.5067,137.2533,59521500.0
2020-11-13,,137.5106,133.8867,136.1667,59491053.0
2020-11-16,,137.4833,134.6956,136.03,80515905.0
2020-11-17,,154.0,144.3367,147.2033,183501468.0
2020-11-18,,165.3333,147.8334,162.2133,234124872.0
2020-11-19,,169.5371,162.5233,166.4233,187426038.0
2020-11-20,,167.5,163.02,163.2033,98528766.0
2020-11-23,,175.3333,167.2633,173.95,150780912.0
2020-11-24,,186.6633,175.4,185.1267,160905282.0
2020-11-25,,191.3333,181.79,191.3333,146776056.0
2020-11-27,,199.5933,192.8167,195.2533,112683234.0
2020-11-30,,202.6,184.8367,189.2,188451156.0
2020-12-01,,199.2833,190.6833,194.92,121146696.0
2020-12-02,,190.5133,180.4033,189.6067,143325459.0
2020-12-03,,199.6567,194.1433,197.7933,127654275.0
2020-12-04,,199.68,195.1667,199.68,88203942.0
2020-12-07,,216.2619,201.0167,213.92,168920529.0
2020-12-08,,217.0933,206.1667,216.6267,192193917.0
2020-12-09,,218.1067,196.0,201.4933,213873570.0
2020-12-10,,209.25,188.78,209.0233,201236352.0
2020-12-11,,208.0,198.9333,203.33,139424922.0
2020-12-14,,214.25,203.4,213.2767,155859900.0
2020-12-15,,215.6333,207.9333,211.0833,135670602.0
2020-12-16,,210.8333,201.6667,207.59,126284172.0
2020-12-17,,219.6067,206.5,218.6333,168795036.0
2020-12-18,,231.6667,209.5133,231.6667,666376995.0
2020-12-21,,222.8333,215.3567,216.62,174126888.0
2020-12-22,,216.6267,204.7433,213.4467,155584782.0
2020-12-23,,217.1666,207.5234,215.3267,99518916.0
2020-12-24,,222.03,213.6667,220.59,68596704.0
2020-12-28,,227.1333,220.2667,221.23,96834675.0
2020-12-29,,223.3,218.3333,221.9967,68732433.0
2020-12-30,,232.2,222.7868,231.5933,128537958.0
2020-12-31,,239.5733,230.3733,235.2233,148949253.0
2021-01-04,,248.1633,239.0632,243.2567,145911486.0
2021-01-05,,246.9467,239.7333,245.0367,96456495.0
2021-01-06,,258.0,249.7,251.9933,134095740.0
2021-01-07,,272.33,258.4,272.0133,154495407.0
2021-01-08,,294.83,279.4633,293.34,225164250.0
2021-01-11,,284.81,267.8741,270.3967,178660275.0
2021-01-12,,289.3333,275.78,283.1467,138811761.0
2021-01-13,,286.8233,277.3333,284.8033,99937155.0
2021-01-14,,287.6667,279.5833,281.6667,93797238.0
2021-01-15,,286.6333,273.0333,275.3867,116332788.0
2021-01-19,,283.3333,277.6667,281.5167,76098564.0
2021-01-20,,286.5,279.0933,283.4833,76996599.0
2021-01-21,,285.24,280.4734,281.6633,60010899.0
2021-01-22,,282.6667,276.2067,282.2133,60198735.0
2021-01-25,,300.1333,279.6067,293.6,123142026.0
2021-01-26,,298.6333,290.5333,294.3633,69274509.0
2021-01-27,,297.1667,286.22,288.0533,81821517.0
2021-01-28,,282.6667,267.0,278.4767,79127121.0
2021-01-29,,280.8033,260.0333,264.51,104969412.0
2021-02-01,,280.6667,265.1867,279.9367,76137696.0
2021-02-02,,293.5,280.7335,290.93,73038639.0
2021-02-03,,292.6933,284.3549,284.8967,54931530.0
2021-02-04,,285.5,277.8067,283.33,47437983.0
2021-02-05,,288.2567,279.6567,284.0767,55699797.0
2021-02-08,,292.59,284.9167,287.8067,60484350.0
2021-02-09,,286.6,280.5833,283.1533,45453543.0
2021-02-10,,281.6067,266.6733,268.2733,108645195.0
2021-02-11,,276.6266,267.2417,270.5533,64868259.0
2021-02-12,,272.4433,261.7769,272.04,70779939.0
2021-02-16,,273.6667,264.1467,265.4067,59406612.0
2021-02-17,,266.6133,254.0033,266.05,78176661.0
2021-02-18,,264.8967,258.7567,262.46,53861094.0
2021-02-19,,265.5966,259.1233,260.4333,56874765.0
2021-02-22,,256.1667,236.7333,238.1667,111790428.0
2021-02-23,,237.87,206.3333,232.9467,199814007.0
2021-02-24,,248.3333,231.39,247.34,110135100.0
2021-02-25,,245.7355,223.5267,227.4067,117071565.0
2021-02-26,,235.5667,219.8367,225.1667,123267519.0
2021-03-01,,290.6667,228.35,239.4767,81408606.0
2021-03-02,,240.37,228.3333,228.8133,71196474.0
2021-03-03,,233.5667,217.235,217.7333,90548880.0
2021-03-04,,291.3133,200.0,207.1467,197758590.0
2021-03-05,,209.2806,179.83,199.3167,268137297.0
2021-03-08,,206.7083,186.2633,187.6667,155360874.0
2021-03-09,,226.03,198.4033,224.5267,202569984.0
2021-03-10,,239.2833,218.3533,222.6867,181815615.0
2021-03-11,,234.1667,225.7267,233.2,108761676.0
2021-03-12,,231.6267,222.0465,231.2433,100751520.0
2021-03-15,,237.7267,228.0133,235.98,88269744.0
2021-03-16,,235.9733,223.6667,225.6267,96587016.0
2021-03-17,,234.5767,217.0033,233.9367,121117359.0
2021-03-18,,229.7433,217.3333,217.72,100107066.0
2021-03-19,,219.0767,208.2067,218.29,128624754.0
2021-03-22,,233.2067,222.9167,223.3333,118536663.0
2021-03-23,,225.9333,219.17,220.72,91475610.0
2021-03-24,,222.6733,210.0367,210.09,101355102.0
2021-03-25,,215.1667,203.1667,213.4633,117666018.0
2021-03-26,,214.6067,199.9633,206.2367,101505216.0
