date,open,high,low,close,volume
2020-08-06,,177.89,174.11,177.34,1153216.0
2020-08-07,,176.55,171.645,174.96,1280367.0
2020-08-10,,175.5,171.87,174.73,1011668.0
2020-08-11,,173.76,165.335,167.11,1829914.0
2020-08-12,,170.26,166.14,168.11,1235401.0
2020-08-13,,172.48,169.13,171.28,784913.0
2020-08-14,,175.52,172.21,173.41,1085791.0
2020-08-17,,175.86,173.805,175.21,641973.0
2020-08-18,,177.53,173.52,176.98,827994.0
2020-08-19,,176.86,171.55,172.63,1416370.0
2020-08-20,,175.51,172.0,174.43,1148944.0
2020-08-21,,175.05,171.84,173.14,1093178.0
2020-08-24,,174.72,170.56,172.55,916248.0
2020-08-25,,173.933,170.715,173.02,700608.0
2020-08-26,,175.58,172.7,175.39,892913.0
2020-08-27,,175.6,171.17,172.67,1591296.0
2020-08-28,,174.07,170.46,171.06,858383.0
2020-08-31,,172.85,169.57,171.19,918576.0
2020-09-01,,174.1445,171.05,172.5,913476.0
2020-09-02,,174.16,170.26,172.83,1296345.0
2020-09-03,,171.7965,164.52,166.6,1511985.0
2020-09-04,,165.5713,157.24,161.71,1507887.0
2020-09-08,,159.6299,153.3,156.22,2165609.0
2020-09-09,,160.3591,156.12,158.59,1457390.0
2020-09-10,,161.36,153.61,154.32,1137512.0
2020-09-11,,156.81,151.63,153.53,1176587.0
2020-09-14,,157.65,154.315,156.48,1022137.0
2020-09-15,,161.41,157.315,160.59,1071465.0
2020-09-16,,162.98,156.49,157.07,1052599.0
2020-09-17,,159.47,153.585,159.45,1310400.0
2020-09-18,,161.247,157.37,158.49,1892429.0
2020-09-21,,164.73,157.01,164.34,1508655.0
2020-09-22,,166.86,161.36,166.22,1053705.0
2020-09-23,,166.31,161.89,162.31,996830.0
2020-09-24,,165.925,160.27,163.29,768071.0
2020-09-25,,166.47,161.5,165.78,829785.0
2020-09-28,,167.9498,164.82,167.46,979155.0
2020-09-29,,167.35,163.905,164.34,1216251.0
2020-09-30,,166.25,162.81,165.22,929057.0
2020-10-01,,168.03,165.68,166.11,1047402.0
2020-10-02,,164.195,157.82,160.15,1255772.0
2020-10-05,,164.96,161.18,164.76,853662.0
2020-10-06,,167.0,161.4001,162.2,1064440.0
2020-10-07,,163.53,159.485,160.96,985024.0
2020-10-08,,162.915,159.07,160.42,905149.0
2020-10-09,,162.7,160.76,161.64,611863.0
2020-10-12,,168.27,163.93,167.14,1785214.0
2020-10-13,,170.12,164.664,169.16,1369156.0
2020-10-14,,170.99,166.301,168.94,1124277.0
2020-10-15,,168.5,165.0501,168.03,883561.0
2020-10-16,,170.8,167.84,168.22,2043871.0
2020-10-19,,172.0,164.42,165.53,1005370.0
2020-10-20,,167.11,164.03,164.44,1003305.0
2020-10-21,,166.61,163.51,164.55,782640.0
2020-10-22,,164.55,159.48,163.29,1387453.0
2020-10-23,,164.75,161.81,164.43,646360.0
2020-10-26,,166.66,162.025,165.05,829961.0
2020-10-27,,167.89,165.15,167.36,722247.0
2020-10-28,,166.76,163.53,164.39,845327.0
2020-10-29,,165.605,160.5,162.77,1257438.0
2020-10-30,,162.77,153.94,154.92,1680471.0
2020-11-02,,157.11,151.0,154.03,1126964.0
2020-11-03,,160.19,154.195,158.88,1163632.0
2020-11-04,,166.59,161.19,163.72,1301471.0
2020-11-05,,171.54,164.65,168.68,2130973.0
2020-11-06,,179.46,164.2438,175.19,3181975.0
2020-11-09,,169.84,156.16,159.99,3189135.0
2020-11-10,,157.98,152.8806,154.89,3031973.0
2020-11-11,,161.81,156.51,161.57,1534723.0
2020-11-12,,163.99,159.58,160.22,1411240.0
2020-11-13,,162.89,159.4,161.83,1148761.0
2020-11-16,,162.65,159.56,162.39,1047340.0
2020-11-17,,164.95,161.785,162.2,946288.0
2020-11-18,,163.32,159.84,161.56,985589.0
2020-11-19,,168.07,159.55,165.58,1688317.0
