date,open,high,low,close,volume
2020-08-06,,145.66,144.435,145.47,2472653.0
2020-08-07,,156.9,145.59,156.9,10093448.0
2020-08-10,,162.7,157.0,159.59,7469935.0
2020-08-11,,161.26,154.8784,155.85,6147751.0
2020-08-12,,160.25,156.4,157.79,4286581.0
2020-08-13,,159.72,156.4801,159.29,2895392.0
2020-08-14,,162.43,158.38,160.74,3512631.0
2020-08-17,,162.1399,159.75,160.3,2454720.0
2020-08-18,,161.345,159.05,159.99,2637810.0
2020-08-19,,161.8899,159.86,160.34,2721278.0
2020-08-20,,160.26,157.31,159.55,2340453.0
2020-08-21,,160.24,157.52,159.03,4561543.0
2020-08-24,,161.06,159.07,160.35,4125245.0
2020-08-25,,162.4,158.05,159.04,2990686.0
2020-08-26,,159.97,157.86,158.9,2814103.0
2020-08-27,,160.97,158.715,160.21,2948954.0
2020-08-28,,162.61,159.34,162.36,3022399.0
2020-08-31,,165.22,161.26,163.62,3991752.0
2020-09-01,,164.14,161.55,162.65,3146199.0
2020-09-02,,166.2,162.2,165.78,3809407.0
2020-09-03,,163.4499,156.95,158.02,4820425.0
2020-09-04,,161.845,154.63,160.78,3680984.0
2020-09-08,,160.06,155.96,156.45,3250502.0
2020-09-09,,160.96,158.05,159.8,2379634.0
2020-09-10,,161.26,157.08,157.89,2482586.0
2020-09-11,,160.61,157.43,158.87,2521666.0
2020-09-14,,162.16,159.03,160.14,3660527.0
2020-09-15,,161.77,158.37,161.53,3268550.0
2020-09-16,,167.36,159.53,159.87,5872802.0
2020-09-17,,160.2675,156.965,159.75,3086798.0
2020-09-18,,163.75,159.42,159.66,7770843.0
2020-09-21,,162.95,157.38,161.06,3981366.0
2020-09-22,,162.14,159.5723,161.89,3096254.0
2020-09-23,,165.76,161.34,161.55,3873139.0
2020-09-24,,162.57,157.991,160.41,3014091.0
2020-09-25,,167.0,159.27,166.12,4434890.0
2020-09-28,,171.98,168.49,168.9,4477100.0
2020-09-29,,170.465,167.115,168.5,3178235.0
2020-09-30,,169.67,165.5,166.63,5466284.0
2020-10-01,,170.8,166.88,167.65,5043638.0
2020-10-02,,168.5,165.75,166.96,4551498.0
2020-10-05,,169.96,167.44,169.16,2778373.0
2020-10-06,,172.05,168.72,169.35,3721866.0
2020-10-07,,175.44,170.305,174.99,3899485.0
2020-10-08,,175.9755,173.45,174.21,2840927.0
2020-10-09,,175.38,172.86,174.69,2919960.0
2020-10-12,,176.8,174.2101,176.54,2322549.0
2020-10-13,,177.15,174.89,175.33,3053894.0
2020-10-14,,175.96,173.8,174.38,3193885.0
2020-10-15,,174.06,172.01,174.04,3109088.0
2020-10-16,,176.19,174.26,174.44,3639805.0
2020-10-19,,176.2,171.11,172.1,2922300.0
2020-10-20,,177.35,172.36,174.88,2821384.0
2020-10-21,,178.01,172.65,172.73,4506173.0
2020-10-22,,174.7194,171.6501,172.99,3945904.0
2020-10-23,,173.75,171.31,171.9,2812487.0
2020-10-26,,170.92,166.18,168.0,4097466.0
2020-10-27,,171.67,168.6074,170.84,5817914.0
2020-10-28,,163.87,155.6,155.78,11301023.0
2020-10-29,,164.02,157.735,161.36,5979280.0
2020-10-30,,160.46,155.25,157.11,5289656.0
2020-11-02,,161.19,156.97,159.55,3973933.0
2020-11-03,,164.65,160.35,163.48,3173716.0
2020-11-04,,165.335,160.56,162.58,3571472.0
2020-11-05,,165.85,162.21,163.56,4038334.0
2020-11-06,,168.3,163.075,167.68,2998072.0
2020-11-09,,167.525,158.71,163.22,9591705.0
2020-11-10,,165.26,161.03,164.73,3386133.0
2020-11-11,,168.22,165.18,166.64,3284766.0
