date,open,high,low,close,volume
2020-08-06,,52.98,51.1,51.48,3967402.0
2020-08-07,,52.865,50.73,52.66,3341400.0
2020-08-10,,53.77,52.39,53.55,5692011.0
2020-08-11,,55.73,53.45,53.65,4801035.0
2020-08-12,,55.15,53.5,55.12,3183113.0
2020-08-13,,54.94,53.1,53.19,3451917.0
2020-08-14,,54.52,52.65,54.46,3730132.0
2020-08-17,,56.18,54.1683,55.6,4364854.0
2020-08-18,,55.78,54.62,54.74,2613392.0
2020-08-19,,54.9799,53.66,54.26,3074228.0
2020-08-20,,53.95,51.9802,52.7,3828498.0
2020-08-21,,53.23,52.04,52.62,3028105.0
2020-08-24,,55.18,52.78,54.99,3247337.0
2020-08-25,,55.81,53.7,54.25,3456418.0
2020-08-26,,54.66,53.26,53.7,4125662.0
2020-08-27,,53.945,52.3327,53.44,3480580.0
2020-08-28,,55.02,53.64,54.89,3844957.0
2020-08-31,,55.25,52.53,52.59,4536068.0
2020-09-01,,53.403,51.59,52.47,3259426.0
2020-09-02,,53.38,51.9,52.91,4047589.0
2020-09-03,,54.48,51.66,52.33,3661322.0
2020-09-04,,53.12,50.66,51.22,3738676.0
2020-09-08,,51.0,48.68,48.73,4572310.0
2020-09-09,,49.47,47.34,47.75,4546167.0
2020-09-10,,48.06,45.38,45.63,4954274.0
2020-09-11,,46.78,45.1375,46.39,4020707.0
2020-09-14,,48.08,46.54,47.51,5973533.0
2020-09-15,,48.17,46.54,46.56,3603368.0
2020-09-16,,50.04,46.57,49.1,6247045.0
2020-09-17,,49.03,47.84,49.0,6677921.0
2020-09-18,,49.1,47.78,48.71,8629033.0
2020-09-21,,47.9,46.3,47.36,6227649.0
2020-09-22,,47.95,47.0,47.42,4847108.0
2020-09-23,,47.45,44.47,44.51,4677904.0
2020-09-24,,45.55,42.93,44.58,3883941.0
2020-09-25,,44.19,43.02,43.92,4757006.0
2020-09-28,,45.57,44.63,44.82,3294637.0
2020-09-29,,44.99,43.105,43.41,4406684.0
2020-09-30,,44.4,42.93,43.32,4802334.0
2020-10-01,,42.0,39.72,40.28,10734171.0
2020-10-02,,41.24,38.87,40.73,7098967.0
2020-10-05,,43.12,41.25,43.07,5159636.0
2020-10-06,,44.32,42.09,42.33,4521140.0
2020-10-07,,42.86,41.86,42.35,4285665.0
2020-10-08,,44.38,42.26,44.36,3305028.0
2020-10-09,,44.885,43.15,43.64,5661482.0
2020-10-12,,43.49,42.22,43.09,3798457.0
2020-10-13,,42.89,41.4,41.43,3943372.0
2020-10-14,,42.6236,41.45,41.71,3742090.0
2020-10-15,,41.72,39.78,41.56,5747019.0
2020-10-16,,41.645,40.16,40.22,5659405.0
2020-10-19,,40.46,39.15,39.29,5132541.0
2020-10-20,,41.13,39.69,40.7,4159794.0
2020-10-21,,41.54,39.75,40.54,5636279.0
2020-10-22,,41.393,38.4201,41.28,6616801.0
2020-10-23,,43.42,40.99,41.97,6258989.0
2020-10-26,,41.3,39.21,39.54,4969877.0
2020-10-27,,39.45,38.22,38.26,4945806.0
2020-10-28,,37.67,35.99,36.19,6422084.0
2020-10-29,,37.73,35.44,37.53,5151807.0
2020-10-30,,38.65,36.91,38.61,6603474.0
2020-11-02,,40.2999,38.45,39.9,4717286.0
2020-11-03,,40.69,38.9627,39.48,4049922.0
2020-11-04,,40.1066,37.88,38.97,4699046.0
2020-11-05,,40.27,38.9,39.53,4745204.0
2020-11-06,,39.9,37.975,38.17,4417044.0
2020-11-09,,50.91,44.9,50.08,19637591.0
2020-11-10,,51.06,48.0,49.96,8977529.0
2020-11-11,,50.83,49.07,49.79,6384139.0
2020-11-12,,49.99,46.96,47.28,5840016.0
2020-11-13,,51.39,47.8,50.92,5768863.0
2020-11-16,,56.0,52.46,55.67,9284420.0
2020-11-17,,54.2891,51.98,54.15,6098214.0
2020-11-18,,54.7,51.24,51.25,5612602.0
2020-11-19,,51.45,49.4,51.21,4865095.0
2020-11-20,,51.86,50.37,50.82,3091538.0
2020-11-23,,56.17,51.6,56.09,7433847.0
2020-11-24,,59.92,56.79,58.49,8836001.0
2020-11-25,,57.79,56.36,56.43,4360081.0
2020-11-27,,57.2,55.8,56.62,1754959.0
2020-11-30,,56.39,53.71,53.77,5528132.0
2020-12-01,,55.81,54.27,54.4,4219266.0
2020-12-02,,58.16,53.55,58.07,5344685.0
2020-12-03,,59.16,57.07,57.91,4075978.0
2020-12-04,,61.67,59.06,61.27,5288186.0
2020-12-07,,60.87,59.0701,59.46,4741172.0
2020-12-08,,60.09,58.3512,58.98,4597470.0
2020-12-09,,61.32,57.72,58.8,4504589.0
2020-12-10,,61.47,58.21,59.87,3947207.0
2020-12-11,,60.58,58.28,59.03,3851134.0
2020-12-14,,60.05,56.24,56.39,4053144.0
2020-12-15,,58.33,56.17,57.48,3576251.0
2020-12-16,,57.87,56.3,56.92,5063045.0
2020-12-17,,57.45,55.8,56.34,4773315.0
2020-12-18,,56.32,54.34,54.77,11263091.0
2020-12-21,,55.05,51.9,54.05,5430316.0
2020-12-22,,54.74,53.55,53.7,4651246.0
2020-12-23,,55.965,54.1,55.79,3339274.0
2020-12-24,,55.75,54.56,55.68,1351987.0
2020-12-28,,56.925,54.883,55.09,2482238.0
2020-12-29,,55.8799,54.528,55.45,2519060.0
2020-12-30,,56.8494,55.3983,56.72,2765612.0
2020-12-31,,57.14,55.96,56.57,2508337.0
2021-01-04,,57.68,54.775,55.73,3082055.0
2021-01-05,,58.93,56.075,57.32,3981577.0
2021-01-06,,59.45,57.245,58.6,5654567.0
2021-01-07,,60.01,58.29,59.67,3083427.0
2021-01-08,,60.19,57.29,57.71,3958811.0
2021-01-11,,59.19,55.69,58.64,2927156.0
2021-01-12,,59.8,58.5223,59.51,3684952.0
2021-01-13,,59.42,57.435,57.7,4479843.0
2021-01-14,,61.01,58.06,60.27,4494539.0
2021-01-15,,59.64,57.2,58.3,3874876.0
2021-01-19,,60.95,58.73,60.54,3993827.0
