date,open,high,low,close,volume
2020-08-06,,57.945,57.45,57.83,10591049.0
2020-08-07,,58.55,57.65,58.53,12950870.0
2020-08-10,,59.15,58.465,58.99,12387631.0
2020-08-11,,59.6083,58.25,58.51,13094823.0
2020-08-12,,58.97,58.52,58.6,10987880.0
2020-08-13,,58.6,58.19,58.52,7674852.0
2020-08-14,,58.94,58.25,58.79,8881312.0
2020-08-17,,58.93,58.545,58.78,8526058.0
2020-08-18,,59.47,58.78,59.18,10262316.0
2020-08-19,,59.44,58.93,59.05,11023481.0
2020-08-20,,59.09,58.59,58.96,8210214.0
2020-08-21,,59.04,58.535,58.99,11774444.0
2020-08-24,,59.61,59.0,59.57,11169161.0
2020-08-25,,59.75,59.18,59.42,11506632.0
2020-08-26,,59.5,58.9,59.46,15292407.0
2020-08-27,,59.79,59.41,59.43,11580796.0
2020-08-28,,59.41,58.82,59.26,12022022.0
2020-08-31,,59.44,59.02,59.27,14773684.0
2020-09-01,,59.295,58.78,59.16,13602262.0
2020-09-02,,60.74,59.0,60.53,22000953.0
2020-09-03,,61.28,60.14,60.61,23354940.0
2020-09-04,,61.5,60.06,60.48,22545917.0
2020-09-08,,60.8,59.62,59.96,18788648.0
2020-09-09,,60.7476,59.97,60.04,16227533.0
2020-09-10,,60.25,59.41,59.53,16083943.0
2020-09-11,,59.96,59.3601,59.79,14129599.0
2020-09-14,,60.78,60.0,60.32,12134479.0
2020-09-15,,61.1,60.1,60.6,9669111.0
2020-09-16,,60.93,60.315,60.37,12877048.0
2020-09-17,,60.99,60.1,60.59,15230211.0
2020-09-18,,60.94,60.1519,60.35,25324127.0
2020-09-21,,60.08,59.02,59.61,16076044.0
2020-09-22,,60.37,59.515,59.82,12414485.0
2020-09-23,,60.14,58.85,58.91,15587971.0
2020-09-24,,59.56,58.65,59.19,11098149.0
2020-09-25,,59.45,58.81,59.39,10877549.0
2020-09-28,,59.795,59.183,59.36,12119865.0
2020-09-29,,59.49,59.1,59.24,10154249.0
2020-09-30,,59.705,59.045,59.49,16502788.0
2020-10-01,,59.6,59.03,59.45,14765456.0
2020-10-02,,59.545,59.11,59.24,11005555.0
2020-10-05,,59.84,59.26,59.66,10630819.0
2020-10-06,,59.97,59.33,59.46,12753796.0
2020-10-07,,59.78,59.2,59.61,13869290.0
2020-10-08,,59.73,58.97,59.19,14474411.0
2020-10-09,,59.54,59.08,59.33,10013472.0
2020-10-12,,59.68,59.15,59.55,20462959.0
2020-10-13,,59.72,58.85,59.36,22411586.0
2020-10-14,,59.52,58.39,58.43,16815141.0
2020-10-15,,58.28,57.72,58.16,13884387.0
2020-10-16,,58.43,58.01,58.05,14514165.0
2020-10-19,,58.29,57.08,57.3,16274893.0
2020-10-20,,57.67,56.76,57.25,18928426.0
2020-10-21,,57.71,56.69,56.75,21879465.0
2020-10-22,,57.66,56.51,57.33,16911044.0
2020-10-23,,57.97,57.46,57.96,13102956.0
2020-10-26,,57.85,56.971,57.81,15395701.0
2020-10-27,,57.8514,57.31,57.38,12425522.0
2020-10-28,,57.35,56.12,56.31,18899228.0
2020-10-29,,57.31,56.02,56.76,19380212.0
2020-10-30,,57.07,56.37,56.99,17741498.0
2020-11-02,,58.205,57.0,57.7,16696173.0
2020-11-03,,58.375,57.51,57.75,10859215.0
2020-11-04,,57.85,56.58,57.22,21066950.0
2020-11-05,,58.97,57.8,58.15,20492809.0
2020-11-06,,58.75,58.01,58.53,12183958.0
2020-11-09,,60.58,59.51,59.84,24953300.0
2020-11-10,,61.41,60.2,61.1,22468345.0
2020-11-11,,61.35,60.4735,61.0,12388768.0
2020-11-12,,61.01,60.34,60.79,13560932.0
2020-11-13,,61.19,60.38,61.06,10783407.0
2020-11-16,,61.46,60.695,60.89,14635102.0
2020-11-17,,61.02,60.36,60.75,11945522.0
2020-11-18,,61.15,60.3,60.32,12009634.0
2020-11-19,,60.44,59.9,60.21,12799557.0
2020-11-20,,60.33,59.945,60.04,14837332.0
2020-11-23,,60.39,60.0,60.23,11826035.0
2020-11-24,,60.8,60.36,60.64,15812430.0
2020-11-25,,60.74,60.33,60.41,10780985.0
2020-11-27,,60.74,60.41,60.58,5763683.0
2020-11-30,,60.6,60.185,60.41,22001971.0
2020-12-01,,60.92,60.2848,60.58,14520466.0
2020-12-02,,61.95,61.01,61.36,14483594.0
2020-12-03,,61.83,61.04,61.74,12184259.0
2020-12-04,,61.8,61.265,61.55,10730420.0
2020-12-07,,61.7,61.175,61.35,12791102.0
2020-12-08,,61.7,60.875,61.45,13663292.0
2020-12-09,,61.82,61.09,61.46,15189631.0
2020-12-10,,61.3534,60.333,60.51,15723836.0
2020-12-11,,60.53,59.97,60.35,13922830.0
2020-12-14,,61.06,59.77,59.98,15929686.0
2020-12-15,,60.74,59.97,60.55,16096772.0
2020-12-16,,60.45,59.665,59.91,17444254.0
2020-12-17,,60.15,59.61,60.01,12384062.0
2020-12-18,,60.78,59.79,60.46,34818331.0
2020-12-21,,60.13,59.2819,59.49,18849875.0
2020-12-22,,59.415,58.86,58.99,13184917.0
2020-12-23,,59.28,58.885,58.96,14193350.0
2020-12-24,,59.07,58.66,58.84,7751101.0
2020-12-28,,59.18,58.65,58.98,15566063.0
2020-12-29,,59.24,58.64,58.81,15879875.0
2020-12-30,,58.94,58.06,58.14,18414297.0
2020-12-31,,58.8,58.02,58.75,13061246.0
2021-01-04,,59.145,58.44,58.85,19488898.0
2021-01-05,,59.09,58.455,58.58,16421399.0
2021-01-06,,59.54,58.54,59.29,22983683.0
2021-01-07,,58.76,58.08,58.53,19454819.0
2021-01-08,,58.36,57.37,57.8,28730568.0
2021-01-11,,58.05,57.285,57.46,16078551.0
2021-01-12,,57.45,56.69,57.26,23103156.0
2021-01-13,,57.25,56.875,57.06,17278290.0
2021-01-14,,57.425,56.66,57.04,18668132.0
2021-01-15,,57.5,56.71,57.38,17499667.0
2021-01-19,,57.58,56.98,57.05,19186270.0
2021-01-20,,57.39,56.66,57.26,20225400.0
2021-01-21,,57.51,57.05,57.27,13858808.0
2021-01-22,,57.69,56.76,57.47,16710185.0
2021-01-25,,58.62,57.18,58.42,22772393.0
2021-01-26,,57.275,56.41,56.57,38271451.0
2021-01-27,,56.96,55.06,55.13,37764292.0
2021-01-28,,56.33,55.0,55.37,24490435.0
2021-01-29,,55.27,54.475,54.75,26632679.0
2021-02-01,,55.27,54.22,54.28,21192629.0
2021-02-02,,55.165,54.17,54.5,19252431.0
2021-02-03,,54.9,54.25,54.79,14411699.0
2021-02-04,,55.37,54.59,55.14,14991437.0
2021-02-05,,55.675,55.17,55.32,12341083.0
2021-02-08,,55.48,54.79,55.05,18167895.0
2021-02-09,,55.3,54.68,55.0,19938093.0
2021-02-10,,55.44,54.92,54.96,16535652.0
2021-02-11,,55.06,54.48,54.6,17706712.0
2021-02-12,,54.68,54.1819,54.2,18591820.0
2021-02-16,,54.32,53.83,54.15,22630550.0
2021-02-17,,57.25,55.63,56.99,42033254.0
2021-02-18,,57.61,56.53,56.98,21393598.0
2021-02-19,,57.4,56.35,56.45,19491309.0
2021-02-22,,56.8398,56.15,56.45,18204026.0
2021-02-23,,57.53,56.285,57.03,21431340.0
2021-02-24,,57.42,56.67,57.12,17485910.0
2021-02-25,,56.86,55.74,56.5,24834877.0
2021-02-26,,56.605,55.29,55.3,24165585.0
2021-03-01,,55.95,55.28,55.36,21033158.0
2021-03-02,,55.5198,54.92,54.98,17519956.0
2021-03-03,,55.97,54.4019,55.38,23329620.0
2021-03-04,,55.6199,54.53,54.8,24012268.0
2021-03-05,,56.197,54.92,56.0,23800918.0
2021-03-08,,57.295,55.82,56.79,24029550.0
2021-03-09,,57.1,56.17,56.2,21233438.0
2021-03-10,,57.2899,55.85,57.08,19404652.0
2021-03-11,,57.19,55.47,55.51,30843367.0
2021-03-12,,56.17,55.61,55.63,22390277.0
2021-03-15,,55.94,55.1,55.64,19354519.0
2021-03-16,,55.92,55.4366,55.64,19389863.0
2021-03-17,,56.12,55.29,55.75,18186421.0
2021-03-18,,56.37,55.66,56.31,20219455.0
2021-03-19,,56.52,55.95,56.24,41697954.0
2021-03-22,,56.67,55.77,56.59,21053301.0
2021-03-23,,57.42,56.38,56.91,20430429.0
2021-03-24,,57.4299,56.63,57.01,15038495.0
2021-03-25,,57.54,56.7,57.38,18321071.0
2021-03-26,,58.25,57.38,58.18,19885026.0
2021-03-29,,58.98,57.95,58.83,18855211.0
2021-03-30,,58.97,58.23,58.59,13455893.0
2021-03-31,,58.52,58.06,58.15,19722374.0
2021-04-01,,58.39,57.735,58.3,13165169.0
2021-04-05,,59.13,58.46,58.87,14590425.0
2021-04-06,,59.11,58.68,59.11,12483474.0
2021-04-07,,59.46,58.785,59.0,13508807.0
2021-04-08,,58.13,57.5326,57.6,16864342.0
2021-04-09,,57.8,57.25,57.49,14115676.0
2021-04-12,,57.885,57.425,57.54,19971895.0
2021-04-13,,57.76,57.16,57.62,16026179.0
2021-04-14,,58.13,57.293,57.7,14104187.0
2021-04-15,,57.91,57.54,57.7,13562302.0
2021-04-16,,58.48,57.8,58.28,20973091.0
2021-04-19,,58.71,58.09,58.39,12266683.0
2021-04-20,,58.54,57.97,58.39,16894749.0
2021-04-21,,58.84,58.05,58.14,18519759.0
2021-04-22,,58.09,57.135,57.28,21267600.0
2021-04-23,,57.47,56.78,57.3,18327280.0
2021-04-26,,57.39,56.85,56.94,15395653.0
2021-04-27,,56.72,56.2,56.32,22285141.0
2021-04-28,,56.66,56.34,56.43,13115636.0
2021-04-29,,57.515,56.53,57.32,18481924.0
2021-04-30,,57.86,56.9615,57.79,17106674.0
2021-05-03,,58.33,57.87,57.92,18303144.0
2021-05-04,,58.65,57.95,58.6,22255208.0
2021-05-05,,59.06,58.55,58.69,18134287.0
2021-05-06,,59.37,58.685,59.29,14901973.0
2021-05-07,,59.07,58.6,58.72,15921612.0
2021-05-10,,59.85,59.02,59.52,22964580.0
2021-05-11,,59.79,58.2945,58.54,18358505.0
2021-05-12,,58.9,58.15,58.41,14938192.0
