date,open,high,low,close,volume
2020-08-06,,41.4863,40.65,40.89,4699427.0
2020-08-07,,41.61,40.52,41.52,4538665.0
2020-08-10,,42.9,41.52,42.86,4891874.0
2020-08-11,,44.05,41.715,41.85,6482621.0
2020-08-12,,42.64,41.57,41.82,4930113.0
2020-08-13,,41.61,40.82,41.0,5689956.0
2020-08-14,,41.95,40.78,41.91,5687326.0
2020-08-17,,41.9694,40.81,41.175,5275574.0
2020-08-18,,41.54,40.4418,40.76,4835865.0
2020-08-19,,40.89,40.13,40.25,4973215.0
2020-08-20,,40.14,39.61,39.71,3645106.0
2020-08-21,,39.915,39.3,39.46,5629466.0
2020-08-24,,40.19,38.99,39.74,5500901.0
2020-08-25,,40.1,39.13,39.5,5564667.0
2020-08-26,,39.38,38.36,38.67,7776630.0
2020-08-27,,39.45,38.46,39.34,6072537.0
2020-08-28,,39.4,38.63,38.76,6035619.0
2020-08-31,,38.7121,38.0,38.02,7940058.0
2020-09-01,,37.96,36.5,36.76,10735745.0
2020-09-02,,37.57,36.68,37.17,7672365.0
2020-09-03,,38.33,36.74,37.09,8278005.0
2020-09-04,,37.54,36.55,36.89,6994406.0
2020-09-08,,37.22,36.03,36.1,8261242.0
2020-09-09,,36.27,35.23,35.35,9506332.0
2020-09-10,,35.7,34.505,34.67,7892708.0
2020-09-11,,35.25,33.88,34.7,9634509.0
2020-09-14,,35.17,34.595,35.11,5742070.0
2020-09-15,,35.7,34.87,35.27,8118407.0
2020-09-16,,36.89,35.2165,36.28,8224335.0
2020-09-17,,37.28,35.51,37.21,7251331.0
2020-09-18,,37.25,36.44,36.93,12824105.0
2020-09-21,,36.87,35.59,35.79,7484713.0
2020-09-22,,35.97,35.39,35.72,4399066.0
2020-09-23,,36.281,34.94,35.06,8479286.0
2020-09-24,,35.26,34.52,35.03,5498586.0
2020-09-25,,35.56,34.53,35.43,5955371.0
2020-09-28,,36.515,35.83,36.07,5901611.0
2020-09-29,,36.27,35.35,35.38,5079568.0
2020-09-30,,36.295,35.55,35.92,6679235.0
2020-10-01,,36.12,35.54,35.87,4808861.0
2020-10-02,,35.96,35.2801,35.77,5464966.0
2020-10-05,,36.67,35.95,36.62,4774882.0
2020-10-06,,37.03,35.81,35.95,5123041.0
2020-10-07,,36.75,36.02,36.49,3687082.0
2020-10-08,,37.09,36.59,37.07,3623675.0
2020-10-09,,37.59,36.28,36.34,7423679.0
2020-10-12,,37.71,36.42,36.93,8686607.0
2020-10-13,,37.09,35.7,36.18,8021142.0
2020-10-14,,36.8099,35.65,35.91,8381970.0
2020-10-15,,38.22,36.31,37.64,16171845.0
2020-10-16,,37.91,36.9,37.41,8563115.0
2020-10-19,,37.8,36.825,36.97,4865339.0
2020-10-20,,37.765,36.72,37.49,6034347.0
2020-10-21,,37.87,36.97,37.39,3708546.0
2020-10-22,,37.67,37.16,37.51,4070388.0
2020-10-23,,38.075,37.57,38.04,3875134.0
2020-10-26,,38.03,37.0,37.21,7692893.0
2020-10-27,,37.29,35.92,36.0,5661101.0
2020-10-28,,35.83,34.54,34.59,7286962.0
2020-10-29,,34.48,33.46,33.52,9205332.0
2020-10-30,,34.05,33.36,34.04,10514343.0
2020-11-02,,35.81,34.37,35.79,7448070.0
2020-11-03,,37.62,36.3169,37.37,7856256.0
2020-11-04,,37.68,36.225,36.295,8564482.0
2020-11-05,,37.59,36.07,37.53,6102724.0
2020-11-06,,38.17,37.17,37.31,6371082.0
2020-11-09,,40.73,38.55,39.785,12109936.0
2020-11-10,,43.7599,39.55,42.35,18133223.0
2020-11-11,,42.75,41.31,41.44,7338328.0
2020-11-12,,41.24,40.17,40.77,5860337.0
2020-11-13,,42.74,40.94,42.71,6451613.0
2020-11-16,,44.87,43.72,44.1,8055755.0
2020-11-17,,40.77,39.56,39.855,25101610.0
2020-11-18,,39.9491,38.22,38.23,14434714.0
2020-11-19,,38.44,37.0201,37.85,12780945.0
2020-11-20,,38.08,37.135,37.53,9022607.0
2020-11-23,,38.0399,37.22,37.98,8214111.0
2020-11-24,,38.59,37.7,38.52,8627033.0
2020-11-25,,39.18,38.07,39.07,6644001.0
2020-11-27,,39.24,38.61,39.0,3023964.0
2020-11-30,,39.1,37.89,38.01,13859287.0
2020-12-01,,39.2,38.305,38.46,8004466.0
2020-12-02,,40.1,38.39,39.84,8350784.0
2020-12-03,,43.665,39.97,42.82,17235450.0
2020-12-04,,43.45,41.72,43.41,11217737.0
2020-12-07,,43.33,42.07,42.43,6781706.0
2020-12-08,,42.47,41.655,41.99,6207400.0
2020-12-09,,42.62,41.46,41.77,6505180.0
2020-12-10,,42.04,41.2836,41.65,4861713.0
2020-12-11,,41.665,40.85,41.53,5937140.0
2020-12-14,,42.14,41.2,41.48,6695702.0
2020-12-15,,42.01,41.19,41.33,5461005.0
2020-12-16,,41.4038,40.24,40.44,7870681.0
2020-12-17,,40.96,40.35,40.88,5612692.0
2020-12-18,,41.1774,40.4,40.69,11942392.0
2020-12-21,,41.02,40.16,40.67,4801277.0
2020-12-22,,40.61,39.165,39.27,8086999.0
2020-12-23,,40.235,39.44,39.87,4200222.0
2020-12-24,,40.04,39.075,39.62,2677978.0
2020-12-28,,40.3,39.3,39.66,4714499.0
2020-12-29,,40.34,39.235,39.41,4004420.0
2020-12-30,,39.7301,39.195,39.34,4194283.0
2020-12-31,,40.0,39.03,39.88,7695968.0
2021-01-04,,41.56,39.94,41.4,9101845.0
2021-01-05,,42.04,40.77,41.16,7430961.0
2021-01-06,,43.43,41.87,43.03,12503291.0
2021-01-07,,46.71,43.11,45.26,15553628.0
2021-01-08,,46.47,44.62,45.21,9895372.0
2021-01-11,,47.84,45.58,47.7,11225268.0
